sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
オレ,代名詞,18,1,オレ,俺,1576870,,False
居る,動詞,10,1,いる,居る,1577980,,False
成る,動詞,10,1,なっ,成る,2846738,,False
この,連体詞,9,1,この,此の,1582920,,False
あいつ,代名詞,9,1,あいつ,彼奴,1483160,,False
為る,動詞,9,1,する,為る,1157170,,False
貰う,動詞,8,1,もらわ,貰う,1535910,,False
たち,接尾辞,8,1,たち,達,1416220,,False
お前,代名詞,8,1,お前,御前,1002290,,False
プライド,名詞,7,1,プライド,プライド-pride,1115390,,False
来る,動詞,7,1,来,来る,1547720,,False
アル,名詞,7,1,アル,アル,2835284,,False
言う,動詞,7,1,言える,言う,1587040,,False
リード,名詞,6,1,リード,リード-lead,1140710,,False
いろいろ,副詞,6,1,いろいろ,色々,1587850,,False
体,名詞,6,1,体,体,1409140,,False
話,名詞,5,1,話,話,1600900,,False
呉れる,動詞,5,1,くれ,呉れる,1269130,,False
ここ,代名詞,5,1,ここ,此処,1288810,,False
約束,名詞,5,1,約束,約束,1538130,,False
戦う,動詞,5,1,戦っ,戦う,1596960,,False
何,代名詞,5,1,何,何,1577100,,False
動く,動詞,5,1,動け,動く,1451210,,False
ホムンクルス,名詞,5,1,ホムンクルス,ホムンクルス-Homunculus,2037840,,False
におい,名詞,5,1,におい,匂い,1599760,,False
話す,動詞,4,1,話せよ,話す,1562350,,False
影,名詞,4,1,影,影,1590145,,False
野生,名詞,4,1,野生,野生,1537470,,False
勘,名詞,4,1,勘,勘,1210590,,False
そう,副詞,4,1,そう,そう,2137720,,False
有る,動詞,4,1,ある,有る,1000580,,False
待つ,動詞,4,1,待っ,待つ,1410590,,False
どう,副詞,4,1,どう,どう,1008910,,False
暗闇,名詞,4,1,暗闇,暗闇,1154370,,False
組む,動詞,4,1,組ま,組む,1397590,,False
行く,動詞,4,1,いっ,行く,1578850,,False
良い,形容詞,4,1,よかっ,良い,1605870,,False
遣る,動詞,4,1,やれよ,遣る,1012980,,False
出来る,動詞,4,1,でき,出来る,1340450,,False
ちょっと,副詞,3,1,ちょっと,一寸,1163940,,False
てめえ,代名詞,3,1,てめえ,てまえ,2076920,,False
戻る,動詞,3,1,戻り,戻る,1535880,,False
明日,名詞,3,1,明日,明日,1584660,,False
捕らえる,動詞,3,1,捕え,捕らえる,1598960,,False
必ず,副詞,3,1,必ず,必ず,1487400,,False
明かり,名詞,3,1,明かり,明かり,1586210,,False
有る,代名詞,3,1,あれ,彼れ,1000580,,False
聞く,動詞,3,1,聞い,聞く,1591110,,False
知る,動詞,3,1,知っ,知る,1420470,,False
見える,動詞,3,1,見え,見える,1259140,,False
日,名詞,3,1,日,日,1463770,,False
本体,名詞,3,1,本体,本体,1522950,,False
手,名詞,3,1,手,手,1327190,,False
大丈夫,形状詞,3,1,大丈夫,大丈夫,1414150,,False
まだ,副詞,3,1,まだ,未だ,1527110,,False
中央,名詞,3,1,中央,中央,1423430,,False
人間,名詞,3,1,人間,人間,1366770,,False
使う,動詞,3,1,使う,使う,1305990,,False
君,代名詞,3,1,君,君-代名詞,1247250,,False
