sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
居る,動詞,15,1,いる,居る,1577980,,False
こと,名詞,8,1,こと,事,1313580,,False
使う,動詞,7,1,使う,使う,1305990,,False
奴,名詞,7,1,奴,奴,1445640,,False
分かる,動詞,6,1,分かん,分かる,1606560,,False
プライド,名詞,5,1,プライド,プライド-pride,1115390,,False
リード,名詞,5,1,リード,リード-lead,1140710,,False
ホムンクルス,名詞,5,1,ホムンクルス,ホムンクルス-Homunculus,2037840,,False
この,連体詞,5,1,この,此の,1582920,,False
死ぬ,動詞,5,1,死ん,死ぬ,1310730,,False
気,名詞,5,1,気,気,1221520,,False
為る,動詞,5,1,し,為る,1157170,,False
私,代名詞,5,1,私,私-代名詞,1311110,,False
まだ,副詞,4,1,まだ,未だ,1527110,,False
もう,副詞,4,1,もう,もう,1012480,,False
動く,動詞,4,1,動く,動く,1451210,,False
アル,名詞,4,1,アル,アル,2835284,,False
マスタング,名詞,4,1,マスタング,ムスタング-mustang,1132350,,False
今,名詞,4,1,今,今,1288850,,False
遣る,動詞,4,1,やっ,遣る,1012980,,False
フー,副詞,4,1,フー,ふう,2828104,,False
こんな,連体詞,4,1,こんな,こんな,1004880,,False
言う,動詞,4,1,言え,言う,1587040,,False
中,名詞,4,1,中,中,1423310,,False
なぜ,副詞,3,1,なぜ,何故,1577120,,False
痛い,形容詞,3,1,痛い,痛い,1432680,,False
でかい,形容詞,3,1,でかい,でかい,1008370,,False
さん,接尾辞,3,1,さん,さん,1005340,,False
とこ,名詞,3,1,とこ,所,1343100,,False
明かり,名詞,3,1,明かり,明かり,1586210,,False
人間,名詞,3,1,人間,人間,1366770,,False
近く,名詞,3,1,近く,近く,1242160,,False
マダム,名詞,3,1,マダム,マダム-madam,1128210,,False
ここ,代名詞,3,1,ここ,此処,1288810,,False
こちら,代名詞,3,1,こちら,此方,1004500,,False
あと,名詞,3,1,あと,後,1269320,,False
中央,名詞,3,1,中央,中央,1423430,,False
女,名詞,3,1,女,女,1344930,,False
成る,動詞,3,1,なる,成る,2846738,,False
セントラル,名詞,3,1,セントラル,セントラル-central,2003220,,False
シン,名詞,3,1,シン,しん,1063370,,False
呉れる,動詞,3,1,くれ,呉れる,1269130,,False
持つ,動詞,3,1,持っ,持つ,1315720,,False
来る,動詞,3,1,くる,来る,1547720,,False
有る,動詞,3,1,ある,有る,1000580,,False
戦う,動詞,3,1,戦っ,戦う,1596960,,False
案ずる,動詞,2,1,案ずる,案ずる,1586940,,False
本体,名詞,2,1,本体,本体,1522950,,False
におい,名詞,2,1,におい,匂い,1599760,,False
王,名詞,2,1,王,王,1629200,,False
行く,動詞,2,1,行っ,行く,1578850,,False
機械,名詞,2,1,機械,機械,1220810,,False
諸君,名詞,2,1,諸君,諸君,1344230,,False
その,連体詞,2,1,その,其の,1006830,,False
記憶,名詞,2,1,記憶,記憶,1223150,,False
誰,代名詞,2,1,誰,誰,1416830,,False
調べる,動詞,2,1,調べ,調べる,1429060,,False
しばらく,副詞,2,1,しばらく,暫く,1304420,,False
良い,形容詞,2,1,いい,良い,1605870,,False
落とし穴,名詞,2,1,落とし穴,落とし穴,1548640,,False
我々,代名詞,2,1,我々,我々-代名詞,1607050,,False
作戦,名詞,2,1,作戦,作戦,1297800,,False
列車,名詞,2,1,列車,列車,1558370,,False
オート,名詞,2,1,オート,オート-auto,1031910,,False
前,名詞,2,1,前,前,1392580,,False
クリスマス,名詞,2,1,クリスマス,クリスマス-Christmas,1044830,,False
命令,名詞,2,1,命令,命令,1532160,,False
危ない,形容詞,2,1,あぶな,危ない,1218380,,False
ゴリ,名詞,2,1,ゴリ,ゴリ,2556690,,False
国家,名詞,2,1,国家,国家,1286170,,False
君,代名詞,2,1,君,君-代名詞,1247250,,False
イヤ,形状詞,2,1,イヤ,嫌,1587610,,False
年,名詞,2,1,年,年,2084840,,False
影,名詞,2,1,影,影,1590145,,False
大変,形状詞,2,1,大変,大変,1415000,,False
多分,副詞,2,1,多分,多分,1407980,,False
坊,名詞,2,1,坊,坊,2229660,,False
メイル,名詞,2,1,メイル,メール-mail,1132620,,False
何,代名詞,2,1,何,何,1577100,,False
付ける,動詞,2,1,つけ,付ける,1495770,,False
任せる,動詞,2,1,任せ,任せる,1467150,,False
付く,動詞,2,1,つか,付く,1495740,,False
仕舞う,動詞,2,1,しまう,仕舞う,1305380,,False
下,名詞,2,1,下,下,1184140,,False
一家,名詞,2,1,一家,一家,1575940,,False
遅い,形容詞,2,1,遅い,遅い,1421970,,False
鎧,名詞,2,1,鎧,鎧,1204740,,False
人,名詞,2,1,人,人,1580640,,False
乗る,動詞,2,1,乗っ,乗る,1355120,,False
人質,名詞,2,1,人質,人質,1367960,,False
お前,代名詞,2,1,お前,御前,1002290,,False
いろいろ,副詞,2,1,いろいろ,色々,1587850,,False
あいつ,代名詞,2,1,あいつ,彼奴,1483160,,False
３,名詞,1,1,３,,1579350,,False
貸す,動詞,1,1,貸し,貸す,1411160,,False
買う,動詞,1,1,買っ,買う,1473740,,False
貴様,代名詞,1,1,貴様,貴様,1223620,,False
負ける,動詞,1,1,負け,負ける,1497980,,False
谷底,名詞,1,1,谷底,谷底,1416760,,False
読む,動詞,1,1,読む,読む,1456360,,False
詳しい,形容詞,1,1,詳しかろう,詳しい,1351730,,False
話,名詞,1,1,話,話,1600900,,False
許す,動詞,1,1,許し,許す,1232870,,False
記号,名詞,1,1,記号,記号,1223210,,False
たっぷり,副詞,1,1,たっぷり,たっぷり,1007240,,False
たち,接尾辞,1,1,たち,達,1416220,,False
たくさん,副詞,1,1,たくさん,沢山,1415870,,False
それぞれ,名詞,1,1,それぞれ,其々,1596690,,False
それ,代名詞,1,1,それ,其れ,1006970,,False
