sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
居る,動詞,15,1,いる,居る,1577980,,False
オレ,代名詞,10,1,オレ,俺,1576870,,False
ボク,代名詞,10,1,ボク,僕-代名詞,1521400,,False
こと,名詞,10,1,こと,事,1313580,,False
アル,名詞,9,1,アル,アル-al,2835284,,False
プライド,名詞,8,1,プライド,プライド-pride,1115390,,False
たち,接尾辞,8,1,たち,達,1416220,,False
為る,動詞,8,1,する,為る,1157170,,False
言う,動詞,7,1,言っ,言う,1587040,,False
この,連体詞,7,1,この,此の,1582920,,False
有る,動詞,6,1,ありゃ,有る,1000580,,False
人間,名詞,6,1,人間,人間,1366770,,False
お前,代名詞,5,1,お前,御前,1002290,,False
何,代名詞,5,1,何,何,1577100,,False
フッ,副詞,5,1,フッ,ふっ,2558020,,False
マスタング,名詞,5,1,マスタング,ムスタング-mustang,1132350,,False
リード,名詞,5,1,リード,リード-lead,1140710,,False
君,代名詞,5,1,君,君-代名詞,1247250,,False
出る,動詞,5,1,出,出る,1896380,,False
行く,動詞,5,1,行け,行く,1578850,,False
私,代名詞,5,1,私,私-代名詞,1311110,,False
来る,動詞,5,1,来る,来る,1547720,,False
その,連体詞,5,1,その,其の,1006830,,False
夫人,名詞,4,1,夫人,夫人,1496540,,False
思う,動詞,4,1,思っ,思う,1589350,,False
成る,動詞,4,1,なり,成る,2846738,,False
気,名詞,4,1,気,気,1221520,,False
考える,動詞,4,1,考え,考える,1281020,,False
自分,名詞,4,1,自分,自分,1318610,,False
化け物,名詞,4,1,化け物,化け物,1601300,,False
始まる,動詞,4,1,始まる,始まる,1307500,,False
ホムンクルス,名詞,4,1,ホムンクルス,ホムンクルス-Homunculus,2037840,,False
使う,動詞,4,1,使い,使う,1305990,,False
ブリー,名詞,3,1,ブリー,ブリー-bully,2445150,,False
ら,接尾辞,3,1,ら,等,2067770,,False
出来る,動詞,3,1,でき,出来る,1340450,,False
あんな,連体詞,3,1,あんな,あんな,1000590,,False
身,名詞,3,1,身,身,1365520,,False
息子,名詞,3,1,息子,息子,1404390,,False
計画,名詞,3,1,計画,計画,1252090,,False
もの,名詞,3,1,もの,物,1502390,,False
無理,名詞,3,1,無理,無理,1530970,,False
セントラル,名詞,3,1,セントラル,セントラル-central,2003220,,False
日,名詞,3,1,日,日,1463770,,False
戦う,動詞,3,1,戦う,戦う,1596960,,False
