sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
居る,動詞,23,1,いる,居る,1577980,,False
為る,動詞,15,1,し,為る,1157170,,False
大佐,名詞,13,1,大佐,大佐,1413740,,False
こと,名詞,11,1,こと,事,1313580,,False
兵,名詞,11,1,兵,兵,2067560,,False
マスタング,名詞,10,1,マスタング,ムスタング-mustang,1132350,,False
行く,動詞,10,1,行け,行く,1578850,,False
私,代名詞,10,1,私,私-代名詞,1311110,,False
来る,動詞,8,1,来,来る,1547720,,False
貴様,代名詞,6,1,貴様,貴様,1223620,,False
男,名詞,6,1,男,男,1419990,,False
成る,動詞,6,1,なる,成る,2846738,,False
中央,名詞,6,1,中央,チュウオウ,1423430,,False
使う,動詞,5,1,使う,使う,1305990,,False
お,接頭辞,5,1,お,御,2826528,,False
大丈夫,形状詞,5,1,大丈夫,大丈夫,1414150,,False
聞く,動詞,5,1,聞き,聞く,1591110,,False
オレ,代名詞,5,1,オレ,俺,1576870,,False
何,代名詞,5,1,何,何,1577100,,False
この,連体詞,5,1,この,此の,1582920,,False
シン,名詞,5,1,シン,しん,1063370,,False
夫人,名詞,4,1,夫人,夫人,1496540,,False
地下,名詞,4,1,地下,地下,1420840,,False
それ,代名詞,4,1,それ,其れ,1006970,,False
ども,接尾辞,4,1,ども,共,1234250,,False
お前,代名詞,4,1,お前,御前,1002290,,False
分かる,動詞,4,1,分かり,分かる,1606560,,False
我々,代名詞,4,1,我々,我々-代名詞,1607050,,False
町,名詞,4,1,町,町,1603990,,False
まだ,副詞,4,1,まだ,未だ,1527110,,False
動く,動詞,4,1,動く,動く,1451210,,False
軍,名詞,4,1,軍,軍,1247660,,False
魂,名詞,4,1,魂,魂,1579170,,False
セントラル,名詞,4,1,セントラル,セントラル-central,2003220,,False
０,名詞,4,1,０,,2839962,,False
あいつ,代名詞,4,1,あいつ,彼奴,1483160,,False
出る,動詞,4,1,出,出る,1896380,,False
打つ,動詞,3,1,撃っ,打つ,1408810,,False
傷,名詞,3,1,傷,傷,1580260,,False
ほのお,名詞,3,1,ほのお,炎,1177070,,False
たち,接尾辞,3,1,たち,達,1416220,,False
家,名詞,3,1,家,家,1191730,,False
待つ,動詞,3,1,待っ,待つ,1410590,,False
遣る,動詞,3,1,やら,遣る,1012980,,False
まったく,副詞,3,1,まったく,全く,1394800,,False
隊,接尾辞,3,1,隊,隊,1956610,,False
その,連体詞,3,1,その,其の,1006830,,False
思う,動詞,3,1,思っ,思う,1589350,,False
そんな,連体詞,3,1,そんな,そんな,1007130,,False
スカ,名詞,3,1,スカ,スカ-ska,2115020,,False
敵,名詞,3,1,敵,敵,1582000,,False
人,名詞,3,1,人,人,1580640,,False
出す,動詞,3,1,出せ,出す,1338180,,False
者,名詞,3,1,者,者,2153760,,False
言う,動詞,3,1,いえ,言う,1587040,,False
英雄,名詞,3,1,英雄,英雄,1174680,,False
連中,名詞,3,1,連中,連中,1559700,,False
倒す,動詞,3,1,倒せ,倒す,1445770,,False
こっち,代名詞,3,1,こっち,此方,1004500,,False
壊す,動詞,2,1,壊せ,壊す,1199890,,False
よし,名詞,2,1,よし,良し,2607690,,False
錬成,名詞,2,1,錬成,錬成,1559980,,False
ら,接尾辞,2,1,ら,等,2067770,,False
アル,名詞,2,1,アル,アル-al,2835284,,False
ロス,名詞,2,1,ロス,ロス,2858061,,False
すべて,名詞,2,1,すべて,全て,1595730,,False
下さる,動詞,2,1,ください,下さる,1184280,,False
勢力,名詞,2,1,勢力,勢力,1375150,,False
そちら,代名詞,2,1,そちら,其方,1006780,,False
そっち,代名詞,2,1,そっち,其方,1006780,,False
そろそろ,副詞,2,1,そろそろ,そろそろ,1345605,,False
中,名詞,2,1,中,中,1423310,,False
中,接尾辞,2,1,中,中,1423310,,False
ちょっと,副詞,2,1,ちょっと,一寸,1163940,,False
中将,名詞,2,1,中将,中将,1424510,,False
張る,動詞,2,1,張れる,張る,1427900,,False
強い,形容詞,2,1,強い,強い,1236070,,False
悪い,形容詞,2,1,悪い,悪い,1151260,,False
愛する,動詞,2,1,愛し,愛する,1150450,,False
人形,名詞,2,1,人形,人形,1367120,,False
手,名詞,2,1,手,手,1327190,,False
捕まる,動詞,2,1,捕まら,捕まる,1514110,,False
捨てる,動詞,2,1,捨て,捨てる,1322320,,False
探す,動詞,2,1,捜さ,探す,1593670,,False
損害,名詞,2,1,損害,損害,1406710,,False
今,名詞,2,1,今,今,1288850,,False
早い,形容詞,2,1,早く,早い,1404975,,False
時,名詞,2,1,時,時,1315840,,False
有る,動詞,2,1,ある,有る,1000580,,False
君,代名詞,2,1,君,君-代名詞,1247250,,False
武器,名詞,2,1,武器,武器,1498460,,False
死ぬ,動詞,2,1,死ん,死ぬ,1310730,,False
死亡,名詞,2,1,死亡,死亡,1310950,,False
死人,名詞,2,1,死人,死人,1310900,,False
殺す,動詞,2,1,殺さ,殺す,1299030,,False
気,名詞,2,1,気,気,1221520,,False
気配,名詞,2,1,気配,気配,1222510,,False
まあ,副詞,2,1,まあ,まあ,1012050,,False
無い,形容詞,2,1,なかろう,無い,2029080,,False
煙,名詞,2,1,煙,煙,1177180,,False
煩い,形容詞,2,1,うっさい,煩い,1481920,,False
甘ったるい,形容詞,2,1,甘ったるい,甘ったるい,1213460,,False
国,名詞,2,1,国,国,1592250,,False
宿る,動詞,2,1,宿り,宿る,1337210,,False
痛み,名詞,2,1,痛み,痛み,1587300,,False
どうぞ,副詞,2,1,どうぞ,どうぞ,1189130,,False
入り口,名詞,2,1,入り口,入り口,1582820,,False
あなた,代名詞,2,1,あなた,貴方,1223615,,False
腰抜け,名詞,2,1,腰抜け,腰抜け,1288450,,False
若い,形容詞,2,1,若,若い,1324300,,False
国家,名詞,2,1,国家,国家,1286170,,False
主人,名詞,2,1,主人,主人,1579780,,False
見る,動詞,2,1,み,見る,2256270,,False
以前,名詞,2,1,以前,以前,1155150,,False
話す,動詞,2,1,話し,話す,1562350,,False
負傷,名詞,2,1,負傷,負傷,1498100,,False
ダメ,名詞,2,1,ダメ,駄目,1409110,,False
少佐,名詞,2,1,少佐,少佐,1349000,,False
了解,名詞,2,1,了解,了解,1553310,,False
追う,動詞,2,1,追おう,追う,1432410,,False
部下,名詞,2,1,部下,部下,1499350,,False
少尉,名詞,2,1,少尉,少尉,1347800,,False
め,接尾辞,2,1,め,奴,2089650,,False
２人,名詞,2,1,２人,二人,1582670,,False
巨大,形状詞,2,1,巨大,巨大,1232180,,False
ここ,代名詞,2,1,ここ,此処,1288810,,False
こちら,代名詞,2,1,こちら,此方,1004500,,False
以外,名詞,2,1,以外,以外,1155090,,False
でかい,形容詞,2,1,でかい,でかい,1008370,,False
近付く,動詞,2,1,近づけ,近付く,1242170,,False
ゼロ,名詞,1,1,ゼロ,ゼロ-zero,2839962,,False
タカ,名詞,1,1,タカ,鷹,1415510,,False
タメ,名詞,1,1,タメ,ため,2615440,,False
ツケ,名詞,1,1,ツケ,付け,1495750,,False
トウガラシ,名詞,1,1,トウガラシ,唐辛子,1446680,,False
ド下手,名詞,1,1,ド下手,ど下手,2142710,,False
ハーン,名詞,1,1,ハーン,ハン-Khan,2257900,,False
バカ,名詞,1,1,バカ,馬鹿,1601260,,False
パンツ,名詞,1,1,パンツ,パンツ-pants,1103270,,False
パー,名詞,1,1,パー,パー-par,2397590,,False
ヒゲ,名詞,1,1,ヒゲ,髭,1601810,,False
フッ,副詞,1,1,フッ,ふっ,2558020,,False
フラスコ,名詞,1,1,フラスコ,フラスコ-frasco,1111290,,False
プレゼント,名詞,1,1,プレゼント,プレゼント-present,1116840,,False
ホムンクルス,名詞,1,1,ホムンクルス,ホムンクルス-Homunculus,2037840,,False
ボディガード,名詞,1,1,ボディガード,ボディーガード-bodyguard,2207280,,False
どこ,代名詞,1,1,どこ,何処,1577140,,False
マネ,名詞,1,1,マネ,真似,1363740,,False
マリア,名詞,1,1,マリア,マリア-Maria,2573170,,False
メイ,名詞,1,1,メイ,メイ-May,2188120,,False
メンツ,名詞,1,1,メンツ,メンツ,1533460,,False
モテモテ,形状詞,1,1,モテモテ,もてもて,1980930,,False
ラッキー,名詞,1,1,ラッキー,ラッキー-lucky,1139140,,False
上がる,動詞,1,1,上がっ,上がる,1352290,,False
上っ面,名詞,1,1,上っ面,上面,1352460,,False
上る,動詞,1,1,上り,上る,1352570,,False
不明,名詞,1,1,不明,不明,1495060,,False
世界,名詞,1,1,世界,世界,1373860,,False
中身,名詞,1,1,中身,中身,1599430,,False
事故,名詞,1,1,事故,事故,1313850,,False
交戦,名詞,1,1,交戦,交戦,1272190,,False
人々,名詞,1,1,人々,人々,1580650,,False
人質,名詞,1,1,人質,人質,1367960,,False
