sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
為る,動詞,10,1,する,為る,1157170,,False
痛い,形容詞,8,1,痛い,痛い,1432680,,False
成る,動詞,8,1,なっ,成る,2846738,,False
居る,動詞,8,1,いる,居る,1577980,,False
この,連体詞,8,1,この,此の,1582920,,False
こと,名詞,7,1,こと,事,1313580,,False
言う,動詞,7,1,言う,言う,1587040,,False
戦う,動詞,6,1,戦う,戦う,1596960,,False
これ,代名詞,6,1,これ,此れ,1628530,,False
オレ,代名詞,6,1,オレ,俺,1576870,,False
たち,接尾辞,6,1,たち,達,1416220,,False
お前,代名詞,5,1,お前,御前,1002290,,False
こんな,連体詞,5,1,こんな,こんな,1004880,,False
遣る,動詞,5,1,やら,遣る,1012980,,False
兵,名詞,5,1,兵,兵,2067560,,False
聞く,動詞,4,1,聞け,聞く,1591110,,False
来る,動詞,4,1,く,来る,1547720,,False
まだ,副詞,4,1,まだ,未だ,1527110,,False
ブリー,名詞,4,1,ブリー,ブリー-bully,2445150,,False
人,名詞,4,1,人,人,1580640,,False
奴,名詞,4,1,奴,奴,1445640,,False
マスタング,名詞,4,1,マスタング,ムスタング-mustang,1132350,,False
もん,名詞,4,1,もん,物,2780660,,False
逃げる,動詞,4,1,逃げる,逃げる,1450330,,False
さん,接尾辞,3,1,さん,さん,1005340,,False
音,名詞,3,1,音,音,1576900,,False
良い,形容詞,3,1,いい,良い,1605870,,False
見る,動詞,3,1,見,見る,2256270,,False
お,接頭辞,3,1,お,御,2089690,,False
空く,動詞,3,1,すい,空く,1586265,,False
熊,名詞,3,1,熊,熊,1246850,,False
有る,動詞,3,1,あり,有る,2847612,,False
死ぬ,動詞,3,1,死な,死ぬ,1310730,,False
ボク,代名詞,3,1,ボク,僕-代名詞,1521400,,False
ここ,代名詞,3,1,ここ,此処,1288810,,False
トラック,名詞,3,1,トラック,トラック-truck,1085760,,False
イヤ,形状詞,3,1,イヤ,嫌,1587610,,False
お腹,名詞,2,1,お腹,御腹,1002610,,False
私,代名詞,2,1,私,私-代名詞,1311110,,False
複数,名詞,2,1,複数,複数,1501400,,False
行く,動詞,2,1,行く,行く,1578850,,False
どう,副詞,2,1,どう,どう,1008910,,False
生きる,動詞,2,1,生き,生きる,1378520,,False
止める,動詞,2,1,止めろ,止める,1310670,,False
考える,動詞,2,1,考え,考える,1281020,,False
置く,動詞,2,1,おく,置く,1421850,,False
油断,名詞,2,1,油断,油断,1538690,,False
気,名詞,2,1,気,気,1221520,,False
早い,形容詞,2,1,早く,早い,1404975,,False
まさか,副詞,2,1,まさか,まさか,1363540,,False
もう,副詞,2,1,もう,もう,1012480,,False
足,名詞,2,1,足,足,1404630,,False
あんた,代名詞,2,1,あんた,貴方,1979920,,False
１人,名詞,2,1,１人,一人,1576150,,False
打つ,動詞,2,1,撃つ,打つ,1408810,,False
戻る,動詞,2,1,戻っ,戻る,1535880,,False
我々,代名詞,2,1,我々,我々-代名詞,1607050,,False
有る,代名詞,2,1,あれ,彼れ,2847612,,False
実験,名詞,2,1,実験,実験,1320970,,False
待つ,動詞,2,1,待つ,待つ,1410590,,False
大佐,名詞,2,1,大佐,大佐,1413740,,False
屋,接尾辞,2,1,屋,屋,2082160,,False
土煙,名詞,2,1,土煙,土煙,1702370,,False
命,名詞,2,1,命,命,1531940,,False
呉れる,動詞,2,1,くれ,呉れる,1269130,,False
パパ,名詞,2,1,パパ,パパ-papa,1102140,,False
ホムンクルス,名詞,2,1,ホムンクルス,ホムンクルス-Homunculus,2037840,,False
助ける,動詞,2,1,助ける,助ける,1344410,,False
動く,動詞,2,1,動く,動く,1451210,,False
守る,動詞,2,1,守る,守る,1327120,,False
兵士,名詞,2,1,兵士,兵士,1506420,,False
出口,名詞,2,1,出口,出口,1338850,,False
仲間,名詞,2,1,仲間,仲間,1425790,,False
分かる,動詞,2,1,分かる,分かる,1606560,,False
余計,形状詞,2,1,余計,余計,1544090,,False
使う,動詞,2,1,使い,使う,1305990,,False
下さる,動詞,2,1,ください,下さる,1184280,,False
