sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
死ぬ,動詞,8,1,死ぬ,死ぬ,1310730,,False
この,連体詞,8,1,この,此の,1582920,,False
こと,名詞,7,1,こと,事,1313580,,False
居る,動詞,6,1,いる,居る,1577980,,False
私,代名詞,6,1,私,私-代名詞,1311110,,False
良い,形容詞,5,1,いい,良い,1605870,,False
救う,動詞,5,1,救え,救う,1229060,,False
君,代名詞,5,1,君,君-代名詞,1247250,,False
為る,動詞,5,1,する,為る,1157170,,False
まだ,副詞,4,1,まだ,未だ,1527110,,False
化け物,名詞,4,1,化け物,化け物,1601300,,False
出す,動詞,4,1,出す,出す,1338180,,False
人間,名詞,4,1,人間,人間,1366770,,False
分かる,動詞,4,1,分かり,分かる,1606560,,False
成る,動詞,4,1,なっ,成る,2846738,,False
どう,副詞,4,1,どう,どう,1008910,,False
みんな,名詞,4,1,みんな,皆,1202150,,False
来る,動詞,4,1,来,来る,1547720,,False
それ,代名詞,4,1,それ,其れ,1006970,,False
逃げる,動詞,4,1,逃げる,逃げる,1450330,,False
言う,動詞,4,1,いう,言う,1587040,,False
使う,動詞,4,1,使っ,使う,1305990,,False
体,名詞,4,1,体,体,1409140,,False
石,名詞,3,1,石,石,1382440,,False
貴様,代名詞,3,1,貴様,貴様,1223620,,False
遣る,動詞,3,1,やっ,遣る,1012980,,False
我々,代名詞,3,1,我々,我々-代名詞,1607050,,False
ブリー,名詞,3,1,ブリー,ブリー-bully,2445150,,False
人形,名詞,3,1,人形,人形,1367120,,False
元,名詞,3,1,元,元,2219590,,False
仕舞う,動詞,3,1,しまっ,仕舞う,1305380,,False
手,名詞,3,1,手,手,1327190,,False
戻る,動詞,3,1,戻る,戻る,1535880,,False
ため,名詞,3,1,ため,為,1157080,,False
足,名詞,2,1,足,足,1404630,,False
音,名詞,2,1,音,音,1576900,,False
車,名詞,2,1,車,車,1323080,,False
走る,動詞,2,1,走れ,走る,1402540,,False
１人,名詞,2,1,１人,一人,1576150,,False
相談,名詞,2,1,相談,相談,1401210,,False
知る,動詞,2,1,知る,知る,1420470,,False
行く,動詞,2,1,いける,行く,1578850,,False
自分,名詞,2,1,自分,自分,1318610,,False
その,連体詞,2,1,その,其の,1006830,,False
すべて,名詞,2,1,すべて,全て,1595730,,False
しぶとい,形容詞,2,1,しぶとい,しぶとい,1005590,,False
これ,代名詞,2,1,これ,此れ,1628530,,False
そんな,連体詞,2,1,そんな,そんな,1007130,,False
ただ,名詞,2,1,ただ,只,1538900,,False
わけ,名詞,2,1,わけ,訳,1538330,,False
カッコ,名詞,2,1,カッコ,格好,1590480,,False
目くらまし,名詞,2,1,目くらまし,目眩し,2150400,,False
ところ,名詞,2,1,ところ,所,1343100,,False
なぜ,副詞,2,1,なぜ,何故,1577120,,False
ひゅーっ,副詞,2,1,ひゅーっ,ひゅう,2523940,,False
マスタング,名詞,2,1,マスタング,ムスタング-mustang,1132350,,False
ムダ,名詞,2,1,ムダ,無駄,1530510,,False
容易い,形容詞,2,1,たやすい,容易い,1545360,,False
少し,副詞,2,1,少し,少し,1348870,,False
強い,形容詞,2,1,強い,強い,1236070,,False
心配,名詞,2,1,心配,心配,1360930,,False
よく,副詞,2,1,よく,良く,1605870,,False
打つ,動詞,2,1,撃っ,打つ,1408810,,False
やはり,副詞,2,1,やはり,矢張り,2772770,,False
もの,名詞,2,1,もの,物,1502390,,False
どこ,代名詞,2,1,どこ,何処,1577140,,False
注入,名詞,2,1,注入,注入,1426640,,False
止める,動詞,2,1,止め,止める,1310670,,False
スピード,名詞,2,1,スピード,スピード-speed,1072310,,False
奴,名詞,2,1,奴,奴,1445640,,False
場所,名詞,2,1,場所,場所,1355850,,False
付ける,動詞,2,1,つけ,付ける,1495770,,False
出来る,動詞,2,1,できる,出来る,1340450,,False
力,名詞,2,1,力,力,1554820,,False
利く,動詞,2,1,利か,利く,1591100,,False
勝つ,動詞,2,1,勝てる,勝つ,1346150,,False
命令,名詞,2,1,命令,命令,1532160,,False
呉れる,動詞,2,1,くれ,呉れる,1269130,,False
取り戻す,動詞,2,1,取り戻す,取り戻す,1326940,,False
ホムンクルス,名詞,2,1,ホムンクルス,ホムンクルス-Homunculus,2037840,,False
出る,動詞,2,1,出,出る,1896380,,False
今,名詞,2,1,今,今,1288850,,False
世界,名詞,2,1,世界,世界,1373860,,False
兵,名詞,2,1,兵,兵,2067560,,False
何,代名詞,2,1,何,何,1577100,,False
こいつ,代名詞,2,1,こいつ,此奴,1579070,,False
選ぶ,動詞,2,1,選べ,選ぶ,1588730,,False
鋼,接尾辞,1,1,鋼,鋼,1282680,,False
２人,名詞,1,1,２人,二人,1582670,,False
あそこ,代名詞,1,1,あそこ,彼処,1000320,,False
あっさり,副詞,1,1,あっさり,あっさり,1000360,,False
あなた,代名詞,1,1,あなた,貴方,1223615,,False
あんな,連体詞,1,1,あんな,あんな,1000590,,False
うち,名詞,1,1,うち,内,1191740,,False
うら,代名詞,1,1,うら,うら,1172540 | 1389415 | 1525230 | 1550190 | 2080360,,True
お,接頭辞,1,1,お,御,2089690,,False
おとり,名詞,1,1,おとり,囮,1565720,,False
ここ,代名詞,1,1,ここ,此処,1288810,,False
ことわり,名詞,1,1,ことわり,理,2412900,,False
この世,名詞,1,1,この世,此の世,2002260,,False
こりゃ,代名詞,1,1,こりゃ,此れ,2093510,,False
運転,名詞,1,1,運転,運転,1172830,,False
過ぎる,動詞,1,1,すぎ,過ぎる,1195970,,False
達成,名詞,1,1,達成,達成,1416260,,False
選択,名詞,1,1,選択,選択,1392290,,False
部族,名詞,1,1,部族,部族,1499420,,False
重量,名詞,1,1,重量,重量,1336900,,False
針,名詞,1,1,針,針,1366210,,False
銃殺,名詞,1,1,銃殺,銃殺,1337050,,False
きょうだい,名詞,1,1,きょうだい,兄弟,1249960,,False
閉鎖,名詞,1,1,閉鎖,閉鎖,1508670,,False
隊,接尾辞,1,1,隊,隊,1956610,,False
青,名詞,1,1,青,青,1381380,,False
門,名詞,1,1,門,門,1584800,,False
任せる,動詞,1,1,任せ,任せる,1467150,,False
休む,動詞,1,1,休ん,休む,1227560,,False
伴う,動詞,1,1,伴い,伴う,1478370,,False
余裕,名詞,1,1,余裕,余裕,1544590,,False
便利,名詞,1,1,便利,便利,1512610,,False
傷,名詞,1,1,傷,傷,1580260,,False
先生,名詞,1,1,先生,先生,1387990,,False
全力,名詞,1,1,全力,全力,1396390,,False
出でる,動詞,1,1,いで,出でる,2534980,,False
一,名詞,1,1,一,一,1160790,,False
下,名詞,1,1,下,下,1184140,,False
中,名詞,1,1,中,中,1620400,,False
中央,名詞,1,1,中央,中央,1423430,,False
乗せる,動詞,1,1,乗せ,乗せる,1600270,,False
乗る,動詞,1,1,乗っ,乗る,1355120,,False
了解,名詞,1,1,了解,了解,1553310,,False
人,名詞,1,1,人,人,1580640,,False
人類,名詞,1,1,人類,人類,1369530,,False
以前,名詞,1,1,以前,以前,1155150,,False
分,名詞,1,1,分,分,1502860,,False
切り捨てる,動詞,1,1,切り捨て,切り捨てる,1591810,,False
切る,動詞,1,1,きっ,切る,1384830,,False
助かる,動詞,1,1,助かっ,助かる,1344380,,False
助ける,動詞,1,1,助け,助ける,1344410,,False
動かす,動詞,1,1,動かし,動かす,1451170,,False
動く,動詞,1,1,動ける,動く,1451210,,False
協力,名詞,1,1,協力,協力,1591720,,False
原則,名詞,1,1,原則,原則,1262070,,False
反則,名詞,1,1,反則,反則,1480650,,False
合流,名詞,1,1,合流,合流,1285390,,False
同じ,連体詞,1,1,同じ,同じ,1451750,,False
同類,名詞,1,1,同類,同類,1453590,,False
向かう,動詞,1,1,向かっ,向かう,1604800,,False
向こう,名詞,1,1,向こう,向こう,1277140,,False
君,接尾辞,1,1,君,君,1247250,,False
吸収,名詞,1,1,吸収,吸収,1228330,,False
唾液,名詞,1,1,唾液,唾液,1408420,,False
喉笛,名詞,1,1,喉笛,喉笛,1277360,,False
嗅覚,名詞,1,1,嗅覚,嗅覚,1565490,,False
噛ます,動詞,1,1,かまし,噛ます,2085410,,False
噛み切る,動詞,1,1,噛み切っ,噛み切る,1209200,,False
困る,動詞,1,1,困り,困る,1289590,,False
土煙,名詞,1,1,土煙,土煙,1702370,,False
変,名詞,1,1,変,変,1510640,,False
変える,動詞,1,1,変える,変える,1510650,,False
外れる,動詞,1,1,外れ,外れる,1203310,,False
外装,名詞,1,1,外装,外装,1806840,,False
大群,名詞,1,1,大群,大群,1413520,,False
夫人,名詞,1,1,夫人,夫人,1496540,,False
奏でる,動詞,1,1,奏でる,奏でる,1399470,,False
姉弟,名詞,1,1,姉弟,姉弟,1307680,,False
存在,名詞,1,1,存在,存在,1406150,,False
実現,名詞,1,1,実現,実現,1321020,,False
家,接尾辞,1,1,家,家,1191730,,False
家族,名詞,1,1,家族,家族,1192150,,False
セントラル,名詞,1,1,セントラル,セントラル-central,2003220,,False
ダメ,名詞,1,1,ダメ,駄目,1409110,,False
チクショー,名詞,1,1,チクショー,畜生,1422200,,False
トラック,名詞,1,1,トラック,トラック-truck,1085760,,False
ドアホ,名詞,1,1,ドアホ,,2070740,,False
ドクター,名詞,1,1,ドクター,ドクター-doctor,1088140,,False
バカ,名詞,1,1,バカ,馬鹿,1601260,,False
フッ,副詞,1,1,フッ,ふっ,2558020,,False
ヘタレ,名詞,1,1,ヘタレ,へたれ,2082810,,False
ペッ,副詞,1,1,ペッ,ぺっ,2738610,,False
マシ,形状詞,1,1,マシ,増し,1611600,,False
ルート,名詞,1,1,ルート,ルート-route,1143680,,False
寝る,動詞,1,1,寝る,寝る,1360010,,False
対処,名詞,1,1,対処,対処,1410070,,False
少将,名詞,1,1,少将,少将,1349040,,False
屈強,名詞,1,1,屈強,屈強,1592230,,False
屈辱,名詞,1,1,屈辱,屈辱,1246600,,False
屋,接尾辞,1,1,屋,屋,2082160,,False
屋敷,名詞,1,1,屋敷,屋敷,1605460,,False
市内,名詞,1,1,市内,市内,1308640,,False
常々,副詞,1,1,常々,常々,1598050,,False
引っ掛ける,動詞,1,1,引っかけ,引っ掛ける,1169360,,False
当たる,動詞,1,1,当たっ,当たる,1448810,,False
待ち構える,動詞,1,1,待ち構え,待ち構える,1410500,,False
後ろ,名詞,1,1,後ろ,後ろ,1269410,,False
得る,動詞,1,1,得る,得る,1454500,,False
復讐,名詞,1,1,復讐,復讐,1500840,,False
心,名詞,1,1,心,心,1360480,,False
必要,名詞,1,1,必要,必要,1487660,,False
思う,動詞,1,1,思う,思う,1589350,,False
怠惰,名詞,1,1,怠惰,怠惰,1410730,,False
恐らく,副詞,1,1,恐らく,恐らく,1236650,,False
悲願,名詞,1,1,悲願,悲願,1483260,,False
意志,名詞,1,1,意志,意志,1156560,,False
態度,名詞,1,1,態度,態度,1410780,,False
我が,連体詞,1,1,我が,我が,1606620,,False
我輩,代名詞,1,1,我輩,我が輩,1606640,,False
戦う,動詞,1,1,戦う,戦う,1596960,,False
手続き,名詞,1,1,手続き,手続き,1598350,,False
打ち殺す,動詞,1,1,撃ち殺し,打ち殺す,1113360,,False
捨てる,動詞,1,1,捨てろ,捨てる,1322320,,False
掟,名詞,1,1,掟,掟,1567460,,False
敵襲,名詞,1,1,敵襲,敵襲,1735240,,False
新た,形状詞,1,1,新た,新た,1361510,,False
旅,名詞,1,1,旅,旅,1553120,,False
早い,形容詞,1,1,速,早い,1404975,,False
暴く,動詞,1,1,発か,暴く,1519330,,False
曝け出す,動詞,1,1,さらけ出す,曝け出す,1005300,,False
