sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
居る,動詞,15,1,いる,居る,1577980,,False
マスタング,名詞,14,1,マスタング,ムスタング-mustang,1132350,,False
大佐,名詞,14,1,大佐,大佐,1413740,,False
夫人,名詞,13,1,夫人,夫人,1496540,,False
この,連体詞,12,1,この,此の,1582920,,False
私,代名詞,10,1,私,私-代名詞,1311110,,False
こと,名詞,10,1,こと,事,1313580,,False
成る,動詞,10,1,なっ,成る,2846738,,False
言う,動詞,8,1,言わ,言う,1587040,,False
ヒューズ,名詞,8,1,ヒューズ,ヒューズ-Hughes,1103990,,False
遣る,動詞,8,1,やっ,遣る,1012980,,False
男,名詞,8,1,男,男,1419990,,False
貴様,代名詞,8,1,貴様,貴様,1223620,,False
行く,動詞,7,1,行っ,行く,1578850,,False
ホムンクルス,名詞,7,1,ホムンクルス,ホムンクルス-Homunculus,2037840,,False
分かる,動詞,7,1,分かり,分かる,1606560,,False
中尉,名詞,7,1,中尉,中尉,1423370,,False
良い,形容詞,6,1,いい,良い,1605870,,False
その,連体詞,6,1,その,其の,1006830,,False
スカ,名詞,6,1,スカ,スカ-ska,2115020,,False
傷,名詞,6,1,傷,傷,1580260,,False
殺す,動詞,6,1,殺そう,殺す,1299030,,False
ここ,代名詞,6,1,ここ,此処,1288810,,False
クーデター,名詞,5,1,クーデター,クーデター-coup d'Etat,1043270,,False
ラジオ,名詞,5,1,ラジオ,ラジオ-radio,1138860,,False
どう,副詞,5,1,どう,どう,1008910,,False
バカ,名詞,5,1,バカ,馬鹿,1601260,,False
奴,名詞,4,1,奴,奴,1445640,,False
有る,動詞,4,1,ある,有る,1000580,,False
敵,名詞,4,1,敵,敵,1582000,,False
正義,名詞,4,1,正義,正義,1376910,,False
為る,動詞,4,1,する,為る,1157170,,False
死ぬ,動詞,4,1,死ん,死ぬ,1310730,,False
見る,動詞,4,1,見,見る,2256270,,False
答える,動詞,4,1,答え,答える,1449530,,False
閣下,名詞,4,1,閣下,閣下,1206280,,False
人,名詞,4,1,人,人,1580640,,False
呉れる,動詞,4,1,くれる,呉れる,1269130,,False
大丈夫,形状詞,4,1,大丈夫,大丈夫,1414150,,False
中央,名詞,4,1,中央,チュウオウ,1423430,,False
セントラル,名詞,3,1,セントラル,セントラル-central,2003220,,False
キャピタル,名詞,3,1,キャピタル,キャピタル-capital,2062330,,False
放送,名詞,3,1,放送,放送,1516750,,False
列車,名詞,3,1,列車,列車,1558370,,False
命令,名詞,3,1,命令,命令,1532160,,False
国,名詞,3,1,国,国,1592250,,False
こいつ,代名詞,3,1,こいつ,此奴,1579070,,False
乗る,動詞,3,1,乗っ,乗る,1355120,,False
思う,動詞,3,1,思えん,思う,1589350,,False
愚か者,名詞,3,1,愚か者,愚か者,1828720,,False
待つ,動詞,3,1,待て,待つ,1410590,,False
貰う,動詞,3,1,もらわ,貰う,1535910,,False
人間,名詞,3,1,人間,人間,1366770,,False
まだ,副詞,3,1,まだ,未だ,1527110,,False
爆破,名詞,3,1,爆破,爆破,1475900,,False
こっち,代名詞,3,1,こっち,此方,1004500,,False
