sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
私,代名詞,21,1,私,私-代名詞,1311110,,False
人間,名詞,15,1,人間,人間,1366770,,False
この,連体詞,10,1,この,此の,1582920,,False
こと,名詞,8,1,こと,事,1313580,,False
出来る,動詞,8,1,でき,出来る,1340450,,False
男,名詞,7,1,男,男,1419990,,False
殺す,動詞,7,1,殺さ,殺す,1299030,,False
大佐,名詞,7,1,大佐,大佐,1413740,,False
居る,動詞,6,1,いる,居る,1577980,,False
為る,動詞,6,1,する,為る,1157170,,False
手,名詞,5,1,手,手,1327190,,False
スカ,名詞,5,1,スカ,スカ-ska,2115020,,False
そいつ,代名詞,5,1,そいつ,其奴,1006600,,False
お前,代名詞,5,1,お前,御前,1002290,,False
遣る,動詞,5,1,やら,遣る,1012980,,False
傷,名詞,5,1,傷,傷,1580260,,False
終わる,動詞,5,1,終わっ,終わる,1589600,,False
それ,代名詞,5,1,それ,其れ,1006970,,False
打つ,動詞,5,1,撃ち,打つ,1408810,,False
さん,接尾辞,4,1,さん,さん,1005340,,False
誰,代名詞,4,1,誰,誰,1416830,,False
イヤ,形状詞,4,1,イヤ,嫌,1587610,,False
成る,動詞,4,1,なっ,成る,2846738,,False
あと,名詞,4,1,あと,後,1269320,,False
あなた,代名詞,4,1,あなた,貴方,1223615,,False
クソ,接頭辞,4,1,クソ,糞,1504900,,False
下さる,動詞,4,1,ください,下さる,1184280,,False
屈辱,名詞,4,1,屈辱,屈辱,1246600,,False
ここ,代名詞,4,1,ここ,此処,1288810,,False
国,名詞,3,1,国,国,1592250,,False
待つ,動詞,3,1,待て,待つ,1410590,,False
嫉妬,名詞,3,1,嫉妬,嫉妬,1320280,,False
寄越す,動詞,3,1,よこせ,寄越す,1013140,,False
今,名詞,3,1,今,今,1288850,,False
分かる,動詞,3,1,分かっ,分かる,1606560,,False
君,代名詞,3,1,君,君-代名詞,1247250,,False
中尉,名詞,3,1,中尉,中尉,1423370,,False
呉れる,動詞,3,1,くれる,呉れる,1269130,,False
少佐,名詞,3,1,少佐,少佐,1349000,,False
マネ,名詞,3,1,マネ,真似,1363740,,False
焼く,動詞,3,1,焼い,焼く,1350600,,False
片付ける,動詞,3,1,片づける,片付ける,1511790,,False
ガキ,名詞,3,1,ガキ,餓鬼,1197980,,False
憎しみ,名詞,3,1,憎しみ,憎しみ,1403400,,False
命,名詞,3,1,命,命,1531940,,False
良い,形容詞,3,1,いい,良い,1605870,,False
止める,動詞,3,1,やめ,止める,1310680,,False
来る,動詞,3,1,来,来る,1547720,,False
