sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
為る,動詞,18,1,し,為る,1157170,,False
私,代名詞,13,1,私,私-代名詞,1311110,,False
居る,動詞,10,1,いる,居る,1577980,,False
行く,動詞,8,1,行け,行く,1578850,,False
兵,名詞,8,1,兵,兵,2067560,,False
お前,代名詞,6,1,お前,御前,1002290,,False
隊,接尾辞,6,1,隊,隊,1956610,,False
中央,名詞,6,1,中央,チュウオウ,1423430,,False
奴,名詞,6,1,奴,奴,1445640,,False
死ぬ,動詞,6,1,死な,死ぬ,1310730,,False
制圧,名詞,6,1,制圧,制圧,1374640,,False
本部,名詞,6,1,本部,本部,1523170,,False
作戦,名詞,6,1,作戦,作戦,1297800,,False
人形,名詞,5,1,人形,人形,1367120,,False
お,接頭辞,5,1,お,御,2826528,,False
言う,動詞,5,1,言う,言う,1587040,,False
来る,動詞,5,1,来,来る,1547720,,False
こと,名詞,5,1,こと,事,1313580,,False
我々,代名詞,5,1,我々,我々-代名詞,1607050,,False
どこ,代名詞,5,1,どこ,何処,1577140,,False
オレ,代名詞,4,1,オレ,俺,1576870,,False
閣下,名詞,4,1,閣下,閣下,1206280,,False
さん,接尾辞,4,1,さん,さん,1005340,,False
人間,名詞,4,1,人間,人間,1366770,,False
聞く,動詞,4,1,聞け,聞く,1591110,,False
成る,動詞,4,1,なっ,成る,2846738,,False
この,連体詞,4,1,この,此の,1582920,,False
少将,名詞,4,1,少将,少将,1349040,,False
作る,動詞,3,1,作っ,作る,1597890,,False
もう,副詞,3,1,もう,もう,1012480,,False
倍,名詞,3,1,倍,倍,1473230,,False
フン,名詞,3,1,フン,糞,1632520,,False
取る,動詞,3,1,取る,取る,1326980,,False
逃げる,動詞,3,1,逃げろ,逃げる,1450330,,False
傷,名詞,3,1,傷,傷,1580260,,False
正門,名詞,3,1,正門,正門,1378100,,False
遣る,動詞,3,1,やっ,遣る,1012980,,False
准将,名詞,3,1,准将,准将,1341330,,False
了解,名詞,3,1,了解,了解,1553310,,False
人,名詞,3,1,人,人,1580640,,False
呉れる,動詞,3,1,くれ,呉れる,1269130,,False
まだ,副詞,3,1,まだ,未だ,1527110,,False
下さる,動詞,3,1,ください,下さる,1184280,,False
少佐,名詞,3,1,少佐,少佐,1349000,,False
感情,名詞,3,1,感情,感情,1212410,,False
拘束,名詞,3,1,拘束,拘束,1279000,,False
有る,動詞,3,1,ある,有る,1000580,,False
話,名詞,3,1,話,話,1600900,,False
軍,名詞,3,1,軍,軍,1247660,,False
あなた,代名詞,3,1,あなた,貴方,1223615,,False
こんな,連体詞,3,1,こんな,こんな,1004880,,False
大佐,名詞,2,1,大佐,大佐,1413740,,False
中,名詞,2,1,中,中,1423310,,False
中,接尾辞,2,1,中,中,1423310,,False
もの,名詞,2,1,もの,物,1502390,,False
内,接尾辞,2,1,内,内,1457730,,False
大切,形状詞,2,1,大切,大切,1414340,,False
ら,接尾辞,2,1,ら,等,2067770,,False
わけ,名詞,2,1,わけ,訳,1538330,,False
門,名詞,2,1,門,門,1584800,,False
開ける,動詞,2,1,開ける,開ける,1202450,,False
アイ,名詞,2,1,アイ,アイ-eye,1549400 | 1980120 | 2594070,,True
占拠,名詞,2,1,占拠,占拠,1389480,,False
こっち,代名詞,2,1,こっち,此方,1004500,,False
この世,名詞,2,1,この世,此の世,2002260,,False
ウソ,名詞,2,1,ウソ,嘘,1172400,,False
喧しい,形容詞,2,1,やかましい,喧しい,1211380,,False
感謝,名詞,2,1,感謝,感謝,1212380,,False
大丈夫,形状詞,2,1,大丈夫,大丈夫,1414150,,False
生きる,動詞,2,1,生き,生きる,1378520,,False
戦う,動詞,2,1,戦っ,戦う,1596960,,False
戦車,名詞,2,1,戦車,戦車,1390270,,False
手伝う,動詞,2,1,手伝い,手伝う,1328190,,False
打つ,動詞,2,1,撃た,打つ,1408810,,False
兄弟,名詞,2,1,兄弟,兄弟,1249960,,False
指揮,名詞,2,1,指揮,指揮,1309700,,False
敷地,名詞,2,1,敷地,敷地,1497060,,False
旦那,名詞,2,1,旦那,旦那,1418410,,False
早い,形容詞,2,1,早く,早い,1404975,,False
勝つ,動詞,2,1,勝てる,勝つ,1346150,,False
本当,名詞,2,1,本当,本当,1523060,,False
場所,名詞,2,1,場所,場所,1355850,,False
ちょっと,副詞,2,1,ちょっと,一寸,1163940,,False
止める,動詞,2,1,やめ,止める,1310680,,False
何,代名詞,2,1,何,何,1577100,,False
たち,接尾辞,2,1,たち,達,1416220,,False
殲滅,名詞,2,1,殲滅,殲滅,1568490,,False
殺す,動詞,2,1,殺せ,殺す,1299030,,False
気,名詞,2,1,気,気,1221520,,False
家族,名詞,2,1,家族,家族,1192150,,False
なぜ,副詞,2,1,なぜ,何故,1577120,,False
男,名詞,2,1,男,男,1419990,,False
知る,動詞,2,1,知っ,知る,1420470,,False
知れる,動詞,2,1,しれ,知れる,1420490,,False
礼,名詞,2,1,礼,礼,1557450,,False
そんな,連体詞,2,1,そんな,そんな,1007130,,False
置く,動詞,2,1,おく,置く,1421850,,False
者,名詞,2,1,者,者,2153760,,False
動く,動詞,2,1,動く,動く,1451210,,False
背負う,動詞,2,1,背負っ,背負う,1472860,,False
スカ,名詞,2,1,スカ,スカ-ska,2115020,,False
見る,動詞,2,1,見,見る,2256270,,False
休む,動詞,2,1,休む,休む,1227560,,False
貰う,動詞,2,1,もらう,貰う,1535910,,False
名,名詞,2,1,名,名,1531330,,False
ずいぶん,副詞,2,1,ずいぶん,随分,1372800,,False
離れる,動詞,2,1,離れ,離れる,1550840,,False
頼む,動詞,2,1,頼ん,頼む,1548370,,False
大人,名詞,2,1,大人,大人,1414170,,False
うち,名詞,2,1,うち,内,1191740,,False
完全,形状詞,2,1,完全,完全,1211510,,False
こちら,代名詞,2,1,こちら,此方,1004500,,False
ここ,代名詞,2,1,ここ,此処,1288810,,False
よく,副詞,1,1,よく,良く,1605870,,False
よろしく,副詞,1,1,よろしく,宜しく,1224890,,False
イエロー,名詞,1,1,イエロー,イエロー-yellow,1021040,,False
エントランス,名詞,1,1,エントランス,エントランス-entrance,1031160,,False
ガリガリ,形状詞,1,1,ガリガリ,がりがり,1197000,,False
キング,名詞,1,1,キング,キング-king,1042700,,False
ケンカ,名詞,1,1,ケンカ,喧嘩,1257040,,False
コミュニティ,名詞,1,1,コミュニティ,コミュニティー-community,1051040,,False
サー,名詞,1,1,サー,サー-Sir,2080430,,False
タイヤ,名詞,1,1,タイヤ,タイヤ-tire,1076120,,False
ダメ,名詞,1,1,ダメ,駄目,1409110,,False
チッ,副詞,1,1,チッ,ちっ,1077410,,False
バカ,名詞,1,1,バカ,馬鹿,1601260,,False
フウ,名詞,1,1,フウ,フウ,2564680,,False
フッ,副詞,1,1,フッ,ふっ,2558020,,False
フラスコ,名詞,1,1,フラスコ,フラスコ-frasco,1111290,,False
ブラック,名詞,1,1,ブラック,ブラック-black,1113780,,False
ブルー,名詞,1,1,ブルー,ブルー-blue,1114310,,False
ホムンクルス,名詞,1,1,ホムンクルス,ホムンクルス-Homunculus,2037840,,False
ホワイト,名詞,1,1,ホワイト,ホワイト-white,1122990,,False
マネ,名詞,1,1,マネ,真似,1363740,,False
モヒカン,名詞,1,1,モヒカン,モヒカン,2756130,,False
一体,名詞,1,1,一体,一体,1164510,,False
一般,名詞,1,1,一般,一般,1165790,,False
上げる,動詞,1,1,上げろ,上げる,1352320,,False
下,名詞,1,1,下,下,1184140,,False
不死,名詞,1,1,不死,不死,1492590,,False
中尉,名詞,1,1,中尉,中尉,1423370,,False
主婦,名詞,1,1,主婦,主婦,1326160,,False
乗り切る,動詞,1,1,乗り切れ,乗り切る,1354970,,False
人,接尾辞,1,1,人,人,1580640,,False
人型,名詞,1,1,人型,人形,2856519,,False
人柱,名詞,1,1,人柱,人柱,1368810,,False
今,名詞,1,1,今,今,1288850,,False
会う,動詞,1,1,遭っ,会う,1198180,,False
何者,名詞,1,1,何者,何者,1188980,,False
余計,形状詞,1,1,余計,余計,1544090,,False
倒す,動詞,1,1,倒し,倒す,1445770,,False
停止,名詞,1,1,停止,停止,1434920,,False
傲慢,名詞,1,1,傲慢,傲慢,1563960,,False
僕,代名詞,1,1,僕,僕-代名詞,1521400,,False
元,名詞,1,1,元,元,2219590,,False
全,接頭辞,1,1,全,全,1394770,,False
全力,名詞,1,1,全力,全力,1396390,,False
兵士,名詞,1,1,兵士,兵士,1506420,,False
再会,名詞,1,1,再会,再会,1292390,,False
出す,動詞,1,1,出し,出す,1338180,,False
出る,動詞,1,1,出,出る,1896380,,False
出来る,動詞,1,1,できる,出来る,1340450,,False
出番,名詞,1,1,出番,出番,1340170,,False
切り離す,動詞,1,1,切り離し,切り離す,1384760,,False
剣,名詞,1,1,剣,剣,1256750,,False
力,名詞,1,1,力,力,1554820,,False
助っ人,名詞,1,1,助っ人,助っ人,1344500,,False
助太刀,名詞,1,1,助太刀,助太刀,1344730,,False
勇気,名詞,1,1,勇気,勇気,1539740,,False
勝利,名詞,1,1,勝利,勝利,1346240,,False
化け物,名詞,1,1,化け物,化け物,1601300,,False
北門,名詞,1,1,北門,北門,1521350,,False
危ない,形容詞,1,1,危ない,危ない,1218380,,False
危機,名詞,1,1,危機,危機,1218450,,False
即刻,名詞,1,1,即刻,即刻,1404170,,False
収容,名詞,1,1,収容,収容,1330880,,False
取り戻す,動詞,1,1,取り戻せ,取り戻す,1326940,,False
可笑しい,形容詞,1,1,おっかしい,可笑しい,1190860,,False
含む,動詞,1,1,含む,含む,1216880,,False
呼ぶ,動詞,1,1,呼ば,呼ぶ,1266440,,False
命令,名詞,1,1,命令,命令,1532160,,False
国土,名詞,1,1,国土,国土,1286890,,False
地下,名詞,1,1,地下,地下,1420840,,False
執念,名詞,1,1,執念,執念,1319690,,False
大尉,名詞,1,1,大尉,大尉,1413030,,False
大量,名詞,1,1,大量,大量,1415190,,False
女,名詞,1,1,女,女,1344930,,False
女性,名詞,1,1,女性,女性,1345250,,False
始まる,動詞,1,1,始まっ,始まる,1307500,,False
嫉妬,名詞,1,1,嫉妬,嫉妬,1320280,,False
存ずる,動詞,1,1,存ぜ,存ずる,1983710,,False
存在,名詞,1,1,存在,存在,1406150,,False
完了,名詞,1,1,完了,完了,1211630,,False
寝る,動詞,1,1,寝,寝る,1360010,,False
とおり,名詞,1,1,とおり,通り,1432920,,False
将軍,名詞,1,1,将軍,将軍,1347680,,False
少し,副詞,1,1,少し,少し,1348870,,False
少ない,形容詞,1,1,少なく,少ない,1348910,,False
陣,名詞,1,1,陣,陣,1956490,,False
あと,名詞,1,1,あと,後,1269320,,False
３,名詞,1,1,３,,1579350,,False
嵌まる,動詞,1,1,はまっ,嵌まる,1601030,,False
帰還,名詞,1,1,帰還,帰還,1221300,,False
座る,動詞,1,1,座る,座る,1291800,,False
引き籠もる,動詞,1,1,引きこもる,引き籠もる,1169230,,False
引け,名詞,1,1,引け,引け,1626750,,False
引っ張る,動詞,1,1,引っ張り,引っ張る,1601900,,False
強い,形容詞,1,1,強く,強い,1236070,,False
強欲,名詞,1,1,強欲,強欲,1236590,,False
当方,名詞,1,1,当方,当方,1449240,,False
待機,名詞,1,1,待機,待機,1410600,,False
御仁,名詞,1,1,御仁,御仁,1877960,,False
思う,動詞,1,1,思う,思う,1589350,,False
怠惰,名詞,1,1,怠惰,怠惰,1410730,,False
恐怖,名詞,1,1,恐怖,恐怖,1236750,,False
感動,名詞,1,1,感動,感動,1212570,,False
あっち,代名詞,1,1,あっち,彼方,1483185,,False
迷子,名詞,1,1,迷子,迷子,1532750,,False
憤怒,名詞,1,1,憤怒,憤怒,1585730,,False
通路,名詞,1,1,通路,通路,1433600,,False
過ぎる,動詞,1,1,過ぎ,過ぎる,1195970,,False
我輩,代名詞,1,1,我輩,我が輩,1606640,,False
道,名詞,1,1,道,道,1454080,,False
戦場,名詞,1,1,戦場,戦場,1390320,,False
