sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
為る,動詞,11,1,し,為る,1157170,,False
居る,動詞,10,1,いる,居る,1577980,,False
お前,代名詞,9,1,お前,御前,1002290,,False
オレ,代名詞,8,1,オレ,俺,1576870,,False
成る,動詞,7,1,なる,成る,2846738,,False
中,名詞,7,1,中,中,1423310,,False
呉れる,動詞,5,1,くれ,呉れる,1269130,,False
体,名詞,5,1,体,体,1409150,,False
兵,名詞,5,1,兵,兵,2067560,,False
生きる,動詞,5,1,生き,生きる,1378520,,False
こと,名詞,5,1,こと,事,1313580,,False
たち,接尾辞,5,1,たち,達,1416220,,False
入る,動詞,4,1,入る,入る,1465590,,False
門,名詞,4,1,門,門,1584800,,False
閣下,名詞,4,1,閣下,閣下,1206280,,False
来る,動詞,4,1,来,来る,1547720,,False
大尉,名詞,4,1,大尉,大尉,1413030,,False
有る,動詞,4,1,ある,有る,1000580,,False
死ぬ,動詞,4,1,死ね,死ぬ,1310730,,False
開ける,動詞,4,1,開け,開ける,1202450,,False
男,名詞,4,1,男,男,1419990,,False
良い,形容詞,4,1,よかっ,良い,1605870,,False
行く,動詞,4,1,行く,行く,1578850,,False
中央,名詞,4,1,中央,中央,1423430,,False
遣る,動詞,3,1,やっ,遣る,1012980,,False
分かる,動詞,3,1,分かる,分かる,1606560,,False
君,代名詞,3,1,君,君-代名詞,1247250,,False
返る,動詞,3,1,帰る,返る,1512150,,False
大丈夫,形状詞,3,1,大丈夫,大丈夫,1414150,,False
対話,名詞,3,1,対話,対話,1410300,,False
思う,動詞,3,1,思う,思う,1589350,,False
無事,形状詞,3,1,無事,無事,1530030,,False
戦う,動詞,3,1,戦える,戦う,1596960,,False
知る,動詞,3,1,知れ,知る,1420470,,False
この,連体詞,3,1,この,此の,1582920,,False
自分,名詞,3,1,自分,自分,1318610,,False
言う,動詞,3,1,言っ,言う,1587040,,False
話,名詞,3,1,話,話,1600900,,False
貰う,動詞,3,1,もらう,貰う,1535910,,False
ここ,代名詞,3,1,ここ,此処,1288810,,False
打つ,動詞,3,1,撃て,打つ,1408810,,False
側,名詞,2,1,側,側,1581310,,False
中,接尾辞,2,1,中,中,1423310,,False
出す,動詞,2,1,だし,出す,1338180,,False
主,名詞,2,1,主,主,2427550,,False
協力,名詞,2,1,協力,協力,1591720,,False
慣れる,動詞,2,1,なれ,慣れる,1212670,,False
ところ,名詞,2,1,ところ,所,1343100,,False
我が,連体詞,2,1,我が,我が,1606620,,False
あるじ,名詞,2,1,あるじ,主,2427550,,False
戻る,動詞,2,1,戻っ,戻る,1535880,,False
大佐,名詞,2,1,大佐,大佐,1413740,,False
近衛,名詞,2,1,近衛,近衛,1630300,,False
少将,名詞,2,1,少将,少将,1349040,,False
正門,名詞,2,1,正門,正門,1378100,,False
武器,名詞,2,1,武器,武器,1498460,,False
逃げる,動詞,2,1,逃げ,逃げる,1450330,,False
気,名詞,2,1,気,気,1221520,,False
水,名詞,2,1,水,水,1371260,,False
どこ,代名詞,2,1,どこ,何処,1577140,,False
ひい,接頭辞,2,1,ひい,曾,1581200 | 1688890 | 2821500,,True
人形,名詞,2,1,人形,人形,1367120,,False
フラスコ,名詞,2,1,フラスコ,フラスコ-frasco,1111290,,False
まだ,副詞,2,1,まだ,未だ,1527110,,False
ホムンクルス,名詞,2,1,ホムンクルス,ホムンクルス-Homunculus,2037840,,False
私,代名詞,2,1,私,私-代名詞,1311110,,False
どう,副詞,2,1,どう,どう,1008910,,False
やばい,形容詞,2,1,やばい,やばい,1012840,,False
兵力,名詞,2,1,兵力,兵力,1506780,,False
若,名詞,2,1,若,ワカ,2193250,,False
付ける,動詞,2,1,つけ,付ける,1495770,,False
見下す,動詞,2,1,見下し,見下す,1259360,,False
マスタング,名詞,2,1,マスタング,ムスタング-mustang,1132350,,False
夫人,名詞,2,1,夫人,夫人,1496540,,False
助ける,動詞,2,1,助け,助ける,1344410,,False
