sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
居る,動詞,12,1,いる,居る,1577980,,False
成る,動詞,10,1,なっ,成る,2846738,,False
この,連体詞,10,1,この,此の,1582920,,False
為る,動詞,7,1,する,為る,1157170,,False
来る,動詞,6,1,来い,来る,1547720,,False
我々,代名詞,5,1,我々,我々-代名詞,1607050,,False
分かる,動詞,5,1,分かっ,分かる,1606560,,False
こと,名詞,5,1,こと,事,1313580,,False
号,名詞,5,1,号,号,1284220,,False
自分,名詞,5,1,自分,自分,1318610,,False
目,名詞,4,1,目,目,1604890,,False
言う,動詞,4,1,言う,言う,1587040,,False
良い,形容詞,4,1,いい,良い,1605870,,False
軍人,名詞,4,1,軍人,軍人,1248540,,False
男,名詞,4,1,男,男,1419990,,False
真理,名詞,4,1,真理,真理,1364400,,False
王,名詞,4,1,王,王,1629200,,False
思う,動詞,4,1,思う,思う,1589350,,False
中央,名詞,4,1,中央,チュウオウ,1423430,,False
キング,名詞,4,1,キング,キング-king,1042700,,False
ここ,代名詞,4,1,ここ,此処,1288810,,False
もの,名詞,4,1,もの,物,1502390,,False
扉,名詞,4,1,扉,扉,1483380,,False
兵,名詞,4,1,兵,兵,2067560,,False
有る,動詞,4,1,ある,有る,1000580,,False
民,名詞,3,1,民,民,1528570,,False
話,名詞,3,1,話,話,1600900,,False
犠牲,名詞,3,1,犠牲,犠牲,1225450,,False
知る,動詞,3,1,知る,知る,1420470,,False
者,名詞,3,1,者,者,2153760,,False
脱出,名詞,3,1,脱出,脱出,1416520,,False
たち,接尾辞,3,1,たち,達,1416220,,False
若い,形容詞,3,1,若,若い,1324300,,False
私,代名詞,3,1,私,私-代名詞,1311110,,False
君,接尾辞,3,1,君,君,1247250,,False
少し,副詞,3,1,少し,少し,1348870,,False
持つ,動詞,3,1,持っ,持つ,1315720,,False
時,名詞,3,1,時,時,1315840,,False
敵,名詞,3,1,敵,敵,1582000,,False
戦う,動詞,3,1,戦え,戦う,1596960,,False
捨てる,動詞,3,1,捨て,捨てる,1322320,,False
作る,動詞,3,1,作ら,作る,1597890,,False
フッ,副詞,3,1,フッ,ふっ,2558020,,False
中,名詞,3,1,中,中,1423310,,False
信ずる,動詞,3,1,信じ,信ずる,1359070,,False
世界,名詞,3,1,世界,世界,1373860,,False
こんな,連体詞,3,1,こんな,こんな,1004880,,False
違う,動詞,3,1,違う,違う,1158880,,False
錬成,名詞,3,1,錬成,錬成,1559980,,False
あれ,代名詞,3,1,あれ,彼れ,1000580,,False
今,名詞,2,1,今,今,1288850,,False
さん,接尾辞,2,1,さん,さん,1005340,,False
人間,名詞,2,1,人間,人間,1366770,,False
同じ,形状詞,2,1,同じ,同じ,1451750,,False
魂,名詞,2,1,魂,魂,1579170,,False
命,名詞,2,1,命,命,1531940,,False
大佐,名詞,2,1,大佐,大佐,1413740,,False
マスタング,名詞,2,1,マスタング,ムスタング-mustang,1132350,,False
上官,名詞,2,1,上官,上官,1352850,,False
地獄,名詞,2,1,地獄,地獄,1421090,,False
地下,名詞,2,1,地下,地下,1420840,,False
集める,動詞,2,1,集めよう,集める,1333560,,False
作戦,名詞,2,1,作戦,作戦,1297800,,False
体,名詞,2,1,体,体,1409140,,False
お,接頭辞,2,1,お,御,2089690,,False
会う,動詞,2,1,会い,会う,1198180,,False
いとま,名詞,2,1,いとま,暇,2858986,,False
戦い,名詞,2,1,戦い,戦い,1596950,,False
国,名詞,2,1,国,国,1592250,,False
オレ,代名詞,2,1,オレ,俺,1576870,,False
全,接頭辞,2,1,全,全,1394770,,False
呉れる,動詞,2,1,くれる,呉れる,1269130,,False
か所,名詞,2,1,か所,箇所,1590250,,False
己,代名詞,2,1,己,己,1266890,,False
人体,名詞,2,1,人体,人体,1368670,,False
付き合う,動詞,2,1,付き合っ,付き合う,1597790,,False
初めて,副詞,2,1,初めて,初めて,1342550,,False
思い,名詞,2,1,思い,思い,1589320,,False
掘る,動詞,2,1,掘る,掘る,1246690,,False
払う,動詞,2,1,払っ,払う,1501620,,False
所,名詞,2,1,所,所,1343100,,False
本部,名詞,2,1,本部,本部,1523170,,False
暇,名詞,2,1,暇,暇,2858986,,False
死ぬ,動詞,2,1,死ん,死ぬ,1310730,,False
正門,名詞,2,1,正門,正門,1378100,,False
みたい,形状詞,2,1,みたい,みたい,2016410,,False
まだ,副詞,2,1,まだ,未だ,1527110,,False
どう,副詞,2,1,どう,どう,1008910,,False
とこ,名詞,2,1,とこ,所,1343100,,False
為さる,動詞,2,1,なさい,為さる,1157090,,False
永遠,名詞,2,1,永遠,永遠,1174070,,False
相手,名詞,2,1,相手,相手,1401000,,False
用,接尾辞,2,1,用,用,1546200,,False
生まれる,動詞,2,1,生まれ,生まれる,1378690,,False
