sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
大尉,名詞,14,1,大尉,大尉,1413030,,False
為る,動詞,13,1,する,為る,1157170,,False
この,連体詞,9,1,この,此の,1582920,,False
扉,名詞,9,1,扉,扉,1483380,,False
呉れる,動詞,9,1,くれ,呉れる,1269130,,False
成る,動詞,8,1,なっ,成る,2846738,,False
死ぬ,動詞,8,1,死ぬ,死ぬ,1310730,,False
錬成,名詞,7,1,錬成,錬成,1559980,,False
開ける,動詞,7,1,開け,開ける,1202450,,False
バカ,名詞,7,1,バカ,馬鹿,1601260,,False
人体,名詞,6,1,人体,人体,1368670,,False
遣る,動詞,6,1,やっ,遣る,1012980,,False
アル,名詞,6,1,アル,アル,2835284,,False
女,名詞,6,1,女,女,1344930,,False
私,代名詞,5,1,私,私-代名詞,1311110,,False
有る,動詞,5,1,ある,有る,1000580,,False
言う,動詞,5,1,言っ,言う,1587040,,False
ホムンクルス,名詞,5,1,ホムンクルス,ホムンクルス-Homunculus,2037840,,False
お前,代名詞,5,1,お前,御前,1002290,,False
君,代名詞,5,1,君,君-代名詞,1247250,,False
君,接尾辞,5,1,君,君,1247250,,False
人柱,名詞,5,1,人柱,人柱,1368810,,False
分かる,動詞,5,1,分かる,分かる,1606560,,False
守る,動詞,5,1,守っ,守る,1327120,,False
居る,動詞,5,1,いる,居る,1577980,,False
者,名詞,5,1,者,者,1322990,,False
良い,形容詞,4,1,いい,良い,1605870,,False
あと,名詞,4,1,あと,後,1269320,,False
頼む,動詞,4,1,頼む,頼む,1548370,,False
こと,名詞,4,1,こと,事,1313580,,False
こっち,代名詞,4,1,こっち,此方,1004500,,False
聞く,動詞,4,1,聞け,聞く,1591110,,False
打つ,動詞,4,1,撃て,打つ,1408810,,False
マスタング,名詞,4,1,マスタング,ムスタング-mustang,1132350,,False
中尉,名詞,4,1,中尉,中尉,1423370,,False
時間,名詞,3,1,時間,時間,1315920,,False
正門,名詞,3,1,正門,正門,1378100,,False
そんな,連体詞,3,1,そんな,そんな,1007130,,False
さん,接尾辞,3,1,さん,さん,1005340,,False
真理,名詞,3,1,真理,真理,1364400,,False
行く,動詞,3,1,いっ,行く,1578850,,False
使う,動詞,3,1,使える,使う,1305990,,False
医者,名詞,3,1,医者,医者,1159980,,False
少し,副詞,3,1,少し,少し,1348870,,False
奴,名詞,3,1,奴,奴,1445640,,False
リード,名詞,3,1,リード,リード-lead,1140710,,False
オレ,代名詞,3,1,オレ,俺,1576870,,False
中央,名詞,3,1,中央,中央,1423430,,False
あなた,代名詞,3,1,あなた,貴方,1223615,,False
逝く,動詞,2,1,逝か,逝く,2856718,,False
１人,名詞,2,1,１人,一人,1576150,,False
貴様,代名詞,2,1,貴様,貴様,1223620,,False
ヤオ,名詞,2,1,ヤオ,ヤオ,2215710,,False
ラジオ,名詞,2,1,ラジオ,ラジオ-radio,1138860,,False
リン,名詞,2,1,リン,燐,1555530,,False
見る,動詞,2,1,見よう,見る,2256270,,False
笑う,動詞,2,1,笑っ,笑う,1351360,,False
様,接尾辞,2,1,様,様,1545790,,False
放る,動詞,2,1,放っ,放る,1516530,,False
救う,動詞,2,1,救え,救う,1229060,,False
時,名詞,2,1,時,時,1315840,,False
どこ,代名詞,2,1,どこ,何処,1577140,,False
まあ,副詞,2,1,まあ,まあ,1012050,,False
恋人,名詞,2,1,恋人,恋人,1558920,,False
手,名詞,2,1,手,手,1327190,,False
大人しい,形容詞,2,1,おとなしく,大人しい,1414190,,False
力,名詞,2,1,力,力,1554820,,False
キング,名詞,2,1,キング,キング-king,1042700,,False
シン,名詞,2,1,シン,しん,1063370,,False
セントラル,名詞,2,1,セントラル,セントラル-central,2003220,,False
協力,名詞,2,1,協力,協力,1591720,,False
味方,名詞,2,1,味方,味方,1527070,,False
命,名詞,2,1,命,命,1531940,,False
命令,名詞,2,1,命令,命令,1532160,,False
兄弟,名詞,2,1,兄弟,兄弟,1249960,,False
兵,名詞,2,1,兵,兵,2067560,,False
出来る,動詞,2,1,でき,出来る,1340450,,False
人間,名詞,2,1,人間,人間,1366770,,False
仕事,名詞,2,1,仕事,仕事,1304970,,False
こいつ,代名詞,2,1,こいつ,此奴,1579070,,False
ここ,代名詞,2,1,ここ,此処,1288810,,False
貸す,動詞,2,1,貸せ,貸す,1411160,,False
しっかり,副詞,2,1,しっかり,確り,1594400,,False
たち,接尾辞,2,1,たち,達,1416220,,False
あいつ,代名詞,2,1,あいつ,彼奴,1483160,,False
あん,名詞,1,1,あん,餡,1154770,,False
ちょっと,副詞,1,1,ちょっと,一寸,1163940,,False
ちゃん,接尾辞,1,1,ちゃん,ちゃん,1007660,,False
たった,副詞,1,1,たった,唯,1007230,,False
その,連体詞,1,1,その,其の,1006830,,False
そう,副詞,1,1,そう,そう,1006610,,False
そ,副詞,1,1,そ,そう,2754880,,False
せんせい,名詞,1,1,せんせい,先生,1387990,,False
すぐ,副詞,1,1,すぐ,直ぐ,1430610,,False
