sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
私,代名詞,13,1,私,私-代名詞,1311110,,False
大佐,名詞,13,1,大佐,大佐,1413740,,False
者,名詞,9,1,者,者,2153760,,False
錬成,名詞,9,1,錬成,錬成,1559980,,False
この,連体詞,9,1,この,此の,1582920,,False
人体,名詞,9,1,人体,人体,1368670,,False
体,名詞,9,1,体,体,1409140,,False
中尉,名詞,9,1,中尉,中尉,1423370,,False
持つ,動詞,8,1,持っ,持つ,1315720,,False
為る,動詞,7,1,する,為る,1157170,,False
マスタング,名詞,7,1,マスタング,ムスタング-mustang,1132350,,False
居る,動詞,7,1,いる,居る,1577980,,False
こと,名詞,7,1,こと,事,1313580,,False
そんな,連体詞,6,1,そんな,そんな,1007130,,False
君,代名詞,6,1,君,君-代名詞,1247250,,False
様,接尾辞,5,1,様,様,1545790,,False
分かる,動詞,5,1,分かっ,分かる,1606560,,False
与える,動詞,5,1,与え,与える,1544730,,False
来る,動詞,5,1,来,来る,1547720,,False
扉,名詞,5,1,扉,扉,1483380,,False
真下,名詞,4,1,真下,真下,1363460,,False
戻る,動詞,4,1,戻る,戻る,1535880,,False
今,名詞,4,1,今,今,1288850,,False
邪魔,名詞,4,1,邪魔,邪魔,1323500,,False
１人,名詞,4,1,１人,一人,1576150,,False
行く,動詞,4,1,行っ,行く,1578850,,False
ダメ,名詞,4,1,ダメ,駄目,1409110,,False
君,接尾辞,4,1,君,君,1247250,,False
言う,動詞,4,1,言わ,言う,1587040,,False
みんな,名詞,3,1,みんな,皆,1202150,,False
その,連体詞,3,1,その,其の,1006830,,False
目,接尾辞,3,1,目,目,1604890,,False
目,名詞,3,1,目,目,1604890,,False
貴様,代名詞,3,1,貴様,貴様,1223620,,False
遣る,動詞,3,1,やっ,遣る,1012980,,False
真理,名詞,3,1,真理,真理,1364400,,False
ここ,代名詞,3,1,ここ,此処,1288810,,False
大丈夫,形状詞,3,1,大丈夫,大丈夫,1414150,,False
アル,名詞,3,1,アル,アル,2835284,,False
どこ,代名詞,3,1,どこ,何処,1577140,,False
ずっと,副詞,3,1,ずっと,ずっと,1006380,,False
名,名詞,3,1,名,名,1531330,,False
開ける,動詞,3,1,開けろ,開ける,1202450,,False
姿,名詞,3,1,姿,姿,1307710,,False
呉れる,動詞,3,1,くれる,呉れる,1269130,,False
人間,名詞,3,1,人間,人間,1366770,,False
ボク,代名詞,3,1,ボク,僕-代名詞,1521400,,False
有る,動詞,3,1,あろう,有る,1000580,,False
成る,動詞,3,1,なり,成る,2846738,,False
止める,動詞,3,1,止め,止める,1310670,,False
正しい,形容詞,3,1,正しい,正しい,1376600,,False
メイ,名詞,3,1,メイ,メイ-May,2188120,,False
絶望,名詞,2,1,絶望,絶望,1386960,,False
貰う,動詞,2,1,もらう,貰う,1535910,,False
あっち,代名詞,2,1,あっち,彼方,1483185,,False
納得,名詞,2,1,納得,納得,1470080,,False
親玉,名詞,2,1,親玉,親玉,1365130,,False
覚ます,動詞,2,1,覚まさ,覚ます,1206060,,False
やっかい,名詞,2,1,やっかい,厄介,1537820,,False
やつ,名詞,2,1,やつ,奴,1445640,,False
よく,副詞,2,1,よく,良く,1605870,,False
たち,接尾辞,2,1,たち,達,1416220,,False
足,名詞,2,1,足,足,1404630,,False
鋼,接尾辞,2,1,鋼,鋼,1282680,,False
ところ,名詞,2,1,ところ,所,1343100,,False
良い,形容詞,2,1,いい,良い,1605870,,False
見える,動詞,2,1,見えん,見える,1259140,,False
見捨てる,動詞,2,1,見捨てる,見捨てる,1259660,,False
視力,名詞,2,1,視力,視力,1312150,,False
眼鏡,名詞,2,1,眼鏡,眼鏡,1577670,,False
中,名詞,2,1,中,中,1423310,,False
