sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
私,代名詞,11,1,私,私-代名詞,1311110,,False
為る,動詞,8,1,し,為る,1157170,,False
使う,動詞,7,1,使わ,使う,1305990,,False
戦う,動詞,7,1,戦っ,戦う,1596960,,False
この,連体詞,7,1,この,此の,1582920,,False
行く,動詞,6,1,行く,行く,1578850,,False
遣る,動詞,6,1,やら,遣る,1012980,,False
オレ,代名詞,6,1,オレ,俺,1576870,,False
中心,名詞,5,1,中心,中心,1424550,,False
人間,名詞,5,1,人間,人間,1366770,,False
お,接頭辞,5,1,お,御,2826528,,False
ここ,代名詞,5,1,ここ,此処,1288810,,False
居る,動詞,5,1,いる,居る,1577980,,False
来る,動詞,5,1,来,来る,1547720,,False
早い,形容詞,5,1,早く,早い,1404975,,False
扉,名詞,5,1,扉,扉,1483380,,False
神,名詞,4,1,神,神,1364440,,False
メイ,名詞,4,1,メイ,メイ-May,2188120,,False
錬成,名詞,4,1,錬成,錬成,1559980,,False
下さる,動詞,4,1,ください,下さる,1184280,,False
その,連体詞,3,1,その,其の,1006830,,False
覆う,動詞,3,1,おおおっ,覆う,1588840,,False
貴様,代名詞,3,1,貴様,貴様,1223620,,False
逃げる,動詞,3,1,逃げる,逃げる,1450330,,False
人柱,名詞,3,1,人柱,人柱,1368810,,False
１人,名詞,3,1,１人,一人,1576150,,False
世界,名詞,3,1,世界,世界,1373860,,False
言う,動詞,3,1,言う,言う,1587040,,False
お前,代名詞,3,1,お前,御前,1002290,,False
もの,名詞,3,1,もの,物,1502390,,False
我が,連体詞,3,1,我が,我が,1606620,,False
良い,形容詞,3,1,いい,良い,1605870,,False
自分,名詞,3,1,自分,自分,1318610,,False
考える,動詞,3,1,考え,考える,1281020,,False
開ける,動詞,3,1,開け,開ける,1202450,,False
呉れる,動詞,3,1,くれる,呉れる,1269130,,False
そこ,代名詞,2,1,そこ,其処,1006670,,False
さん,接尾辞,2,1,さん,さん,1005340,,False
諸君,名詞,2,1,諸君,諸君,1344230,,False
認める,動詞,2,1,認め,認める,1467530,,False
貰う,動詞,2,1,もらい,貰う,1535910,,False
足りる,動詞,2,1,足り,足りる,1404740,,False
辿り着く,動詞,2,1,たどり着い,辿り着く,1416680,,False
ふっ,副詞,2,1,ふっ,ふっ,2862669,,False
成る,動詞,2,1,なっ,成る,2846738,,False
攻撃,名詞,2,1,攻撃,攻撃,1279170,,False
打つ,動詞,2,1,撃つ,打つ,1408810,,False
手,名詞,2,1,手,手,1327190,,False
星,名詞,2,1,星,星,1376310,,False
ノー,名詞,2,1,ノー,ノー-no,2080530,,False
ダメ,名詞,2,1,ダメ,駄目,1409110,,False
システム,名詞,2,1,システム,システム-system,1060300,,False
様,接尾辞,2,1,様,様,1545790,,False
時,名詞,2,1,時,時,1315840,,False
者,名詞,2,1,者,者,2153760,,False
てめえ,代名詞,2,1,てめえ,てまえ,2076920,,False
簡単,形状詞,2,1,簡単,簡単,1214330,,False
縛る,動詞,2,1,縛ら,縛る,1476050,,False
死ぬ,動詞,2,1,死に,死ぬ,1310730,,False
欲しい,形容詞,2,1,欲しい,欲しい,1547330,,False
ほう,名詞,2,1,ほう,方,1516930,,False
分かる,動詞,2,1,分かっ,分かる,1606560,,False
今,名詞,2,1,今,今,1288850,,False
モーション,名詞,2,1,モーション,モーション-motion,1134450,,False
一体,副詞,2,1,一体,一体,1164510,,False
失礼,名詞,2,1,失礼,失礼,1320230,,False
場所,名詞,2,1,場所,場所,1355850,,False
壊す,動詞,2,1,壊し,壊す,1199890,,False
家,名詞,2,1,家,家,1191730,,False
大佐,名詞,2,1,大佐,大佐,1413740,,False
力,名詞,2,1,力,力,1554820,,False
陣,名詞,2,1,陣,陣,1956490,,False
飲み込む,動詞,2,1,飲み込ま,飲み込む,1600400,,False
これ,代名詞,2,1,これ,此れ,1628530,,False
こと,名詞,2,1,こと,事,1313580,,False
あれ,代名詞,2,1,あれ,彼れ,1000580,,False
あなた,代名詞,1,1,あなた,貴方,1223615,,False
いまだ,副詞,1,1,いまだ,未だ,1527110,,False
ぐい,副詞,1,1,ぐい,ぐい,1828760,,False
けっか,名詞,1,1,けっか,結果,1254690,,False
こいつ,代名詞,1,1,こいつ,此奴,1579070,,False
こん,代名詞,1,1,こん,此れ,1288860,,False
こんな,連体詞,1,1,こんな,こんな,1004880,,False
ご,接頭辞,1,1,ご,御,1270190,,False
ごめん,名詞,1,1,ごめん,御免,1270670,,False
通信,名詞,1,1,通信,通信,1433330,,False
遊び,名詞,1,1,遊び,遊び,1542070,,False
鋼,接尾辞,1,1,鋼,鋼,1282680,,False
開く,動詞,1,1,開く,開く,1202440,,False
頭,名詞,1,1,頭,頭,1582310,,False
頼む,動詞,1,1,頼ん,頼む,1548370,,False
顔,名詞,1,1,顔,顔,1217730,,False
魂,名詞,1,1,魂,魂,1579170,,False
黒い,形容詞,1,1,黒い,黒い,1287420,,False
２人,名詞,1,1,２人,二人,1582670,,False
主人,名詞,1,1,主人,主人,1579780,,False
交渉,名詞,1,1,交渉,交渉,1272110,,False
人,接尾辞,1,1,人,人,1366410,,False
人物,名詞,1,1,人物,人物,1369070,,False
人種,名詞,1,1,人種,人種,1368020,,False
今頃,名詞,1,1,今頃,今頃,1289160,,False
仕方無い,形容詞,1,1,しかたない,仕方無い,1305440,,False
会う,動詞,1,1,会え,会う,1198180,,False
何,代名詞,1,1,何,何,1577100,,False
何もの,名詞,1,1,何もの,何物,1188980,,False
保障,名詞,1,1,保障,保障,1603500,,False
信ずる,動詞,1,1,信じ,信ずる,1359070,,False
倒す,動詞,1,1,倒す,倒す,1445770,,False
傷,名詞,1,1,傷,傷,1580260,,False
働く,動詞,1,1,働い,働く,1451150,,False
兄,名詞,1,1,兄,兄,1249900,,False
入れる,動詞,1,1,入れ,入れる,1465610,,False
出来る,動詞,1,1,できる,出来る,1340450,,False
出没,名詞,1,1,出没,出没,1340330,,False
前,名詞,1,1,前,前,1392580,,False
助ける,動詞,1,1,助け,助ける,1344410,,False
動き,名詞,1,1,動き,動き,1451180,,False
勘違い,名詞,1,1,勘違い,勘違い,1210620,,False
勝つ,動詞,1,1,勝っ,勝つ,1346150,,False
十分,形状詞,1,1,十分,十分,1335080,,False
ヒマ,名詞,1,1,ヒマ,暇,1577280,,False
ブラッド,名詞,1,1,ブラッド,ブラッド-blood,2794800,,False
プライド,名詞,1,1,プライド,プライド-pride,1115390,,False
