sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
為る,動詞,12,1,する,為る,1157170,,False
この,連体詞,10,1,この,此の,1582920,,False
神,名詞,9,1,神,神,1364440,,False
行く,動詞,9,1,行く,行く,1578850,,False
私,代名詞,7,1,私,私-代名詞,1311110,,False
有る,動詞,7,1,あれ,有る,1000580,,False
居る,動詞,7,1,いる,居る,1577980,,False
ホムンクルス,名詞,7,1,ホムンクルス,ホムンクルス-Homunculus,2037840,,False
エネルギー,名詞,7,1,エネルギー,エネルギー-energy,1029430,,False
俺,代名詞,6,1,俺,俺,1576870,,False
中,名詞,6,1,中,中,1423310,,False
お前,代名詞,6,1,お前,御前,1002290,,False
陣,名詞,6,1,陣,陣,1956490,,False
来る,動詞,5,1,来い,来る,1547720,,False
国,名詞,5,1,国,国,1592250,,False
錬成,名詞,5,1,錬成,錬成,1559980,,False
呉れる,動詞,5,1,くれよう,呉れる,1269130,,False
存在,名詞,5,1,存在,存在,1406150,,False
あなた,代名詞,5,1,あなた,貴方,1223615,,False
貴様,代名詞,5,1,貴様,貴様,1223620,,False
魂,名詞,5,1,魂,魂,1579170,,False
その,連体詞,4,1,その,其の,1006830,,False
もの,名詞,4,1,もの,物,1502390,,False
流れる,名詞,4,1,流れ,流れ,1552130,,False
遣る,動詞,4,1,やり,遣る,1012980,,False
利用,名詞,4,1,利用,利用,1549660,,False
成る,動詞,4,1,なっ,成る,2846738,,False
傷,名詞,4,1,傷,傷,1580260,,False
体,名詞,4,1,体,体,1409140,,False
今,名詞,4,1,今,今,1288850,,False
力,名詞,4,1,力,力,1554820,,False
兄,名詞,4,1,兄,兄,1249900,,False
こと,名詞,4,1,こと,事,1313580,,False
人間,名詞,4,1,人間,人間,1366770,,False
分かる,動詞,3,1,分かっ,分かる,1606560,,False
入れ物,名詞,3,1,入れ物,入れ物,1587840,,False
何,代名詞,3,1,何,何,1577100,,False
手,名詞,3,1,手,手,1327190,,False
大佐,名詞,3,1,大佐,大佐,1413740,,False
奴,名詞,3,1,奴,奴,1445640,,False
太陽,名詞,3,1,太陽,太陽,1408370,,False
持つ,動詞,3,1,持っ,持つ,1315720,,False
男,名詞,3,1,男,男,1419990,,False
者,名詞,3,1,者,者,1322990,,False
終わる,動詞,3,1,おわっ,終わる,1589600,,False
矜持,名詞,3,1,矜持,矜持,1640670,,False
月,名詞,3,1,月,月,1255430,,False
止める,動詞,3,1,やめろ,止める,1310680,,False
スカ,名詞,3,1,スカ,スカ-ska,2115020,,False
表わす,動詞,3,1,表し,表わす,1263490,,False
術,名詞,3,1,術,術,1340780,,False
もう,副詞,3,1,もう,もう,1012480,,False
研究,名詞,3,1,研究,研究,1258520,,False
みんな,名詞,3,1,みんな,皆,1202150,,False
それ,代名詞,3,1,それ,其れ,1006970,,False
頂く,動詞,3,1,いただけ,頂く,1587290,,False
良い,形容詞,3,1,いい,良い,1605870,,False
入れる,動詞,3,1,入れ,入れる,1465610,,False
地殻,名詞,3,1,地殻,地殻,1420940,,False
リード,名詞,3,1,リード,リード-lead,1140710,,False
使う,動詞,3,1,使い,使う,1305990,,False
下さる,動詞,3,1,ください,下さる,1184280,,False
人々,名詞,3,1,人々,人々,1580650,,False
入る,動詞,3,1,入っ,入る,1465590,,False
敵,名詞,2,1,敵,敵,1577915,,False
立つ,動詞,2,1,立た,立つ,1597040,,False
まだ,副詞,2,1,まだ,未だ,1527110,,False
まあ,副詞,2,1,まあ,まあ,1012050,,False
時,名詞,2,1,時,時,1315840,,False
アル,名詞,2,1,アル,アル,2835284,,False
ゆっくり,副詞,2,1,ゆっくり,ゆっくり,1013050,,False
為さる,動詞,2,1,なさっ,為さる,1157090,,False
目,名詞,2,1,目,目,1604890,,False
言葉,名詞,2,1,言葉,言葉,1264540,,False
計算,名詞,2,1,計算,計算,1252140,,False
諸君,名詞,2,1,諸君,諸君,1344230,,False
踏ん張る,動詞,2,1,ふんばっ,踏ん張る,1450280,,False
あそこ,代名詞,2,1,あそこ,彼処,1000320,,False
返る,動詞,2,1,帰っ,返る,1512150,,False
逆転,名詞,2,1,逆転,逆転,1227170,,False
あんた,代名詞,2,1,あんた,貴方,1979920,,False
そんな,連体詞,2,1,そんな,そんな,1007130,,False
言う,動詞,2,1,いう,言う,1587040,,False
しょせん,副詞,2,1,しょせん,所詮,1343300,,False
てめえ,代名詞,2,1,てめえ,てまえ,2076920,,False
発動,名詞,2,1,発動,発動,1477780,,False
知る,動詞,2,1,知っ,知る,1420470,,False
自分,名詞,2,1,自分,自分,1318610,,False
もっと,副詞,2,1,もっと,もっと,1012620,,False
捨てる,動詞,2,1,捨て,捨てる,1322320,,False
掛ける,動詞,2,1,かけ,掛ける,1207610,,False
大きい,形容詞,2,1,大きけれ,大きい,1588880,,False
大丈夫,形状詞,2,1,大丈夫,大丈夫,1414150,,False
人,接尾辞,2,1,人,人,1580640,,False
中尉,名詞,2,1,中尉,中尉,1423370,,False
妻,名詞,2,1,妻,妻,1294330,,False
上,名詞,2,1,上,上,1352130,,False
戦う,動詞,2,1,戦える,戦う,1596960,,False
戻る,動詞,2,1,戻る,戻る,1535880,,False
ママ,名詞,2,1,ママ,ママ-mama,1129240,,False
憎しみ,名詞,2,1,憎しみ,憎しみ,1403400,,False
寄越す,動詞,2,1,よこし,寄越す,1013140,,False
当たり前,形状詞,2,1,当たり前,当たり前,1448800,,False
完全,形状詞,2,1,完全,完全,1211510,,False
人生,名詞,2,1,人生,人生,1368370,,False
ブリー,名詞,2,1,ブリー,ブリー-bully,2445150,,False
天,名詞,2,1,天,天,1438210,,False
大地,名詞,2,1,大地,大地,1414520,,False
凄い,形容詞,2,1,すごい,凄い,1374550,,False
作る,動詞,2,1,作る,作る,1597890,,False
地,名詞,2,1,地,地,2423320,,False
壊れる,動詞,2,1,壊れる,壊れる,1199900,,False
地下,名詞,2,1,地下,地下,1420840,,False
長い,形容詞,2,1,長い,長い,1429750,,False
間,名詞,2,1,間,間,1215230,,False
阻害,名詞,2,1,阻害,阻害,1397810,,False
兄者,名詞,2,1,兄者,兄者,2077260,,False
邪魔,名詞,2,1,邪魔,邪魔,1323500,,False
野郎,名詞,2,1,野郎,野郎,1537700,,False
おやじ,名詞,2,1,おやじ,親父,1365330,,False
お,接頭辞,2,1,お,御,2089690,,False
あいつ,代名詞,1,1,あいつ,彼奴,1483160,,False
いつ,代名詞,1,1,いつ,何時,1188760,,False
豪腕,名詞,1,1,豪腕,剛腕,2028790,,False
たとえば,副詞,1,1,たとえば,例えば,1556370,,False
たち,接尾辞,1,1,たち,達,1416220,,False
それぞれ,名詞,1,1,それぞれ,其々,1596690,,False
そっち,代名詞,1,1,そっち,其方,1006780,,False
そう,副詞,1,1,そう,そう,2249280,,False
