sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
私,代名詞,10,1,私,私-代名詞,1311110,,False
オレ,代名詞,9,1,オレ,俺,1576870,,False
止める,動詞,9,1,やめろ,止める,1310680,,False
行く,動詞,8,1,行く,行く,1578850,,False
為る,動詞,8,1,する,為る,1157170,,False
リード,名詞,8,1,リード,リード-lead,1140710,,False
人間,名詞,8,1,人間,人間,1366770,,False
様,接尾辞,7,1,様,様,1545790,,False
奴,名詞,7,1,奴,奴,1445640,,False
居る,動詞,6,1,おれ,居る,1577980,,False
こと,名詞,6,1,こと,事,1313580,,False
来る,動詞,6,1,来,来る,1547720,,False
貴様,代名詞,5,1,貴様,貴様,1223620,,False
お前,代名詞,5,1,お前,御前,1002290,,False
お,接頭辞,5,1,お,御,2826528,,False
力,名詞,5,1,力,力,1554820,,False
欲しい,形容詞,5,1,ほしい,欲しい,1547330,,False
出来る,動詞,5,1,できる,出来る,1340450,,False
石,名詞,4,1,石,石,1382440,,False
ホムンクルス,名詞,4,1,ホムンクルス,ホムンクルス-Homunculus,2037840,,False
打つ,動詞,4,1,撃て,打つ,1408810,,False
もの,名詞,4,1,もの,物,1502390,,False
生きる,動詞,4,1,生き,生きる,1378520,,False
神,名詞,4,1,神,神,1364440,,False
良い,形容詞,4,1,いい,良い,1605870,,False
せんせい,名詞,4,1,せんせい,先生,1387990,,False
閣下,名詞,4,1,閣下,閣下,1206280,,False
師匠,名詞,4,1,師匠,師匠,1308900,,False
呉れる,動詞,4,1,くれ,呉れる,1269130,,False
隊,接尾辞,4,1,隊,隊,1956610,,False
すべて,名詞,3,1,すべて,全て,1595730,,False
言う,動詞,3,1,言っ,言う,1587040,,False
こんな,連体詞,3,1,こんな,こんな,1004880,,False
その,連体詞,3,1,その,其の,1006830,,False
何,代名詞,3,1,何,何,1577100,,False
入れる,動詞,3,1,入れ,入れる,1465610,,False
与える,動詞,3,1,与え,与える,1544730,,False
必要,名詞,3,1,必要,必要,1487660,,False
手,名詞,3,1,手,手,1327190,,False
下りる,動詞,3,1,降りろ,下りる,1589500,,False
メイ,名詞,3,1,メイ,メイ-May,2188120,,False
成る,動詞,3,1,なっ,成る,2846738,,False
本部,名詞,3,1,本部,本部,1523170,,False
まだ,副詞,2,1,まだ,未だ,1527110,,False
みんな,名詞,2,1,みんな,皆,1202150,,False
知れる,動詞,2,1,しれ,知れる,1420490,,False
生む,動詞,2,1,生む,生む,1588410,,False
まず,副詞,2,1,まず,先ず,1387240,,False
ケガ,名詞,2,1,ケガ,怪我,1200220,,False
無事,形状詞,2,1,無事,無事,1530030,,False
犠牲,名詞,2,1,犠牲,犠牲,1225450,,False
通信,名詞,2,1,通信,通信,1433330,,False
貰い受ける,動詞,2,1,もらい受ける,貰い受ける,2513890,,False
起こる,動詞,2,1,起こっ,起こる,1223680,,False
あいつ,代名詞,2,1,あいつ,彼奴,1483160,,False
頼む,動詞,2,1,頼む,頼む,1548370,,False
魂,名詞,2,1,魂,魂,1579170,,False
覆う,動詞,2,1,おおおっ,覆う,1588840,,False
齎す,動詞,2,1,もたらさ,齎す,1573190,,False
普通,名詞,2,1,普通,普通,1497190,,False
エネルギー,名詞,2,1,エネルギー,エネルギー-energy,1029430,,False
ダメ,名詞,2,1,ダメ,駄目,1409110,,False
ブルー,名詞,2,1,ブルー,ブルー-blue,1114310,,False
存在,名詞,2,1,存在,存在,1406150,,False
守る,動詞,2,1,守っ,守る,1327120,,False
必ず,副詞,2,1,必ず,必ず,1487400,,False
本当,名詞,2,1,本当,本当,1523060,,False
戦う,動詞,2,1,戦え,戦う,1596960,,False
奪う,動詞,2,1,奪え,奪う,1416340,,False
有る,動詞,2,1,ありゃ,有る,1000580,,False
東門,名詞,2,1,東門,東門,1448220,,False
指揮,名詞,2,1,指揮,指揮,1309700,,False
一体,副詞,2,1,一体,一体,1164510,,False
よう,形状詞,2,1,よう,様,1605840,,False
アル,名詞,2,1,アル,アル,2835284,,False
利く,動詞,2,1,効か,利く,1591100,,False
反撃,名詞,2,1,反撃,反撃,1480340,,False
体,名詞,2,1,体,体,1409140,,False
勝つ,動詞,2,1,勝て,勝つ,1346150,,False
了解,名詞,2,1,了解,了解,1553310,,False
中尉,名詞,2,1,中尉,中尉,1423370,,False
世界,名詞,2,1,世界,世界,1373860,,False
全部,名詞,2,1,全部,全部,1396130,,False
分かる,動詞,2,1,分かっ,分かる,1606560,,False
そんな,連体詞,2,1,そんな,そんな,1007130,,False
隙,名詞,2,1,隙,隙,1253780,,False
防壁,名詞,2,1,防壁,防壁,1520610,,False
作る,動詞,2,1,作ろう,作る,1597890,,False
遣る,動詞,2,1,やら,遣る,1012980,,False
この,連体詞,2,1,この,此の,1582920,,False
鋼,接尾辞,2,1,鋼,鋼,1282680,,False
部下,名詞,2,1,部下,部下,1499350,,False
こいつ,代名詞,2,1,こいつ,此奴,1579070,,False
うぬ,代名詞,1,1,うぬ,うぬ,1631650,,False
おいおい,副詞,1,1,おいおい,おいおい,1631660,,False
おら,代名詞,1,1,おら,己,2080360,,False
ここ,代名詞,1,1,ここ,此処,1288810,,False
これ,代名詞,1,1,これ,此れ,1628530,,False
金髪,名詞,1,1,金髪,金髪,1243150,,False
違う,動詞,1,1,違う,違う,1158880,,False
違い,名詞,1,1,違い,違い,1158870,,False
隊,名詞,1,1,隊,隊,1956610,,False
限界,名詞,1,1,限界,限界,1264650,,False
防御,名詞,1,1,防御,防御,1520330,,False
間違える,動詞,1,1,間違える,間違える,1215330,,False
長髪,名詞,1,1,長髪,長髪,1797850,,False
錬成,名詞,1,1,錬成,錬成,1559980,,False
たれ,名詞,1,1,たれ,垂れ,1370860,,False
ため,名詞,1,1,ため,為,1157080,,False
たち,接尾辞,1,1,たち,達,1416220,,False
そっち,代名詞,1,1,そっち,其方,1006780,,False
倒す,動詞,1,1,倒し,倒す,1445770,,False
修正,名詞,1,1,修正,修正,1332130,,False
信ずる,動詞,1,1,信じる,信ずる,1359070,,False
便利,名詞,1,1,便利,便利,1512610,,False
使う,動詞,1,1,使わ,使う,1305990,,False
作戦,名詞,1,1,作戦,作戦,1297800,,False
体内,名詞,1,1,体内,体内,1409640,,False
危ない,形容詞,1,1,危なかっ,危ない,1218380,,False
協力,名詞,1,1,協力,協力,1591720,,False
半分,名詞,1,1,半分,半分,1479890,,False
北門,名詞,1,1,北門,北門,1521350,,False
動く,動詞,1,1,動く,動く,1451210,,False
乗せる,動詞,1,1,乗せ,乗せる,1600270,,False
中央,名詞,1,1,中央,中央,1423430,,False
中,名詞,1,1,中,中,1423310,,False
世の中,名詞,1,1,世の中,世の中,1373850,,False
不在,名詞,1,1,不在,不在,1492460,,False
下等,名詞,1,1,下等,下等,1186030,,False
全く,副詞,1,1,全く,全く,1394800,,False
入る,動詞,1,1,入っ,入る,1465590,,False
先,名詞,1,1,先,先,1387210,,False
兄,名詞,1,1,兄,兄,1249900,,False
僕,代名詞,1,1,僕,僕-代名詞,1521400,,False
助け,名詞,1,1,助け,助け,1344390,,False
加減,名詞,1,1,加減,加減,1190080,,False
創,名詞,1,1,創,ハジメ,1580260,,False
凄い,形容詞,1,1,すげえ,凄い,1374550,,False
兵,名詞,1,1,兵,兵,2067560,,False
外す,動詞,1,1,外さ,外す,1203270,,False
変わる,動詞,1,1,代わっ,変わる,1510790,,False
場合,名詞,1,1,場合,場合,1355810,,False
埋まる,動詞,1,1,埋まる,埋まる,1584340,,False
国,接尾辞,1,1,国,国,1592250,,False
呼ぶ,動詞,1,1,呼べる,呼ぶ,1266440,,False
吹き飛ぶ,動詞,1,1,吹っ飛び,吹き飛ぶ,1370700,,False
君,接尾辞,1,1,君,君,1247260,,False
