sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
お前,代名詞,17,1,お前,御前,1002290,,False
為る,動詞,14,1,し,為る,1157170,,False
オレ,代名詞,12,1,オレ,俺,1576870,,False
リード,名詞,9,1,リード,リード-lead,1140710,,False
有る,動詞,9,1,ある,有る,1000580,,False
私,代名詞,9,1,私,私-代名詞,1311110,,False
アル,名詞,9,1,アル,アル,2835284,,False
使う,動詞,8,1,使え,使う,1305990,,False
人間,名詞,7,1,人間,人間,1366770,,False
呉れる,動詞,7,1,くれ,呉れる,1269130,,False
真理,名詞,7,1,真理,真理,1364400,,False
成る,動詞,7,1,なる,成る,2846738,,False
言う,動詞,7,1,言っ,言う,1587040,,False
なぜ,副詞,6,1,なぜ,何故,1577120,,False
メイ,名詞,6,1,メイ,メイ-May,2188120,,False
体,名詞,6,1,体,体,1409140,,False
こと,名詞,6,1,こと,事,1313580,,False
さん,接尾辞,5,1,さん,さん,1005340,,False
すべて,名詞,5,1,すべて,全て,1595730,,False
この,連体詞,5,1,この,此の,1582920,,False
様,接尾辞,5,1,様,様,1545790,,False
来る,動詞,5,1,来い,来る,1547720,,False
何,代名詞,5,1,何,何,1577100,,False
待つ,動詞,5,1,待て,待つ,1410590,,False
イヤ,形状詞,5,1,イヤ,嫌,1587610,,False
命,名詞,4,1,命,命,1531940,,False
思う,動詞,4,1,思っ,思う,1589350,,False
神,名詞,4,1,神,神,1364440,,False
考える,動詞,4,1,考えろ,考える,1281020,,False
戻る,動詞,4,1,戻り,戻る,1535880,,False
たち,接尾辞,4,1,たち,達,1416220,,False
殿,接尾辞,4,1,殿,殿,1442500,,False
絶望,名詞,4,1,絶望,絶望,1386960,,False
人,名詞,4,1,人,人,1580640,,False
ガキ,名詞,4,1,ガキ,餓鬼,1197980,,False
幸せ,名詞,4,1,幸せ,幸せ,1594060,,False
フラスコ,名詞,4,1,フラスコ,フラスコ-frasco,1111290,,False
中,名詞,4,1,中,中,1423310,,False
悪い,形容詞,4,1,悪く,悪い,1151260,,False
みんな,名詞,4,1,みんな,皆,1202150,,False
良い,形容詞,4,1,よかっ,良い,1605870,,False
自由,名詞,3,1,自由,自由,1318720,,False
もう,副詞,3,1,もう,もう,1012480,,False
権利,名詞,3,1,権利,権利,1258200,,False
欲しい,形容詞,3,1,欲しく,欲しい,1547330,,False
扉,名詞,3,1,扉,扉,1483380,,False
見る,動詞,3,1,見,見る,2256270,,False
親父,名詞,3,1,親父,親父,1365330,,False
おやじ,名詞,3,1,おやじ,親父,1365330,,False
それ,代名詞,3,1,それ,其れ,1006970,,False
ちょっと,副詞,3,1,ちょっと,一寸,1163940,,False
ただ,名詞,3,1,ただ,只,1538900,,False
生まれる,動詞,3,1,生まれ,生まれる,1378690,,False
返る,動詞,3,1,帰れ,返る,1512150,,False
与える,動詞,3,1,与える,与える,1544730,,False
世界,名詞,3,1,世界,世界,1373860,,False
出来る,動詞,3,1,でき,出来る,1340450,,False
十分,形状詞,3,1,十分,十分,1335080,,False
思い上がる,動詞,3,1,思い上がら,思い上がる,1309290,,False
持つ,動詞,3,1,持っ,持つ,1315720,,False
閣下,名詞,3,1,閣下,閣下,1206280,,False
錬成,名詞,3,1,錬成,錬成,1559980,,False
居る,動詞,3,1,いる,居る,1577980,,False
リン,名詞,3,1,リン,燐,1555530,,False
取り戻す,動詞,3,1,取り戻せ,取り戻す,1326940,,False
成り下がる,動詞,2,1,成り下がる,成り下がる,1375570,,False
方法,名詞,2,1,方法,方法,1517090,,False
死ぬ,動詞,2,1,死に,死ぬ,1310730,,False
感謝,名詞,2,1,感謝,感謝,1212380,,False
望む,動詞,2,1,望ん,望む,1519630,,False
しょんべん,名詞,2,1,しょんべん,小便,1580280,,False
終わる,動詞,2,1,終わる,終わる,1589600,,False
諦める,動詞,2,1,諦める,諦める,1436730,,False
血,名詞,2,1,血,血,1255060,,False
縛る,動詞,2,1,縛ら,縛る,1476050,,False
皇帝,名詞,2,1,皇帝,皇帝,1280490,,False
気,名詞,2,1,気,気,1221520,,False
その,連体詞,2,1,その,其の,1006830,,False
ただいま,名詞,2,1,ただいま,只今,1538960,,False
そんな,連体詞,2,1,そんな,そんな,1007130,,False
止める,動詞,2,1,やめろ,止める,1310680,,False
率いる,動詞,2,1,率いる,率いる,1551210,,False
正しい,形容詞,2,1,正しい,正しい,1376600,,False
どう,副詞,2,1,どう,どう,1008910,,False
石,名詞,2,1,石,石,1382440,,False
知る,動詞,2,1,知り,知る,1420470,,False
戦う,動詞,2,1,戦おう,戦う,1596960,,False
呼ぶ,動詞,2,1,呼ぶ,呼ぶ,1266440,,False
存在,名詞,2,1,存在,存在,1406150,,False
君,接尾辞,2,1,君,君,1247260,,False
子息,名詞,2,1,子息,子息,1307980,,False
実験,名詞,2,1,実験,実験,1320970,,False
小人,名詞,2,1,小人,小人,2860036,,False
君,代名詞,2,1,君,君-代名詞,1247260,,False
マスタング,名詞,2,1,マスタング,ムスタング-mustang,1132350,,False
必ず,副詞,2,1,必ず,必ず,1487400,,False
手,名詞,2,1,手,手,1327190,,False
よう,形状詞,2,1,よう,様,1605840,,False
ウソ,名詞,2,1,ウソ,嘘,1172400,,False
ホムンクルス,名詞,2,1,ホムンクルス,ホムンクルス-Homunculus,2037840,,False
必要,名詞,2,1,必要,必要,1487660,,False
大佐,名詞,2,1,大佐,大佐,1413740,,False
勝つ,動詞,2,1,勝っ,勝つ,1346150,,False
仲間,名詞,2,1,仲間,仲間,1425790,,False
チッ,副詞,2,1,チッ,ちっ,1077410,,False
力,名詞,2,1,力,力,1554820,,False
人生,名詞,2,1,人生,人生,1368370,,False
国,名詞,2,1,国,国,1592250,,False
代価,名詞,2,1,代価,代価,1411660,,False
元,名詞,2,1,元,元,2219590,,False
魂,名詞,2,1,魂,魂,1579170,,False
陣,名詞,2,1,陣,陣,1956490,,False
入れる,動詞,2,1,入れ,入れる,1465610,,False
准将,名詞,2,1,准将,准将,1341330,,False
ここ,代名詞,2,1,ここ,此処,1288810,,False
１人,名詞,2,1,１人,一人,1576150,,False
この世,名詞,2,1,この世,此の世,2002260,,False
あっち,代名詞,2,1,あっち,彼方,1483185,,False
部隊,名詞,1,1,部隊,部隊,1499430,,False
こんな,形状詞,1,1,こんな,こんな,1004880,,False
こない,形状詞,1,1,こない,こない,2398700,,False
こちら,代名詞,1,1,こちら,此方,1004500,,False
こいつ,代名詞,1,1,こいつ,此奴,1579070,,False
かなり,副詞,1,1,かなり,可成,1590560,,False
おのれ,代名詞,1,1,おのれ,己,1266890,,False
お,接頭辞,1,1,お,御,2826528,,False
あんた,代名詞,1,1,あんた,貴方,1979920,,False
こんな,連体詞,1,1,こんな,こんな,1004880,,False
