sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
こと,名詞,16,1,こと,事,1313580,,False
その,連体詞,13,1,その,其の,1006830,,False
私,代名詞,11,1,私,私-代名詞,1311110,,False
為る,動詞,11,1,する,為る,1157170,,False
ボク,代名詞,8,1,ボク,僕-代名詞,1521400,,False
遣る,動詞,8,1,やる,遣る,1012980,,False
オレ,代名詞,8,1,オレ,俺,1576870,,False
行く,動詞,7,1,いこう,行く,1578850,,False
言う,動詞,7,1,言う,言う,1587040,,False
良い,形容詞,7,1,いっ,良い,1605870,,False
お前,代名詞,7,1,お前,御前,1002290,,False
貰う,動詞,7,1,もらえ,貰う,1535910,,False
分かる,動詞,7,1,分かる,分かる,1606560,,False
男,名詞,6,1,男,男,1419990,,False
有る,動詞,6,1,あり,有る,1000580,,False
シン,名詞,6,1,シン,しん,1063370,,False
いろんな,連体詞,6,1,いろんな,色んな,1609270,,False
思う,動詞,6,1,思う,思う,1589350,,False
居る,動詞,5,1,いる,居る,1577980,,False
大丈夫,形状詞,5,1,大丈夫,大丈夫,1414150,,False
傷,名詞,5,1,傷,傷,1580260,,False
何,代名詞,5,1,何,何,1577100,,False
マスタング,名詞,5,1,マスタング,ムスタング-mustang,1132350,,False
君,接尾辞,5,1,君,君,1247260,,False
もう,副詞,5,1,もう,もう,1012480,,False
返る,動詞,5,1,帰る,返る,1512150,,False
スカ,名詞,5,1,スカ,スカ-ska,2115020,,False
たち,接尾辞,5,1,たち,達,1416220,,False
さん,接尾辞,5,1,さん,さん,1005340,,False
この,連体詞,5,1,この,此の,1582920,,False
者,名詞,4,1,者,者,2153760,,False
無い,形容詞,4,1,なく,無い,2029080,,False
ウィン,名詞,4,1,ウィン,ウィン-win,2859577,,False
メイ,名詞,4,1,メイ,メイ-May,2188120,,False
来る,動詞,4,1,来れ,来る,1547720,,False
全部,名詞,4,1,全部,全部,1396130,,False
心配,名詞,4,1,心配,心配,1360930,,False
家,接尾辞,4,1,家,家,1191730,,False
出来る,動詞,4,1,できる,出来る,1340450,,False
ヤオ,名詞,4,1,ヤオ,ヤオ,2215710,,False
人,名詞,4,1,人,人,1580640,,False
人,接尾辞,4,1,人,人,1580640,,False
あと,名詞,3,1,あと,後,1269320,,False
家,名詞,3,1,家,家,1191730,,False
助ける,動詞,3,1,助け,助ける,1344410,,False
半分,名詞,3,1,半分,半分,1479890,,False
バカ,名詞,3,1,バカ,馬鹿,1601260,,False
チャン,名詞,3,1,チャン,チャン,1585770 | 2249290,,True
奴,名詞,3,1,奴,奴,1445640,,False
大佐,名詞,3,1,大佐,大佐,1413740,,False
得る,動詞,3,1,得る,得る,1454500,,False
自分,名詞,3,1,自分,自分,1318610,,False
それ,代名詞,3,1,それ,其れ,1006970,,False
成る,動詞,3,1,なる,成る,2846738,,False
為さる,動詞,3,1,なさい,為さる,1157090,,False
もの,名詞,3,1,もの,物,1502390,,False
ちょっと,副詞,3,1,ちょっと,一寸,1163940,,False
法則,名詞,3,1,法則,法則,1517380,,False
石,名詞,3,1,石,石,1382440,,False
死,名詞,3,1,死,死,1310720,,False
時,名詞,3,1,時,時,1315840,,False
返す,動詞,3,1,帰す,返す,1512130,,False
足,名詞,3,1,足,足,1404630,,False
リン,名詞,3,1,リン,燐,1555530,,False
戻る,動詞,2,1,戻っ,戻る,1535880,,False
手,名詞,2,1,手,手,1327190,,False
探す,動詞,2,1,探せ,探す,1593670,,False
整備,名詞,2,1,整備,整備,1376240,,False
文化,名詞,2,1,文化,文化,1505120,,False
まだまだ,副詞,2,1,まだまだ,未だ未だ,1527150,,False
まだ,副詞,2,1,まだ,未だ,1527110,,False
また,副詞,2,1,また,又,1524930,,False
やっぱ,副詞,2,1,やっぱ,矢張り,2772780,,False
様,接尾辞,2,1,様,様,1545790,,False
生きる,動詞,2,1,生き,生きる,1378520,,False
痛み,名詞,2,1,痛み,痛み,1587300,,False
直る,動詞,2,1,治る,直る,2846390,,False
済む,動詞,2,1,済ん,済む,1295070,,False
民族,名詞,2,1,民族,民族,1604740,,False
死ぬ,動詞,2,1,死な,死ぬ,1310730,,False
皇女,名詞,2,1,皇女,姫御子,1280430,,False
無理,名詞,2,1,無理,無理,1530970,,False
どう,副詞,2,1,どう,どう,1008910,,False
見る,動詞,2,1,見,見る,2256270,,False
貴様,代名詞,2,1,貴様,貴様,1223620,,False
身,名詞,2,1,身,身,1365520,,False
解決,名詞,2,1,解決,解決,1198960,,False
しばらく,副詞,2,1,しばらく,暫く,1304420,,False
そんな,連体詞,2,1,そんな,そんな,1007130,,False
考える,動詞,2,1,考え,考える,1281020,,False
聞く,動詞,2,1,聞く,聞く,1591110,,False
そう,副詞,2,1,そう,そう,1006610,,False
ずっと,副詞,2,1,ずっと,ずっと,1006380,,False
知識,名詞,2,1,知識,知識,1420590,,False
知る,動詞,2,1,知っ,知る,1420470,,False
着く,動詞,2,1,着い,着く,1422970,,False
落ち込む,動詞,2,1,落ち込ん,落ち込む,1548570,,False
呼ぶ,動詞,2,1,呼べ,呼ぶ,1266440,,False
呉れる,動詞,2,1,くれ,呉れる,1269130,,False
声,名詞,2,1,声,声,1380440,,False
デン,副詞,2,1,デン,でん,2838471 | 2838487,,True
ノックス,名詞,2,1,ノックス,ノックス,2628930,,False
問題,名詞,2,1,問題,問題,1536010,,False
ホムンクルス,名詞,2,1,ホムンクルス,ホムンクルス-Homunculus,2037840,,False
復興,名詞,2,1,復興,復興,1500750,,False
小鳥,名詞,2,1,小鳥,小鳥,1348530,,False
悪い,形容詞,2,1,悪,悪い,1151260,,False
必要,名詞,2,1,必要,必要,1487660,,False
守る,動詞,2,1,守っ,守る,1327120,,False
子,名詞,2,1,子,子,1307770,,False
ホント,名詞,2,1,ホント,本当,1523060,,False
受け入れる,動詞,2,1,受け入れ,受け入れる,1329670,,False
使う,動詞,2,1,使っ,使う,1305990,,False
元,名詞,2,1,元,元,1260670,,False
元気,名詞,2,1,元気,元気,1260720,,False
入れる,動詞,2,1,入れ,入れる,1465610,,False
出る,動詞,2,1,出,出る,1896380,,False
名,名詞,2,1,名,名,1531330,,False
体,名詞,2,1,体,体,1409140,,False
