sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
バカ,名詞,46,1,バカ,馬鹿,1601260,,False
堀,名詞,44,1,堀,ホリ,1522060,,False
言う,動詞,25,1,言っ,言う,1587040,,False
こと,名詞,17,1,こと,事,1313580,,False
俺,代名詞,17,1,俺,俺,1576870,,False
何,代名詞,17,1,何,何,1577100,,False
さん,接尾辞,16,1,さん,さん,1005340,,False
良い,形容詞,14,1,いい,良い,1605870,,False
ごめん,名詞,14,1,ごめん,御免,1270670,,False
行く,動詞,12,1,行く,行く,1578850,,False
石川,名詞,11,1,石川,イシカワ,2845103,,False
思う,動詞,11,1,思えよ,思う,1589350,,False
君,接尾辞,10,1,君,君,1247260,,False
私,代名詞,10,1,私,私-代名詞,1311110,,False
ちょっと,副詞,8,1,ちょっと,一寸,1163940,,False
成る,動詞,8,1,なっ,成る,2846738,,False
分かる,動詞,7,1,分かん,分かる,1606560,,False
見る,動詞,7,1,み,見る,2256270,,False
為る,動詞,7,1,すりゃ,為る,1157170,,False
もう,副詞,6,1,もう,もう,1012480,,False
凄い,形容詞,6,1,すごい,凄い,1374550,,False
開ける,動詞,6,1,開け,開ける,1202450,,False
違う,動詞,6,1,違っ,違う,1158880,,False
時,名詞,5,1,時,時,1315840,,False
来る,動詞,5,1,来る,来る,1547720,,False
好き,形状詞,5,1,好き,好き,1277450,,False
家,名詞,5,1,家,家,1191730,,False
お前,代名詞,5,1,お前,御前,1002290,,False
この,連体詞,5,1,この,此の,1582920,,False
人,名詞,5,1,人,人,1580640,,False
卵,名詞,5,1,卵,卵,1549140,,False
そんな,連体詞,5,1,そんな,そんな,1007130,,False
有る,動詞,5,1,ある,有る,1000580,,False
学校,名詞,4,1,学校,学校,1206730,,False
オタク,代名詞,4,1,オタク,御宅,1034420,,False
その,連体詞,4,1,その,其の,1006830,,False
釣り合う,動詞,4,1,釣り合わ,釣り合う,1434050,,False
暑い,形容詞,4,1,暑い,暑い,1343460,,False
そう,副詞,4,1,そう,そう,1006610,,False
これ,代名詞,4,1,これ,此れ,1628530,,False
仲よく,副詞,4,1,仲よく,仲良く,1426090,,False
先生,名詞,4,1,先生,先生,1387990,,False
ピアス,名詞,4,1,ピアス,ピアス,1106360,,False
本当,名詞,4,1,本当,本当,1523060,,False
話す,動詞,4,1,話し,話す,1562350,,False
時間,名詞,4,1,時間,時間,1315920,,False
避ける,動詞,3,1,避け,避ける,1583260,,False
顔,名詞,3,1,顔,顔,1217730,,False
あんな,連体詞,3,1,あんな,あんな,1000590,,False
会う,動詞,3,1,会っ,会う,1198180,,False
持つ,動詞,3,1,持て,持つ,1315720,,False
勉強,名詞,3,1,勉強,勉強,1512670,,False
体育,名詞,3,1,体育,体育,1409200,,False
出来る,動詞,3,1,できる,出来る,1340450,,False
きのう,名詞,3,1,きのう,昨日,1579260,,False
わけ,名詞,3,1,わけ,訳,1538330,,False
プール,名詞,3,1,プール,プール-pool,1115150,,False
マジ,形状詞,3,1,マジ,まじ,1127680,,False
格好,名詞,3,1,格好,格好,1590480,,False
やつ,名詞,3,1,やつ,奴,1445640,,False
少し,副詞,3,1,少し,少し,1348870,,False
大丈夫,形状詞,3,1,大丈夫,大丈夫,1414150,,False
マラソン,名詞,3,1,マラソン,マラソン-marathon,1129290,,False
付き合う,動詞,3,1,つきあう,付き合う,1597790,,False
まあ,副詞,3,1,まあ,まあ,1012050,,False
見せる,動詞,3,1,見せ,見せる,1259210,,False
そう,形状詞,3,1,そう,そう-様態,1006610,,False
為さる,動詞,3,1,なさい,為さる,1157090,,False
みたい,形状詞,3,1,みたい,みたい,2016410,,False
止まる,動詞,3,1,止まら,止まる,1310620,,False
隠す,動詞,2,1,隠す,隠す,1170650,,False
遣る,動詞,2,1,やっ,遣る,1012980,,False
２人,名詞,2,1,２人,二人,1582670,,False
あいつ,代名詞,2,1,あいつ,彼奴,1483160,,False
普通,名詞,2,1,普通,普通,1497190,,False
来年,名詞,2,1,来年,来年,1548220,,False
また,副詞,2,1,また,又,1524930,,False
ほか,名詞,2,1,ほか,他,1203260,,False
男,名詞,2,1,男,男,1419990,,False
海,名詞,2,1,海,海,1201190,,False
無視,名詞,2,1,無視,無視,1530020,,False
気,名詞,2,1,気,気,1221520,,False
気付く,動詞,2,1,気づく,気付く,1591330,,False
残業,名詞,2,1,残業,残業,1304560,,False
株,名詞,2,1,株,株,1208920,,False
もてる,動詞,2,1,モテる,もてる,1315730,,False
もし,副詞,2,1,もし,若し,1012500,,False
珍しい,形容詞,2,1,珍しい,珍しい,1431850,,False
諦める,動詞,2,1,諦める,諦める,1436730,,False
買う,動詞,2,1,買っ,買う,1473740,,False
転ぶ,動詞,2,1,転ん,転ぶ,1582130,,False
返る,動詞,2,1,帰り,返る,1512150,,False
遊ぶ,動詞,2,1,遊び,遊ぶ,1542160,,False
ごはん,名詞,2,1,ごはん,御飯,1270590,,False
ご,接頭辞,2,1,ご,御,1270190,,False
返る,名詞,2,1,帰り,帰り,1221250,,False
貰う,動詞,2,1,もらっ,貰う,1535910,,False
話,名詞,2,1,話,話,1600900,,False
苦い,形容詞,2,1,苦い,苦い,1244310,,False
良い,副詞,2,1,よく,良く,1605870,,False
聞く,動詞,2,1,聞か,聞く,1591110,,False
とこ,名詞,2,1,とこ,所,1343100,,False
ちょっ,副詞,2,1,ちょっ,一寸,2845172,,False
カラオケ,名詞,2,1,カラオケ,カラオケ,1038660,,False
断る,動詞,2,1,断っ,断る,1419570,,False
最近,名詞,2,1,最近,最近,1293780,,False
呉れる,動詞,2,1,くれ,呉れる,1269130,,False
声,名詞,2,1,声,声,1380440,,False
変,名詞,2,1,変,変,1510640,,False
嫌,形状詞,2,1,嫌,嫌,1587610,,False
委員,名詞,2,1,委員,委員,1156100,,False
意外,形状詞,2,1,意外,意外,1156410,,False
感じ,名詞,2,1,感じ,感じ,1212250,,False
掛ける,動詞,2,1,かけ,掛ける,1207610,,False
悪い,形容詞,2,1,悪かっ,悪い,1151260,,False
怒る,動詞,2,1,怒る,怒る,1445690,,False
急,名詞,2,1,急,急,1228560,,False
平気,名詞,2,1,平気,平気,1507180,,False
忘れる,動詞,2,1,忘れ,忘れる,1519210,,False
モノ,名詞,2,1,モノ,物,1502390,,False
下さる,動詞,2,1,ください,下さる,1184280,,False
中,名詞,2,1,中,中,1423310,,False
出す,動詞,2,1,出す,出す,1338180,,False
メガネ,名詞,2,1,メガネ,眼鏡,1577670,,False
入れ墨,名詞,2,1,入れ墨,入れ墨,1587810,,False
同じ,連体詞,2,1,同じ,同じ,1451750,,False
分,名詞,2,1,分,分,1502840,,False
仕方無い,形容詞,2,1,しかたない,仕方無い,1305440,,False
他人,名詞,2,1,他人,他人,1581400,,False
以外,名詞,2,1,以外,以外,1155090,,False
付く,動詞,2,1,付き,付く,1495740,,False
きょう,名詞,2,1,きょう,今日,1233320 | 1235400 | 1235870 | 1235950 | 1277850 | 1564900 | 1578080 | 1579110 | 1922000 | 1956170 | 2020300 | 2081470 | 2145770 | 2151440 | 2230340 | 2427490,,True
食べる,動詞,2,1,食べ,食べる,1358280,,False
お,接頭辞,2,1,お,御,2826528,,False
いろいろ,形状詞,2,1,いろいろ,色々,1587850,,False
あと,名詞,1,1,あと,後,1269320,,False
あなた,代名詞,1,1,あなた,貴方,1223615,,False
あまり,副詞,1,1,あまり,余り,1584930,,False
いっそ,副詞,1,1,いっそ,いっそ,2613280,,False
いな,連体詞,1,1,いな,異な,2229790,,False
いよいよ,副詞,1,1,いよいよ,愈,1587670,,False
うざい,形容詞,1,1,うぜー,うざい,1949750,,False
えと,名詞,1,1,えと,干支,1650120,,False
きちんと,副詞,1,1,きちんと,きちんと,1003400,,False
けっこう,副詞,1,1,けっこう,結構,1254760,,False
集まる,動詞,1,1,集まっ,集まる,1333550,,False
雑誌,名詞,1,1,雑誌,雑誌,1299400,,False
零れる,動詞,1,1,こぼれる,零れる,1557650,,False
面倒,名詞,1,1,面倒,面倒,1533550,,False
面白い,形容詞,1,1,おもしろい,面白い,1533580,,False
頼む,動詞,1,1,頼ま,頼む,1548370,,False
食材,名詞,1,1,食材,食材,1983500,,False
飲み物,名詞,1,1,飲み物,飲み物,1600430,,False
飾り気,名詞,1,1,飾り気,飾り気,1357170,,False
驚き,名詞,1,1,驚き,驚き,1238660,,False
驚く,動詞,1,1,驚い,驚く,1238680,,False
髪,名詞,1,1,髪,髪,1477950,,False
髪型,名詞,1,1,髪型,髪型,1954390,,False
麦茶,名詞,1,1,麦茶,麦茶,1476230,,False
乗る,動詞,1,1,載っ,乗る,1355120,,False
交尾む,動詞,1,1,つるん,交尾む,1920220,,False
今,名詞,1,1,今,今,1288850,,False
余る,動詞,1,1,余る,余る,1543910,,False
作る,動詞,1,1,作る,作る,1597890,,False
使う,動詞,1,1,使わ,使う,1305990,,False
偶然,副詞,1,1,偶然,偶然,1246270,,False
僕,代名詞,1,1,僕,僕-代名詞,1521400,,False
入る,動詞,1,1,へへッ,入る,1465590,,False
全く,副詞,1,1,全く,全く,1394800,,False
全然,副詞,1,1,全然,全然,1395620,,False
全部,名詞,1,1,全部,全部,1396130,,False
冬服,名詞,1,1,冬服,冬服,1698090,,False
出る,動詞,1,1,出,出る,1896380,,False
前,名詞,1,1,前,前,1392580,,False
前向き,形状詞,1,1,前向き,前向き,1392970,,False
