sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
言う,動詞,26,1,いう,言う,1587040,,False
こと,名詞,22,1,こと,事,1313580,,False
私,代名詞,22,1,私,私-代名詞,1311110,,False
成る,動詞,14,1,なっ,成る,2846738,,False
雪,名詞,12,1,雪,雪,1386500,,False
さん,接尾辞,9,1,さん,さん,1005340,,False
分かる,動詞,8,1,分かっ,分かる,1606560,,False
来る,動詞,8,1,こよ,来る,1547720,,False
俺,代名詞,8,1,俺,俺,1576870,,False
桜,名詞,8,1,桜,桜,1593710,,False
為る,動詞,8,1,すん,為る,1157170,,False
返事,名詞,7,1,返事,返事,1512220,,False
思う,動詞,7,1,思う,思う,1589350,,False
君,接尾辞,7,1,君,君,1247260,,False
彼氏,名詞,6,1,彼氏,彼氏,1483140,,False
欲しい,形容詞,5,1,欲しい,欲しい,1547330,,False
明るい,形容詞,5,1,明るく,明るい,1532350,,False
良い,形容詞,5,1,いい,良い,1605870,,False
行く,動詞,5,1,行く,行く,1578850,,False
付き合う,動詞,5,1,つきあっ,付き合う,1597790,,False
狡い,形容詞,5,1,ずるい,狡い,1569240,,False
最近,名詞,5,1,最近,最近,1293780,,False
ちゃん,接尾辞,5,1,ちゃん,ちゃん,1007660,,False
話,名詞,4,1,話,話,1600900,,False
ちょっと,副詞,4,1,ちょっと,一寸,1163940,,False
約束,名詞,4,1,約束,約束,1538130,,False
知る,動詞,4,1,知っ,知る,1420470,,False
何,代名詞,4,1,何,何,1577100,,False
そんな,連体詞,4,1,そんな,そんな,1007130,,False
寒い,形容詞,4,1,寒い,寒い,1210360,,False
呉れる,動詞,4,1,くれ,呉れる,1269130,,False
もう,副詞,4,1,もう,もう,1012480,,False
クッキー,名詞,4,1,クッキー,クッキー-cookie,1043760,,False
逆,名詞,4,1,逆,逆,1226960,,False
きょう,名詞,4,1,きょう,今日,1579110,,False
初めて,副詞,3,1,初めて,初めて,1342550,,False
２人,名詞,3,1,２人,二人,1582670,,False
作る,動詞,3,1,作ら,作る,1597890,,False
メール,名詞,3,1,メール,メール-mail,1132620,,False
返る,動詞,3,1,返っ,返る,1512150,,False
上げる,動詞,3,1,あげる,上げる,1352320,,False
テスト,名詞,3,1,テスト,テスト-test,1079760,,False
きっと,副詞,3,1,きっと,急度,1003430,,False
降る,動詞,3,1,降ら,降る,1282790,,False
仲よく,副詞,3,1,仲よく,仲良く,1426090,,False
日,名詞,3,1,日,日,1463770,,False
女,名詞,3,1,女,女,1344930,,False
違う,動詞,3,1,違う,違う,1158880,,False
掃除,名詞,3,1,掃除,掃除,1399790,,False
振る,動詞,3,1,フラ,振る,1361330,,False
柳,名詞,3,1,柳,リュウ,1538490,,False
本当,名詞,3,1,本当,本当,1523060,,False
有る,動詞,3,1,ある,有る,1296400,,False
画材,名詞,3,1,画材,画材,1197200,,False
真っ白,形状詞,3,1,真っ白,真っ白,1580620,,False
ごめん,名詞,3,1,ごめん,御免,1270670,,False
要る,動詞,3,1,いら,要る,1546640,,False
見る,動詞,3,1,見,見る,2256270,,False
堀,名詞,2,1,堀,ホリ,1522060,,False
かぜ,名詞,2,1,かぜ,風邪,1499720,,False
釣り合う,動詞,2,1,釣り合わ,釣り合う,1434050,,False
お,接頭辞,2,1,お,御,2089690,,False
困る,動詞,2,1,困っ,困る,1289590,,False
また,副詞,2,1,また,又,1524930,,False
出来る,動詞,2,1,でき,出来る,1340450,,False
まさか,副詞,2,1,まさか,まさか,1363540,,False
それ,代名詞,2,1,それ,其れ,1006970,,False
嬉しい,形容詞,2,1,うれしい,嬉しい,1219510,,False
周り,名詞,2,1,周り,周り,1604290,,False
塾,名詞,2,1,塾,塾,1337780,,False
入る,動詞,2,1,入っ,入る,1465590,,False
バカ,名詞,2,1,バカ,馬鹿,1601260,,False
トイレ,名詞,2,1,トイレ,トイレ-toilet,1084810,,False
優しい,形容詞,2,1,優しい,優しい,1539040,,False
キレイ,形状詞,2,1,キレイ,奇麗,1591900,,False
好き,形状詞,2,1,好き,好き,1277450,,False
勘違い,名詞,2,1,勘違い,勘違い,1210620,,False
わけ,名詞,2,1,わけ,訳,1538330,,False
伝える,動詞,2,1,伝え,伝える,1441870,,False
大丈夫,形状詞,2,1,大丈夫,大丈夫,1414150,,False
よく,副詞,2,1,よく,良く,1605870,,False
居る,動詞,2,1,いる,居る,1577980,,False
恋人,名詞,2,1,恋人,恋人,1558920,,False
怖い,形容詞,2,1,怖く,怖い,1593480,,False
怒る,動詞,2,1,怒ら,怒る,1445690,,False
律儀,名詞,2,1,律儀,律儀,1551170,,False
どうせ,副詞,2,1,どうせ,どうせ,1008950,,False
つもり,名詞,2,1,つもり,積り,1382980,,False
取る,動詞,2,1,取ら,取る,1326980,,False
あした,名詞,2,1,あした,明日,1584660,,False
今,名詞,2,1,今,今,1288850,,False
戻る,動詞,2,1,戻ろう,戻る,1535880,,False
悪い,形容詞,2,1,悪,悪い,1151260,,False
止める,動詞,2,1,やめろ,止める,1310680,,False
人,名詞,2,1,人,人,1580640,,False
あれ,代名詞,2,1,あれ,彼れ,1000580,,False
本屋,名詞,2,1,本屋,本屋,1522240,,False
