sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
君,接尾辞,41,1,君,君,1247260,,False
柳,名詞,18,1,柳,柳,1538490,,False
俺,代名詞,17,1,俺,俺,1576870,,False
こと,名詞,16,1,こと,事,1313580,,False
言う,動詞,15,1,言っ,言う,1587040,,False
私,代名詞,13,1,私,私-代名詞,1311110,,False
何,代名詞,12,1,何,何,1577100,,False
さん,接尾辞,11,1,さん,さん,1005340,,False
笑う,動詞,9,1,笑っ,笑う,1351360,,False
遣る,動詞,8,1,やる,遣る,2083340,,False
妹,名詞,8,1,妹,妹,1524590,,False
仲よし,名詞,7,1,仲よし,仲良し,1426100,,False
居る,動詞,7,1,いる,居る,1577980,,False
お,接頭辞,7,1,お,御,2826528,,False
呼ぶ,動詞,7,1,呼び,呼ぶ,1266440,,False
来る,動詞,7,1,こい,来る,1547720,,False
為る,動詞,6,1,しろ,為る,1157170,,False
先生,名詞,6,1,先生,先生,1387990,,False
ちょっと,副詞,6,1,ちょっと,一寸,1163940,,False
食べる,動詞,6,1,食べ,食べる,1358280,,False
勉強,名詞,6,1,勉強,勉強,1512670,,False
ごめん,名詞,6,1,ごめん,御免,1270670,,False
バイ,名詞,5,1,バイ,バイ-by,1097450,,False
秀,名詞,5,1,秀,シュウ,2255010,,False
ダメ,名詞,5,1,ダメ,駄目,1409110,,False
東,名詞,5,1,東,東,1447440,,False
良い,形容詞,5,1,いい,良い,1605870,,False
取る,動詞,5,1,取り,取る,1326980,,False
家,名詞,5,1,家,家,1191730,,False
待つ,動詞,5,1,待て,待つ,1410590,,False
怒る,動詞,5,1,怒っ,怒る,1445690,,False
夕飯,名詞,5,1,夕飯,夕飯,1584910,,False
見る,動詞,5,1,見,見る,2256270,,False
これ,代名詞,5,1,これ,此れ,1628530,,False
有る,動詞,5,1,あれ,有る,1296400,,False
石川,名詞,5,1,石川,イシカワ,2845103,,False
行く,動詞,5,1,行こう,行く,1578850,,False
そもそも,名詞,4,1,そもそも,抑,1006950,,False
とこ,名詞,4,1,とこ,所,1343100,,False
堀,名詞,4,1,堀,堀,1522060,,False
変える,動詞,4,1,変え,変える,1510650,,False
そう,副詞,4,1,そう,そう,2249280,,False
もっと,副詞,4,1,もっと,もっと,1012620,,False
みんな,名詞,4,1,みんな,皆,1202150,,False
まあ,副詞,4,1,まあ,まあ,1012050,,False
ちゃん,接尾辞,4,1,ちゃん,ちゃん,1007660,,False
序列,名詞,4,1,序列,序列,1345550,,False
移す,動詞,4,1,うつさ,移す,1158160,,False
煩い,形容詞,4,1,うるさく,煩い,1481920,,False
友達,名詞,4,1,友達,友達,1540170,,False
あんまり,副詞,4,1,あんまり,余り,1584930,,False
名前,名詞,4,1,名前,名前,1531710,,False
思う,動詞,4,1,思っ,思う,1589350,,False
嫌う,動詞,4,1,嫌わ,嫌う,1257250,,False
仲よく,副詞,4,1,仲よく,仲良く,1426090,,False
高い,形容詞,3,1,高い,高い,1283190,,False
１番,副詞,3,1,１番,一番,1165970,,False
受ける,動詞,3,1,受ける,受ける,1329590,,False
きょう,名詞,3,1,きょう,今日,1579110,,False
会長,名詞,3,1,会長,会長,1198770,,False
成る,動詞,3,1,なる,成る,2846738,,False
持つ,動詞,3,1,持っ,持つ,1315720,,False
人,名詞,3,1,人,人,1580640,,False
面白い,形容詞,3,1,おもしろい,面白い,1533580,,False
お前,代名詞,3,1,お前,御前,1002290,,False
わけ,名詞,3,1,わけ,訳,1538330,,False
為さる,動詞,3,1,なさい,為さる,1157090,,False
無理,名詞,3,1,無理,無理,1530970,,False
周り,名詞,3,1,周り,周り,1604290,,False
大丈夫,形状詞,3,1,大丈夫,大丈夫,1414150,,False
敬語,名詞,3,1,敬語,敬語,1250750,,False
バカ,名詞,3,1,バカ,馬鹿,1601260,,False
知る,動詞,3,1,知ら,知る,1420470,,False
もと,名詞,3,1,もと,下,2004390,,False
そんな,連体詞,3,1,そんな,そんな,1007130,,False
要る,動詞,3,1,いら,要る,1546640,,False
返る,動詞,3,1,帰る,返る,1512150,,False
メール,名詞,3,1,メール,メール-mail,1132620,,False
聞こえる,動詞,3,1,聞こえ,聞こえる,1591150,,False
買う,動詞,2,1,買っ,買う,1473740,,False
じゃんけん,名詞,2,1,じゃんけん,じゃんけん,1005970,,False
良い,副詞,2,1,よく,良く,1605870,,False
さすが,副詞,2,1,さすが,流石,1552390,,False
あいつ,代名詞,2,1,あいつ,彼奴,1483160,,False
うち,名詞,2,1,うち,内,1191740,,False
飲む,動詞,2,1,飲める,飲む,1169870,,False
１人,名詞,2,1,１人,一人,1576150,,False
ココア,名詞,2,1,ココア,ココア-cocoa,1050010,,False
ケンカ,名詞,2,1,ケンカ,喧嘩,1257040,,False
決める,動詞,2,1,決める,決める,1254180,,False
フッ,副詞,2,1,フッ,ふっ,2558020,,False
悪気,名詞,2,1,悪気,悪気,1151560,,False
最近,名詞,2,1,最近,最近,1293780,,False
方,接尾辞,2,1,方,方,1516925,,False
普通,名詞,2,1,普通,普通,1497190,,False
禁止,名詞,2,1,禁止,禁止,1241550,,False
どこ,代名詞,2,1,どこ,何処,1577140,,False
素直,形状詞,2,1,素直,素直,1397340,,False
考える,動詞,2,1,考え,考える,1281020,,False
また,副詞,2,1,また,又,1524930,,False
狡い,形容詞,2,1,ずるい,狡い,1569240,,False
誰,代名詞,2,1,誰,誰,1416830,,False
負ける,動詞,2,1,負け,負ける,1497980,,False
この,連体詞,2,1,この,此の,1582920,,False
直る,動詞,2,1,治っ,直る,2846390,,False
やなぎ,名詞,2,1,やなぎ,柳,1538490,,False
殴る,動詞,2,1,殴っ,殴る,1181390,,False
止める,動詞,2,1,やめ,止める,1310680,,False
タイミング,名詞,2,1,タイミング,タイミング-timing,1076000,,False
測る,動詞,2,1,測り,測る,1600650,,False
教える,動詞,2,1,教える,教える,1236900,,False
ランク,名詞,2,1,ランク,ランク-rank,1139960,,False
ブラックリスト,名詞,2,1,ブラックリスト,ブラックリスト-blacklist,1113980,,False
バナナ,名詞,2,1,バナナ,バナナ-banana,1099420,,False
下,名詞,2,1,下,下,1184140,,False
凄い,形容詞,2,1,すげえ,凄い,1374550,,False
出る,動詞,2,1,出,出る,1896380,,False
冗談,名詞,2,1,冗談,冗談,1355540,,False
分かる,動詞,2,1,分かっ,分かる,1606560,,False
平気,名詞,2,1,平気,平気,1507180,,False
わりと,副詞,2,1,わりと,割と,1983690,,False
慣れる,動詞,2,1,慣れ,慣れる,1212670,,False
技,名詞,2,1,技,技,1225090,,False
チョコ,名詞,2,1,チョコ,チョコ-chocolate,1078260,,False
似る,動詞,2,1,似,似る,1314600,,False
弱い,形容詞,2,1,弱い,弱い,1324520,,False
入る,動詞,2,1,入っ,入る,1465590,,False
嫌,形状詞,2,1,嫌,嫌,1587610,,False
中,名詞,2,1,中,中,1423310,,False
呉れる,動詞,2,1,くれ,呉れる,1269130,,False
可笑しい,形容詞,2,1,おかしい,可笑しい,1190860,,False
君,代名詞,2,1,君,君-代名詞,1247260,,False
学校,名詞,2,1,学校,学校,1206730,,False
可愛い,形容詞,2,1,かわいい,可愛い,1577200,,False
受かる,動詞,2,1,受から,受かる,1329580,,False
かぜ,名詞,2,1,かぜ,風邪,1499720,,False
制服,名詞,2,1,制服,制服,1374940,,False
地味,形状詞,2,1,地味,地味,1421490,,False
声,名詞,2,1,声,声,1380440,,False
けっこう,副詞,2,1,けっこう,結構,1254760,,False
きのう,名詞,2,1,きのう,機能,1579260,,False
違う,動詞,2,1,違う,違う,1158880,,False
違い,名詞,2,1,違い,違い,1158870,,False
あまり,副詞,1,1,あまり,余り,1584930,,False
いくら,副詞,1,1,いくら,幾ら,1219980,,False
いじける,動詞,1,1,いじけ,いじける,1000780,,False
いっぱい,副詞,1,1,いっぱい,一杯,1165670,,False
階段,名詞,1,1,階段,階段,1203090,,False
重い,形容詞,1,1,重い,重い,1335750,,False
部屋,名詞,1,1,部屋,部屋,1499320,,False
選ぶ,動詞,1,1,選べ,選ぶ,1588730,,False
適当,名詞,1,1,適当,適当,1437450,,False
達する,動詞,1,1,達し,達する,1416230,,False
遅れる,動詞,1,1,遅れ,遅れる,1589040,,False
遅い,形容詞,1,1,遅く,遅い,1421970,,False
頑張る,動詞,1,1,頑張れ,頑張る,1217700,,False
雪,名詞,1,1,雪,雪,1386500,,False
離れる,動詞,1,1,離れ,離れる,1550840,,False
集中,名詞,1,1,集中,集中,1333750,,False
こうこう,形状詞,1,1,こうこう,煌々,1283500,,False
ぐ,名詞,1,1,ぐ,具,1244950 | 1615350,,True
くせ,接尾辞,1,1,くせ,臭い,1509350,,False
きょうだい,名詞,1,1,きょうだい,兄弟,1249960,,False
がん,名詞,1,1,がん,癌,1217110,,False
かた,名詞,1,1,かた,方,1250090,,False
化学,名詞,1,1,化学,化学,1186760,,False
勝つ,動詞,1,1,勝つ,勝つ,1346150,,False
初めて,副詞,1,1,初めて,初めて,1342550,,False
増やす,動詞,1,1,増やし,増やす,1602880,,False
図,名詞,1,1,図,図,1370320,,False
困る,動詞,1,1,困っ,困る,1289590,,False
喋る,動詞,1,1,しゃべん,喋る,1427510,,False
優しい,形容詞,1,1,優しく,優しい,1539040,,False
偉い,形容詞,1,1,偉い,偉い,1155780,,False
何,名詞,1,1,何,何,1577100,,False
同じ,連体詞,1,1,同じ,同じ,1451750,,False
同じ,形状詞,1,1,同じ,同じ,1451750,,False
受検,名詞,1,1,受検,受検,1329730,,False
反省,名詞,1,1,反省,反省,1480540,,False
即,副詞,1,1,即,即,2264220,,False
向かう,動詞,1,1,向かっ,向かう,1604800,,False
名字,名詞,1,1,名字,名字,1604730,,False
寝る,動詞,1,1,寝,寝る,1360010,,False
寒気,名詞,1,1,寒気,寒気,1210410,,False
寄る,動詞,1,1,寄っ,寄る,1219680,,False
家,接尾辞,1,1,家,家,1191730,,False
