sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
私,代名詞,18,1,私,私-代名詞,1311110,,False
言う,動詞,17,1,いう,言う,1587040,,False
見る,動詞,17,1,見,見る,2256270,,False
君,接尾辞,17,1,君,君,1247260,,False
来る,動詞,15,1,来ん,来る,1547720,,False
こと,名詞,15,1,こと,事,1313580,,False
ケーキ,名詞,13,1,ケーキ,ケーキ-cake,1047860,,False
返る,動詞,11,1,帰ら,返る,1512150,,False
何,代名詞,11,1,何,何,1577100,,False
為る,動詞,10,1,する,為る,1157170,,False
さん,接尾辞,10,1,さん,さん,1005340,,False
思う,動詞,9,1,思う,思う,1589350,,False
俺,代名詞,9,1,俺,俺,1576870,,False
お前,代名詞,9,1,お前,御前,1002290,,False
クリスマス,名詞,9,1,クリスマス,クリスマス-Christmas,1044830,,False
居る,動詞,9,1,い,居る,1577980,,False
早い,形容詞,8,1,早く,早い,1404975,,False
来年,名詞,8,1,来年,来年,1548220,,False
行く,動詞,8,1,行っ,行く,1578850,,False
トランプ,名詞,8,1,トランプ,トランプ-trump,1086410,,False
無い,形容詞,8,1,なく,無い,2029080,,False
ごめん,名詞,7,1,ごめん,御免,1270670,,False
もう,副詞,7,1,もう,もう,1012480,,False
良い,形容詞,7,1,いい,良い,1605870,,False
成る,動詞,7,1,なっ,成る,2846738,,False
聞く,動詞,7,1,聞い,聞く,1591110,,False
数学,名詞,7,1,数学,数学,1372980,,False
入る,動詞,7,1,入っ,入る,1465590,,False
見える,動詞,6,1,見え,見える,1259140,,False
堀,名詞,6,1,堀,ホリ,1522060,,False
呉れる,動詞,6,1,くれ,呉れる,1269130,,False
卒業,名詞,6,1,卒業,卒業,1405890,,False
部屋,名詞,6,1,部屋,部屋,1499320,,False
お,接頭辞,6,1,お,御,2826528,,False
あなた,代名詞,6,1,あなた,貴方,1223615,,False
買う,動詞,5,1,買っ,買う,1473740,,False
最初,名詞,5,1,最初,最初,1293990,,False
出来る,動詞,5,1,できる,出来る,1340450,,False
バカ,名詞,5,1,バカ,馬鹿,1601260,,False
取る,動詞,5,1,取ら,取る,1326980,,False
誰,代名詞,4,1,誰,誰,1416830,,False
家,名詞,4,1,家,家,1191730,,False
付き合う,動詞,4,1,つきあう,付き合う,1597790,,False
好き,形状詞,4,1,好き,好き,1277450,,False
テレビ,名詞,4,1,テレビ,テレビ-television,1080510,,False
きょう,名詞,4,1,きょう,今日,1579110,,False
赤点,名詞,4,1,赤点,赤点,2153820,,False
ダメ,名詞,4,1,ダメ,駄目,1409110,,False
コンタクト,名詞,4,1,コンタクト,コンタクト-contact,1052410,,False
呼ぶ,動詞,4,1,呼ん,呼ぶ,1266440,,False
まあ,副詞,4,1,まあ,まあ,1012050,,False
人,名詞,4,1,人,人,1580640,,False
今,名詞,4,1,今,今,1288850,,False
高３,名詞,4,1,高３,高三,2269800,,False
これ,代名詞,3,1,これ,此れ,1628530,,False
どう,副詞,3,1,どう,どう,1008910,,False
鼻,名詞,3,1,鼻,鼻,1486720,,False
捨てる,動詞,3,1,捨てろ,捨てる,1322320,,False
もちろん,副詞,3,1,もちろん,勿論,1535780,,False
その,連体詞,3,1,その,其の,1006830,,False
そんな,連体詞,3,1,そんな,そんな,1007130,,False
ちょっと,副詞,3,1,ちょっと,一寸,1163940,,False
ちゃんと,副詞,3,1,ちゃんと,ちゃんと,1007720,,False
擤む,動詞,3,1,かん,擤む,1632670,,False
欠点,名詞,3,1,欠点,欠点,1254050,,False
顔,名詞,3,1,顔,顔,1217730,,False
無理,名詞,3,1,無理,無理,1530970,,False
短所,名詞,3,1,短所,短所,1418760,,False
笑う,動詞,3,1,笑っ,笑う,1351360,,False
良い,動詞,3,1,いい,言う,1605870,,False
さっき,名詞,3,1,さっき,さっき,1005180,,False
可愛い,形容詞,3,1,かわいく,可愛い,1577200,,False
変,名詞,3,1,変,変,1510640,,False
もの,名詞,3,1,もの,物,1502390,,False
人気,名詞,3,1,人気,人気,1367010,,False
勉強,名詞,3,1,勉強,勉強,1512670,,False
似る,動詞,3,1,似,似る,1314600,,False
大丈夫,形状詞,3,1,大丈夫,大丈夫,1414150,,False
打ち殺す,動詞,3,1,ぶっ殺す,打ち殺す,1113360,,False
ティッシュ,名詞,3,1,ティッシュ,ティッシュ-tissue,1079090,,False
ステキ,形状詞,3,1,ステキ,素敵,1397350,,False
ゲーム,名詞,3,1,ゲーム,ゲーム-game,1048400,,False
ショーケース,名詞,3,1,ショーケース,ショーケース-showcase,1062270,,False
あれ,代名詞,3,1,あれ,彼れ,1000580,,False
カマキリ,名詞,3,1,カマキリ,蟷螂,1585940,,False
違う,動詞,3,1,違う,違う,1158880,,False
邪魔,名詞,3,1,邪魔,邪魔,1323500,,False
こちら,代名詞,3,1,こちら,此方,1004500,,False
うち,名詞,3,1,うち,内,1191740,,False
いっぱい,副詞,2,1,いっぱい,一杯,1165670,,False
いろいろ,副詞,2,1,いろいろ,色々,1587850,,False
遣る,動詞,2,1,やっ,遣る,2083340,,False
わけ,名詞,2,1,わけ,訳,1538330,,False
マジ,形状詞,2,1,マジ,まじ,1127680,,False
上げる,動詞,2,1,あげる,上げる,1352320,,False
マイスター,名詞,2,1,マイスター,マイスター-Meister,2272000,,False
フッ,副詞,2,1,フッ,ふっ,2558020,,False
国語,名詞,2,1,国語,国語,1286370,,False
子,名詞,2,1,子,子,1307770,,False
凄い,形容詞,2,1,すっごい,凄い,1374550,,False
分かる,動詞,2,1,分から,分かる,1606560,,False
以外,名詞,2,1,以外,以外,1155090,,False
会う,動詞,2,1,会う,会う,1198180,,False
予約,名詞,2,1,予約,予約,1543750,,False
今頃,名詞,2,1,今頃,今頃,1289160,,False
怖い,形容詞,2,1,怖かっ,怖い,1593480,,False
幸せ,名詞,2,1,幸せ,幸せ,1594060,,False
嫌,形状詞,2,1,嫌,嫌,1587610,,False
忘れる,動詞,2,1,忘れ,忘れる,1519210,,False
寒い,形容詞,2,1,寒い,寒い,1210360,,False
寂しい,形容詞,2,1,寂しい,寂しい,1579720,,False
それ,代名詞,2,1,それ,其れ,1006970,,False
まだ,副詞,2,1,まだ,未だ,1527110,,False
ほんと,名詞,2,1,ほんと,本当,1523060,,False
持つ,動詞,2,1,持ち,持つ,1315720,,False
どうぞ,副詞,2,1,どうぞ,どうぞ,1189130,,False
そう,副詞,2,1,そう,そう,2137720,,False
手伝う,動詞,2,1,手伝わ,手伝う,1328190,,False
感じ,名詞,2,1,感じ,感じ,1212250,,False
悪い,形容詞,2,1,悪い,悪い,1151260,,False
恋愛,名詞,2,1,恋愛,恋愛,1558800,,False
ち,名詞,2,1,ち,家,2858378,,False
ちゃん,接尾辞,2,1,ちゃん,ちゃん,1007660,,False
終わる,動詞,2,1,終わる,終わる,1589600,,False
聞こえる,動詞,2,1,聞こえ,聞こえる,1591150,,False
虫,名詞,2,1,虫,虫,1426680,,False
空く,動詞,2,1,空い,空く,1586270,,False
自分,名詞,2,1,自分,自分,1318610,,False
頑張る,動詞,2,1,頑張っ,頑張る,1217700,,False
ところ,名詞,2,1,ところ,所,1343100,,False
すぐ,副詞,2,1,すぐ,直ぐ,1430610,,False
１人,名詞,2,1,１人,一人,1576150,,False
譲る,動詞,2,1,譲っ,譲る,1357030,,False
ことし,名詞,2,1,ことし,今年,1579130,,False
話,名詞,2,1,話,話,1600900,,False
どうせ,副詞,2,1,どうせ,どうせ,1008950,,False
煩い,形容詞,2,1,うるせ,煩い,1481920,,False
最近,名詞,2,1,最近,最近,1293780,,False
毎年,名詞,2,1,毎年,毎年,1584360,,False
っこ,接尾辞,2,1,っこ,っこ,2577750,,False
早速,副詞,2,1,早速,早速,1400300,,False
セリフ,名詞,1,1,セリフ,台詞,1577270,,False
スーツ,名詞,1,1,スーツ,スーツ-suit,1066680,,False
送る,動詞,1,1,送っ,送る,1402730,,False
逆,名詞,1,1,逆,逆,1226960,,False
こういち,名詞,1,1,こういち,コウイチ,1920800 | 2269770 | 2653670,,True
都合,名詞,1,1,都合,都合,1444980,,False
金持ち,名詞,1,1,金持ち,金持ち,1242970,,False
いずれ,副詞,1,1,いずれ,何れ,1566210,,False
いつ,代名詞,1,1,いつ,何時,1188760,,False
いらっしゃる,動詞,1,1,いらっしゃーい,いらっしゃる,1000940,,False
きのう,名詞,1,1,きのう,昨日,1579260,,False
いおり,名詞,1,1,いおり,庵,1154280,,False
不思議,名詞,1,1,不思議,不思議,1492570,,False
カギ,名詞,1,1,カギ,鍵,1260490,,False
