sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
行く,動詞,24,1,行き,行く,1578850,,False
さん,接尾辞,23,1,さん,さん,1005340,,False
君,接尾辞,20,1,君,君,1247260,,False
堀,名詞,20,1,堀,ホリ,1522060,,False
俺,代名詞,18,1,俺,俺,1576870,,False
こと,名詞,17,1,こと,事,1313580,,False
取る,動詞,16,1,取っ,取る,1326980,,False
良い,形容詞,13,1,いい,良い,1605870,,False
返る,動詞,12,1,帰る,返る,1512150,,False
君,代名詞,11,1,君,君-代名詞,1247260,,False
有る,動詞,10,1,ある,有る,2847612,,False
見る,動詞,10,1,見,見る,2256270,,False
卒業,名詞,9,1,卒業,卒業,1405890,,False
私,代名詞,9,1,私,私-代名詞,1311110,,False
持つ,動詞,9,1,持っ,持つ,1315720,,False
石川,名詞,8,1,石川,イシカワ,2845103,,False
そんな,連体詞,8,1,そんな,そんな,1007130,,False
早い,形容詞,8,1,早く,早い,1404975,,False
みんな,名詞,7,1,みんな,皆,1202150,,False
荷物,名詞,7,1,荷物,荷物,1195430,,False
呉れる,動詞,7,1,くれ,呉れる,1269130,,False
免許,名詞,7,1,免許,免許,1533130,,False
来る,動詞,7,1,こよ,来る,1547720,,False
思う,動詞,7,1,思う,思う,1589350,,False
今,名詞,7,1,今,今,1288850,,False
ごめん,名詞,6,1,ごめん,御免,1270670,,False
言う,動詞,6,1,言い,言う,1587040,,False
この,連体詞,6,1,この,此の,1582920,,False
ら,接尾辞,6,1,ら,等,2067770,,False
こんな,連体詞,5,1,こんな,こんな,1004880,,False
居る,動詞,5,1,いる,居る,1577980,,False
忘れる,動詞,5,1,忘れ,忘れる,1519210,,False
知る,動詞,5,1,知っ,知る,1420470,,False
きょう,名詞,5,1,きょう,今日,1579110,,False
全然,副詞,5,1,全然,全然,1395620,,False
母,名詞,5,1,母,母,1514990,,False
自分,名詞,5,1,自分,自分,1318610,,False
良い,副詞,5,1,よく,良く,1605870,,False
車,名詞,5,1,車,車,1323080,,False
話,名詞,4,1,話,話,1600900,,False
人,名詞,4,1,人,人,1580640,,False
楽しい,形容詞,4,1,楽し,楽しい,1207240,,False
日,名詞,4,1,日,日,1463770,,False
煩い,形容詞,4,1,うっさい,煩い,1481920,,False
綾,名詞,4,1,綾,アヤ,2034990,,False
その,連体詞,4,1,その,其の,1006830,,False
たち,接尾辞,4,1,たち,達,1416220,,False
世界,名詞,4,1,世界,世界,1373860,,False
顔,名詞,4,1,顔,顔,1217730,,False
持ち帰る,動詞,4,1,持ち帰る,持ち帰る,1658430,,False
クラス,名詞,4,1,クラス,クラス-class,1044070,,False
変,名詞,4,1,変,変,1510640,,False
話す,動詞,4,1,話し,話す,1562350,,False
隣,名詞,4,1,隣,隣り,1555830,,False
桜,名詞,4,1,桜,桜,1593710,,False
男子,名詞,4,1,男子,男子,1420070,,False
崎,名詞,4,1,崎,崎,1297220 | 1611700,,True
頼りがい,名詞,3,1,頼りがい,頼り甲斐,2034270,,False
問う,動詞,3,1,とう,問う,1536000,,False
心地,名詞,3,1,心地,心地,1360820,,False
お前,代名詞,3,1,お前,御前,1002290,,False
何,代名詞,3,1,何,何,1577100,,False
感ずる,動詞,3,1,感じる,感ずる,1609650,,False
覚える,動詞,3,1,覚え,覚える,1206050,,False
さっき,名詞,3,1,さっき,さっき,1005180,,False
迎える,動詞,3,1,迎え,迎える,1253190,,False
違う,動詞,3,1,違う,違う,1158880,,False
これ,代名詞,3,1,これ,此れ,1628530,,False
上げる,動詞,3,1,あげる,上げる,1352320,,False
好き,形状詞,3,1,好き,好き,1277450,,False
妹,名詞,3,1,妹,妹,1524590,,False
大丈夫,形状詞,3,1,大丈夫,大丈夫,1414150,,False
止める,動詞,3,1,やめ,止める,1310680,,False
無い,形容詞,3,1,なく,無い,2029080,,False
気持ち,名詞,3,1,気持ち,気持ち,1591430,,False
本当,名詞,3,1,本当,本当,1523060,,False
為る,動詞,3,1,する,為る,1157170,,False
怖い,形容詞,3,1,こええ,怖い,1593480,,False
下さる,動詞,3,1,ください,下さる,1184280,,False
もの,名詞,3,1,もの,物,1502390,,False
生徒,名詞,3,1,生徒,生徒,1379380,,False
ふん,代名詞,3,1,ふん,其れ,1632520,,False
とき,名詞,3,1,とき,時,1315840,,False
