sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
堀,名詞,45,1,堀,ホリ,1522060,,False
さん,接尾辞,30,1,さん,さん,1005340,,False
こと,名詞,13,1,こと,事,1313580,,False
言う,動詞,12,1,いう,言う,1587040,,False
私,代名詞,11,1,私,私-代名詞,1311110,,False
何,代名詞,10,1,何,何,1577100,,False
名前,名詞,10,1,名前,名前,1531710,,False
来る,動詞,10,1,来る,来る,1547720,,False
聞く,動詞,9,1,聴き,聞く,1591110,,False
仕事,名詞,9,1,仕事,仕事,1304970,,False
これ,代名詞,7,1,これ,此れ,1628530,,False
そんな,連体詞,7,1,そんな,そんな,1007130,,False
書類,名詞,6,1,書類,書類,1344200,,False
好き,形状詞,6,1,好き,好き,1277450,,False
遣る,動詞,6,1,やる,遣る,1012980,,False
分かる,動詞,6,1,分から,分かる,1606560,,False
君,接尾辞,6,1,君,君,1247260,,False
もう,副詞,6,1,もう,もう,1012480,,False
呉れる,動詞,6,1,くれる,呉れる,1269130,,False
ちょっと,副詞,6,1,ちょっと,一寸,1163940,,False
成る,動詞,5,1,なっ,成る,2846738,,False
ママ,名詞,5,1,ママ,ママ-mama,1129240,,False
良い,形容詞,5,1,よかっ,良い,1605870,,False
行く,動詞,5,1,いっ,行く,1578850,,False
綾,名詞,5,1,綾,アヤ,2034990,,False
会長,名詞,5,1,会長,会長,1198770,,False
ダッセー,名詞,5,1,ダッセー,,2848815,,False
持つ,動詞,5,1,持っ,持つ,1315720,,False
崎,名詞,5,1,崎,崎,1297220 | 1611700,,True
俺,代名詞,5,1,俺,俺,1576870,,False
もっと,副詞,4,1,もっと,もっと,1012620,,False
忘れる,動詞,4,1,忘れ,忘れる,1519210,,False
変,名詞,4,1,変,変,1510640,,False
高校,名詞,4,1,高校,高校,1283500,,False
きのう,名詞,4,1,きのう,昨日,1579260,,False
渡す,動詞,4,1,渡し,渡す,1444610,,False
まあ,副詞,4,1,まあ,まあ,1012050,,False
返る,動詞,4,1,帰る,返る,1512150,,False
やつ,名詞,4,1,やつ,奴,1445640,,False
ごめん,名詞,4,1,ごめん,御免,1270670,,False
戻る,動詞,4,1,戻ら,戻る,1535880,,False
大丈夫,形状詞,4,1,大丈夫,大丈夫,1414150,,False
大変,形状詞,4,1,大変,大変,1415000,,False
遅れる,動詞,3,1,遅れ,遅れる,1589040,,False
謝る,動詞,3,1,謝っ,謝る,1323010,,False
頼む,動詞,3,1,頼ま,頼む,1548370,,False
あれ,代名詞,3,1,あれ,彼れ,2847612,,False
全部,名詞,3,1,全部,全部,1396130,,False
京,名詞,3,1,京,京,1233320,,False
嫌,形状詞,3,1,嫌,嫌,1587610,,False
上げる,動詞,3,1,あげよう,上げる,1352320,,False
上がる,動詞,3,1,上がる,上がる,1352290,,False
思う,動詞,3,1,思っ,思う,1589350,,False
手伝う,動詞,3,1,手伝える,手伝う,1328190,,False
見る,動詞,3,1,見,見る,2256270,,False
笑う,動詞,3,1,笑い,笑う,1351360,,False
ちゃんと,副詞,3,1,ちゃんと,ちゃんと,1007720,,False
最近,名詞,3,1,最近,最近,1293780,,False
もの,名詞,3,1,もの,物,1502390,,False
アニソン,名詞,3,1,アニソン,アニソン,2058460,,False
春休み,名詞,3,1,春休み,春休み,1341080,,False
歌う,動詞,3,1,歌っ,歌う,1588120,,False
気,名詞,3,1,気,気,1221520,,False
ちゃん,接尾辞,3,1,ちゃん,ちゃん,1007660,,False
ご,接頭辞,3,1,ご,御,1270190,,False
その,連体詞,3,1,その,其の,1006830,,False
そう,副詞,3,1,そう,そう,2249280,,False
覚える,動詞,3,1,覚え,覚える,1206050,,False
誤解,名詞,3,1,誤解,誤解,1271310,,False
入る,動詞,3,1,入っ,入る,1465590,,False
助かる,動詞,3,1,助かっ,助かる,1344380,,False
使う,動詞,3,1,使え,使う,1305990,,False
会計,名詞,3,1,会計,会計,1198430,,False
