sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
堀,名詞,33,1,堀,ホリ,1522060,,False
言う,動詞,27,1,言っ,言う,1587040,,False
君,接尾辞,25,1,君,君,1247260,,False
俺,代名詞,25,1,俺,俺,1576870,,False
さん,接尾辞,17,1,さん,さん,1005340,,False
石川,名詞,17,1,石川,イシカワ,2845103,,False
思う,動詞,12,1,思う,思う,1589350,,False
良い,形容詞,11,1,いい,良い,1605870,,False
聞く,動詞,11,1,聞き,聞く,1591110,,False
手,名詞,11,1,手,手,1327190,,False
こと,名詞,11,1,こと,事,1313580,,False
為る,動詞,10,1,する,為る,1157170,,False
何,代名詞,9,1,何,何,1577100,,False
上げる,動詞,7,1,上げる,上げる,1352320,,False
お前,代名詞,7,1,お前,御前,1002290,,False
変,名詞,7,1,変,変,1510640,,False
友達,名詞,6,1,友達,友達,1540170,,False
好き,形状詞,6,1,好き,好き,1277450,,False
見る,動詞,6,1,見,見る,2256270,,False
レポート,名詞,6,1,レポート,レポート-report,1145990,,False
あと,名詞,5,1,あと,後,1269320,,False
次,名詞,5,1,次,次,1316380,,False
名前,名詞,5,1,名前,名前,1531710,,False
遣る,動詞,5,1,やっ,遣る,1012980,,False
もう,副詞,5,1,もう,もう,1012480,,False
ケンカ,名詞,5,1,ケンカ,喧嘩,1257040,,False
むかつく,動詞,5,1,ムカつく,むかつく,1012320,,False
人,名詞,5,1,人,人,1580640,,False
呼ぶ,動詞,5,1,呼ぶ,呼ぶ,1266440,,False
凄い,形容詞,5,1,すごい,凄い,1374550,,False
行く,動詞,5,1,いっ,行く,1578850,,False
違う,動詞,4,1,違う,違う,1158880,,False
男,名詞,4,1,男,男,1419990,,False
大丈夫,形状詞,4,1,大丈夫,大丈夫,1414150,,False
分かる,動詞,4,1,分かん,分かる,1606560,,False
この,連体詞,4,1,この,此の,1582920,,False
今,名詞,4,1,今,今,1288850,,False
食べる,動詞,4,1,食べ,食べる,1358280,,False
ちょっと,副詞,4,1,ちょっと,一寸,1163940,,False
私,代名詞,4,1,私,私-代名詞,1311110,,False
持つ,動詞,4,1,持っ,持つ,1315720,,False
絶対,名詞,4,1,絶対,絶対,1386840,,False
どう,副詞,4,1,どう,どう,1008910,,False
そう,副詞,4,1,そう,そう,2137720,,False
中,名詞,4,1,中,中,1423310,,False
小さい,形容詞,4,1,ちっちゃーい,小さい,1347750,,False
輪,名詞,3,1,輪,輪,1555710,,False
２人,名詞,3,1,２人,二人,1582670,,False
居る,動詞,3,1,いる,居る,1577980,,False
やっぱり,副詞,3,1,やっぱり,矢張り,1012810,,False
組む,動詞,3,1,組ん,組む,1397590,,False
貰う,動詞,3,1,もらっ,貰う,1535910,,False
一緒,名詞,3,1,一緒,一緒,1163400,,False
来る,動詞,3,1,こい,来る,1547720,,False
