sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
堀,名詞,27,1,堀,ホリ,1522060,,False
俺,代名詞,22,1,俺,俺,1576870,,False
行く,動詞,21,1,行っ,行く,1578850,,False
こと,名詞,17,1,こと,事,1313580,,False
君,接尾辞,15,1,君,君,1247260,,False
さん,接尾辞,15,1,さん,さん,1005340,,False
何,代名詞,13,1,何,何,1577100,,False
見る,動詞,11,1,見,見る,2256270,,False
石川,名詞,10,1,石川,イシカワ,2845103,,False
言う,動詞,10,1,言っ,言う,1587040,,False
バカ,名詞,9,1,バカ,馬鹿,1601260,,False
成る,動詞,8,1,なっ,成る,2846738,,False
話す,動詞,8,1,話し,話す,1562350,,False
脱ぐ,動詞,8,1,脱ぎ,脱ぐ,1416400,,False
ごめん,名詞,7,1,ごめん,御免,1270670,,False
凄い,形容詞,7,1,すごく,凄い,1374550,,False
コーラ,名詞,6,1,コーラ,コーラ-cola,1049330,,False
うっかり,名詞,6,1,うっかり,うっかり,1001010,,False
声,名詞,6,1,声,声,1380440,,False
死ぬ,動詞,6,1,死ね,死ぬ,1310730,,False
大丈夫,形状詞,6,1,大丈夫,大丈夫,1414150,,False
どこ,代名詞,6,1,どこ,何処,1577140,,False
止める,動詞,6,1,やめろ,止める,1310680,,False
聞く,動詞,6,1,聞き,聞く,1591110,,False
見せる,動詞,6,1,見せ,見せる,1259210,,False
呉れる,動詞,6,1,くれる,呉れる,1269130,,False
中学,名詞,6,1,中学,中学,1423640,,False
来る,動詞,5,1,来,来る,1547720,,False
マジ,形状詞,5,1,マジ,まじ,1127680,,False
思う,動詞,5,1,思っ,思う,1589350,,False
知る,動詞,5,1,知っ,知る,1420470,,False
もう,副詞,5,1,もう,もう,1012480,,False
熱,名詞,5,1,熱,熱,1467710,,False
普通,名詞,5,1,普通,普通,1497190,,False
居る,動詞,5,1,いる,居る,1577980,,False
彼女,代名詞,5,1,彼女,彼女,1483150,,False
為る,動詞,5,1,する,為る,1157170,,False
その,連体詞,5,1,その,其の,1006830,,False
今,名詞,5,1,今,今,1288850,,False
私,代名詞,5,1,私,私-代名詞,1311110,,False
違う,動詞,4,1,違う,違う,1158880,,False
クーラー,名詞,4,1,クーラー,クーラー-cooler,1043310,,False
ママ,名詞,4,1,ママ,ママ-mama,1129240,,False
会話,名詞,4,1,会話,会話,1198880,,False
すぐ,副詞,4,1,すぐ,直ぐ,1430610,,False
誰,代名詞,4,1,誰,誰,1416830,,False
大きな,連体詞,4,1,大きな,大きな,1412890,,False
夏かぜ,名詞,4,1,夏かぜ,夏風邪,1719070,,False
桜,名詞,4,1,桜,桜,1593710,,False
さっき,名詞,4,1,さっき,さっき,1005180,,False
学校,名詞,4,1,学校,学校,1206730,,False
仕事,名詞,4,1,仕事,仕事,1304970,,False
高２,名詞,3,1,高２,高二,2269790,,False
買う,動詞,3,1,買っ,買う,1473740,,False
こいつ,代名詞,3,1,こいつ,此奴,1579070,,False
この,連体詞,3,1,この,此の,1582920,,False
詰まる,動詞,3,1,詰まる,詰まる,1226480,,False
男子,名詞,3,1,男子,男子,1420070,,False
そんな,連体詞,3,1,そんな,そんな,1007130,,False
それ,代名詞,3,1,それ,其れ,1006970,,False
ちょっと,副詞,3,1,ちょっと,一寸,1163940,,False
殴る,動詞,3,1,殴っ,殴る,1181390,,False
