sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
堀,名詞,27,1,堀,ホリ,1522060,,False
バカ,名詞,21,1,バカ,馬鹿,1601260,,False
言う,動詞,17,1,言っ,言う,1587040,,False
私,代名詞,15,1,私,私-代名詞,1311110,,False
俺,代名詞,15,1,俺,俺,1576870,,False
さん,接尾辞,14,1,さん,さん,1005340,,False
良い,形容詞,13,1,いい,良い,1605870,,False
ちゃん,接尾辞,13,1,ちゃん,ちゃん,1007660,,False
こと,名詞,13,1,こと,事,1313580,,False
君,接尾辞,9,1,君,君,1247260,,False
知る,動詞,8,1,知ら,知る,1420470,,False
行く,動詞,8,1,行っ,行く,1578850,,False
桜,名詞,8,1,桜,桜,1593710,,False
何,代名詞,8,1,何,何,1577100,,False
名前,名詞,8,1,名前,名前,1531710,,False
大丈夫,形状詞,7,1,大丈夫,大丈夫,1414150,,False
分かる,動詞,7,1,分かっ,分かる,1606560,,False
煩い,形容詞,7,1,うるさい,煩い,1481920,,False
来る,動詞,7,1,来,来る,1547720,,False
聞く,動詞,7,1,聞い,聞く,1591110,,False
返る,動詞,7,1,帰ん,返る,1512150,,False
誰,代名詞,6,1,誰,誰,1416830,,False
ごめん,名詞,6,1,ごめん,御免,1270670,,False
もう,副詞,6,1,もう,もう,1012480,,False
可愛い,形容詞,6,1,かわいい,可愛い,1577200,,False
お前,代名詞,6,1,お前,御前,1002290,,False
成る,動詞,6,1,なれ,成る,2846738,,False
見る,動詞,5,1,見,見る,2256270,,False
近い,名詞,5,1,ちか,地下,1420840 | 1420930 | 1620330,,True
思う,動詞,5,1,思わ,思う,1589350,,False
起きる,動詞,5,1,起き,起きる,1223640,,False
呼ぶ,動詞,5,1,呼ぶ,呼ぶ,1266440,,False
好き,形状詞,5,1,好き,好き,1277450,,False
早い,形容詞,4,1,早く,早い,1404975,,False
怒る,動詞,4,1,怒っ,怒る,1445690,,False
有る,動詞,4,1,あり,有る,2847612,,False
為る,動詞,4,1,する,為る,1157170,,False
そんな,連体詞,4,1,そんな,そんな,1007130,,False
遣る,動詞,4,1,やっ,遣る,2083340,,False
どう,副詞,4,1,どう,どう,1008910,,False
会う,動詞,3,1,会え,会う,1198180,,False
全然,副詞,3,1,全然,全然,1395620,,False
食べる,動詞,3,1,食べ,食べる,1358280,,False
作る,動詞,3,1,作っ,作る,1597890,,False
呉れる,動詞,3,1,くれれ,呉れる,1269130,,False
みたい,形状詞,3,1,みたい,みたい,2016410,,False
また,副詞,3,1,また,又,1524930,,False
歩く,動詞,3,1,歩い,歩く,1514320,,False
やっぱり,副詞,3,1,やっぱり,矢張り,1012810,,False
そう,副詞,3,1,そう,そう,2137720,,False
見る,接頭辞,3,1,み,御,2256270,,False
無い,形容詞,3,1,なく,無い,2029080,,False
腕組,名詞,3,1,腕組,腕組み,1562900,,False
