sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
堀,名詞,35,1,堀,ホリ,1522060,,False
さん,接尾辞,20,1,さん,さん,1005340,,False
君,接尾辞,13,1,君,君,1247260,,False
何,代名詞,13,1,何,何,1577100,,False
私,代名詞,11,1,私,私-代名詞,1311110,,False
俺,代名詞,11,1,俺,俺,1576870,,False
来る,動詞,10,1,来,来る,1547720,,False
これ,代名詞,9,1,これ,此れ,1628530,,False
先輩,名詞,9,1,先輩,先輩,1388410,,False
凄い,形容詞,8,1,すごい,凄い,1374550,,False
言う,動詞,8,1,言っ,言う,1587040,,False
お前,代名詞,8,1,お前,御前,1002290,,False
好き,形状詞,7,1,好き,好き,1277450,,False
有る,動詞,7,1,ある,有る,2847612,,False
入る,動詞,7,1,入る,入る,1465590,,False
面白い,形容詞,6,1,おもしろかっ,面白い,1533580,,False
チーズ,名詞,6,1,チーズ,チーズ-cheese,1077330,,False
父,名詞,6,1,父,父,1497610,,False
あめ,名詞,6,1,あめ,飴,1171900,,False
いつ,代名詞,6,1,いつ,何時,1188760,,False
恥ずかしい,形容詞,6,1,恥ずかし,恥ずかしい,1421630,,False
成る,動詞,6,1,なっ,成る,2846738,,False
ちょっと,副詞,6,1,ちょっと,一寸,1163940,,False
呉れる,動詞,6,1,くれ,呉れる,1269130,,False
がら,接尾辞,6,1,がら,がる,1508300,,False
誰,代名詞,5,1,誰,誰,1416830,,False
行く,動詞,5,1,行っ,行く,1578850,,False
超,接頭辞,5,1,超,超,1429340,,False
マジ,形状詞,5,1,マジ,まじ,1127680,,False
もう,副詞,5,1,もう,もう,1012480,,False
良い,形容詞,5,1,いい,良い,1605870,,False
思う,動詞,5,1,思っ,思う,1589350,,False
寝る,動詞,5,1,寝よう,寝る,1360010,,False
出る,動詞,5,1,出,出る,1896380,,False
お,接頭辞,4,1,お,御,2089690,,False
居る,動詞,4,1,いる,居る,1577980,,False
違う,動詞,4,1,違う,違う,1158880,,False
返る,動詞,4,1,帰っ,返る,1512150,,False
夏,名詞,4,1,夏,夏,1191320,,False
髪,名詞,4,1,髪,髪,1477950,,False
別れる,動詞,4,1,別れる,別れる,1606590,,False
パパ,名詞,4,1,パパ,パパ-papa,1102140,,False
気,名詞,4,1,気,気,1221520,,False
どこ,代名詞,4,1,どこ,何処,1577140,,False
為る,動詞,4,1,しよっ,為る,1157170,,False
こんな,連体詞,3,1,こんな,こんな,1004880,,False
こと,名詞,3,1,こと,事,1313580,,False
苦手,名詞,3,1,苦手,苦手,1244470,,False
見る,動詞,3,1,見,見る,2256270,,False
言葉,名詞,3,1,言葉,言葉,1264540,,False
同じ,連体詞,3,1,同じ,同じ,1451750,,False
ぱー,副詞,3,1,ぱー,ぱあ,2397590,,False
また,副詞,3,1,また,又,1524930,,False
子,名詞,3,1,子,子,1307770,,False
怖い,形容詞,3,1,怖い,怖い,1593480,,False
そんな,連体詞,3,1,そんな,そんな,1007130,,False
それ,代名詞,3,1,それ,其れ,1006970,,False
粘土,名詞,3,1,粘土,粘土,1469760,,False
聞き飽きる,動詞,3,1,聞き飽き,聞き飽きる,1851230,,False
旨い,形容詞,3,1,うまい,旨い,1310460,,False
教室,名詞,3,1,教室,教室,1237150,,False
彼氏,名詞,3,1,彼氏,彼氏,1483140,,False
家,名詞,3,1,家,家,1191730,,False
反省,名詞,3,1,反省,反省,1480540,,False
今度,名詞,3,1,今度,今度,1289370,,False
仕方無い,形容詞,3,1,しかたなかっ,仕方無い,1305440,,False
付き合う,動詞,3,1,つきあっ,付き合う,1597790,,False
やばい,形容詞,3,1,ヤバい,やばい,1012840,,False
クラス,名詞,3,1,クラス,クラス-class,1044070,,False
出来る,動詞,3,1,できる,出来る,1340450,,False
共感,名詞,3,1,共感,共感,1234370,,False
今,名詞,3,1,今,今,1288850,,False
黙る,動詞,3,1,黙っ,黙る,1534930,,False
上げる,動詞,3,1,上げ,上げる,1352320,,False
一緒,名詞,3,1,一緒,一緒,1163400,,False
下さる,動詞,3,1,ください,下さる,1184280,,False
ダメ,名詞,3,1,ダメ,駄目,1409110,,False
頭,名詞,3,1,頭,頭,1582310,,False
あなた,代名詞,3,1,あなた,貴方,1223615,,False
親,名詞,2,1,親,親,1365040,,False
風呂,名詞,2,1,風呂,風呂,1500100,,False
隣,名詞,2,1,隣,隣り,1555830,,False
ケーキ,名詞,2,1,ケーキ,ケーキ-cake,1047860,,False
シリーズ,名詞,2,1,シリーズ,シリーズ-series,1062910,,False
バカ,名詞,2,1,バカ,馬鹿,1601260,,False
ピアス,名詞,2,1,ピアス,ピアス,1106360,,False
フッ,副詞,2,1,フッ,ふっ,2558020,,False
終わる,動詞,2,1,終わっ,終わる,1589600,,False
耐える,動詞,2,1,耐え,耐える,1211310,,False
聞く,動詞,2,1,聞い,聞く,1591110,,False
石川,名詞,2,1,石川,イシカワ,2845103,,False
確か,副詞,2,1,確か,確か,1596930,,False
煩い,形容詞,2,1,うるさい,煩い,1481920,,False
男,名詞,2,1,男,男,1419990,,False
的,接尾辞,2,1,的,的,1437260,,False
睨む,動詞,2,1,にらま,睨む,1569880,,False
本当,名詞,2,1,本当,本当,1523060,,False
極道,名詞,2,1,極道,極道,1760650,,False
殺人,名詞,2,1,殺人,殺人,1299100,,False
氷,名詞,2,1,氷,氷,1488840,,False
泊まる,動詞,2,1,泊まっ,泊まる,1474850,,False
泣く,動詞,2,1,泣く,泣く,1229840,,False
上,名詞,2,1,上,上,1352130,,False
不良,名詞,2,1,不良,不良,1495290,,False
中,名詞,2,1,中,中,1423310,,False
中学,名詞,2,1,中学,中学,1423640,,False
人,名詞,2,1,人,人,1580640,,False
食う,動詞,2,1,食う,食う,1592100,,False
食べる,動詞,2,1,食べ,食べる,1358280,,False
感,名詞,2,1,感,感,1955970,,False
戻る,動詞,2,1,戻ろう,戻る,1535880,,False
放す,動詞,2,1,放し,放す,1516460,,False
彼女,代名詞,2,1,彼女,彼女,1483150,,False
なになに,代名詞,2,1,なになに,何々,1599580,,False
はむ,名詞,2,1,はむ,ハム-ham,2145650,,False
ほのか,名詞,2,1,ほのか,ホノカ,1603520,,False
ほのか,形状詞,2,1,ほのか,仄か,1603520,,False
まだ,副詞,2,1,まだ,未だ,1527110,,False
待つ,動詞,2,1,待っ,待つ,1410590,,False
入れる,動詞,2,1,入れ,入れる,1465610,,False
全部,名詞,2,1,全部,全部,1396130,,False
寒い,形容詞,2,1,寒い,寒い,1210360,,False
女王,名詞,2,1,女王,女王,1345020,,False
娘,名詞,2,1,娘,娘,1531190,,False
友達,名詞,2,1,友達,友達,1540170,,False
取る,動詞,2,1,撮り,取る,1326980,,False
可愛い,形容詞,2,1,かわいい,可愛い,1577200,,False
呪う,動詞,2,1,呪わ,呪う,1330120,,False
味,接尾辞,2,1,味,味,1526960,,False
みたい,形状詞,2,1,みたい,みたい,2016410,,False
やつ,名詞,2,1,やつ,奴,1445640,,False
切る,動詞,2,1,切っ,切る,1384830,,False
企てる,動詞,2,1,企てる,企てる,1218120,,False
話す,動詞,2,1,話し,話す,1562350,,False
謝る,動詞,2,1,謝る,謝る,1323010,,False
財布,名詞,2,1,財布,財布,1296970,,False
ここ,代名詞,2,1,ここ,此処,1288810,,False
こっち,代名詞,2,1,こっち,此方,1004500,,False
この,連体詞,2,1,この,此の,1582920,,False
ごめん,名詞,2,1,ごめん,御免,1270670,,False
すぐ,副詞,2,1,すぐ,直ぐ,1430610,,False
送る,動詞,2,1,送ろう,送る,1402730,,False
遅い,形容詞,2,1,遅かっ,遅い,1421970,,False
邪魔,名詞,2,1,邪魔,邪魔,1323500,,False
部屋,名詞,2,1,部屋,部屋,1499320,,False
２人,名詞,2,1,２人,二人,1582670,,False
あんまり,副詞,2,1,あんまり,余り,1584930,,False
ずっと,副詞,1,1,ずっと,ずっと,1006380,,False
あんま,副詞,1,1,あんま,余り,2560330,,False
２,名詞,1,1,２,,1461140,,False
配る,動詞,1,1,配っ,配る,1472990,,False
選択,名詞,1,1,選択,選択,1392290,,False
遣る,動詞,1,1,やり,遣る,2083340,,False
連続,名詞,1,1,連続,連続,1559610,,False
退く,動詞,1,1,どい,退く,1595080,,False
返す,動詞,1,1,返す,返す,1512130,,False
質問,名詞,1,1,質問,質問,1320760,,False
いっぱい,副詞,1,1,いっぱい,一杯,1165670,,False
あむ,副詞,1,1,あむ,あむ,1511950,,False
あたし,代名詞,1,1,あたし,私,1311125,,False
すぎ,接尾辞,1,1,すぎ,過ぎ,1195960,,False
しょ,名詞,1,1,しょ,仕様,1344210 | 2037940 | 2152020 | 2273780 | 2656110 | 2705860 | 2843093 | 2843153,,True
しつこい,形容詞,1,1,しつこく,しつこい,1005550,,False
くっ付く,動詞,1,1,くっつき,くっ付く,1003860,,False
かわいそう,形状詞,1,1,かわいそう,可哀想,1590740,,False
休憩,名詞,1,1,休憩,休憩,1227720,,False
判断,名詞,1,1,判断,判断,1478620,,False
イメチェン,名詞,1,1,イメチェン,イメチェン,1021830,,False
イチジク,名詞,1,1,イチジク,イチジク,1529700,,False
イチゴ,名詞,1,1,イチゴ,苺,1571460,,False
アレ,代名詞,1,1,アレ,彼れ,1000580,,False
わけ,名詞,1,1,わけ,訳,1538330,,False
ら,接尾辞,1,1,ら,等,2067770,,False
やっぱり,副詞,1,1,やっぱり,矢張り,1012810,,False
やっと,副詞,1,1,やっと,漸と,1012800,,False
もも,名詞,1,1,もも,桃,1605310,,False
もはや,副詞,1,1,もはや,最早,1294170,,False
み,接頭辞,1,1,み,御,1201190 | 1320810 | 1365520 | 1528180 | 1579350 | 2242840 | 2256270 | 2258670 | 2258680 | 2259710 | 2736430 | 2740580,,True
出掛ける,動詞,1,1,出かける,出掛ける,1598550,,False
堂々,副詞,1,1,堂々,堂々,1599260,,False
喋る,動詞,1,1,しゃべり,喋る,1427510,,False
味,名詞,1,1,味,味,1526960,,False
名前,名詞,1,1,名前,名前,1531710,,False
同じ,形状詞,1,1,同じ,同じ,1451750,,False
可笑しい,形容詞,1,1,おかしく,可笑しい,1190860,,False
受ける,動詞,1,1,ウケる,受ける,1329590,,False
去年,名詞,1,1,去年,去年,1231690,,False
午後,名詞,1,1,午後,午後,1268990,,False
十分,副詞,1,1,十分,十分,1335080,,False
割り箸,名詞,1,1,割り箸,割り箸,1606940,,False
始まる,動詞,1,1,始まっ,始まる,1307500,,False
妹,名詞,1,1,妹,妹,1524590,,False
好き勝手,形状詞,1,1,好き勝手,好き勝手,1277470,,False
女子,名詞,1,1,女子,女子,1345140,,False
女,名詞,1,1,女,女,1344930,,False
失恋,名詞,1,1,失恋,失恋,1320250,,False
大賞,名詞,1,1,大賞,大賞,1414140,,False
大声,名詞,1,1,大声,大声,1414300,,False
大人しい,形容詞,1,1,おとなしい,大人しい,1414190,,False
大丈夫,形状詞,1,1,大丈夫,大丈夫,1414150,,False
外れる,名詞,1,1,ハズレ,外れ,1203300,,False
外れる,動詞,1,1,ハズレ,外れる,1203310,,False
外,名詞,1,1,外,外,1203250,,False
夕飯,名詞,1,1,夕飯,夕飯,1584910,,False
弟,名詞,1,1,弟,弟,1581930,,False
年,名詞,1,1,年,年,2084840,,False
布団,名詞,1,1,布団,布団,1496890,,False
居間,名詞,1,1,居間,居間,1231720,,False
小銭,名詞,1,1,小銭,小銭,1348470,,False
対抗,名詞,1,1,対抗,対抗,1410020,,False
寄る,動詞,1,1,寄っ,寄る,1219680,,False
寂しい,形容詞,1,1,寂しい,寂しい,1579720,,False
家族,名詞,1,1,家族,家族,1192150,,False
宮,名詞,1,1,宮,宮,2081050,,False
学校,名詞,1,1,学校,学校,1206730,,False
学年,名詞,1,1,学年,学年,1207030,,False
嫌がらせ,名詞,1,1,嫌がらせ,嫌がらせ,1257260,,False
メール,名詞,1,1,メール,メール-mail,1132620,,False
ホラー,名詞,1,1,ホラー,ホラー-horror,1122810,,False
冷や汗,名詞,1,1,冷や汗,冷や汗,1602210,,False
冬服,名詞,1,1,冬服,冬服,1698090,,False
写真,名詞,1,1,写真,写真,1321900,,False
冗談,名詞,1,1,冗談,冗談,1355540,,False
全然,副詞,1,1,全然,全然,1395620,,False
全員,名詞,1,1,全員,全員,1394840,,False
全く,副詞,1,1,全く,全く,1394800,,False
先,名詞,1,1,先,先,1387210,,False
僕,代名詞,1,1,僕,僕-代名詞,1521400,,False
作る,動詞,1,1,作っ,作る,1597890,,False
伸びる,動詞,1,1,伸びる,伸びる,1358870,,False
会う,動詞,1,1,会っ,会う,1198180,,False
嫌い,名詞,1,1,嫌い,嫌い,1257240,,False
嫌,形状詞,1,1,嫌,嫌,1587610,,False
待ち伏せ,名詞,1,1,待ち伏せ,待ち伏せ,1410560,,False
またまた,副詞,1,1,またまた,又々,1603980,,False
まあ,副詞,1,1,まあ,まあ,1012050,,False
ほんと,名詞,1,1,ほんと,本当,1523060,,False
ほか,名詞,1,1,ほか,他,1203260,,False
ほ,副詞,1,1,ほ,ほ,1481240 | 1514050 | 1514300 | 1514780 | 2210770 | 2693230 | 2844199,,True
ぶん,名詞,1,1,ぶん,分,1502860,,False
なん,代名詞,1,1,なん,何,2846738,,False
なし,名詞,1,1,なし,無し,1529560,,False
時期,名詞,1,1,時期,時期,1316040,,False
映画,名詞,1,1,映画,映画,1173720,,False
方向,名詞,1,1,方向,方向,1516990,,False
教える,動詞,1,1,教え,教える,1236900,,False
揃う,動詞,1,1,そろっ,揃う,1406110,,False
探す,動詞,1,1,捜さ,探す,1593670,,False
掛かる,動詞,1,1,かかる,掛かる,1207590,,False
振る,動詞,1,1,フラ,振る,1361330,,False
持つ,動詞,1,1,持っ,持つ,1315720,,False
懸賞,名詞,1,1,懸賞,懸賞,1257690,,False
悪い,形容詞,1,1,悪い,悪い,1151260,,False
付ける,動詞,1,1,つけよ,付ける,1495770,,False
付き纏う,動詞,1,1,つきまとっ,付き纏う,1495710,,False
仕事,名詞,1,1,仕事,仕事,1304970,,False
亡くなる,動詞,1,1,亡くなっ,亡くなる,1518540,,False
二股,名詞,1,1,二股,二股,1461680,,False
予鈴,名詞,1,1,予鈴,予鈴,1543820,,False
不味い,形容詞,1,1,まずい,不味い,1495000,,False
一生,名詞,1,1,一生,一生,1576200,,False
リアクション,名詞,1,1,リアクション,リアクション-reaction,1140880,,False
忘れる,動詞,1,1,忘れ,忘れる,1519210,,False
得る,動詞,1,1,えろ,得る,1588760,,False
潰す,動詞,1,1,潰す,潰す,1433820,,False
減る,動詞,1,1,減っ,減る,1263120,,False
汗,名詞,1,1,汗,汗,1213060,,False
水,名詞,1,1,水,水,1371260,,False
気付く,動詞,1,1,気づい,気付く,1591330,,False
正直,副詞,1,1,正直,正直,1377590,,False
止める,動詞,1,1,やめろ,止める,1310680,,False
朝,名詞,1,1,朝,朝,1428280,,False
暑い,形容詞,1,1,暑い,暑い,1343460,,False
時間,名詞,1,1,時間,時間,1315920,,False
知れる,動詞,1,1,しれ,知れる,1420490,,False
知る,動詞,1,1,知ら,知る,1420470,,False
知り合い,名詞,1,1,知り合い,知り合い,1595070,,False
疑問,名詞,1,1,疑問,疑問,1225630,,False
男の子,名詞,1,1,男の子,男の子,1420010,,False
用事,名詞,1,1,用事,用事,1546300,,False
現われる,動詞,1,1,現れる,現われる,1263510,,False
物珍しい,形容詞,1,1,もの珍しかっ,物珍しい,1502700,,False
父親,名詞,1,1,父親,父親,1497680,,False
熱苦しい,形容詞,1,1,暑苦しい,熱苦しい,1343500,,False
照れる,動詞,1,1,てれ,照れる,1350880,,False
無い,形容詞,1,1,なーい,無い,2029080,,False
秀,名詞,1,1,秀,シュウ,2255010,,False
どう,副詞,1,1,どう,どう,1008910,,False
ところ,名詞,1,1,ところ,所,1343100,,False
