sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
さん,接尾辞,18,1,さん,さん,1005340,,False
俺,代名詞,15,1,俺,俺,1576870,,False
見る,動詞,14,1,み,見る,2256270,,False
堀,名詞,14,1,堀,ホリ,1522060,,False
ごめん,名詞,10,1,ごめん,御免,1270670,,False
好き,形状詞,10,1,好き,好き,1277450,,False
何,代名詞,10,1,何,何,1577100,,False
これ,代名詞,9,1,これ,此れ,1628530,,False
良い,形容詞,9,1,よかっ,良い,1605870,,False
怖い,形容詞,9,1,怖い,怖い,1593480,,False
成る,動詞,8,1,なれ,成る,2846738,,False
私,代名詞,8,1,私,私-代名詞,1311110,,False
こと,名詞,8,1,こと,事,1313580,,False
思う,動詞,7,1,思っ,思う,1589350,,False
石川,名詞,7,1,石川,イシカワ,2845103,,False
行く,動詞,6,1,行く,行く,1578850,,False
欲しい,形容詞,6,1,欲しい,欲しい,1547330,,False
貰う,動詞,6,1,もらっ,貰う,1535910,,False
ちょっと,副詞,6,1,ちょっと,一寸,1163940,,False
呉れる,動詞,6,1,くれる,呉れる,1269130,,False
やつ,名詞,5,1,やつ,奴,1445640,,False
フッ,副詞,5,1,フッ,ふっ,2558020,,False
付き合う,動詞,5,1,つきあい,付き合う,1597790,,False
守る,動詞,5,1,守り,守る,1327120,,False
桜,名詞,5,1,桜,桜,1593710,,False
来る,動詞,5,1,くる,来る,1547720,,False
君,接尾辞,5,1,君,君,1247260,,False
声,名詞,4,1,声,声,1380440,,False
借りる,動詞,4,1,借りる,借りる,1323560,,False
取る,動詞,4,1,取ら,取る,1326980,,False
バカ,名詞,4,1,バカ,馬鹿,1601260,,False
あむ,副詞,4,1,あむ,あむ,1511950,,False
可愛い,形容詞,4,1,かわいい,可愛い,1577200,,False
強い,形容詞,4,1,強く,強い,1236070,,False
聞く,動詞,4,1,聞い,聞く,1591110,,False
美味しい,形容詞,4,1,おいしかっ,美味しい,1486650,,False
アレ,代名詞,4,1,アレ,彼れ,1000580,,False
言う,動詞,4,1,いう,言う,1587040,,False
作る,動詞,4,1,作っ,作る,1597890,,False
有る,動詞,4,1,ある,有る,2847612,,False
関する,動詞,3,1,関し,関する,1215790,,False
雨,名詞,3,1,雨,雨,1171900,,False
３,名詞,3,1,３,,1579350,,False
そう,形状詞,3,1,そう,そう-様態,2137720,,False
返る,動詞,3,1,帰れ,返る,1512150,,False
合う,動詞,3,1,合っ,合う,1284430,,False
分かる,動詞,3,1,分かる,分かる,1606560,,False
返す,動詞,3,1,返す,返す,1512130,,False
映画,名詞,3,1,映画,映画,1173720,,False
