sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
君,接尾辞,23,1,君,君,1247260,,False
俺,代名詞,22,1,俺,俺,1576870,,False
さん,接尾辞,19,1,さん,さん,1005340,,False
好き,形状詞,15,1,好き,好き,1277450,,False
堀,名詞,15,1,堀,ホリ,1522060,,False
良い,形容詞,14,1,いい,良い,1605870,,False
私,代名詞,12,1,私,私-代名詞,1311110,,False
人,名詞,12,1,人,人,1580640,,False
綾,名詞,10,1,綾,アヤ,2034990,,False
崎,名詞,10,1,崎,崎,1297220 | 1611700,,True
成る,動詞,10,1,なる,成る,2846738,,False
石川,名詞,10,1,石川,イシカワ,2845103,,False
ちょっと,副詞,10,1,ちょっと,一寸,1163940,,False
行く,動詞,9,1,行っ,行く,1578850,,False
柳,名詞,9,1,柳,柳,1538490,,False
凄い,形容詞,9,1,すごく,凄い,1374550,,False
やつ,名詞,8,1,やつ,奴,1445640,,False
終わる,動詞,8,1,終わっ,終わる,1589600,,False
分かる,動詞,7,1,分かる,分かる,1606560,,False
読む,動詞,7,1,読ん,読む,1456360,,False
面白い,形容詞,7,1,おもしろい,面白い,1533580,,False
思う,動詞,7,1,思え,思う,1589350,,False
こと,名詞,7,1,こと,事,1313580,,False
呉れる,動詞,7,1,くれる,呉れる,1269130,,False
聞く,動詞,6,1,きい,聞く,1591110,,False
この,連体詞,6,1,この,此の,1582920,,False
本,名詞,6,1,本,本,1522150,,False
そう,形状詞,6,1,そう,そう-様態,1006610,,False
ごめん,名詞,6,1,ごめん,御免,1270670,,False
本当,名詞,5,1,本当,本当,1523060,,False
顔,名詞,5,1,顔,顔,1217730,,False
これ,代名詞,5,1,これ,此れ,1628530,,False
嫌い,名詞,5,1,嫌い,嫌い,1257240,,False
地球,名詞,5,1,地球,地球,1420970,,False
食べる,動詞,5,1,食べ,食べる,1358280,,False
弱い,形容詞,5,1,弱い,弱い,1324520,,False
為る,動詞,5,1,する,為る,1157170,,False
男子,名詞,5,1,男子,男子,1420070,,False
言う,動詞,5,1,いう,言う,1587040,,False
話,名詞,5,1,話,話,1600900,,False
出来る,動詞,4,1,できる,出来る,1340450,,False
超,接頭辞,4,1,超,超,1429340,,False
６,名詞,4,1,６,,1585310,,False
組,名詞,4,1,組,組,1397450,,False
断る,動詞,4,1,断る,断る,1419570,,False
居る,動詞,4,1,いる,居る,1577980,,False
大丈夫,形状詞,4,1,大丈夫,大丈夫,1414150,,False
見る,動詞,4,1,み,見る,2256270,,False
自分,名詞,4,1,自分,自分,1318610,,False
誰,代名詞,4,1,誰,誰,1416830,,False
そう,副詞,4,1,そう,そう,1006610,,False
もう,副詞,4,1,もう,もう,1012480,,False
来る,動詞,4,1,来る,来る,1547720,,False
気,名詞,4,1,気,気,1221520,,False
