sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
堀,名詞,20,1,堀,ホリ,1522060,,False
俺,代名詞,17,1,俺,俺,1576870,,False
こと,名詞,16,1,こと,事,1313580,,False
さん,接尾辞,15,1,さん,さん,1005340,,False
君,接尾辞,13,1,君,君,1247260,,False
お前,代名詞,12,1,お前,御前,1002290,,False
言う,動詞,12,1,言い,言う,1587040,,False
外,名詞,10,1,外,外,1203250,,False
何,代名詞,10,1,何,何,1577100,,False
もう,副詞,9,1,もう,もう,1012480,,False
成る,動詞,9,1,なっ,成る,2846738,,False
思う,動詞,8,1,思う,思う,1589350,,False
見る,動詞,8,1,見,見る,2256270,,False
返る,動詞,7,1,帰る,返る,1512150,,False
私,代名詞,6,1,私,私-代名詞,1311110,,False
携帯,名詞,6,1,携帯,携帯,1250680,,False
中学,名詞,6,1,中学,中学,1423640,,False
捨てる,動詞,6,1,捨てる,捨てる,1322320,,False
来る,動詞,5,1,くる,来る,1547720,,False
為る,動詞,5,1,しろ,為る,1157170,,False
彼女,代名詞,5,1,彼女,彼女,1483150,,False
行く,動詞,5,1,行こう,行く,1578850,,False
聞く,動詞,5,1,聞い,聞く,1591110,,False
ちょっと,副詞,5,1,ちょっと,一寸,1163940,,False
溝,名詞,5,1,溝,溝,1578720,,False
良い,形容詞,5,1,いい,良い,1605870,,False
今,名詞,5,1,今,今,1288850,,False
分かる,動詞,5,1,分かん,分かる,1606560,,False
前,名詞,4,1,前,前,1392580,,False
居る,動詞,4,1,いる,居る,1577980,,False
もの,名詞,4,1,もの,物,1502390,,False
悪い,形容詞,4,1,悪く,悪い,1151260,,False
美味しい,形容詞,4,1,おいしい,美味しい,1486650,,False
内,名詞,4,1,内,内,1457730,,False
ここ,代名詞,4,1,ここ,此処,1288810,,False
知る,動詞,4,1,知っ,知る,1420470,,False
シカト,名詞,4,1,シカト,しかと,1060120,,False
大きい,形容詞,3,1,大きい,大きい,1588880,,False
こんな,連体詞,3,1,こんな,こんな,1004880,,False
早い,形容詞,3,1,早く,早い,1404975,,False
時,名詞,3,1,時,時,1315840,,False
エロい,形容詞,3,1,エロい,エロい,2025570,,False
やつ,名詞,3,1,やつ,奴,1445640,,False
嫌い,名詞,3,1,嫌い,嫌い,1257240,,False
人,名詞,3,1,人,人,1580640,,False
あいつ,代名詞,3,1,あいつ,彼奴,1483160,,False
バカ,名詞,3,1,バカ,馬鹿,1601260,,False
入れる,動詞,3,1,入れ,入れる,1465610,,False
あさって,名詞,3,1,あさって,あさって,1584640,,False
わけ,名詞,3,1,わけ,訳,1538330,,False
入る,動詞,3,1,入っ,入る,1465590,,False
内,接尾辞,3,1,内,内,1457730,,False
こいつ,代名詞,3,1,こいつ,此奴,1579070,,False
番号,名詞,3,1,番号,番号,1482290,,False
機嫌,名詞,3,1,機嫌,機嫌,1220930,,False
どこ,代名詞,3,1,どこ,何処,1577140,,False
出る,動詞,3,1,出,出る,1896380,,False
とこ,名詞,3,1,とこ,所,1343100,,False
怒る,動詞,3,1,怒っ,怒る,1445690,,False
はず,名詞,3,1,はず,筈,1476430,,False
無理,名詞,3,1,無理,無理,1530970,,False
この,連体詞,3,1,この,此の,1582920,,False
煩い,形容詞,3,1,うるせえ,煩い,1481920,,False
終わる,動詞,3,1,終わっ,終わる,1589600,,False
こう,副詞,3,1,こう,こう,1004310,,False
脱ぐ,動詞,3,1,脱い,脱ぐ,1416400,,False
頃,名詞,2,1,頃,頃,1579080,,False
違う,動詞,2,1,違う,違う,1158880,,False
手伝う,動詞,2,1,手伝え,手伝う,1328190,,False
感じ,名詞,2,1,感じ,感じ,1212250,,False
教える,動詞,2,1,教えろ,教える,1236900,,False
旨い,形容詞,2,1,うまい,旨い,1310460,,False
みたい,形状詞,2,1,みたい,みたい,2016410,,False
はっきり,副詞,2,1,はっきり,はっきり,1010150,,False
探す,動詞,2,1,捜し,探す,1593670,,False
掛ける,動詞,2,1,かけ,掛ける,1207610,,False
止める,動詞,2,1,やめ,止める,1310680,,False
気,名詞,2,1,気,気,1221520,,False
そんな,連体詞,2,1,そんな,そんな,1007130,,False
ちょっ,副詞,2,1,ちょっ,一寸,2845172,,False
有る,連体詞,2,1,ある,或る,1296400,,False
楽しい,形容詞,2,1,楽しい,楽しい,1207240,,False
暴力,名詞,2,1,暴力,暴力,1519590,,False
昔,名詞,2,1,昔,昔,1382370,,False
温める,動詞,2,1,あっため,温める,1586440,,False
さっき,名詞,2,1,さっき,さっき,1005180,,False
そこ,代名詞,2,1,そこ,其処,1006670,,False
そ,副詞,2,1,そ,そう,2754880,,False
そば,名詞,2,1,そば,側,1403830,,False
自分,名詞,2,1,自分,自分,1318610,,False
これ,代名詞,2,1,これ,此れ,1628530,,False
話,名詞,2,1,話,話,1600900,,False
目,接尾辞,2,1,目,目,1604890,,False
痛い,形容詞,2,1,痛く,痛い,1432680,,False
狭い,形容詞,2,1,狭い,狭い,1237680,,False
溝,接尾辞,2,1,溝,溝,1578720,,False
夕飯,名詞,2,1,夕飯,夕飯,1584910,,False
嫌,形状詞,2,1,嫌,嫌,1587610,,False
好き,形状詞,2,1,好き,好き,1277450,,False
少し,副詞,2,1,少し,少し,1348870,,False
冷たい,形容詞,2,1,冷たい,冷たい,1556730,,False
凄い,形容詞,2,1,すごい,凄い,1374550,,False
出す,動詞,2,1,だし,出す,1338180,,False
出来る,動詞,2,1,でき,出来る,1340450,,False
取る,動詞,2,1,撮っ,取る,1326980,,False
ギャップ,名詞,2,1,ギャップ,ギャップ-gap,1043060,,False
呉れる,動詞,2,1,くれる,呉れる,1269130,,False
可愛い,形容詞,2,1,かわいい,可愛い,1577200,,False
チャイム,名詞,2,1,チャイム,チャイム-chime,1077890,,False
コンビニ,名詞,2,1,コンビニ,コンビニ-convenience,1053280,,False
クッソ,名詞,2,1,クッソ,クッソ-kousso,2834429,,False
アレ,代名詞,2,1,アレ,彼れ,1000580,,False
女,名詞,2,1,女,女,1344930,,False
ベタベタ,副詞,2,1,ベタベタ,べたべた,1011440,,False
プレイ,名詞,2,1,プレイ,プレー-play,1116400,,False
写真,名詞,2,1,写真,写真,1321900,,False
会う,動詞,2,1,会っ,会う,1198180,,False
元気,名詞,2,1,元気,元気,1260720,,False
個,接尾辞,2,1,個,個,1264740,,False
何,名詞,2,1,何,何,1577100,,False
１人,名詞,2,1,１人,一人,1576150,,False
ロッカー,名詞,2,1,ロッカー,ロッカー-locker,1147560,,False
レトルト,名詞,2,1,レトルト,レトルト-retort,1145650,,False
２,名詞,2,1,２,,1461140,,False
髪,名詞,2,1,髪,髪,1477950,,False
鳴る,動詞,2,1,鳴っ,鳴る,1532910,,False
