sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
びびる,動詞,21,1,ビビっ,びびる,2096500,,False
櫛,名詞,21,1,櫛,櫛,1246490,,True
枝,名詞,19,1,枝,枝,1310530,,True
俺,代名詞,13,1,俺,俺,1576870,,False
君,接尾辞,11,1,君,君,1247260,,False
私,代名詞,10,1,私,私-代名詞,1311110,,False
ちゃん,接尾辞,9,1,ちゃん,ちゃん,1007660,,False
お,接頭辞,9,1,お,御,2826528,,False
ピッチャー,名詞,9,1,ピッチャー,ピッチャー-pitcher,1106780,,False
言う,動詞,8,1,言っ,言う,1587040,,False
どこ,代名詞,8,1,どこ,何処,1577140,,False
大河,名詞,8,1,大河,大河,1581490,,False
バイト,名詞,6,1,バイト,バイト-Arbeit,1097870,,False
ヘイ,名詞,6,1,ヘイ,ヘイ-hey,2253740,,False
勤労,名詞,6,1,勤労,勤労,1241160,,False
良い,形容詞,6,1,イー,良い,1605820,,False
お前,代名詞,6,1,お前,御前,1002290,,False
何,代名詞,5,1,何,何,1577100,,False
キラキラ,副詞,5,1,キラキラ,きらきら,1003500,,False
噛ます,動詞,5,1,かまし,噛ます,2085410,,False
乗る,動詞,5,1,乗れ,乗る,1355120,,False
上げる,動詞,5,1,上げ,上げる,1352320,,False
フン,名詞,5,1,フン,糞,1632520 | 2230370 | 2834408,,True
有る,動詞,5,1,ある,有る,1296400,,False
たれ,名詞,5,1,たれ,垂れ,1370860,,False
まだ,副詞,5,1,まだ,未だ,1527110,,False
為る,動詞,4,1,しよっ,為る,1157170,,False
入れる,動詞,4,1,入れ,入れる,1465610,,False
見える,動詞,4,1,見え,見える,1259140,,False
こと,名詞,4,1,こと,事,1313580,,False
羅,名詞,4,1,羅,羅,1690510 | 2856148,,True
輝く,動詞,4,1,輝く,輝く,1224020,,False
未,接頭辞,4,1,未,未,1527090 | 2242840,,True
盛る,動詞,4,1,盛る,盛る,1379740,,False
来る,動詞,4,1,くん,来る,1547720,,False
あんた,代名詞,4,1,あんた,貴方,1979920,,False
２人,名詞,4,1,２人,二人,1582670,,False
掛かる,動詞,3,1,かかっ,掛かる,1207590,,False
もう,副詞,3,1,もう,もう,1012480,,False
パン,名詞,3,1,パン,パン-pao,1103090,,False
頼む,動詞,3,1,頼ん,頼む,1548370,,False
ぐ,名詞,3,1,ぐ,具,1244950 | 1615350,,True
ファミレス,名詞,3,1,ファミレス,ファミレス,1924790,,False
はしご,名詞,3,1,はしご,梯子,1436480,,False
運ぶ,動詞,3,1,運ん,運ぶ,1172660,,False
あれ,代名詞,3,1,あれ,彼れ,1000580,,False
朝,名詞,3,1,朝,朝,1428280,,False
為さる,動詞,3,1,なさい,為さる,1157090,,False
まあ,副詞,3,1,まあ,まあ,1012050,,False
行く,動詞,3,1,行か,行く,1578850,,False
遣る,動詞,3,1,やれる,遣る,1012980,,False
出る,動詞,3,1,出,出る,1338240,,False
実る,名詞,3,1,みのり,実り,1320840,,False
ちょっと,副詞,3,1,ちょっと,一寸,1163940,,False
見る,動詞,3,1,見,見る,1259290,,False
駄犬,名詞,3,1,駄犬,駄犬,1409030,,False
職人,名詞,3,1,職人,職人,1357550,,False
ったく,副詞,2,1,ったく,全く,2122580,,False
さん,接尾辞,2,1,さん,さん,1005340,,False
もん,名詞,2,1,もん,物,2780660,,False
やつ,名詞,2,1,やつ,奴,1445640,,False
り,名詞,2,1,り,里,1549460 | 1549690 | 1550770 | 1555420 | 1957060 | 2232330 | 2831312 | 2841132 | 2844083,,True
りん,接尾辞,2,1,りん,りん,2844215,,False
時間,名詞,2,1,時間,時間,1315920,,False
服,名詞,2,1,服,服,1500940,,False
なん,代名詞,2,1,なん,何,2846738,,False
未来,名詞,2,1,未来,未来,1528060,,False
校歌,名詞,2,1,校歌,校歌,1279490,,False
枝,接尾辞,2,1,枝,枝,1310530,,False
積む,動詞,2,1,積め,積む,1382970,,False
目,名詞,2,1,目,目,1604890,,False
笑顔,名詞,2,1,笑顔,笑顔,1351400,,False
煩い,形容詞,2,1,うるさい,煩い,1481920,,False
止める,動詞,2,1,やめろ,止める,1310680,,False
汗,名詞,2,1,汗,汗,1213060,,False
無い,形容詞,2,1,なかっ,無い,1529520,,False
それ,代名詞,2,1,それ,其れ,1006970,,False
鼻血,名詞,2,1,鼻血,鼻血,1583300,,False
超,接頭辞,2,1,超,超,1429340,,False
この,連体詞,2,1,この,此の,1582920,,False
こんな,連体詞,2,1,こんな,こんな,1004880,,False
聞く,動詞,2,1,聞け,聞く,1591110,,False
あたし,代名詞,2,1,あたし,私,1311125,,False
怪奇,名詞,2,1,怪奇,怪奇,1200240,,False
思いっきり,名詞,2,1,思いっきり,思い切り,1309310,,False
待つ,動詞,2,1,待て,待つ,1410590,,False
みの,名詞,2,1,みの,蓑,1634010 | 2845080,,True
手先,名詞,2,1,手先,手先,1328010,,False
手伝う,動詞,2,1,手伝い,手伝う,1328190,,False
成る,動詞,2,1,なっ,成る,1375610,,False
教える,動詞,2,1,教え,教える,1236900,,False
クソ,接頭辞,2,1,クソ,糞,1504900,,False
コ,名詞,2,1,コ,子,1264740,,False
分かる,動詞,2,1,分かっ,分かる,1606560,,False
去年,名詞,2,1,去年,去年,1231690,,False
呉れる,動詞,2,1,くれ,呉れる,1269130,,False
壊れる,動詞,2,1,壊れ,壊れる,1199900,,False
塁,名詞,2,1,塁,塁,1555910,,False
器用,形状詞,2,1,器用,器用,1218960,,False
実る,動詞,2,1,みのり,実る,1320850,,False
大変,形状詞,2,1,大変,大変,1415000,,False
声,名詞,2,1,声,声,1380440,,False
必要,名詞,2,1,必要,必要,1487660,,False
弱気,名詞,2,1,弱気,弱気,1324710,,False
ウフッ,名詞,2,1,ウフッ,,2223020,,False
インコ,名詞,2,1,インコ,鸚哥,1575160,,False
イェイ,名詞,2,1,イェイ,,2195260,,False
ファイル,名詞,2,1,ファイル,ファイル-file,1107800,,False
今朝,名詞,2,1,今朝,今朝,1579100,,False
人手,名詞,2,1,人手,人手,2825953,,False
人,名詞,2,1,人,人,1580640,,False
働く,動詞,2,1,働い,働く,1451150,,False
