sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
言う,動詞,19,1,言っ,言う,1587040,,False
大河,名詞,16,1,大河,大河,1581490,,False
お前,代名詞,14,1,お前,御前,1002290,,False
俺,代名詞,14,1,俺,俺,1576870,,False
遣る,動詞,13,1,やる,遣る,1012980,,False
写真,名詞,12,1,写真,写真,1321900,,False
君,接尾辞,12,1,君,君,1247260,,False
何,代名詞,11,1,何,何,1577100,,False
取る,動詞,9,1,撮ろう,取る,1326980,,False
こと,名詞,9,1,こと,事,1313580,,False
ちょっと,副詞,8,1,ちょっと,一寸,1163940,,False
言う,形容詞,8,1,いい,良い,1605820,,False
この,連体詞,7,1,この,此の,1582920,,False
呉れる,動詞,7,1,くれ,呉れる,1269130,,False
弁当,名詞,7,1,弁当,弁当,1513060,,False
今,名詞,6,1,今,今,1288850,,False
ちゃん,接尾辞,6,1,ちゃん,ちゃん,1007660,,False
選ぶ,動詞,6,1,選ん,選ぶ,1588730,,False
忘れる,動詞,6,1,忘れ,忘れる,1519210,,False
これ,代名詞,6,1,これ,此れ,1628530,,False
為る,動詞,6,1,しろ,為る,1157170,,False
見る,動詞,6,1,見,見る,1259290,,False
枚,接尾辞,5,1,枚,枚,1524610,,False
作る,動詞,5,1,作っ,作る,1597890,,False
ここ,代名詞,5,1,ここ,此処,1288810,,False
櫛,名詞,5,1,櫛,櫛,1246490,,False
私,代名詞,5,1,私,私-代名詞,1311110,,False
有る,動詞,5,1,ある,有る,1296400,,False
早い,形容詞,5,1,早く,早い,1404975,,False
思う,動詞,5,1,思わ,思う,1589350,,False
待つ,動詞,5,1,待っ,待つ,1410590,,False
それ,代名詞,4,1,それ,其れ,1006970,,False
食う,動詞,4,1,食っ,食う,1592100,,False
人,名詞,4,1,人,人,1580640,,False
煩い,形容詞,4,1,うるさい,煩い,1481920,,False
その,連体詞,4,1,その,其の,1006830,,False
何,名詞,4,1,何,何,1577100,,False
枝,名詞,4,1,枝,枝,1310530,,False
まあ,副詞,4,1,まあ,まあ,1012050,,False
分かる,動詞,4,1,分かっ,分かる,1606560,,False
来る,動詞,4,1,こい,来る,1547720,,False
手,名詞,4,1,手,手,1327190,,False
入れる,動詞,4,1,入れ,入れる,1465610,,False
好き,形状詞,4,1,好き,好き,1277450,,False
プリン,名詞,4,1,プリン,プディング-pudding,1116190,,False
会長,名詞,3,1,会長,会長,1198770,,False
落ち着く,動詞,3,1,落ち着い,落ち着く,1589220,,False
違う,動詞,3,1,違っ,違う,1158880,,False
ったく,副詞,3,1,ったく,全く,2122580,,False
返る,動詞,3,1,帰る,返る,1512150,,False
持つ,動詞,3,1,持っ,持つ,1315720,,False
もう,副詞,3,1,もう,もう,1012480,,False
皮,名詞,3,1,皮,皮,1483800,,False
告白,名詞,3,1,告白,告白,1286060,,False
まる,接頭辞,3,1,まる,丸,1216250,,False
インコ,名詞,3,1,インコ,鸚哥,1575160,,False
貰う,動詞,3,1,もらおう,貰う,1535910,,False
必要,名詞,3,1,必要,必要,1487660,,False
為さる,動詞,3,1,なさい,為さる,1157090,,False
せっかく,副詞,3,1,せっかく,折角,1596090,,False
バケツ,名詞,3,1,バケツ,バケツ-bucket,1098340,,False
こんな,連体詞,3,1,こんな,こんな,1004880,,False
今日,名詞,3,1,今日,今日,1579110,,False
欲しい,形容詞,3,1,ほしい,欲しい,1547330,,False
フッ,副詞,3,1,フッ,ふっ,2558020,,False
入る,動詞,3,1,入っ,入る,1465590,,False
人,接尾辞,3,1,人,人,1580640,,False
おかず,名詞,3,1,おかず,御数,1588930,,False
部,名詞,3,1,部,部,1499290,,False
居る,動詞,3,1,いる,居る,1577980,,False
旨い,形容詞,2,1,うまく,旨い,1310460,,False
あっさり,副詞,2,1,あっさり,あっさり,1000360,,False
あと,名詞,2,1,あと,後,1269320,,False
春田,名詞,2,1,春田,ハルタ,2628230,,False
あんた,代名詞,2,1,あんた,貴方,1979920,,False
みんな,名詞,2,1,みんな,皆,1202150,,False
いくら,副詞,2,1,いくら,幾ら,1219980,,False
朝メシ,名詞,2,1,朝メシ,朝飯,1581780,,False
朝礼,名詞,2,1,朝礼,朝礼,1428580,,False
いっぱい,副詞,2,1,いっぱい,一杯,1165670,,False
犬,接尾辞,2,1,犬,犬,1258330,,False
米,名詞,2,1,米,米,1508750,,False
練習,名詞,2,1,練習,練習,1559160,,False
肉,名詞,2,1,肉,肉,1463520,,False
腰,名詞,2,1,腰,腰,1288340,,False
自分,名詞,2,1,自分,自分,1318610,,False
行く,動詞,2,1,行っ,行く,1578850,,False
部屋,名詞,2,1,部屋,部屋,1499320,,False
頼む,動詞,2,1,頼む,頼む,1548370,,False
顔,名詞,2,1,顔,顔,1217730,,False
ら,接尾辞,2,1,ら,等,2067770,,False
駄犬,名詞,2,1,駄犬,駄犬,1409030,,False
おにぎり,名詞,2,1,おにぎり,御握り,1001620,,False
アルバム,名詞,2,1,アルバム,アルバム-album,1019450,,False
すぎ,接尾辞,2,1,すぎ,過ぎ,1195960,,False
こっ恥ずかしい,形容詞,2,1,こっぱずかし,こっ恥ずかしい,1638920,,False
上がる,動詞,2,1,あがっ,上がる,1352290,,False
下さる,動詞,2,1,ください,下さる,1184280,,False
カビ,名詞,2,1,カビ,黴,1575380,,False
そこ,代名詞,2,1,そこ,其処,1006670,,False
下ろす,動詞,2,1,おろす,下ろす,1589580,,False
不味い,形容詞,2,1,マズイ,不味い,1495000,,False
今度,名詞,2,1,今度,今度,1289370,,False
そろそろ,副詞,2,1,そろそろ,そろそろ,1345605,,False
そんな,連体詞,2,1,そんな,そんな,1007130,,False
倣う,動詞,2,1,ならえ,倣う,1599680,,False
先,名詞,2,1,先,先,1387210,,False
ちゃんと,副詞,2,1,ちゃんと,ちゃんと,1007720,,False
先輩,名詞,2,1,先輩,先輩,1388410,,False
あいつ,代名詞,2,1,あいつ,彼奴,1483160,,False
ソフト,名詞,2,1,ソフト,ソフト-soft,1075500,,False
全員,名詞,2,1,全員,全員,1394840,,False
てめぇ,代名詞,2,1,てめぇ,てまえ,2076920,,False
凄い,形容詞,2,1,すごい,凄い,1374550,,False
分,名詞,2,1,分,分,1502860,,False
前,名詞,2,1,前,前,1392580,,False
古い,形容詞,2,1,古い,古い,1265070,,False
とり,名詞,2,1,とり,取り,1430250,,False
とりあえず,副詞,2,1,とりあえず,取り敢えず,1598980,,False
どう,副詞,2,1,どう,どう,1008910,,False
喋る,動詞,2,1,しゃべっ,喋る,1427510,,False
どんな,連体詞,2,1,どんな,どんな,1009330,,False
ドジ,名詞,2,1,ドジ,どじ,1009110,,False
女,名詞,2,1,女,女,1344930,,False
ナポリタン,名詞,2,1,ナポリタン,ナポリタン-napolitain,1090650,,False
当てる,動詞,2,1,当て,当てる,1448860,,False
悪い,形容詞,2,1,悪かっ,悪い,1151260,,False
惚れる,代名詞,2,1,ほれ,其れ,1011710,,False
成る,動詞,2,1,なる,成る,1375610,,False
押さえる,動詞,2,1,抑え,押さえる,1589080,,False
振る,動詞,2,1,振っ,振る,1361330,,False
あたし,代名詞,1,1,あたし,私,1311125,,False
あみ,名詞,1,1,あみ,アミ,1534380 | 1952660,,True
あんな,連体詞,1,1,あんな,あんな,1000590,,False
いっけ,名詞,1,1,いっけ,いっけ,1575940 | 2441540,,True
いっちょ,名詞,1,1,いっちょ,一丁,2857596,,False
迷う,動詞,1,1,迷っ,迷う,1532710,,False
迷惑,名詞,1,1,迷惑,迷惑,1532800,,False
速やか,形状詞,1,1,速やか,速やか,1405000,,False
遅い,形容詞,1,1,遅い,遅い,1421970,,False
遊戯,名詞,1,1,遊戯,遊戯,1542190,,False
過ぎる,動詞,1,1,すぎる,過ぎる,1195970,,False
遣り合う,動詞,1,1,やりあっ,遣り合う,1605600,,False
量産,名詞,1,1,量産,量産,1554660,,False
銀,接尾辞,1,1,銀,銀-銀行,1595090,,False
さっさと,副詞,1,1,さっさと,さっさと,1005190,,False
さん,接尾辞,1,1,さん,さん,1005340,,False
しゃべり,名詞,1,1,しゃべり,喋り,1005680,,False
しゃり,名詞,1,1,しゃり,シャリ,1005690,,False
すぐ,副詞,1,1,すぐ,直ぐ,1430610,,False
すっ,副詞,1,1,すっ,すっ,2026870,,False
すっかり,副詞,1,1,すっかり,すっかり,1006110,,False
そう,副詞,1,1,そう,そう,2137720,,False
そこそこ,副詞,1,1,そこそこ,そこそこ,1006690,,False
そっくり,形状詞,1,1,そっくり,そっくり,1006790,,False
そりゃあ,代名詞,1,1,そりゃあ,其れ,2134680,,False
たまに,副詞,1,1,たまに,偶に,1634500,,False
たれ,名詞,1,1,たれ,垂れ,1370860,,False
ちょうど,副詞,1,1,ちょうど,丁度,1427340,,False
っぱなし,接尾辞,1,1,っぱなし,放し,1008020,,False
つやつや,副詞,1,1,つやつや,つやつや,1598100,,False
てんこ盛り,名詞,1,1,てんこ盛り,天こ盛り,2697920,,False
でかい,形容詞,1,1,でっかい,でかい,1008370,,False
とき,名詞,1,1,とき,時,1315840,,False
とにかく,副詞,1,1,とにかく,兎に角,1443990,,False
どうせ,副詞,1,1,どうせ,どうせ,1008950,,False
なん,代名詞,1,1,なん,何,2846738,,False
ばらす,動詞,1,1,バラし,ばらす,1930050,,False
びっくり,名詞,1,1,びっくり,びっくり,1226360,,False
ぶつぶつ,副詞,1,1,ぶつぶつ,ぶつぶつ,1011200,,False
ぶれる,動詞,1,1,ブレる,ぶれる,1011280,,False
ほんと,名詞,1,1,ほんと,本当,1523060,,False
まぁ,副詞,1,1,まぁ,まあ,1012050,,False
また,副詞,1,1,また,又,1524930,,False
まだ,副詞,1,1,まだ,未だ,1527110,,False
まま,名詞,1,1,まま,侭,1585410,,False
みのり,名詞,1,1,みのり,実り,1320840,,False
むく,名詞,1,1,むく,無垢,1474370,,False
むちゃくちゃ,副詞,1,1,むちゃくちゃ,無茶苦茶,1530680,,False
もっと,副詞,1,1,もっと,もっと,1012620,,False
やから,名詞,1,1,やから,輩,1472970,,False
やすい,接尾辞,1,1,やすい,易い,1156990,,False
やすく,接尾辞,1,1,やすく,易い,1913180,,False
やっぱ,副詞,1,1,やっぱ,矢張り,2772780,,False
やつ,名詞,1,1,やつ,奴,1445640,,False
やばい,形容詞,1,1,ヤバ,やばい,1012840,,False
ゆり,名詞,1,1,ゆり,百合,1488160,,False
よく,副詞,1,1,よく,良く,1605870,,False
わざわざ,副詞,1,1,わざわざ,態々,1606710,,False
アメリカン,名詞,1,1,アメリカン,アメリカン-American,1018840,,False
イカ,名詞,1,1,イカ,烏賊,1171570,,False
エロ,名詞,1,1,エロ,エロ-erotic,1030660,,False
オッケー,名詞,1,1,オッケー,オーケー-okay,1031600,,False
カーニバル,名詞,1,1,カーニバル,カーニバル-carnival,1036440,,False
ザ,名詞,1,1,ザ,ザ-the,1058900,,False
シャッター,名詞,1,1,シャッター,シャッター-shutter,1061440,,False
ジャガイモ,名詞,1,1,ジャガイモ,ジャガ芋,1005930,,False
ストレート,名詞,1,1,ストレート,ストレート-straight,1071450,,False
スライム,名詞,1,1,スライム,スライム,1649160,,False
タイガー,名詞,1,1,タイガー,タイガー-tiger,2021200,,False
テンション,名詞,1,1,テンション,テンション-tension,1080970,,False
テンパる,動詞,1,1,テンパり,テンパる,2018500,,False
ディス,名詞,1,1,ディス,ディス-this,2724300,,False
トイレ,名詞,1,1,トイレ,トイレ-toilet,1084810,,False
トゥ,名詞,1,1,トゥ,トー-toe,1084430,,False
ドス,名詞,1,1,ドス,どす,1088240,,False
ノロ,名詞,1,1,ノロ,祝女,2667380 | 2827149,,True
ハーモニー,名詞,1,1,ハーモニー,ハーモニー-harmony,1094850,,False
バイト,名詞,1,1,バイト,バイト-Arbeit,1097870,,False
バスター,名詞,1,1,バスター,バスター-buster,2856805,,False
ピクニック,名詞,1,1,ピクニック,ピクニック-picnic,1106530,,False
フェイント,名詞,1,1,フェイント,フェイント-feint,1109780,,False
フール,名詞,1,1,フール,フール-four,2485210,,False
ブラクラ,名詞,1,1,ブラクラ,ブラクラ,2028500,,False
プリプリ,副詞,1,1,プリプリ,ぷりぷり,1116100,,False
プリント,名詞,1,1,プリント,プリント-print,1116300,,False
ベタ,名詞,1,1,ベタ,べた,2083610,,False
ポロポロ,副詞,1,1,ポロポロ,ぽろぽろ,1012030,,False
マシ,形状詞,1,1,マシ,増し,1611600,,False
マネージャー,名詞,1,1,マネージャー,マネージャー-manager,1129040,,False
マン,名詞,1,1,マン,マン-man,1129970,,False
ミーティング,名詞,1,1,ミーティング,ミーティング-meeting,1130380,,False
ヤツ,名詞,1,1,ヤツ,奴,1445640,,False
ラッキー,名詞,1,1,ラッキー,ラッキー-lucky,1139140,,False
リアクション,名詞,1,1,リアクション,リアクション-reaction,1140880,,False
レディース,名詞,1,1,レディース,レディー-lady,1145600,,False
ワッ,副詞,1,1,ワッ,わっ,2004010,,False
ワン,名詞,1,1,ワン,ワン-one,2844785,,False
家,名詞,1,1,家,家,1191740,,False
家事,名詞,1,1,家事,家事,1191980,,False
寄る,動詞,1,1,寄っ,寄る,1219680,,False
対手,名詞,1,1,対手,相手,2589150,,False
小さい,形容詞,1,1,ちっこい,小さい,1347750,,False
小じゅうと,名詞,1,1,小じゅうと,小舅,1663350 | 1744480,,True
同席,名詞,1,1,同席,同席,1452900,,False
平気,名詞,1,1,平気,平気,1507180,,False
店長,名詞,1,1,店長,店長,1440730,,False
同じ,連体詞,1,1,同じ,同じ,1451750,,False
張り切る,動詞,1,1,張り切っ,張り切る,1427870,,False
噛み付く,動詞,1,1,かみつい,噛み付く,1209220,,False
同じ,形状詞,1,1,同じ,同じ,1451750,,False
可愛い,形容詞,1,1,カワイイ,可愛い,1577200,,False
受け付ける,動詞,1,1,受け付け,受け付ける,1329690,,False
怒り,名詞,1,1,怒り,怒り,1445670,,False
取れる,動詞,1,1,取れ,取れる,1326990,,False
報告,名詞,1,1,報告,報告,1515670,,False
悪魔,名詞,1,1,悪魔,悪魔,1152510,,False
変,名詞,1,1,変,変,1510640,,False
惚れる,動詞,1,1,ほれ,惚れる,1288500,,False
意味,名詞,1,1,意味,意味,1156800,,False
意外,形状詞,1,1,意外,意外,1156410,,False
意識,名詞,1,1,意識,意識,1156640,,False
懐かしい,形容詞,1,1,懐かしい,懐かしい,1200490,,False
夕飯,名詞,1,1,夕飯,夕飯,1584910,,False
我が,連体詞,1,1,我が,我が,1606620,,False
所,名詞,1,1,所,所,1343100,,False
半,名詞,1,1,半,半,1478750,,False
手乗り,名詞,1,1,手乗り,手乗り,2841842,,False
手伝う,動詞,1,1,手伝おう,手伝う,1328190,,False
抱く,動詞,1,1,だき,抱く,2844997,,False
多い,形容詞,1,1,多い,多い,1407460,,False
持ち物,名詞,1,1,持ち物,持ち物,1605240,,False
北,名詞,1,1,北,北,1520670,,False
夜更かし,名詞,1,1,夜更かし,夜更かし,1606000,,False
捨てる,動詞,1,1,捨て,捨てる,1322320,,False
捲る,動詞,1,1,まくっ,捲る,1257800,,False
掛ける,動詞,1,1,かけ,掛ける,1207610,,False
文句,名詞,1,1,文句,文句,1505260,,False
断る,動詞,1,1,断っ,断る,1419570,,False
大体,名詞,1,1,大体,大体,1414470,,False
加工,名詞,1,1,加工,加工,1190120,,False
明日,名詞,1,1,明日,明日,1584660,,False
昔,名詞,1,1,昔,昔,1382370,,False
大変,形状詞,1,1,大変,大変,1415000,,False
昨日,名詞,1,1,昨日,昨日,1579260,,False
暮らす,動詞,1,1,暮らす,暮らす,1514940,,False
最近,名詞,1,1,最近,最近,1293780,,False
剥く,動詞,1,1,むけ,剥く,1474370,,False
朝,名詞,1,1,朝,朝,1428280,,False
大橋,名詞,1,1,大橋,大橋,2856670,,False
商売,名詞,1,1,商売,商売,1347200,,False
村,名詞,1,1,村,村,1406820,,False
切れる,動詞,1,1,キレ,切れる,1384860,,False
出す,動詞,1,1,出さ,出す,1338180,,False
内緒,名詞,1,1,内緒,内緒,1458510,,False
枝,接尾辞,1,1,枝,枝,1310530,,False
校庭,名詞,1,1,校庭,校庭,1279600,,False
横顔,名詞,1,1,横顔,横顔,1180670,,False
全校,名詞,1,1,全校,全校,1395170,,False
次,名詞,1,1,次,次,1316380,,False
児,接尾辞,1,1,児,児,1315010,,False
欲望,名詞,1,1,欲望,欲望,1547410,,False
死ぬ,動詞,1,1,死ん,死ぬ,1310730,,False
殺し,名詞,1,1,殺し,殺し,1299000,,False
殺風景,名詞,1,1,殺風景,殺風景,1299210,,False
気,名詞,1,1,気,気,1221520,,False
気合い,名詞,1,1,気合い,気合い,1591030,,False
水,名詞,1,1,水,水,1371260,,False
汗,名詞,1,1,汗,汗,1213060,,False
決まる,動詞,1,1,決まっ,決まる,1591420,,False
決める,動詞,1,1,決め,決める,1254180,,False
洗い物,名詞,1,1,洗い物,洗い物,1609080,,False
洗う,動詞,1,1,洗っ,洗う,1390930,,False
洗濯,名詞,1,1,洗濯,洗濯,1390980,,False
派,接尾辞,1,1,派,派,1471120,,False
流,接尾辞,1,1,流,流,1552090,,False
浮かぶ,動詞,1,1,浮かん,浮かぶ,1497430,,False
先週,名詞,1,1,先週,先週,1387870,,False
渋い,形容詞,1,1,渋い,渋い,1335540,,False
温める,動詞,1,1,あっため,温める,1586440,,False
炊きたて,名詞,1,1,炊きたて,炊き立て,2520690,,False
元気,名詞,1,1,元気,元気,1260720,,False
使う,動詞,1,1,使え,使う,1305990,,False
無駄,名詞,1,1,無駄,無駄,1530510,,False
作り,名詞,1,1,作り,作り,1297250,,False
特別,形状詞,1,1,特別,特別,1455280,,False
天才,名詞,1,1,天才,天才,1439090,,False
現われる,動詞,1,1,現れ,現われる,1263510,,False
生徒,名詞,1,1,生徒,生徒,1379380,,False
男子,名詞,1,1,男子,男子,1420070,,False
痛む,動詞,1,1,傷む,痛む,1432710,,False
何しろ,副詞,1,1,何しろ,何しろ,1188330,,False
直る,動詞,1,1,なおれ,直る,2846390,,False
真面目,形状詞,1,1,真面目,真面目,1364360,,False
確か,副詞,1,1,確か,確か,1596930,,False
確認,名詞,1,1,確認,確認,1205900,,False
何々,代名詞,1,1,何々,何々,1599580,,False
移動,名詞,1,1,移動,移動,1158400,,False
穴,名詞,1,1,穴,穴,1254480,,False
突如,副詞,1,1,突如,突如,1457090,,False
突然,副詞,1,1,突然,突然,1457040,,False
竜,名詞,1,1,竜,竜,1629170,,False
答え,名詞,1,1,答え,答え,1449530,,False
天然,名詞,1,1,天然,天然,1439580,,False
系,接尾辞,1,1,系,系,1251000,,False
終わる,動詞,1,1,終わろう,終わる,1589600,,False
絡む,動詞,1,1,絡む,絡む,1548520,,False
絶,接頭辞,1,1,絶,絶,2847200,,False
喜ぶ,動詞,1,1,喜ん,喜ぶ,1218760,,False
繰る,動詞,1,1,くっ,繰る,1247040,,False
美味しい,形容詞,1,1,おいしい,美味しい,1486650,,False
耳,名詞,1,1,耳,耳,1317170,,False
聞く,動詞,1,1,聞い,聞く,1591110,,False
女子,名詞,1,1,女子,女子,1345140,,False
脇,名詞,1,1,脇,脇,1562530,,False
向ける,動詞,1,1,むける,向ける,1277100,,False
腰痛,名詞,1,1,腰痛,腰痛,1288430,,False
妙,名詞,1,1,妙,妙,1528490,,False
若者,名詞,1,1,若者,若者,1324350,,False
茶色,名詞,1,1,茶色,茶色,1422720,,False
体勢,名詞,1,1,体勢,体勢,1854310,,False
落ち込む,動詞,1,1,落ち込ん,落ち込む,1548570,,False
落とす,動詞,1,1,落とそう,落とす,1589260,,False
薄い,形容詞,1,1,薄,薄い,1475480,,False
委員,名詞,1,1,委員,委員,1156100,,False
術,名詞,1,1,術,術,1340780,,False
褒める,動詞,1,1,褒め,褒める,1603550,,False
覆う,動詞,1,1,おおう,覆う,1588840,,False
済み,接尾辞,1,1,済み,済み,2198630,,False
見付かる,動詞,1,1,見つかっ,見付かる,1604550,,False
以外,名詞,1,1,以外,以外,1155090,,False
付き合う,動詞,1,1,つきあっ,付き合う,1597790,,False
言わす,動詞,1,1,言わせ,言わす,2476520,,False
設定,名詞,1,1,設定,設定,1386060,,False
訴える,動詞,1,1,訴え,訴える,1397720,,False
証拠,名詞,1,1,証拠,証拠,1351600,,False
話,名詞,1,1,話,話,1600900,,False
誇り,名詞,1,1,誇り,誇り,1267740,,False
読む,動詞,1,1,読ん,読む,1456360,,False
謝る,動詞,1,1,謝り,謝る,1323010,,False
責任,名詞,1,1,責任,責任,1383180,,False
今,接頭辞,1,1,今,今,1288850,,False
貶す,動詞,1,1,けなし,貶す,1573120,,False
貸す,動詞,1,1,貸し,貸す,1411160,,False
起きる,動詞,1,1,起きろ,起きる,1223640,,False
越える,動詞,1,1,こえ,越える,1593070,,False
転ぶ,動詞,1,1,転ぼう,転ぶ,1582130,,False
近頃,名詞,1,1,近頃,近頃,1242300,,False
人気,名詞,1,1,人気,人気,1367010,,False
降参,名詞,1,1,降参,降参,1282860,,False
陣痛,名詞,1,1,陣痛,陣痛,1370240,,False
隠す,動詞,1,1,隠さ,隠す,1170650,,False
電気,名詞,1,1,電気,電気,1443000,,False
姿,名詞,1,1,姿,姿,1307710,,False
嬉しい,形容詞,1,1,うれしかっ,嬉しい,1219510,,False
風紀,名詞,1,1,風紀,風紀,1499800,,False
丸める,動詞,1,1,丸め,丸める,1216300,,False
食べる,動詞,1,1,食べ,食べる,1358280,,False
食欲,名詞,1,1,食欲,食欲,1358660,,False
飲み込む,動詞,1,1,飲み込ん,飲み込む,1600400,,False
子,名詞,1,1,子,子,1307770,,False
高校,名詞,1,1,高校,高校,1283500,,False
黄色,名詞,1,1,黄色,黄色,1576760,,False
長々,副詞,1,1,長々,長々,1599440,,False
間違い,名詞,1,1,間違い,間違い,1215320,,False
うち,名詞,1,1,うち,内,1191740,,False
うら,代名詞,1,1,うら,うら,1172540 | 1389415 | 1525230 | 1550190 | 2080360,,True
中,接尾辞,1,1,中,中,1620400,,False
安心,名詞,1,1,安心,安心,1153890,,False
中,名詞,1,1,中,中,1620400,,False
から揚げ,名詞,1,1,から揚げ,空揚げ,1590640,,False
かんな,名詞,1,1,かんな,かんな,1573790 | 2090300,,True
がたい,接尾辞,1,1,がたい,難い,2772730,,False
く,名詞,1,1,く,九,1243940 | 1244080 | 1578150 | 2037710 | 2097910 | 2243580 | 2270490 | 2271620,,True
こいつ,代名詞,1,1,こいつ,此奴,1579070,,False
不思議,名詞,1,1,不思議,不思議,1492570,,False
室,接尾辞,1,1,室,室,1320300,,False
上限,名詞,1,1,上限,上限,1353080,,False
万,名詞,1,1,万,万,1584460,,False
黒い,形容詞,1,1,黒い,黒い,1287420,,False
