sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
こと,名詞,29,1,こと,事,1313580,,False
私,代名詞,17,1,私,私-代名詞,1311110,,False
言う,動詞,14,1,言っ,言う,1587040,,False
ちゃん,接尾辞,13,1,ちゃん,ちゃん,1007660,,False
あんた,代名詞,13,1,あんた,貴方,1979920,,False
俺,代名詞,13,1,俺,俺,1576870,,False
成る,動詞,11,1,なり,成る,1375610,,False
良い,形容詞,10,1,いい,良い,1605820,,False
切る,動詞,9,1,切る,切る,1384830,,False
分かる,動詞,8,1,分かっ,分かる,1606560,,False
思う,動詞,8,1,思っ,思う,1589350,,False
行く,動詞,7,1,行け,行く,1578850,,False
とき,名詞,7,1,とき,時,1315840,,False
買う,動詞,7,1,買う,買う,1473740,,False
わけ,名詞,7,1,わけ,訳,1538330,,False
もう,副詞,7,1,もう,もう,1012480,,False
嫌う,動詞,7,1,嫌わ,嫌う,1257250,,False
君,接尾辞,7,1,君,君,1247260,,False
大河,名詞,7,1,大河,タイガ,1581490,,False
天然,名詞,7,1,天然,天然,1439580,,False
可愛い,形容詞,7,1,カワイイ,可愛い,1577200,,False
為る,動詞,7,1,する,為る,1157170,,False
違う,動詞,7,1,違っ,違う,1158880,,False
見る,動詞,6,1,見,見る,1259290,,False
裾,名詞,6,1,裾,裾,1373610,,False
そんな,連体詞,6,1,そんな,そんな,1007130,,False
これ,代名詞,6,1,これ,此れ,1628530,,False
あいつ,代名詞,6,1,あいつ,彼奴,1483160,,False
何,代名詞,6,1,何,何,1577100,,False
全部,名詞,6,1,全部,全部,1396130,,False
お前,代名詞,6,1,お前,御前,1002290,,False
あれ,代名詞,6,1,あれ,彼れ,1000580,,False
デニム,名詞,6,1,デニム,デニム-denim,1083450,,False
呉れる,動詞,6,1,くれ,呉れる,1269130,,False
本性,名詞,5,1,本性,本性,1522780,,False
さん,接尾辞,5,1,さん,さん,1005340,,False
ヤツ,名詞,5,1,ヤツ,奴,1445640,,False
大丈夫,形状詞,5,1,大丈夫,大丈夫,1414150,,False
昨日,名詞,5,1,昨日,昨日,1579260,,False
悪い,形容詞,5,1,悪く,悪い,1151260,,False
全然,副詞,5,1,全然,全然,1395620,,False
子,名詞,5,1,子,子,1307770,,False
女,名詞,5,1,女,女,1344930,,False
ダイエット,名詞,5,1,ダイエット,ダイエット-diet,1076730,,False
来る,動詞,5,1,来る,来る,1547720,,False
櫛,名詞,5,1,櫛,櫛,1246490,,False
やせ,名詞,4,1,やせ,痩せ,2796230,,False
持つ,動詞,4,1,持た,持つ,1315720,,False
人,名詞,4,1,人,人,1580640,,False
凄い,形容詞,4,1,すっごい,凄い,1374550,,False
夏,名詞,4,1,夏,夏,1191320,,False
あんな,連体詞,4,1,あんな,あんな,1000590,,False
ったく,副詞,4,1,ったく,全く,2122580,,False
気,名詞,4,1,気,気,1221520,,False
ちょっと,副詞,4,1,ちょっと,一寸,1163940,,False
この,連体詞,4,1,この,此の,1582920,,False
直前,名詞,4,1,直前,直前,1431330,,False
こんな,連体詞,4,1,こんな,こんな,1004880,,False
それ,代名詞,4,1,それ,其れ,1006970,,False
自分,名詞,4,1,自分,自分,1318610,,False
部分,名詞,4,1,部分,部分,1499490,,False
あんな,形状詞,4,1,あんな,あんな,1000590,,False
恥ずかしい,形容詞,4,1,恥ずかしい,恥ずかしい,1421630,,False
ほんと,名詞,4,1,ほんと,本当,1523060,,False
欲しい,形容詞,4,1,欲しい,欲しい,1547330,,False
どうせ,副詞,4,1,どうせ,どうせ,1008950,,False
有る,動詞,4,1,ある,有る,1296400,,False
煩い,形容詞,4,1,うるさい,煩い,1481920,,False
キャン,名詞,4,1,キャン,キャン-can,2523810 | 2860488,,True
遣る,動詞,3,1,やる,遣る,1012980,,False
今,名詞,3,1,今,今,1288850,,False
返る,動詞,3,1,帰る,返る,1512150,,False
名前,名詞,3,1,名前,名前,1531710,,False
会う,動詞,3,1,会え,会う,1198180,,False
モデル,名詞,3,1,モデル,モデル-model,1135270,,False
バッグ,名詞,3,1,バッグ,バッグ-bag,1099100,,False
ソース,名詞,3,1,ソース,ソース-sauce,1075270,,False
トイレ,名詞,3,1,トイレ,トイレ-toilet,1084810,,False
号,名詞,3,1,号,号,1284220,,False
学校,名詞,3,1,学校,学校,1206730,,False
竜,名詞,3,1,竜,竜,1629170,,False
目印,名詞,3,1,目印,目印,1535300,,False
表紙,名詞,3,1,表紙,表紙,1489600,,False
貰う,動詞,3,1,もらっ,貰う,1535910,,False
目,名詞,3,1,目,目,1604890,,False
くし,名詞,3,1,くし,櫛,1246490,,False
発売,名詞,3,1,発売,発売,1477810,,False
あみ,名詞,3,1,あみ,アミ,1534380 | 1952660,,True
もー,副詞,3,1,もー,もう,1012480,,False
よく,副詞,3,1,よく,良く,1605870,,False
居る,動詞,3,1,いる,居る,1577980,,False
分,名詞,3,1,分,分,1502860,,False
書く,動詞,3,1,書い,書く,1343950,,False
最新,名詞,3,1,最新,最新,1294090,,False
明日,名詞,3,1,明日,明日,1584660,,False
枝,接尾辞,3,1,枝,枝,1310530,,False
ちゃんと,副詞,3,1,ちゃんと,ちゃんと,1007720,,False
んな,連体詞,3,1,んな,そんな,2835613,,False
応援,名詞,3,1,応援,応援,1179840,,False
たまに,副詞,3,1,たまに,偶に,1634500,,False
剥ぐ,動詞,3,1,はぐ,剥ぐ,1582990,,False
トンカツ,名詞,3,1,トンカツ,豚カツ,1457410,,False
チビ,名詞,3,1,チビ,ちび,1077750,,False
嫌い,名詞,3,1,嫌い,嫌い,1257240,,False
紹介,名詞,2,1,紹介,紹介,1351430,,False
蚊,名詞,2,1,蚊,蚊,1196540,,False
そう,副詞,2,1,そう,そう,1006610,,False
立つ,動詞,2,1,立っ,立つ,1597040,,False
こっち,代名詞,2,1,こっち,此方,1004500,,False
ここ,代名詞,2,1,ここ,此処,1288810,,False
あたし,代名詞,2,1,あたし,私,1311125,,False
がら,接尾辞,2,1,がら,がる,1508300 | 2101970 | 2834415,,True
ごめん,名詞,2,1,ごめん,御免,1270670,,False
転ぶ,動詞,2,1,転ぶ,転ぶ,1582130,,False
聞く,動詞,2,1,聞き,聞く,1591110,,False
落とす,動詞,2,1,落とす,落とす,1589260,,False
服,名詞,2,1,服,服,1500940,,False
みんな,名詞,2,1,みんな,皆,1202150,,False
浮気,名詞,2,1,浮気,浮気,1497450,,False
とりあえず,副詞,2,1,とりあえず,取り敢えず,1598980,,False
ぶっ,名詞,2,1,ぶっ,ブッ,2698210,,False
とこ,名詞,2,1,とこ,所,1343100,,False
っぽい,接尾辞,2,1,っぽい,ぽい,2083720,,False
泣く,動詞,2,1,泣く,泣く,1229840,,False
枝,名詞,2,1,枝,枝,1310530,,False
本当,名詞,2,1,本当,本当,1523060,,False
昔,名詞,2,1,昔,昔,1382370,,False
日,名詞,2,1,日,日,1463770,,False
どう,副詞,2,1,どう,どう,1008910,,False
掛ける,動詞,2,1,かけ,掛ける,1207610,,False
教室,名詞,2,1,教室,教室,1237150,,False
やっぱ,副詞,2,1,やっぱ,矢張り,2772780,,False
心配,名詞,2,1,心配,心配,1360930,,False
待つ,動詞,2,1,待た,待つ,1410590,,False
彼氏,名詞,2,1,彼氏,彼氏,1483140,,False
幼なじみ,名詞,2,1,幼なじみ,幼馴染み,1545120,,False
