sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
私,代名詞,19,1,私,私-代名詞,1311110,,False
行く,動詞,15,1,行く,行く,1578850,,False
遣る,動詞,14,1,やっ,遣る,1012980,,False
君,接尾辞,13,1,君,君,1247260,,False
大河,名詞,11,1,大河,大河,1581490,,False
良い,形容詞,10,1,いい,良い,1605820,,False
あいつ,代名詞,9,1,あいつ,彼奴,1483160,,False
止める,動詞,9,1,やめ,止める,1310680,,False
ちょっと,副詞,9,1,ちょっと,一寸,1163940,,False
言う,動詞,9,1,言わ,言う,1587040,,False
この,連体詞,9,1,この,此の,1582920,,False
こと,名詞,9,1,こと,事,1313580,,False
待つ,動詞,7,1,待っ,待つ,1410590,,False
分かる,動詞,7,1,分かっ,分かる,1606560,,False
来る,動詞,7,1,くる,来る,1547720,,False
ちゃん,接尾辞,7,1,ちゃん,ちゃん,1007660,,False
あんた,代名詞,7,1,あんた,貴方,1979920,,False
お前,代名詞,6,1,お前,御前,1002290,,False
２人,名詞,6,1,２人,二人,1582670,,False
酷い,形容詞,6,1,ひどい,酷い,1602060,,False
呉れる,動詞,6,1,くれる,呉れる,1269130,,False
俺,代名詞,6,1,俺,俺,1576870,,False
為る,動詞,6,1,する,為る,1157170,,False
さん,接尾辞,6,1,さん,さん,1005340,,False
ダイエット,名詞,5,1,ダイエット,ダイエット-diet,1076730,,False
こっち,代名詞,5,1,こっち,此方,1004500,,False
もう,副詞,5,1,もう,もう,1012480,,False
大丈夫,形状詞,5,1,大丈夫,大丈夫,1414150,,False
これ,代名詞,5,1,これ,此れ,1628530,,False
見せる,動詞,5,1,見せ,見せる,1259210,,False
お,接頭辞,5,1,お,御,2826528,,False
怖い,形容詞,5,1,怖い,怖い,1593480,,False
弁当,名詞,5,1,弁当,弁当,1513060,,False
みのり,名詞,5,1,みのり,実り,1320840,,False
自分,名詞,5,1,自分,自分,1318610,,False
いきなり,副詞,5,1,いきなり,行成,1282000,,False
バカ,名詞,4,1,バカ,馬鹿,1601260,,False
取る,動詞,4,1,撮っ,取る,1326980,,False
有る,動詞,4,1,ある,有る,1296400,,False
痩せる,動詞,4,1,痩せる,痩せる,1605510,,False
本当,名詞,4,1,本当,本当,1523060,,False
戦士,名詞,4,1,戦士,戦士,1390240,,False
ストーカー,名詞,4,1,ストーカー,ストーカー-stalker,1648060,,False
取り繕う,動詞,3,1,取り繕っ,取り繕う,1326810,,False
顔,名詞,3,1,顔,顔,1217730,,False
高級,名詞,3,1,高級,高級,1283400,,False
可愛い,形容詞,3,1,カワイイ,可愛い,1577200,,False
イヤー,名詞,3,1,イヤー,イヤー-year,2830360,,False
作る,動詞,3,1,作っ,作る,1597890,,False
マンション,名詞,3,1,マンション,マンション-mansion,1130040,,False
フン,名詞,3,1,フン,フン-外国,1632520,,False
さっき,名詞,3,1,さっき,さっき,1005180,,False
無理,名詞,3,1,無理,無理,1530970,,False
時間,名詞,3,1,時間,時間,1315920,,False
為さる,動詞,3,1,なさい,為さる,1157090,,False
その,連体詞,3,1,その,其の,1006830,,False
相手,名詞,3,1,相手,相手,1401000,,False
ったく,副詞,3,1,ったく,全く,2122580,,False
転校,名詞,3,1,転校,転校,1441140,,False
神,名詞,3,1,神,神,1364440,,False
こんな,連体詞,3,1,こんな,こんな,1004880,,False
ごめん,名詞,3,1,ごめん,御免,1270670,,False
肉,名詞,3,1,肉,肉,1463520,,False
きんかん,名詞,3,1,きんかん,金柑,1242720,,False
超,接頭辞,3,1,超,超,1429340,,False
返る,動詞,3,1,帰る,返る,1512150,,False
こいつ,代名詞,3,1,こいつ,此奴,1579070,,False
妖怪,名詞,3,1,妖怪,妖怪,1545300,,False
ゴミ,名詞,3,1,ゴミ,塵,1369900,,False
出来る,動詞,3,1,出来,出来る,1340450,,False
家,名詞,3,1,家,家,1191730,,False
あたし,代名詞,2,1,あたし,私,1311125,,False
悪い,形容詞,2,1,悪い,悪い,1151260,,False
はちみつ,名詞,2,1,はちみつ,蜂蜜,1517860,,False
どう,副詞,2,1,どう,どう,1008910,,False
根性,名詞,2,1,根性,根性,1290210,,False
意味,名詞,2,1,意味,意味,1156800,,False
成る,動詞,2,1,なる,成る,1375610,,False
拳,名詞,2,1,拳,拳,1257740,,False
昨日,名詞,2,1,昨日,昨日,1579260,,False
