sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
私,代名詞,23,1,私,私-代名詞,1311110,,False
こと,名詞,17,1,こと,事,1313580,,False
大河,名詞,17,1,大河,大河,1581490,,False
行く,動詞,15,1,行こっ,行く,1578850,,False
俺,代名詞,14,1,俺,俺,1576870,,False
お前,代名詞,14,1,お前,御前,1002290,,False
何,代名詞,14,1,何,何,1577100,,False
分かる,動詞,11,1,分かっ,分かる,1606560,,False
勝つ,動詞,11,1,勝っ,勝つ,1346150,,False
為る,動詞,10,1,しろ,為る,1157170,,False
バカ,名詞,10,1,バカ,馬鹿,1601260,,False
君,接尾辞,10,1,君,君,1247260,,False
ちゃん,接尾辞,9,1,ちゃん,ちゃん,1007660,,False
別荘,名詞,9,1,別荘,別荘,1509970,,False
思う,動詞,8,1,思っ,思う,1589350,,False
あんた,代名詞,8,1,あんた,貴方,1979920,,False
勝負,名詞,8,1,勝負,勝負,1346230,,False
良い,形容詞,7,1,いい,良い,1605870,,False
タイガー,名詞,7,1,タイガー,タイガー-tiger,2021200,,False
練習,名詞,6,1,練習,練習,1559160,,False
気,名詞,6,1,気,気,1221520,,False
言う,動詞,6,1,いう,言う,1587040,,False
頑張る,動詞,5,1,頑張る,頑張る,1217700,,False
まだ,副詞,5,1,まだ,未だ,1527110,,False
呉れる,動詞,5,1,くれ,呉れる,1269130,,False
顔,名詞,5,1,顔,顔,1217730,,False
見る,動詞,5,1,見,見る,1259290,,False
そんな,連体詞,5,1,そんな,そんな,1007130,,False
書く,動詞,5,1,書い,書く,1343950,,False
お,接頭辞,5,1,お,御,2089690,,False
使う,動詞,5,1,使え,使う,1305990,,False
明日,名詞,4,1,明日,明日,1584660,,False
ハァハァ,副詞,4,1,ハァハァ,はあはあ-Ha'aha'a,1632370,,False
プール,名詞,4,1,プール,プール-pool,1115150,,False
ヤツ,名詞,4,1,ヤツ,奴,1445640,,False
泳ぐ,動詞,4,1,泳げ,泳ぐ,1174340,,False
信ずる,動詞,4,1,信じ,信ずる,1359070,,False
