sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
大河,名詞,26,1,大河,大河,1581490,,False
君,接尾辞,13,1,君,君,1247260,,False
俺,代名詞,13,1,俺,俺,1576870,,False
為る,動詞,12,1,し,為る,1157170,,False
行く,動詞,12,1,行く,行く,1578850,,False
私,代名詞,12,1,私,私-代名詞,1311110,,False
良い,形容詞,11,1,いい,良い,1605870,,False
さん,接尾辞,11,1,さん,さん,1005340,,False
こと,名詞,10,1,こと,事,1313580,,False
タイガー,名詞,8,1,タイガー,タイガー-tiger,2021200,,False
ちょっと,副詞,7,1,ちょっと,一寸,1163940,,False
来る,動詞,7,1,来,来る,1547720,,False
見る,動詞,6,1,み,見る,2256270,,False
呉れる,動詞,6,1,くれる,呉れる,1269130,,False
思う,動詞,6,1,思っ,思う,1589350,,False
言う,動詞,6,1,言っ,言う,1587040,,False
手乗り,名詞,5,1,手乗り,手乗り,2841842,,False
成る,動詞,5,1,なっ,成る,1375610,,False
大丈夫,形状詞,5,1,大丈夫,大丈夫,1414150,,False
あんた,代名詞,5,1,あんた,貴方,1979920,,False
可愛い,形容詞,5,1,カワイイ,可愛い,1577200,,False
この,連体詞,5,1,この,此の,1582920,,False
櫛,名詞,5,1,櫛,櫛,1246490,,False
遣る,動詞,5,1,やら,遣る,1012980,,False
お前,代名詞,5,1,お前,御前,1002290,,False
女子,名詞,4,1,女子,女子,1345140,,False
応援,名詞,4,1,応援,応援,1179840,,False
走る,動詞,4,1,走っ,走る,1402540,,False
ミスター,名詞,4,1,ミスター,ミスター-mister,1130690,,False
枝,接尾辞,4,1,枝,枝,1310530,,False
持つ,動詞,4,1,持っ,持つ,1315720,,False
考える,動詞,3,1,考え,考える,1281020,,False
顔,名詞,3,1,顔,顔,1217730,,False
有る,動詞,3,1,ある,有る,1296400,,False
実る,名詞,3,1,みのり,実り,1320840,,False
ちゃん,接尾辞,3,1,ちゃん,ちゃん,1007660,,False
父親,名詞,3,1,父親,父親,1497680,,False
まだ,副詞,3,1,まだ,未だ,1527110,,False
分かる,動詞,3,1,分かっ,分かる,1606560,,False
夜,名詞,3,1,夜,夜,1536350,,False
出る,動詞,3,1,出,出る,1896380,,False
大橋,名詞,3,1,大橋,大橋,2856670,,False
ヤツ,名詞,3,1,ヤツ,奴,1445640,,False
何,代名詞,3,1,何,何,1577100,,False
また,副詞,3,1,また,又,1524930,,False
ほう,名詞,3,1,ほう,方,1516930,,False
ティアラ,名詞,3,1,ティアラ,ティアラ-tiara,2086940,,False
ミスコン,名詞,3,1,ミスコン,ミスコン,1925130,,False
マジ,形状詞,3,1,マジ,まじ,1127680,,False
ミス,名詞,3,1,ミス,ミス-mistake,2849826,,False
セリフ,名詞,3,1,セリフ,台詞,1577270,,False
ダメ,名詞,3,1,ダメ,駄目,1409110,,False
ダンス,名詞,3,1,ダンス,ダンス-dance,1077250,,False
コンテスト,名詞,3,1,コンテスト,コンテスト-contest,1052590,,False
みんな,名詞,3,1,みんな,皆,1202150,,False
クラス,名詞,3,1,クラス,クラス-class,1044070,,False
あたし,代名詞,3,1,あたし,私,1311125,,False
あいつ,代名詞,3,1,あいつ,彼奴,1483160,,False
踊る,動詞,2,1,踊っ,踊る,1538440,,False
お,接頭辞,2,1,お,御,2826528,,False
うち,名詞,2,1,うち,内,1191740,,False
ごめん,名詞,2,1,ごめん,御免,1270670,,False
こんな,連体詞,2,1,こんな,こんな,1004880,,False
もう,副詞,2,1,もう,もう,1012480,,False
関係,名詞,2,1,関係,関係,1215810,,False
Ｃ,名詞,2,1,Ｃ,,2594020,,False
謝る,動詞,2,1,謝っ,謝る,1323010,,False
誰,代名詞,2,1,誰,誰,1416830,,False
親父,名詞,2,1,親父,親父,1365330,,False
聞く,動詞,2,1,聞い,聞く,1591110,,False
絶対,名詞,2,1,絶対,絶対,1386840,,False
組,名詞,2,1,組,組,1397450,,False
終わる,動詞,2,1,終わっ,終わる,1589600,,False
立ち上がる,動詞,2,1,立ち上がれる,立ち上がる,1551370,,False
知る,動詞,2,1,しろっ,知る,1420470,,False
目,名詞,2,1,目,目,1604890,,False
コース,名詞,2,1,コース,コース-course,1048830,,False
イメージ,名詞,2,1,イメージ,イメージ-image,1021750,,False
現われる,動詞,2,1,現れ,現われる,1263510,,False
済む,動詞,2,1,すま,済む,1295070,,False
欲しい,形容詞,2,1,欲しい,欲しい,1547330,,False
次,名詞,2,1,次,次,1316380,,False
楽屋,名詞,2,1,楽屋,楽屋,1207300,,False
楽しむ,動詞,2,1,楽しん,楽しむ,1207270,,False
最強,名詞,2,1,最強,最強,1293770,,False
最初,名詞,2,1,最初,最初,1293990,,False
暮らす,動詞,2,1,暮らす,暮らす,1514940,,False
手,名詞,2,1,手,手,1327190,,False
ったく,副詞,2,1,ったく,全く,2122580,,False
ちゃんと,副詞,2,1,ちゃんと,ちゃんと,1007720,,False
そろそろ,副詞,2,1,そろそろ,そろそろ,1345605,,False
それ,代名詞,2,1,それ,其れ,1006970,,False
悪い,形容詞,2,1,悪い,悪い,1151260,,False
怖い,形容詞,2,1,怖い,怖い,1593480,,False
待つ,動詞,2,1,待っ,待つ,1410590,,False
ヤンキー,名詞,2,1,ヤンキー,ヤンキー-Yankee,1136370,,False
メール,名詞,2,1,メール,メール-mail,1132620,,False
メイド,名詞,2,1,メイド,メード-made,1132580,,False
フン,名詞,2,1,フン,フン-外国,1632520,,False
ノート,名詞,2,1,ノート,ノート-note,1093450,,False
居る,動詞,2,1,いる,居る,1577980,,False
実る,動詞,2,1,みのり,実る,1320850,,False
好き,形状詞,2,1,好き,好き,1277450,,False
女の子,名詞,2,1,女の子,女の子,1344970,,False
変える,動詞,2,1,変え,変える,1510650,,False
商品,名詞,2,1,商品,商品,1347310,,False
司会,名詞,2,1,司会,司会,1306640,,False
出来る,動詞,2,1,でき,出来る,1340450,,False
ひとり,名詞,2,1,ひとり,一人,1576150,,False
どんな,連体詞,2,1,どんな,どんな,1009330,,False
伝える,動詞,2,1,伝え,伝える,1441870,,False
会長,名詞,2,1,会長,会長,1198770,,False
仕舞う,動詞,2,1,しまう,仕舞う,1305380,,False
仕事,名詞,2,1,仕事,仕事,1304970,,False
今年,名詞,2,1,今年,今年,1579130,,False
今,名詞,2,1,今,今,1288850,,False
どう,副詞,2,1,どう,どう,1008910,,False
とにかく,副詞,2,1,とにかく,兎に角,1443990,,False
とこ,名詞,2,1,とこ,所,1343100,,False
凄い,形容詞,2,1,すげぇ,凄い,1374550,,False
全部,名詞,2,1,全部,全部,1396130,,False
全,接頭辞,2,1,全,全,1394770,,False
負ける,動詞,2,1,負け,負ける,1497980,,False
開ける,動詞,2,1,開けろ,開ける,1202450,,False
２,名詞,2,1,２,,1461140,,False
１番,副詞,2,1,１番,一番,1165970,,False
違う,動詞,2,1,違う,違う,1158880,,False
遅れる,動詞,2,1,遅れ,遅れる,1589040,,False
あみ,名詞,2,1,あみ,糠蝦,1534380,,False
ＯＫ,名詞,1,1,ＯＫ,オーケー-okay,1031600,,False
あと,名詞,1,1,あと,後,1269320,,False
運命,名詞,1,1,運命,運命,1173030,,False
顔色,名詞,1,1,顔色,顔色,1217820,,False
飛ぶ,動詞,1,1,飛べ,飛ぶ,1429700,,False
飽きる,動詞,1,1,飽きる,飽きる,1586250,,False
駆け付ける,動詞,1,1,駆けつける,駆け付ける,1590110,,False
高校,名詞,1,1,高校,高校,1283500,,False
魔法,名詞,1,1,魔法,魔法,1524230,,False
黙る,動詞,1,1,黙っ,黙る,1534930,,False
３,名詞,1,1,３,,1579350,,False
長らく,副詞,1,1,長らく,長らく,1599450,,False
開会,名詞,1,1,開会,開会,1202560,,False
さっき,名詞,1,1,さっき,さっき,1005180,,False
しつこい,形容詞,1,1,しつこい,しつこい,1005550,,False
しゃ,名詞,1,1,しゃ,社,1579660 | 1956370 | 2015400 | 2085880 | 2153760 | 2174410 | 2248480 | 2531770 | 2773260 | 2842998 | 2844604,,True
すでに,副詞,1,1,すでに,既に,1220310,,False
豚,名詞,1,1,豚,豚,1457390,,False
豚肉,名詞,1,1,豚肉,豚肉,1457440,,False
豚足,名詞,1,1,豚足,豚足,1457430,,False
貢ぐ,動詞,1,1,みつい,貢ぐ,1282400,,False
質問,名詞,1,1,質問,質問,1320760,,False
贈呈,名詞,1,1,贈呈,贈呈,1403570,,False
超,接頭辞,1,1,超,超,1429340,,False
いよいよ,副詞,1,1,いよいよ,愈,1587670,,False
位置,名詞,1,1,位置,位置,1587310,,False
使う,動詞,1,1,使っ,使う,1305990,,False
使用,名詞,1,1,使用,使用,1306200,,False
信ずる,動詞,1,1,信じ,信ずる,1359070,,False
傷付く,動詞,1,1,傷つく,傷付く,1591240,,False
先輩,名詞,1,1,先輩,先輩,1388410,,False
公演,名詞,1,1,公演,公演,1273280,,False
出す,動詞,1,1,出さ,出す,1338180,,False
とっても,副詞,1,1,とっても,迚も,1008630,,False
とりあえず,副詞,1,1,とりあえず,取り敢えず,1598980,,False
下さる,動詞,1,1,ください,下さる,1184280,,False
両目,名詞,1,1,両目,両目,1810450,,False
今回,名詞,1,1,今回,今回,1289070,,False
今度,名詞,1,1,今度,今度,1289370,,False
仕置き,名詞,1,1,仕置き,仕置き,1305250,,False
仲直り,名詞,1,1,仲直り,仲直り,1426000,,False
会う,動詞,1,1,会っ,会う,1198180,,False
会場,名詞,1,1,会場,会場,1198660,,False
伝説,名詞,1,1,伝説,伝説,1442100,,False
似合う,動詞,1,1,似合っ,似合う,1314680,,False
どうせ,副詞,1,1,どうせ,どうせ,1008950,,False
どこ,代名詞,1,1,どこ,何処,1577140,,False
ども,接尾辞,1,1,ども,共,1234250,,False
ひい,接頭辞,1,1,ひい,曾,1581200 | 1688890 | 2821500,,True
ふざける,動詞,1,1,ふざけ,ふざける,1566450,,False
みたい,形状詞,1,1,みたい,みたい,2016410,,False
分,名詞,1,1,分,分,1502840,,False
前,名詞,1,1,前,前,1392580,,False
加える,動詞,1,1,加え,加える,1189960,,False
