sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
幸せ,名詞,20,1,幸せ,幸せ,1594060,,False
私,代名詞,18,1,私,私-代名詞,1311110,,False
写真,名詞,15,1,写真,写真,1321900,,False
成る,動詞,15,1,なれ,成る,1375610,,False
ちゃん,接尾辞,14,1,ちゃん,ちゃん,1007660,,False
お前,代名詞,14,1,お前,御前,1002290,,False
触る,動詞,14,1,触っ,触る,1357980,,False
大河,名詞,13,1,大河,大河,1581490,,False
タイガー,名詞,12,1,タイガー,タイガー-tiger,2021200,,False
君,接尾辞,12,1,君,君,1247260,,False
言う,動詞,10,1,言わ,言う,1587040,,False
止める,動詞,10,1,やめる,止める,1310680,,False
為る,動詞,10,1,する,為る,1157170,,False
俺,代名詞,10,1,俺,俺,1576870,,False
良い,形容詞,9,1,いい,良い,1605870,,False
見る,動詞,9,1,見ん,見る,2256270,,False
ほんと,名詞,9,1,ほんと,本当,1523060,,False
買う,動詞,8,1,買っ,買う,1473740,,False
独身,名詞,8,1,独身,独身,1455850,,False
お,接頭辞,7,1,お,御,2089690,,False
分かる,動詞,7,1,分かっ,分かる,1606560,,False
有る,動詞,7,1,ある,有る,1296400,,False
それ,代名詞,7,1,それ,其れ,1006970,,False
さん,接尾辞,7,1,さん,さん,1005340,,False
こと,名詞,7,1,こと,事,1313580,,False
あんた,代名詞,6,1,あんた,貴方,1979920,,False
大丈夫,形状詞,6,1,大丈夫,大丈夫,1414150,,False
願い,名詞,6,1,願い,願い,1217900,,False
思う,動詞,6,1,思う,思う,1589350,,False
ったく,副詞,6,1,ったく,全く,2122580,,False
何,代名詞,6,1,何,何,1577100,,False
凄い,形容詞,6,1,すごい,凄い,1374550,,False
呉れる,動詞,5,1,くれ,呉れる,1269130,,False
来る,動詞,5,1,来ん,来る,1547720,,False
今日,名詞,5,1,今日,今日,1579110,,False
召喚,名詞,5,1,召喚,召喚,1346460,,False
手乗り,名詞,5,1,手乗り,手乗り,2841842,,False
大人,名詞,5,1,大人,大人,1414170,,False
返る,動詞,4,1,帰り,返る,1512150,,False
触れる,動詞,4,1,触れる,触れる,1357990,,False
クラス,名詞,4,1,クラス,クラス-class,1044070,,False
今,名詞,4,1,今,今,1288850,,False
なでなで,名詞,4,1,なでなで,撫で撫で,2827324,,False
もう,副詞,4,1,もう,もう,1012480,,False
子供,名詞,4,1,子供,子供,1307850,,False
先生,名詞,4,1,先生,先生,1387990,,False
まる,接頭辞,4,1,まる,丸,1216250,,False
あんな,連体詞,4,1,あんな,あんな,1000590,,False
そう,副詞,4,1,そう,そう,2137720,,False
足,名詞,3,1,足,足,1404630,,False
適う,動詞,3,1,かなう,適う,1208870,,False
こんな,連体詞,3,1,こんな,こんな,1004880,,False
こっち,代名詞,3,1,こっち,此方,1004500,,False
日,名詞,3,1,日,日,1463770,,False
豚,名詞,3,1,豚,豚,1457390,,False
表示,名詞,3,1,表示,表示,1489610,,False
富家,名詞,3,1,富家,富家,1826360,,False
攻撃,名詞,3,1,攻撃,攻撃,1279170,,False
ちょっと,副詞,3,1,ちょっと,一寸,1163940,,False
そんな,連体詞,3,1,そんな,そんな,1007130,,False
好き,形状詞,3,1,好き,好き,1277450,,False
家族,名詞,3,1,家族,家族,1192150,,False
実る,名詞,3,1,みのり,実り,1320840,,False
当然,副詞,3,1,当然,当然,1449190,,False
人,名詞,3,1,人,人,1580640,,False
会長,名詞,3,1,会長,会長,1198770,,False
伝説,名詞,3,1,伝説,伝説,1442100,,False
ヤツ,名詞,3,1,ヤツ,奴,1445640,,False
ターン,名詞,3,1,ターン,ターン-turn,1075820,,False
ヅラ,名詞,3,1,ヅラ,づら,2266240,,False
やっぱり,副詞,3,1,やっぱり,矢張り,1012810,,False
食べる,動詞,3,1,食べ,食べる,1358280,,False
あいつ,代名詞,3,1,あいつ,彼奴,1483160,,False
食う,動詞,3,1,食わ,食う,1592100,,False
飲む,動詞,2,1,飲め,飲む,1169870,,False
記念,名詞,2,1,記念,記念,1223340,,False
違う,動詞,2,1,違い,違う,1158880,,False
ごめん,名詞,2,1,ごめん,御免,1270670,,False
これ,代名詞,2,1,これ,此れ,1628530,,False
通り越す,動詞,2,1,通り越し,通り越す,1432970,,False
転がり込む,動詞,2,1,転がり込ん,転がり込む,1440990,,False
見せる,動詞,2,1,見せ,見せる,1259210,,False
行く,動詞,2,1,行っ,行く,1578850,,False
自身,名詞,2,1,自身,自身,1318000,,False
肉,名詞,2,1,肉,肉,1463520,,False
置く,動詞,2,1,おく,置く,1421850,,False
終わる,動詞,2,1,終わっ,終わる,1589600,,False
盛り上がる,動詞,2,1,盛り上がっ,盛り上がる,1379690,,False
皮肉,名詞,2,1,皮肉,皮肉,1483900,,False
番,名詞,2,1,番,番,2022640,,False
犬,接尾辞,2,1,犬,犬,1258330,,False
もっと,副詞,2,1,もっと,もっと,1012620,,False
もし,副詞,2,1,もし,若し,1012500,,False
とき,名詞,2,1,とき,時,1315840,,False
みんな,名詞,2,1,みんな,皆,1202150,,False
まだ,副詞,2,1,まだ,未だ,1527110,,False
まあ,副詞,2,1,まあ,まあ,1012050,,False
すっ,副詞,2,1,すっ,すっ,2026870,,False
気,名詞,2,1,気,気,1221520,,False
