sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
あんた,代名詞,20,1,あんた,貴方,1979920,,False
俺,代名詞,19,1,俺,俺,1576870,,False
こと,名詞,15,1,こと,事,1313580,,False
私,代名詞,13,1,私,私-代名詞,1311110,,False
思う,動詞,13,1,思う,思う,1589350,,False
大河,名詞,13,1,大河,大河,1581490,,False
みの,名詞,13,1,みの,蓑,1634010 | 2845080,,True
これ,代名詞,11,1,これ,此れ,1628530,,False
行く,動詞,11,1,行っ,行く,1578850,,False
良い,形容詞,11,1,いい,良い,1605870,,False
りん,接尾辞,11,1,りん,りん,1555420 | 1555530 | 1555700 | 1557580 | 1564320 | 2844215,,True
呉れる,動詞,10,1,くれ,呉れる,1269130,,False
為る,動詞,10,1,する,為る,1157170,,False
バカ,名詞,10,1,バカ,馬鹿,1601260,,False
言う,動詞,10,1,言わ,言う,1587040,,False
沖縄,名詞,10,1,沖縄,オキナワ,1182580,,False
君,接尾辞,9,1,君,君,1247260,,False
櫛,名詞,9,1,櫛,櫛,1246490,,False
お前,代名詞,9,1,お前,御前,1002290,,False
みんな,名詞,7,1,みんな,皆,1202150,,False
ちゃん,接尾辞,7,1,ちゃん,ちゃん,1007660,,False
枝,名詞,6,1,枝,枝,1310530,,False
来る,動詞,6,1,来,来る,1547720,,False
この,連体詞,6,1,この,此の,1582920,,False
もう,副詞,6,1,もう,もう,1012480,,False
ちょっと,副詞,6,1,ちょっと,一寸,1163940,,False
ヤツ,名詞,5,1,ヤツ,奴,1445640,,False
ずっと,副詞,5,1,ずっと,ずっと,1006380,,False
逃げる,動詞,5,1,逃げる,逃げる,1450330,,False
有る,動詞,5,1,ある,有る,2150170,,False
ちゃんと,副詞,5,1,ちゃんと,ちゃんと,1007720,,False
本当,名詞,5,1,本当,本当,1523060,,False
振る,動詞,5,1,フラ,振る,1361330,,False
そんな,連体詞,5,1,そんな,そんな,1007130,,False
うざい,形容詞,4,1,うぜえ,うざい,1949750,,False
告白,名詞,4,1,告白,告白,1286060,,False
居る,動詞,4,1,いる,居る,1577980,,False
好き,形状詞,4,1,好き,好き,1277450,,False
あれ,代名詞,4,1,あれ,彼れ,1000580,,False
使う,動詞,4,1,使わ,使う,1305990,,False
家,名詞,4,1,家,家,1191730,,False
さん,接尾辞,4,1,さん,さん,1005340,,False
確かめる,動詞,4,1,確かめる,確かめる,1205780,,False
見る,動詞,4,1,見,見る,2256270,,False
班,名詞,4,1,班,班,1481640,,False
あいつ,代名詞,4,1,あいつ,彼奴,1483160,,False
タイガー,名詞,4,1,タイガー,タイガー-tiger,2021200,,False
燃える,動詞,4,1,燃え,燃える,1469570,,False
お,接頭辞,3,1,お,御,2089690,,False
２,名詞,3,1,２,,1461140,,False
何,代名詞,3,1,何,何,1577100,,False
分かる,動詞,3,1,分かっ,分かる,1606560,,False
実る,動詞,3,1,みのり,実る,1320850,,False
返す,動詞,3,1,返そう,返す,1512130,,False
しおり,名詞,3,1,しおり,撓,1568040,,False
凄い,形容詞,3,1,すごく,凄い,1374550,,False
作る,動詞,3,1,作っ,作る,1597890,,False
クラス,名詞,3,1,クラス,クラス-class,1044070,,False
どう,副詞,3,1,どう,どう,1008910,,False
持つ,動詞,3,1,もつ,持つ,1315720,,False
要る,動詞,3,1,いら,要る,1546640,,False
