sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
こと,名詞,30,1,こと,事,1313580,,False
ちゃん,接尾辞,29,1,ちゃん,ちゃん,1007660,,False
君,接尾辞,27,1,君,君,1247260,,False
言う,動詞,22,1,言っ,言う,1587040,,False
大河,名詞,19,1,大河,大河,1581490,,False
俺,代名詞,19,1,俺,俺,1576870,,False
櫛,名詞,18,1,櫛,櫛,1246490,,False
梨,名詞,16,1,梨,梨,1549860,,False
枝,名詞,13,1,枝,枝,1310530,,False
為る,動詞,13,1,する,為る,1157170,,False
行く,動詞,12,1,いける,行く,1578850,,False
見る,動詞,12,1,見,見る,2256270,,False
何,代名詞,11,1,何,何,1577100,,False
お前,代名詞,11,1,お前,御前,1002290,,False
絶対,名詞,11,1,絶対,絶対,1386840,,False
私,代名詞,11,1,私,私-代名詞,1311110,,False
タイガー,名詞,10,1,タイガー,タイガー-tiger,2021200,,False
遣る,動詞,10,1,やる,遣る,1012980,,False
分かる,動詞,8,1,分かっ,分かる,1606560,,False
ケンカ,名詞,8,1,ケンカ,喧嘩,1257040,,False
好き,形状詞,8,1,好き,好き,1277450,,False
あんた,代名詞,8,1,あんた,貴方,1979920,,False
呉れる,動詞,8,1,くれ,呉れる,1269130,,False
みんな,名詞,7,1,みんな,皆,1202150,,False
そんな,連体詞,7,1,そんな,そんな,1007130,,False
ちょっと,副詞,7,1,ちょっと,一寸,1163940,,False
わけ,名詞,6,1,わけ,訳,1538330,,False
聞く,動詞,6,1,聞き,聞く,1591110,,False
ごめん,名詞,6,1,ごめん,御免,1270670,,False
あたし,代名詞,6,1,あたし,私,1311125,,False
この,連体詞,5,1,この,此の,1582920,,False
枝,接尾辞,5,1,枝,枝,1310530,,False
止める,動詞,5,1,やめろ,止める,1310680,,False
思う,動詞,5,1,思っ,思う,1589350,,False
凄い,形容詞,5,1,すげぇ,凄い,1374550,,False
それ,代名詞,5,1,それ,其れ,1006970,,False
戻る,動詞,5,1,戻っ,戻る,1535880,,False
ソリ,名詞,5,1,ソリ,橇,1573500,,False
どう,副詞,5,1,どう,どう,1008910,,False
スキー,名詞,5,1,スキー,スキー-ski,1067770,,False
ほんと,名詞,5,1,ほんと,本当,1523060,,False
あれ,代名詞,5,1,あれ,彼れ,2847612,,False
話,名詞,4,1,話,話,1600900,,False
来る,動詞,4,1,こよっ,来る,1547720,,False
違う,動詞,4,1,違う,違う,1158880,,False
嫌い,名詞,4,1,嫌い,嫌い,1257240,,False
女,名詞,4,1,女,女,1344930,,False
ずっと,副詞,4,1,ずっと,ずっと,1006380,,False
せっかく,副詞,4,1,せっかく,折角,1596090,,False
たか,名詞,4,1,たか,高,1407500 | 1415510 | 1633260 | 1890940,,True
忘れる,動詞,4,1,忘れ,忘れる,1519210,,False
成る,動詞,4,1,なれ,成る,2846738,,False
昨日,名詞,4,1,昨日,昨日,1579260,,False
出来る,動詞,4,1,でき,出来る,1340450,,False
大丈夫,形状詞,4,1,大丈夫,大丈夫,1414150,,False
超,接頭辞,4,1,超,超,1429340,,False
どこ,代名詞,4,1,どこ,何処,1577140,,False
マジ,形状詞,4,1,マジ,まじ,1127680,,False
乗る,動詞,4,1,乗っ,乗る,1355120,,False
今,名詞,4,1,今,今,1288850,,False
