sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
こと,名詞,20,1,こと,事,1313580,,False
言う,動詞,16,1,言っ,言う,1587040,,False
お前,代名詞,15,1,お前,御前,1002290,,False
為る,動詞,14,1,し,為る,1157170,,False
私,代名詞,11,1,私,私-代名詞,1311110,,False
大河,名詞,11,1,大河,大河,1581490,,False
俺,代名詞,11,1,俺,俺,1576870,,False
君,接尾辞,10,1,君,君,1247260,,False
バイト,名詞,10,1,バイト,バイト-Arbeit,1097870,,False
聞く,動詞,9,1,聞い,聞く,1591110,,False
見える,動詞,8,1,見え,見える,1259140,,False
大丈夫,形状詞,8,1,大丈夫,大丈夫,1414150,,False
気,名詞,7,1,気,気,1221520,,False
お,接頭辞,7,1,お,御,2089690,,False
ちゃん,接尾辞,7,1,ちゃん,ちゃん,1007660,,False
もう,副詞,6,1,もう,もう,1012480,,False
ちゃんと,副詞,6,1,ちゃんと,ちゃんと,1007720,,False
有る,動詞,6,1,ある,有る,2150170,,False
行く,動詞,6,1,行か,行く,1578850,,False
成る,動詞,6,1,なっ,成る,2846738,,False
入れる,動詞,5,1,入れる,入れる,1465610,,False
その,連体詞,5,1,その,其の,1006830,,False
櫛,名詞,5,1,櫛,櫛,1246490,,False
前,名詞,5,1,前,前,1387210,,False
何,代名詞,5,1,何,何,1577100,,False
思う,動詞,5,1,思っ,思う,1589350,,False
イケメン,名詞,4,1,イケメン,いけメン,2005620,,False
進路,名詞,4,1,進路,進路,1366200,,False
食う,動詞,4,1,食わ,食う,1592100,,False
進学,名詞,4,1,進学,進学,1366010,,False
返る,動詞,4,1,帰れ,返る,1512150,,False
心配,名詞,4,1,心配,心配,1360930,,False
ちょっと,副詞,4,1,ちょっと,一寸,1163940,,False
まだ,副詞,4,1,まだ,未だ,1527110,,False
呉れる,動詞,4,1,くれ,呉れる,1269130,,False
幸せ,名詞,4,1,幸せ,幸せ,1594060,,False
忘れる,動詞,4,1,忘れ,忘れる,1519210,,False
枝,名詞,4,1,枝,枝,1310530,,False
気持ち,名詞,4,1,気持ち,気持ち,1591430,,False
下さる,動詞,4,1,ください,下さる,1184280,,False
勉強,名詞,4,1,勉強,勉強,1512670,,False
ドジ,名詞,4,1,ドジ,どじ,1009110,,False
もの,名詞,4,1,もの,物,1502390,,False
好き,形状詞,4,1,好き,好き,1277450,,False
この,連体詞,3,1,この,此の,1582920,,False
辛い,形容詞,3,1,つらい,辛い,1365860,,False
携帯,名詞,3,1,携帯,携帯,1250680,,False
良い,形容詞,3,1,いっ,良い,1605870,,False
話,名詞,3,1,話,話,1600900,,False
親子,名詞,3,1,親子,親子,1365170,,False
見る,動詞,3,1,見,見る,2256270,,False
そんな,連体詞,3,1,そんな,そんな,1007130,,False
目,名詞,3,1,目,目,1604890,,False
竜,名詞,3,1,竜,竜,1629170,,False
ずっと,副詞,3,1,ずっと,ずっと,1006380,,False
どこ,代名詞,3,1,どこ,何処,1577140,,False
幽霊,名詞,3,1,幽霊,幽霊,1540590,,False
恥,名詞,3,1,恥,恥,1421590,,False
悪い,形容詞,3,1,悪い,悪い,1151260,,False
新,接頭辞,3,1,新,新,1361480,,False
欲しい,形容詞,3,1,ほしい,欲しい,1547330,,False
家,名詞,3,1,家,家,1191730,,False
失う,動詞,3,1,失っ,失う,1319750,,False
夢,名詞,3,1,夢,夢,1529410,,False
子,名詞,3,1,子,子,1307770,,False
女子,名詞,3,1,女子,女子,1345140,,False
全部,名詞,3,1,全部,全部,1396130,,False
バカ,名詞,3,1,バカ,馬鹿,1601260,,False
体調,名詞,3,1,体調,体調,1409610,,False
あんた,代名詞,3,1,あんた,貴方,1979920,,False
あいつ,代名詞,3,1,あいつ,彼奴,1483160,,False
いきなり,副詞,2,1,いきなり,行成,1006970,,False
部長,名詞,2,1,部長,部長,1499460,,False
２,名詞,2,1,２,,1461140,,False
輝く,動詞,2,1,輝い,輝く,1224020,,False
頑張る,動詞,2,1,頑張り,頑張る,1217700,,False
頼む,動詞,2,1,頼む,頼む,1548370,,False
わけ,名詞,2,1,わけ,訳,1538330,,False
ここ,代名詞,2,1,ここ,此処,1288810,,False
迷う,動詞,2,1,迷わ,迷う,1532710,,False
覚える,動詞,2,1,覚え,覚える,1206050,,False
親,名詞,2,1,親,親,1365040,,False
親父,名詞,2,1,親父,親父,1365330,,False
言う,形容詞,2,1,いい,良い,1605820,,False
誰,代名詞,2,1,誰,誰,1416830,,False
考える,動詞,2,1,考え,考える,1281020,,False
能登,名詞,2,1,能登,ノト,2845074,,False
磨く,動詞,2,1,磨い,磨く,1523940,,False
納豆,名詞,2,1,納豆,納豆,1470070,,False
そう,副詞,2,1,そう,そう,2137720,,False
キラキラ,副詞,2,1,キラキラ,きらきら,1003500,,False
やっぱ,副詞,2,1,やっぱ,矢張り,2772780,,False
やっぱり,副詞,2,1,やっぱり,矢張り,1012810,,False
生きる,動詞,2,1,生き,生きる,1378520,,False
特例,名詞,2,1,特例,特例,1455380,,False
永遠,名詞,2,1,永遠,永遠,1174070,,False
決める,動詞,2,1,決める,決める,1254180,,False
泣く,動詞,2,1,泣い,泣く,1229840,,False
本当,名詞,2,1,本当,本当,1523060,,False
次,名詞,2,1,次,次,1316380,,False
母親,名詞,2,1,母親,母親,1515120,,False
教育,名詞,2,1,教育,教育,1236950,,False
文系,名詞,2,1,文系,文系,1505280,,False
新しい,形容詞,2,1,新しい,新しい,1361490,,False
旨い,形容詞,2,1,うまく,旨い,1310460,,False
ケガ,名詞,2,1,ケガ,怪我,1200220,,False
ソフト,名詞,2,1,ソフト,ソフト-soft,1075500,,False
ダメ,名詞,2,1,ダメ,駄目,1409110,,False
意味,名詞,2,1,意味,意味,1156800,,False
手伝う,動詞,2,1,手伝う,手伝う,1328190,,False
っち,接尾辞,2,1,っち,っち,2798130,,False
とこ,名詞,2,1,とこ,所,1343100,,False
どうぞ,副詞,2,1,どうぞ,どうぞ,1189130,,False
なし,名詞,2,1,なし,無し,1529560,,False
忙しい,形容詞,2,1,忙しい,忙しい,1519290,,False
完全,形状詞,2,1,完全,完全,1211510,,False
完璧,名詞,2,1,完璧,完璧,1590970,,False
また,副詞,2,1,また,又,1524930,,False
みたい,形状詞,2,1,みたい,みたい,2016410,,False
みの,名詞,2,1,みの,蓑,1634010 | 2845080,,True
大変,形状詞,2,1,大変,大変,1415000,,False
姿,名詞,2,1,姿,姿,1307710,,False
バッチリ,副詞,2,1,バッチリ,ばっちり,1010280,,False
国立,名詞,2,1,国立,国立,1287180,,False
ぷよぷよ,副詞,2,1,ぷよぷよ,ぷよぷよ,5005833,,False
分かる,動詞,2,1,分かっ,分かる,1606560,,False
助ける,動詞,2,1,助け,助ける,1344410,,False
取る,動詞,2,1,取っ,取る,1326980,,False
入る,動詞,2,1,入ら,入る,1465590,,False
出る,動詞,2,1,出る,出る,1896380,,False
出来る,動詞,2,1,でき,出来る,1340450,,False
中,接尾辞,2,1,中,中,1620400,,False
今回,名詞,2,1,今回,今回,1289070,,False
他,名詞,2,1,他,他,1203260,,False
会う,動詞,2,1,遭おう,会う,1198180,,False
ヤツ,名詞,2,1,ヤツ,奴,1445640,,False
ラーメン,名詞,2,1,ラーメン,ラーメン-Rahmen,1137720,,False
開く,動詞,2,1,開く,開く,1586270,,False
ごめん,名詞,2,1,ごめん,御免,1270670,,False
連絡,名詞,2,1,連絡,連絡,1559900,,False
選択,名詞,2,1,選択,選択,1392290,,False
あくび,名詞,2,1,あくび,欠伸,1254010,,False
あと,名詞,1,1,あと,後,1269320,,False
あいさつ,名詞,1,1,あいさつ,挨拶,1151120,,False
あいだ,名詞,1,1,あいだ,間,1215230,,False
選抜,名詞,1,1,選抜,選抜,1392380,,False
適用,名詞,1,1,適用,適用,1437500,,False
違う,動詞,1,1,違っ,違う,1158880,,False
過ぎる,動詞,1,1,すぎ,過ぎる,1195970,,False
遅い,形容詞,1,1,遅い,遅い,1421970,,False
通る,動詞,1,1,通っ,通る,1433030,,False
通う,動詞,1,1,通える,通う,1432850,,False
さむ,名詞,1,1,さむ,作務,2453760,,False
さっさと,副詞,1,1,さっさと,さっさと,1005190,,False
ごはん,名詞,1,1,ごはん,御飯,1270590,,False
頼み,名詞,1,1,頼み,頼み,1610270,,False
顔,名詞,1,1,顔,顔,1217730,,False
食べる,動詞,1,1,食べ,食べる,1358280,,False
りん,接尾辞,1,1,りん,りん,1555420 | 1555530 | 1555700 | 1557580 | 1564320 | 2844215,,True
れっか,名詞,1,1,れっか,列火,1558420 | 1558560 | 2178350 | 2179610 | 2511560,,True
わっ,副詞,1,1,わっ,わっ,2004010,,False
わりと,副詞,1,1,わりと,割と,1983690,,False
んな,連体詞,1,1,んな,そんな,2835613,,False
アデュー,名詞,1,1,アデュー,アデュー-adieu,1016800,,False
イヌ,名詞,1,1,イヌ,犬,1258330,,False
こいつ,代名詞,1,1,こいつ,此奴,1579070,,False
これ,代名詞,1,1,これ,此れ,1628530,,False
迎える,動詞,1,1,迎え,迎える,1253190,,False
近寄る,動詞,1,1,近寄ら,近寄る,1242230,,False
返す,動詞,1,1,帰し,返す,1512130,,False
迷子,名詞,1,1,迷子,迷子,1532750,,False
任命,名詞,1,1,任命,任命,1467280,,False
ポン,副詞,1,1,ポン,ぽん,1632650,,False
マジ,形状詞,1,1,マジ,まじ,1127680,,False
ママ,名詞,1,1,ママ,ママ-mama,1129240,,False
マン,名詞,1,1,マン,マン-man,1129970,,False
マンション,名詞,1,1,マンション,マンション-mansion,1130040,,False
ローン,名詞,1,1,ローン,ローン-loan,1147020,,False
一瞬,名詞,1,1,一瞬,一瞬,1163340,,False
