sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
私,代名詞,34,1,私,私-代名詞,1311110,,False
あんた,代名詞,22,1,あんた,貴方,1979920,,False
俺,代名詞,22,1,俺,俺,1576870,,False
言う,動詞,21,1,言う,言う,1587040,,False
大河,名詞,16,1,大河,大河,1581490,,False
お前,代名詞,14,1,お前,御前,1002290,,False
君,接尾辞,13,1,君,君,1247260,,False
こと,名詞,12,1,こと,事,1313580,,False
何,代名詞,11,1,何,何,1577100,,False
思う,動詞,10,1,思っ,思う,1589350,,False
分かる,動詞,10,1,分から,分かる,1606560,,False
呉れる,動詞,10,1,くれる,呉れる,1269130,,False
ちゃん,接尾辞,9,1,ちゃん,ちゃん,1007660,,False
好き,形状詞,8,1,好き,好き,1277450,,False
有る,動詞,8,1,ある,有る,2150170,,False
決める,動詞,7,1,決める,決める,1254180,,False
その,連体詞,7,1,その,其の,1006830,,False
泣く,動詞,7,1,泣い,泣く,1229840,,False
来る,動詞,7,1,来,来る,1547720,,False
オー,名詞,6,1,オー,オー-aux,2594120,,False
これ,代名詞,6,1,これ,此れ,1628530,,False
為る,動詞,6,1,する,為る,1157170,,False
この,連体詞,5,1,この,此の,1582920,,False
駆け落ち,名詞,5,1,駆け落ち,駆け落ち,1590050,,False
待つ,動詞,5,1,待ち,待つ,1410590,,False
成る,動詞,5,1,なる,成る,2846738,,False
持つ,動詞,5,1,持っ,持つ,1315720,,False
良い,形容詞,5,1,いい,良い,1605870,,False
見る,動詞,5,1,見,見る,2256270,,False
それ,代名詞,5,1,それ,其れ,1006970,,False
行く,動詞,5,1,行こう,行く,1578850,,False
見せる,動詞,5,1,見せ,見せる,1259210,,False
そんな,連体詞,5,1,そんな,そんな,1007130,,False
早い,形容詞,4,1,早く,早い,1404975,,False
さっき,名詞,4,1,さっき,さっき,1005180,,False
バカ,名詞,4,1,バカ,馬鹿,1601260,,False
人生,名詞,4,1,人生,人生,1368370,,False
笑う,動詞,4,1,笑わ,笑う,1351360,,False
話,名詞,4,1,話,話,1600900,,False
もう,副詞,4,1,もう,もう,1012480,,False
たち,接尾辞,4,1,たち,達,1416220,,False
家族,名詞,4,1,家族,家族,1192150,,False
先,名詞,4,1,先,先,1387210,,False
バイト,名詞,4,1,バイト,バイト-Arbeit,1097870,,False
