sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
ちゃん,接尾辞,25,1,ちゃん,ちゃん,1007660,,False
竜,名詞,15,1,竜,竜,1629170,,False
大河,名詞,14,1,大河,大河,1581490,,False
お前,代名詞,13,1,お前,御前,1002290,,False
こと,名詞,13,1,こと,事,1313580,,False
言う,動詞,13,1,言わ,言う,1587040,,False
俺,代名詞,12,1,俺,俺,1576870,,False
それ,代名詞,10,1,それ,其れ,1006970,,False
私,代名詞,10,1,私,私-代名詞,1311110,,False
行く,動詞,10,1,行っ,行く,1578850,,False
みんな,名詞,9,1,みんな,皆,1202150,,False
思う,動詞,9,1,思わ,思う,1589350,,False
良い,形容詞,8,1,いっ,良い,1605870,,False
この,連体詞,8,1,この,此の,1582920,,False
見る,動詞,7,1,見,見る,2256270,,False
君,接尾辞,7,1,君,君,1247260,,False
ちょっと,副詞,7,1,ちょっと,一寸,1163940,,False
成る,動詞,7,1,なっ,成る,2846738,,False
家族,名詞,6,1,家族,家族,1192150,,False
星,名詞,6,1,星,星,1376310,,False
凄い,形容詞,6,1,すげえ,凄い,1374550,,False
人,名詞,6,1,人,人,1580640,,False
分かる,動詞,5,1,分かっ,分かる,1606560,,False
もっと,副詞,5,1,もっと,もっと,1012620,,False
来る,動詞,5,1,くる,来る,1547720,,False
きっと,副詞,5,1,きっと,急度,1003430,,False
有る,動詞,5,1,あり,有る,2150170,,False
ずっと,副詞,5,1,ずっと,ずっと,1006380,,False
今,名詞,5,1,今,今,1288850,,False
呉れる,動詞,5,1,くれ,呉れる,1269130,,False
タイガー,名詞,5,1,タイガー,タイガー-tiger,2021200,,False
持つ,動詞,4,1,持て,持つ,1315720,,False
愛する,動詞,4,1,愛さ,愛する,1150450,,False
自分,名詞,4,1,自分,自分,1318610,,False
出来る,動詞,4,1,できる,出来る,1340450,,False
ハァハァ,副詞,4,1,ハァハァ,はあはあ-Ha'aha'a,1632370,,False
でかい,形容詞,4,1,でっかく,でかい,1008370,,False
結婚,名詞,4,1,結婚,結婚,1254790,,False
さん,接尾辞,4,1,さん,さん,1005340,,False
壊れる,動詞,4,1,壊れ,壊れる,1199900,,False
みたい,形状詞,4,1,みたい,みたい,2016410,,False
何,代名詞,4,1,何,何,1577100,,False
居る,動詞,4,1,いる,居る,1577980,,False
手乗り,名詞,4,1,手乗り,手乗り,2841842,,False
あれ,代名詞,3,1,あれ,彼れ,2847612,,False
トンカツ,名詞,3,1,トンカツ,豚カツ,1457410,,False
親,名詞,3,1,親,親,1365040,,False
あいつ,代名詞,3,1,あいつ,彼奴,1483160,,False
感じ,名詞,3,1,感じ,感じ,1212250,,False
選ぶ,動詞,3,1,選ん,選ぶ,1588730,,False
どうせ,副詞,3,1,どうせ,どうせ,1008950,,False
どこ,代名詞,3,1,どこ,何処,1577140,,False
メール,名詞,3,1,メール,メール-mail,1132620,,False
好き,形状詞,3,1,好き,好き,1277450,,False
大きい,形容詞,3,1,大きく,大きい,1588880,,False
旨い,形容詞,3,1,うまく,旨い,1310460,,False
為る,動詞,3,1,する,為る,1157170,,False
笑う,動詞,3,1,笑っ,笑う,1351360,,False
虎,名詞,3,1,虎,虎,1267610,,False
ウソ,名詞,3,1,ウソ,嘘,1172400,,False
痛い,形容詞,3,1,痛,痛い,1432680,,False
櫛,名詞,3,1,櫛,櫛,1246490,,False
インコ,名詞,3,1,インコ,鸚哥,1575160,,False
知る,動詞,3,1,知っ,知る,1420470,,False
繋がる,動詞,3,1,つながっ,繋がる,1251880,,False
育てる,動詞,3,1,育て,育てる,1160570,,False
見付ける,動詞,3,1,見つけ,見付ける,1604570,,False
ちゃんと,副詞,3,1,ちゃんと,ちゃんと,1007720,,False
見える,動詞,3,1,見え,見える,1259140,,False
返る,動詞,3,1,帰る,返る,1512150,,False
これ,代名詞,3,1,これ,此れ,1628530,,False
幸せ,名詞,3,1,幸せ,幸せ,1594060,,False
ドジ,名詞,3,1,ドジ,どじ,1009110,,False
先輩,名詞,3,1,先輩,先輩,1388410,,False
食べる,動詞,2,1,食べ,食べる,1358280,,False
あなた,代名詞,2,1,あなた,貴方,1223615,,False
駆け落ち,名詞,2,1,駆け落ち,駆け落ち,1590050,,False
昨日,名詞,2,1,昨日,昨日,1579260,,False
本当,名詞,2,1,本当,本当,1523060,,False
約束,名詞,2,1,約束,約束,1538130,,False
空,名詞,2,1,空,空,1245290,,False
ほんと,名詞,2,1,ほんと,本当,1523060,,False
時間,名詞,2,1,時間,時間,1315920,,False
決まる,動詞,2,1,決まっ,決まる,1591420,,False
泣く,動詞,2,1,泣い,泣く,1229840,,False
早い,形容詞,2,1,早く,早い,1404975,,False
昔,名詞,2,1,昔,昔,1382370,,False
逃げる,動詞,2,1,逃げ,逃げる,1450330,,False
そう,形状詞,2,1,そう,そう-様態,1006610,,False
訳,名詞,2,1,訳,訳,1538330,,False
ここ,代名詞,2,1,ここ,此処,1288810,,False
こんな,連体詞,2,1,こんな,こんな,1004880,,False
さんざん,副詞,2,1,さんざん,散々,1593980,,False
せい,名詞,2,1,せい,所為,1610040,,False
そう,副詞,2,1,そう,そう,1006610,,False
とき,名詞,2,1,とき,時,1315840,,False
考える,動詞,2,1,考え,考える,1281020,,False
背中,名詞,2,1,背中,背中,1472800,,False
確信,名詞,2,1,確信,確信,1205870,,False
やっぱり,副詞,2,1,やっぱり,矢張り,1012810,,False
やっぱ,副詞,2,1,やっぱ,矢張り,2772780,,False
わけ,名詞,2,1,わけ,訳,1538330,,False
良い,動詞,2,1,いい,言う,1605870,,False
枝,接尾辞,2,1,枝,枝,1310530,,False
仕舞う,動詞,2,1,しまう,仕舞う,1305380,,False
会う,動詞,2,1,遭っ,会う,1198180,,False
小さい,形容詞,2,1,ちっちゃい,小さい,1347750,,False
