sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
あんた,代名詞,10,1,あんた,貴方,1979920,,False
為る,動詞,10,1,しよう,為る,1157170,,False
来る,動詞,10,1,くる,来る,1547720,,False
呉れる,動詞,9,1,くれる,呉れる,1269130,,False
俺,代名詞,9,1,俺,俺,1576870,,False
君,接尾辞,9,1,君,君,1247260,,False
お前,代名詞,9,1,お前,御前,1002290,,False
あれ,代名詞,9,1,あれ,彼れ,1000580,,False
この,連体詞,8,1,この,此の,1582920,,False
こと,名詞,8,1,こと,事,1313580,,False
ちゃん,接尾辞,7,1,ちゃん,ちゃん,1007660,,False
言う,動詞,7,1,言っ,言う,1587040,,False
それ,代名詞,7,1,それ,其れ,1006970,,False
こんな,連体詞,7,1,こんな,こんな,1004880,,False
分かる,動詞,7,1,分かっ,分かる,1606560,,False
これ,代名詞,7,1,これ,此れ,1628530,,False
手乗り,名詞,6,1,手乗り,手乗り,2841842,,False
見る,動詞,6,1,見,見る,1259290,,False
犬,名詞,6,1,犬,犬,1258330,,False
何,代名詞,6,1,何,何,1577100,,False
クラス,名詞,6,1,クラス,クラス-class,1044070,,False
良い,形容詞,6,1,よく,良い,1605820,,False
もう,副詞,5,1,もう,もう,1012480,,False
待つ,動詞,5,1,待て,待つ,1410590,,False
大河,名詞,5,1,大河,タイガ,1581490,,False
タイガー,名詞,5,1,タイガー,タイガー-tiger,2021200,,False
同じ,連体詞,5,1,同じ,同じ,1451750,,False
煩い,形容詞,5,1,うるさい,煩い,1481920,,False
櫛,名詞,5,1,櫛,櫛,1246490,,False
かばん,名詞,5,1,かばん,鞄,1208910,,False
大丈夫,形状詞,5,1,大丈夫,大丈夫,1414150,,False
梨,名詞,4,1,梨,梨,1549860,,False
まだ,副詞,4,1,まだ,未だ,1527110,,False
黴びる,名詞,4,1,カビ,黴,1575380,,False
その,連体詞,4,1,その,其の,1006830,,False
みんな,名詞,4,1,みんな,皆,1202150,,False
インコ,名詞,4,1,インコ,鸚哥,1575160,,False
枝,接尾辞,4,1,枝,枝,1310530,,False
居る,動詞,4,1,いる,居る,1577980,,False
出来る,動詞,4,1,でき,出来る,1340450,,False
凄い,形容詞,4,1,すごかっ,凄い,1374550,,False
似る,動詞,4,1,似,似る,1314600,,False
竜,名詞,4,1,竜,竜,1629170,,False
忘れる,動詞,4,1,忘れろ,忘れる,1519210,,False
食う,動詞,3,1,食わ,食う,1592100,,False
入れる,動詞,3,1,入れ,入れる,1465610,,False
今,名詞,3,1,今,今,1288850,,False
今日,名詞,3,1,今日,今日,1579110,,False
恥,名詞,3,1,恥,恥,1421590,,False
出す,動詞,3,1,出し,出す,1338180,,False
パパ,名詞,3,1,パパ,パパ-papa,1102140,,False
下さる,動詞,3,1,ください,下さる,1184280,,False
ヤツ,名詞,3,1,ヤツ,奴,1445640,,False
人,名詞,3,1,人,人,1580640,,False
ちょっと,副詞,3,1,ちょっと,一寸,1163940,,False
済む,動詞,3,1,すみ,済む,1295070,,False
ほんと,名詞,3,1,ほんと,本当,1523060,,False
まあ,副詞,3,1,まあ,まあ,1012050,,False
どう,副詞,3,1,どう,どう,1008910,,False
誤解,名詞,3,1,誤解,誤解,1271310,,False
早い,形容詞,3,1,早く,早い,1404975,,False
すっ,副詞,3,1,すっ,すっ,2026870,,False
私,代名詞,3,1,私,私-代名詞,1311110,,False
遅い,形容詞,3,1,遅かっ,遅い,1421970,,False
進路,名詞,3,1,進路,進路,1366200,,False
入る,動詞,3,1,入り,入る,1465590,,False
部屋,名詞,3,1,部屋,部屋,1499320,,False
遣る,動詞,2,1,やる,遣る,1012980,,False
あいつ,代名詞,2,1,あいつ,彼奴,1483160,,False
掃除,名詞,2,1,掃除,掃除,1399790,,False
時間,名詞,2,1,時間,時間,1315920,,False
渡す,動詞,2,1,渡せ,渡す,1444610,,False
死ぬ,動詞,2,1,死ぬ,死ぬ,1310730,,False
殺す,動詞,2,1,殺そう,殺す,1299030,,False
目つき,名詞,2,1,目つき,目付き,1535670,,False
ちゃんと,副詞,2,1,ちゃんと,ちゃんと,1007720,,False
ちょ,副詞,2,1,ちょ,一寸,2845172,,False
とこ,名詞,2,1,とこ,所,1343100,,False
どこ,代名詞,2,1,どこ,何処,1577140,,False
生まれる,動詞,2,1,生まれ,生まれる,1378690,,False
目,名詞,2,1,目,目,1604890,,False
爽やか,形状詞,2,1,爽やか,爽やか,1399520,,False
無理,名詞,2,1,無理,無理,1530970,,False
どんどん,副詞,2,1,どんどん,どんどん,1009320,,False
記憶,名詞,2,1,記憶,記憶,1223150,,False
誓う,動詞,2,1,誓う,誓う,1381210,,False
げ,接尾辞,2,1,げ,気,2006580,,False
こっち,代名詞,2,1,こっち,此方,1004500,,False
こいつ,代名詞,2,1,こいつ,此奴,1579070,,False
起こす,動詞,2,1,起こそう,起こす,1223660,,False
見付ける,動詞,2,1,見つける,見付ける,1604570,,False
行く,動詞,2,1,行っ,行く,1578850,,False
