sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
君,接尾辞,25,1,君,君,1247260,,False
私,代名詞,18,1,私,私-代名詞,1311110,,False
大河,名詞,14,1,大河,大河,1581490,,False
何,代名詞,13,1,何,何,1577100,,False
こと,名詞,12,1,こと,事,1313580,,False
お前,代名詞,12,1,お前,御前,1002290,,False
櫛,名詞,11,1,櫛,櫛,1246490,,False
言う,動詞,11,1,言わ,言う,1587040,,False
俺,代名詞,10,1,俺,俺,1576870,,False
分かる,動詞,9,1,分から,分かる,1606560,,False
遣る,動詞,8,1,やっ,遣る,1012980,,False
良い,形容詞,8,1,いい,良い,1605820,,False
竜,名詞,8,1,竜,竜,1629170,,False
無い,形容詞,7,1,なく,無い,1529520,,False
為る,動詞,7,1,する,為る,1157170,,False
悪い,形容詞,7,1,悪かっ,悪い,1151260,,False
あんた,代名詞,7,1,あんた,貴方,1979920,,False
枝,名詞,6,1,枝,枝,1310530,,False
そう,副詞,6,1,そう,そう,2137720,,False
パス,名詞,6,1,パス,パス-pass,1101440,,False
大丈夫,形状詞,6,1,大丈夫,大丈夫,1414150,,False
その,連体詞,6,1,その,其の,1006830,,False
好き,形状詞,5,1,好き,好き,1277450,,False
思う,動詞,5,1,思っ,思う,1589350,,False
ウソ,名詞,5,1,ウソ,嘘,1172400,,False
顔,名詞,5,1,顔,顔,1217730,,False
呉れる,動詞,5,1,くれよ,呉れる,1269130,,False
犬,名詞,5,1,犬,犬,1258330,,False
まだ,副詞,5,1,まだ,未だ,1527110,,False
それ,代名詞,5,1,それ,其れ,1006970,,False
枝,接尾辞,5,1,枝,枝,1310530,,False
ちょっと,副詞,5,1,ちょっと,一寸,1163940,,False
誤解,名詞,4,1,誤解,誤解,1271310,,False
行く,動詞,4,1,いか,行く,1578850,,False
ちゃん,接尾辞,4,1,ちゃん,ちゃん,1007660,,False
変,名詞,4,1,変,変,1510640,,False
居る,動詞,4,1,いる,居る,1577980,,False
手乗り,名詞,4,1,手乗り,手乗り,2841842,,False
そんな,連体詞,4,1,そんな,そんな,1007130,,False
面白い,形容詞,4,1,面白い,面白い,1533580,,False
みんな,名詞,4,1,みんな,皆,1202150,,False
作る,動詞,4,1,作っ,作る,1597890,,False
食べる,動詞,4,1,食べ,食べる,1358280,,False
タイガー,名詞,4,1,タイガー,タイガー-tiger,2021200,,False
クッキー,名詞,4,1,クッキー,クッキー-cookie,1043760,,False
２人,名詞,3,1,２人,二人,1582670,,False
ヤンキー,名詞,3,1,ヤンキー,ヤンキー-Yankee,1136370,,False
この,連体詞,3,1,この,此の,1582920,,False
りん,接尾辞,3,1,りん,りん,2844215,,False
気持ち,名詞,3,1,気持ち,気持ち,1591430,,False
次,名詞,3,1,次,次,1316380,,False
早い,形容詞,3,1,速い,早い,1404975,,False
明日,名詞,3,1,明日,明日,1584660,,False
みの,名詞,3,1,みの,蓑,1634010 | 2845080,,True
みたい,形状詞,3,1,みたい,みたい,2016410,,False
旨い,形容詞,3,1,うまく,旨い,1310460,,False
まる,接頭辞,3,1,まる,丸,1216250,,False
むかつく,動詞,3,1,ムカつく,むかつく,1012320,,False
やっぱ,副詞,3,1,やっぱ,矢張り,2772780,,False
終わり,名詞,3,1,終わり,終わり,1589590,,False
ち,名詞,3,1,ち,家,2858378,,False
見る,動詞,3,1,見,見る,1259290,,False
組む,動詞,3,1,組もう,組む,1397590,,False
ちゃんと,副詞,3,1,ちゃんと,ちゃんと,1007720,,False
さっき,名詞,3,1,さっき,さっき,1005180,,False
そこ,代名詞,3,1,そこ,其処,1006670,,False
ごめん,名詞,3,1,ごめん,御免,1270670,,False
もう,副詞,3,1,もう,もう,1012480,,False
友達,名詞,3,1,友達,友達,1540170,,False
今日,名詞,3,1,今日,今日,1579110,,False
凄い,形容詞,3,1,すごい,凄い,1374550,,False
作戦,名詞,3,1,作戦,作戦,1297800,,False
ボール,名詞,3,1,ボール,ボール-ball,1123550,,False
ヤツ,名詞,3,1,ヤツ,奴,1445640,,False
食う,動詞,3,1,食う,食う,1592100,,False
告白,名詞,3,1,告白,告白,1286060,,False
安心,名詞,3,1,安心,安心,1153890,,False
女子,名詞,3,1,女子,女子,1345140,,False
パース,名詞,3,1,パース,パース-purse,1100560 | 2846866 | 2846867,,True
待つ,動詞,3,1,待て,待つ,1410590,,False
家,名詞,3,1,家,家,1191730,,False
今どき,名詞,3,1,今どき,今時,1289180,,False
駄犬,名詞,2,1,駄犬,駄犬,1409030,,False
さっさと,副詞,2,1,さっさと,さっさと,1005190,,False
親友,名詞,2,1,親友,親友,1365410,,False
親,名詞,2,1,親,親,1365040,,False
違う,動詞,2,1,違っ,違う,1158880,,False
そば,名詞,2,1,そば,側,1403830,,False
返す,動詞,2,1,返せ,返す,1512130,,False
話,名詞,2,1,話,話,1600900,,False
止める,動詞,2,1,やめろ,止める,1310680,,False
ほんと,名詞,2,1,ほんと,本当,1523060,,False
登校,名詞,2,1,登校,登校,1444760,,False
知る,動詞,2,1,知ら,知る,1420470,,False
さん,接尾辞,2,1,さん,さん,1005340,,False
どうせ,副詞,2,1,どうせ,どうせ,1008950,,False
美味しい,形容詞,2,1,おいしい,美味しい,1486650,,False
絶対,名詞,2,1,絶対,絶対,1386840,,False
粉々,名詞,2,1,粉々,粉々,1593360,,False
みのり,名詞,2,1,みのり,実り,1320840,,False
もし,副詞,2,1,もし,若し,1012500,,False
朝メシ,名詞,2,1,朝メシ,朝飯,1581780,,False
為さる,動詞,2,1,なさい,為さる,1157090,,False
決める,動詞,2,1,決め,決める,1254180,,False
渡す,動詞,2,1,渡す,渡す,1444610,,False
気,名詞,2,1,気,気,1221520,,False
君,代名詞,2,1,君,君-代名詞,1247260,,False
成る,動詞,2,1,なれる,成る,1375610,,False
悩む,動詞,2,1,悩ん,悩む,1469870,,False
チャーハン,名詞,2,1,チャーハン,チャーハン,1568950,,False
バカ,名詞,2,1,バカ,馬鹿,1601260,,False
わざと,副詞,2,1,わざと,態と,1410760,,False
弁当,名詞,2,1,弁当,弁当,1513060,,False
少女,名詞,2,1,少女,少女,1580290,,False
嫌い,名詞,2,1,嫌い,嫌い,1257240,,False
勝つ,動詞,2,1,勝っ,勝つ,1346150,,False
入る,動詞,2,1,入っ,入る,1465590,,False
働く,動詞,2,1,働く,働く,1451150,,False
傾く,動詞,2,1,傾い,傾く,1578210,,False
全然,副詞,2,1,全然,全然,1395620,,False
マンション,名詞,2,1,マンション,マンション-mansion,1130040,,False
ペット,名詞,2,1,ペット,ペット-pet,1120990,,False
入れる,動詞,2,1,入れる,入れる,1465610,,False
使う,動詞,2,1,使わ,使う,1305990,,False
似る,動詞,2,1,似る,似る,1314600,,False
仲,名詞,2,1,仲,仲,1425710,,False
付き合う,動詞,2,1,付き合っ,付き合う,1597790,,False
人,名詞,2,1,人,人,1580640,,False
これ,代名詞,2,1,これ,此れ,1628530,,False
おなか,名詞,2,1,おなか,御腹,1002610,,False
あいつ,代名詞,2,1,あいつ,彼奴,1483160,,False
うち,名詞,1,1,うち,内,1457730,,False
おいおい,副詞,1,1,おいおい,追い追い,1631660,,False
Ｂ,名詞,1,1,Ｂ,,2594010,,False
あくまで,副詞,1,1,あくまで,飽くまで,1518320,,False
あたし,代名詞,1,1,あたし,私,1311125,,False
あて,接尾辞,1,1,あて,宛て,1448820,,False
いやいや,名詞,1,1,いやいや,嫌々,1000620,,False
転ぶ,動詞,1,1,転ぶ,転ぶ,1582130,,False
買い込む,動詞,1,1,買い込ん,買い込む,1473610,,False
諦める,動詞,1,1,諦め,諦める,1436730,,False
そいつ,代名詞,1,1,そいつ,其奴,1006600,,False
ずっと,副詞,1,1,ずっと,ずっと,1006380,,False
しょっぱい,形容詞,1,1,しょっぱかっ,しょっぱい,1178620,,False
しあわせ,名詞,1,1,しあわせ,幸せ,1594060,,False
さり気無い,形容詞,1,1,さりげなく,さり気無い,1005330,,False
いきなり,副詞,1,1,いきなり,行成,1282000,,False
ごはん,名詞,1,1,ごはん,御飯,1270590,,False
ごと,接尾辞,1,1,ごと,ごと,1524640,,False
こんな,連体詞,1,1,こんな,こんな,1004880,,False
詰まる,動詞,1,1,つまん,詰まる,1226480,,False
許す,動詞,1,1,許さ,許す,1232870,,False
親指,名詞,1,1,親指,親指,1365190,,False
覚える,動詞,1,1,覚え,覚える,1206050,,False
児,接尾辞,1,1,児,児,1307770 | 1315010,,True
元気,名詞,1,1,元気,元気,1260720,,False
優しい,形容詞,1,1,優しい,優しい,1539040,,False
償う,動詞,1,1,償う,償う,1346020,,False
偶然,名詞,1,1,偶然,偶然,1246270,,False
倒れる,動詞,1,1,倒れる,倒れる,1445790,,False
何,名詞,1,1,何,何,1577100,,False
伝わる,動詞,1,1,伝わっ,伝わる,1441900,,False
会得,名詞,1,1,会得,会得,1198830,,False
会う,動詞,1,1,会っ,会う,1198180,,False
仲よく,副詞,1,1,仲よく,仲良く,1426090,,False
以来,名詞,1,1,以来,以来,1155210,,False
以上,名詞,1,1,以上,以上,1155120,,False
仕舞う,動詞,1,1,しまう,仕舞う,1305380,,False
仕留める,動詞,1,1,しとめ,仕留める,1305630,,False
今朝,名詞,1,1,今朝,今朝,1579100,,False
割れる,動詞,1,1,われ,割れる,1208020,,False
出来る,動詞,1,1,出来,出来る,1340450,,False
出る,動詞,1,1,出,出る,1338240,,False
出す,動詞,1,1,出せる,出す,1338180,,False
全部,名詞,1,1,全部,全部,1396130,,False
二人,名詞,1,1,二人,二人,1582670,,False
乾く,動詞,1,1,乾い,乾く,1209650,,False
中身,名詞,1,1,中身,中身,1599430,,False
並び立つ,動詞,1,1,並び立つ,並び立つ,2709920,,False
上等,名詞,1,1,上等,上等,1354030,,False
一日,名詞,1,1,一日,一日,1576260,,False
一,名詞,1,1,一,一,1160790,,False
ママ,名詞,1,1,ママ,ママ-mama,1129240,,False
ボー,名詞,1,1,ボー,ボー-baud,1123220 | 2843945,,True
ホームルーム,名詞,1,1,ホームルーム,ホームルーム-homeroom,1122110,,False
ペア,名詞,1,1,ペア,ペア-pair,1120690,,False
多分,副詞,1,1,多分,多分,1407980,,False
夕べ,名詞,1,1,夕べ,夕べ,2863051,,False
場合,名詞,1,1,場合,場合,1355810,,False
図々しい,形容詞,1,1,図々しい,図々しい,1595940,,False
因る,動詞,1,1,よっ,因る,1168660,,False
噛み付く,動詞,1,1,かみつく,噛み付く,1209220,,False
名前,名詞,1,1,名前,名前,1531710,,False
合,名詞,1,1,合,合,1956260,,False
受け入れる,動詞,1,1,受け入れ,受け入れる,1329670,,False
取り持つ,動詞,1,1,取り持っ,取り持つ,1326750,,False
北,名詞,1,1,北,北,1520670,,False
勤労,名詞,1,1,勤労,勤労,1241160,,False
動転,名詞,1,1,動転,動転,1451460,,False
勇気,名詞,1,1,勇気,勇気,1539740,,False
励ます,動詞,1,1,励まし,励ます,1557350,,False
加勢,名詞,1,1,加勢,加勢,1190350,,False
夫婦,名詞,1,1,夫婦,夫婦,1583640,,False
太陽,名詞,1,1,太陽,太陽,1408370,,False
大根,名詞,1,1,大根,大根,1413730,,False
大暴れ,名詞,1,1,大暴れ,大暴れ,2743310,,False
大事,形状詞,1,1,大事,大事,1413940,,False
パパ,名詞,1,1,パパ,パパ-papa,1102140,,False
バスケ,名詞,1,1,バスケ,バスケ-basketball,2220230,,False
ハゲ,名詞,1,1,ハゲ,禿げ,1455410,,False
ハァハァ,副詞,1,1,ハァハァ,はあはあ-Ha'aha'a,1632370,,False
ネギ,名詞,1,1,ネギ,葱,1467630,,False
ドジ,名詞,1,1,ドジ,どじ,1009110,,False
テレビ,名詞,1,1,テレビ,テレビ-television,1080510,,False
チビ,名詞,1,1,チビ,ちび,1077750,,False
ダメ,名詞,1,1,ダメ,駄目,1409110,,False
スーパー,名詞,1,1,スーパー,スーパー-super,1066710,,False
ストレス,名詞,1,1,ストレス,ストレス-stress,1071490,,False
心配,名詞,1,1,心配,心配,1360930,,False
弁える,動詞,1,1,わきまえろ,弁える,1512720,,False
幸せ,名詞,1,1,幸せ,幸せ,1594060,,False
平気,名詞,1,1,平気,平気,1507180,,False
届く,動詞,1,1,届か,届く,1457200,,False
居心地,名詞,1,1,居心地,居心地,1630070,,False
尽くす,動詞,1,1,つくし,尽くす,1370090,,False
尻軽,名詞,1,1,尻軽,尻軽,1741800,,False
小さい,形容詞,1,1,ちっちゃい,小さい,1347750,,False
寝る,動詞,1,1,寝,寝る,1360010,,False
家,接尾辞,1,1,家,家,1191730,,False
実,名詞,1,1,実,実,1320800,,False
学校,名詞,1,1,学校,学校,1206730,,False
子,名詞,1,1,子,子,1307770,,False
女,名詞,1,1,女,女,1344930,,False
奉仕,名詞,1,1,奉仕,奉仕,1515950,,False
応援,名詞,1,1,応援,応援,1179840,,False
忘れる,動詞,1,1,忘れ,忘れる,1519210,,False
ステキ,形状詞,1,1,ステキ,素敵,1397350,,False
シンプル,形状詞,1,1,シンプル,シンプル-simple,1063870,,False
サバ,名詞,1,1,サバ,サバ-Sabah,1299610,,False
コンビニ,名詞,1,1,コンビニ,コンビニ-convenience,1053280,,False
ケンカ,名詞,1,1,ケンカ,喧嘩,1257040,,False
キリキリ,名詞,1,1,キリキリ,きりきり,1631780,,False
オッケー,名詞,1,1,オッケー,オーケー-okay,1031600,,False
インビ,名詞,1,1,インビ,淫靡,2864155,,False
アベック,名詞,1,1,アベック,アベック-avec,1018310,,False
んな,連体詞,1,1,んな,そんな,2835613,,False
んな,形状詞,1,1,んな,そんな,2835613,,False
わっ,副詞,1,1,わっ,わっ,2087950,,False
わけ,名詞,1,1,わけ,訳,1538330,,False
必死,形状詞,1,1,必死,必死,1601890,,False
放る,動詞,1,1,ほっ,放る,1516530,,False
描く,動詞,1,1,描く,描く,1583460,,False
掛ける,動詞,1,1,かけれ,掛ける,1207610,,False
指,名詞,1,1,指,指,1309650,,False
押し掛ける,動詞,1,1,押し掛け,押し掛ける,1180170,,False
折り合い,名詞,1,1,折り合い,折り合い,1385810,,False
投げる,動詞,1,1,投げる,投げる,1447000,,False
手軽,形状詞,1,1,手軽,手軽,1327530,,False
手作り,名詞,1,1,手作り,手作り,1598360,,False
感じ,名詞,1,1,感じ,感じ,1212250,,False
悟る,動詞,1,1,さとる,悟る,1270850,,False
悔しい,形容詞,1,1,悔しく,悔しい,1592350,,False
恐ろしい,形容詞,1,1,恐ろしい,恐ろしい,1236690,,False
急ぐ,動詞,1,1,急げよ,急ぐ,1228650,,False
怖い,形容詞,1,1,怖く,怖い,1593480,,False
怒る,動詞,1,1,怒ら,怒る,1445690,,False
有る,動詞,1,1,ある,有る,1296400,,False
最悪,名詞,1,1,最悪,最悪,1293720,,False
書く,動詞,1,1,書け,書く,1343950,,False
よく,副詞,1,1,よく,良く,1605870,,False
やばい,形容詞,1,1,ヤバく,やばい,1012840,,False
もみのり,名詞,1,1,もみのり,揉み海苔,2832308,,False
もの,名詞,1,1,もの,物,1322990,,False
めでたい,形容詞,1,1,めでたい,めでたい,1608630,,False
むら,名詞,1,1,むら,斑,1406820,,False
みみ,名詞,1,1,みみ,耳,1317170,,False
昨日,名詞,1,1,昨日,昨日,1579260,,False
春田,名詞,1,1,春田,春田,2628230,,False
昔,名詞,1,1,昔,昔,1382370,,False
早まる,動詞,1,1,早まっ,早まる,1400170,,False
早々,名詞,1,1,早々,早々,1596420,,False
日,名詞,1,1,日,日,1463770,,False
殴り込む,動詞,1,1,殴り込み,殴り込む,2463010,,False
残念,形状詞,1,1,残念,残念,1304680,,False
正しい,形容詞,1,1,正しく,正しい,1376600,,False
止む,動詞,1,1,やん,止む,1310640,,False
止まる,動詞,1,1,止まれ,止まる,1310620,,False
欲しい,形容詞,1,1,ほしい,欲しい,1547330,,False
機会,名詞,1,1,機会,機会,1220800,,False
構う,動詞,1,1,構わ,構う,1279680,,False
棟,名詞,1,1,棟,棟,1448340,,False
梨,名詞,1,1,梨,梨,1549860,,False
柔軟,形状詞,1,1,柔軟,柔軟,1335480,,False
来る,動詞,1,1,こ,来る,1547720,,False
村,名詞,1,1,村,村,1406820,,False
本当,名詞,1,1,本当,本当,1523060,,False
朝晩,名詞,1,1,朝晩,朝晩,1428520,,False
朝,名詞,1,1,朝,朝,1428280,,False
なるほど,副詞,1,1,なるほど,成る程,1375820,,False
なになに,代名詞,1,1,なになに,何々,1599580,,False
真剣,名詞,1,1,真剣,真剣,1363650,,False
目つき,名詞,1,1,目つき,目付き,1535670,,False
球筋,名詞,1,1,球筋,球筋,2757910,,False
片付ける,動詞,1,1,片づけ,片付ける,1511790,,False
煩い,形容詞,1,1,うっさい,煩い,1481920,,False
無事,形状詞,1,1,無事,無事,1530030,,False
焚く,動詞,1,1,炊い,焚く,1596840,,False
深夜,名詞,1,1,深夜,深夜,1362810,,False
流れ,名詞,1,1,流れ,流れ,1552130,,False
泣く,動詞,1,1,泣く,泣く,1229840,,False
決行,名詞,1,1,決行,決行,1254250,,False
決まる,動詞,1,1,決まっ,決まる,1591420,,False
気合い,名詞,1,1,気合い,気合い,1591030,,False
気まずい,形容詞,1,1,気まずい,気まずい,1222550,,False
禿げる,動詞,1,1,ハゲる,禿げる,1455420,,False
確認,名詞,1,1,確認,確認,1205900,,False
確か,形状詞,1,1,確か,確か,1596930,,False
着く,動詞,1,1,着い,着く,1607260,,False
眩い,形容詞,1,1,まばゆく,眩い,2009830,,False
みぞおち,名詞,1,1,みぞおち,鳩尾,1583140,,False
み,接頭辞,1,1,み,御,1201190 | 1320810 | 1365520 | 1528180 | 1579350 | 2242840 | 2256270 | 2258670 | 2258680 | 2259710 | 2736430 | 2740580,,True
まる,名詞,1,1,まる,丸,1216250,,False
まったく,副詞,1,1,まったく,全く,1394800,,False
まし,形状詞,1,1,まし,増し,1611600,,False
まあ,副詞,1,1,まあ,まあ,1012050,,False
まぁ,副詞,1,1,まぁ,まあ,1012050,,False
ほとんど,名詞,1,1,ほとんど,殆ど,1522050,,False
ほう,名詞,1,1,ほう,方,1516930,,False
ぶつける,動詞,1,1,ぶつける,ぶつける,2742080,,False
ぶ,副詞,1,1,ぶ,ぶっ,1498230 | 1499290 | 1502850 | 2083510 | 2145430 | 2423740,,True
自覚,名詞,1,1,自覚,自覚,1317490,,False
自分,名詞,1,1,自分,自分,1318610,,False
膨らみ,名詞,1,1,膨らみ,膨らみ,1519980,,False
腐る,動詞,1,1,腐れ,腐る,1497800,,False
能登,名詞,1,1,能登,ノト,2845074,,False
聞く,動詞,1,1,聞い,聞く,1591110,,False
考える,動詞,1,1,考え,考える,1281020,,False
置く,動詞,1,1,おく,置く,1421850,,False
罪,接尾辞,1,1,罪,罪,2836325,,False
缶,名詞,1,1,缶,缶,1214540,,False
練習,名詞,1,1,練習,練習,1559160,,False
約束,名詞,1,1,約束,約束,1538130,,False
笑う,動詞,1,1,笑う,笑う,1351360,,False
立場,名詞,1,1,立場,立場,1551710,,False
立てる,動詞,1,1,立てる,立てる,1551530,,False
空く,動詞,1,1,すい,空く,1586265,,False
見付かる,動詞,1,1,見つかっ,見付かる,1604550,,False
見える,動詞,1,1,見える,見える,1259140,,False
襲撃,名詞,1,1,襲撃,襲撃,1333340,,False
装う,動詞,1,1,よそい,装う,2122340,,False
虎,名詞,1,1,虎,虎,1267610,,False
なかなか,副詞,1,1,なかなか,中々,1599420,,False
どっち,代名詞,1,1,どっち,何方,1189360,,False
どう,副詞,1,1,どう,どう,1008910,,False
ともだち,名詞,1,1,ともだち,友達,1540170,,False
とにかく,副詞,1,1,とにかく,兎に角,1443990,,False
とこ,名詞,1,1,とこ,所,1343100,,False
ちょ,副詞,1,1,ちょ,一寸,1956680 | 2705860 | 2705890 | 2833766 | 2845172,,True
だい,接頭辞,1,1,だい,大,2082450,,False
たまたま,副詞,1,1,たまたま,偶々,1597180,,False
落とす,動詞,1,1,落とす,落とす,1589260,,False
落ちる,動詞,1,1,落ちる,落ちる,1548550,,False
おんなじ,連体詞,1,1,おんなじ,同じ,1451750,,False
３,名詞,1,1,３,,1579350,,False
近い,形容詞,1,1,近い,近い,1242130,,False
黙る,動詞,1,1,黙れ,黙る,1534930,,False
騒ぐ,動詞,1,1,騒い,騒ぐ,1403040,,False
険しい,形容詞,1,1,険しい,険しい,1260530,,False
道,名詞,1,1,道,道,1454080,,False
過剰,名詞,1,1,過剰,過剰,1196170,,False
遅刻,名詞,1,1,遅刻,遅刻,1422050,,False
追う,動詞,1,1,追う,追う,1432410,,False
追い付く,動詞,1,1,追いつく,追い付く,1588810,,False
返る,動詞,1,1,帰る,返る,1512150,,False
近所,名詞,1,1,近所,近所,1242350,,False
軽率,名詞,1,1,軽率,軽率,1252910,,False
軽い,形容詞,1,1,軽く,軽い,1252560,,False
軽々しい,形容詞,1,1,軽々しく,軽々しい,1590700,,False
今,名詞,1,1,今,今,1288850,,False
香り,名詞,1,1,香り,香り,1589820,,False
飼い主,名詞,1,1,飼い主,飼い主,1589720,,False
食卓,名詞,1,1,食卓,食卓,1358530,,False
食らう,動詞,1,1,くらう,食らう,1592410,,False
顔面,名詞,1,1,顔面,顔面,1217860,,False
頑張る,動詞,1,1,頑張ろう,頑張る,1217700,,False
いつ,代名詞,1,1,いつ,何時,1188760,,False
いま,名詞,1,1,いま,今,1288850,,False
関係,名詞,1,1,関係,関係,1215810,,False
間違える,動詞,1,1,間違える,間違える,1215330,,False
重々しい,形容詞,1,1,重々しく,重々しい,1589360,,False
部活,名詞,1,1,部活,部活,1622100,,False
こいつ,代名詞,1,1,こいつ,此奴,1579070,,False
きっと,副詞,1,1,きっと,急度,1003430,,False
かばん,名詞,1,1,かばん,鞄,1208910,,False
