sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
私,代名詞,24,1,私,私-代名詞,1311110,,False
見る,動詞,19,1,見,見る,1259290,,False
俺,代名詞,15,1,俺,俺,1576870,,False
来る,動詞,14,1,来,来る,1547720,,False
思う,動詞,13,1,思う,思う,1589350,,False
言う,動詞,12,1,言う,言う,1587040,,False
行く,動詞,12,1,行く,行く,1578850,,False
怖い,形容詞,12,1,怖い,怖い,1593480,,False
成る,動詞,11,1,なり,成る,1375610,,False
あんた,代名詞,11,1,あんた,貴方,1979920,,False
何,代名詞,11,1,何,何,1577100,,False
夢,名詞,10,1,夢,夢,1529410,,False
君,接尾辞,10,1,君,君,1247260,,False
良い,形容詞,9,1,いい,良い,1605870,,False
大河,名詞,9,1,大河,大河,1581490,,False
辛い,形容詞,9,1,辛く,辛い,1365850,,False
お前,代名詞,9,1,お前,御前,1002290,,False
ワカメ,名詞,9,1,ワカメ,若布,1324440,,False
櫛,名詞,8,1,櫛,櫛,1246490,,False
こと,名詞,8,1,こと,事,1313580,,False
幽霊,名詞,8,1,幽霊,幽霊,1540590,,False
有る,動詞,8,1,ある,有る,2847612,,False
今,名詞,7,1,今,今,1288850,,False
ちゃん,接尾辞,7,1,ちゃん,ちゃん,1007660,,False
これ,代名詞,7,1,これ,此れ,1628530,,False
苦手,名詞,7,1,苦手,苦手,1244470,,False
食べる,動詞,6,1,食べ,食べる,1358280,,False
枝,名詞,6,1,枝,枝,1310530,,False
バイト,名詞,6,1,バイト,バイト-Arbeit,1097870,,False
超,接頭辞,6,1,超,超,1429340,,False
見える,動詞,6,1,見え,見える,1259140,,False
部活,名詞,6,1,部活,部活,1622100,,False
そう,形状詞,5,1,そう,そう-様態,2137720,,False
掃除,名詞,5,1,掃除,掃除,1399790,,False
あの,連体詞,5,1,あの,彼の,1000420,,False
もう,副詞,5,1,もう,もう,1012480,,False
居る,動詞,5,1,いる,居る,1577980,,False
ラッコ,名詞,4,1,ラッコ,ラッコ,1554440,,False
ここ,代名詞,4,1,ここ,此処,1288810,,False
霊,名詞,4,1,霊,霊,1557730,,False
ヤツ,名詞,4,1,ヤツ,奴,1445640,,False
使う,動詞,4,1,使う,使う,1305990,,False
バイク,名詞,4,1,バイク,バイク-bike,1097810,,False
この,連体詞,4,1,この,此の,1582920,,False
美味しい,形容詞,4,1,おいしい,美味しい,1486650,,False
遣る,動詞,4,1,やる,遣る,1012980,,False
凄い,形容詞,4,1,すごい,凄い,1374550,,False
作戦,名詞,4,1,作戦,作戦,1297800,,False
みんな,名詞,4,1,みんな,皆,1202150,,False
分かる,動詞,4,1,分かっ,分かる,1606560,,False
変,名詞,4,1,変,変,1510640,,False
実る,動詞,4,1,みのり,実る,1320850,,False
旅行,名詞,4,1,旅行,旅行,1553170,,False
ったく,副詞,3,1,ったく,全く,2122580,,False
結婚,名詞,3,1,結婚,結婚,1254790,,False
覚める,動詞,3,1,覚める,覚める,1206070,,False
話,名詞,3,1,話,話,1600900,,False
部屋,名詞,3,1,部屋,部屋,1499320,,False
あんな,連体詞,3,1,あんな,あんな,1000590,,False
そんな,連体詞,3,1,そんな,そんな,1007130,,False
持つ,動詞,3,1,持つ,持つ,1315720,,False
為る,動詞,3,1,すん,為る,1157170,,False
犬,名詞,3,1,犬,犬,1258330,,False
こんな,連体詞,3,1,こんな,こんな,1004880,,False
さっき,名詞,3,1,さっき,さっき,1005180,,False
未来,名詞,3,1,未来,未来,1528060,,False
旨い,形容詞,3,1,うまい,旨い,1310460,,False
明日,名詞,3,1,明日,明日,1584660,,False
悪い,形容詞,3,1,悪い,悪い,1151260,,False
りん,接尾辞,3,1,りん,りん,1555420 | 1555530 | 1555700 | 1557580 | 1564320 | 2844215,,True
やっぱり,副詞,3,1,やっぱり,矢張り,1012810,,False
意外,形状詞,3,1,意外,意外,1156410,,False
まだ,副詞,3,1,まだ,未だ,1527110,,False
みの,名詞,3,1,みの,蓑,1634010 | 2845080,,True
みたい,形状詞,3,1,みたい,みたい,2016410,,False
声,名詞,3,1,声,声,1380440,,False
呉れる,動詞,3,1,くれ,呉れる,1269130,,False
チャンス,名詞,3,1,チャンス,チャンス-chance,1078040,,False
信ずる,動詞,3,1,信じ,信ずる,1359070,,False
全然,副詞,3,1,全然,全然,1395620,,False
入る,動詞,3,1,入っ,入る,1465590,,False
ホラー,名詞,3,1,ホラー,ホラー-horror,1122810,,False
バカ,名詞,3,1,バカ,馬鹿,1601260,,False
人,名詞,3,1,人,人,1580640,,False
あと,名詞,3,1,あと,後,1269320,,False
中,接尾辞,2,1,中,中,1620400,,False
弄ぶ,動詞,2,1,もてあそん,弄ぶ,1980760,,False
夏休み,名詞,2,1,夏休み,夏休み,1191420,,False
ＤＶＤ,名詞,2,1,ＤＶＤ,ＤＶＤ,2159290,,False
変える,動詞,2,1,変える,変える,1510650,,False
偉い,形容詞,2,1,偉い,偉い,1155780,,False
入れる,動詞,2,1,入れる,入れる,1465610,,False
