sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
君,接尾辞,42,1,君,君,1247260,,False
櫛,名詞,22,1,櫛,櫛,1246490,,True
こと,名詞,16,1,こと,事,1313580,,False
枝,名詞,15,1,枝,枝,1310530,,False
俺,代名詞,14,1,俺,俺,1576870,,False
怖い,形容詞,13,1,怖,怖い,1593480,,False
呉れる,動詞,13,1,くれ,呉れる,1269130,,False
為る,動詞,13,1,すん,為る,1157170,,False
お前,代名詞,11,1,お前,御前,1002290,,False
行く,動詞,11,1,いけ,行く,1578850,,False
私,代名詞,10,1,私,私-代名詞,1311110,,False
言う,動詞,9,1,言っ,言う,1587040,,False
思う,動詞,9,1,思っ,思う,1589350,,False
何,代名詞,9,1,何,何,1577100,,False
良い,形容詞,8,1,いい,良い,1605870,,False
あたし,代名詞,8,1,あたし,私,1311125,,False
お,接頭辞,7,1,お,御,2089690,,False
来る,動詞,7,1,こよう,来る,1547720,,False
枝,接尾辞,7,1,枝,枝,1310530,,False
居る,動詞,7,1,いる,居る,1577980,,False
梨,名詞,7,1,梨,梨,1549860,,False
みんな,名詞,6,1,みんな,皆,1202150,,False
見る,動詞,6,1,見る,見る,1259290,,False
大河,名詞,6,1,大河,大河,1581490,,False
それ,代名詞,6,1,それ,其れ,1006970,,False
これ,代名詞,6,1,これ,此れ,1628530,,False
遣る,動詞,6,1,やら,遣る,1012980,,False
この,連体詞,5,1,この,此の,1582920,,False
ちゃん,接尾辞,5,1,ちゃん,ちゃん,1007660,,False
ちょっと,副詞,5,1,ちょっと,一寸,1163940,,False
洞窟,名詞,5,1,洞窟,洞窟,1453860,,False
大丈夫,形状詞,5,1,大丈夫,大丈夫,1414150,,False
実る,名詞,5,1,みのり,実り,1320840,,False
がら,接尾辞,5,1,がら,がる,1508300 | 2101970 | 2834415,,False
人,名詞,4,1,人,人,1580640,,False
寂しい,形容詞,4,1,寂しい,寂しい,1579720,,False
分かる,動詞,4,1,分から,分かる,1606560,,False
付ける,動詞,4,1,着け,付ける,1495770,,False
あれ,代名詞,4,1,あれ,彼れ,2847612,,False
成る,動詞,4,1,なる,成る,1375610,,False
昨日,名詞,4,1,昨日,昨日,1579260,,False
返る,動詞,4,1,帰る,返る,1512150,,False
見せる,動詞,4,1,みせる,見せる,1259210,,False
幽霊,名詞,4,1,幽霊,幽霊,1540590,,False
協力,名詞,4,1,協力,協力,1591720,,False
そんな,連体詞,4,1,そんな,そんな,1007130,,False
迷う,動詞,3,1,迷っ,迷う,1532710,,False
あいつ,代名詞,3,1,あいつ,彼奴,1483160,,False
ＵＦＯ,名詞,3,1,ＵＦＯ,ＵＦＯ,1136810,,False
ここ,代名詞,3,1,ここ,此処,1288810,,False
聞く,動詞,3,1,聞い,聞く,1591110,,False
話,名詞,3,1,話,話,1600900,,False
こっち,代名詞,3,1,こっち,此方,1004500,,False
教える,動詞,3,1,教え,教える,1236900,,False
早い,形容詞,3,1,早い,早い,1404975,,False
有る,動詞,3,1,あり,有る,2847612,,False
捲る,動詞,3,1,まくり,捲る,1257800,,False
散歩,名詞,3,1,散歩,散歩,1303620,,False
そう,副詞,3,1,そう,そう,2137720,,False
そう,形状詞,3,1,そう,そう-様態,2137720,,False
その,連体詞,3,1,その,其の,1006830,,False
考える,動詞,3,1,考え,考える,1281020,,False
繋ぐ,動詞,3,1,つなご,繋ぐ,1251900,,False
こんな,連体詞,3,1,こんな,こんな,1004880,,False
次,名詞,3,1,次,次,1316380,,False
楽しい,形容詞,3,1,楽しかっ,楽しい,1207240,,False
対等,形状詞,3,1,対等,対等,1410250,,False
仕掛ける,名詞,3,1,仕掛け,仕掛け,1594100,,False
作る,動詞,3,1,作ろう,作る,1597890,,False
合う,動詞,3,1,合わ,合う,1284430,,False
ほんと,名詞,3,1,ほんと,本当,1523060,,False
仲間,名詞,3,1,仲間,仲間,1425790,,False
今,名詞,3,1,今,今,1288850,,False
今日,名詞,3,1,今日,今日,1579110,,False
ホラー,名詞,3,1,ホラー,ホラー-horror,1122810,,False
みの,名詞,3,1,みの,蓑,1634010 | 2845080,,False
わっ,副詞,3,1,わっ,わっ,2004010,,False
交ぜる,動詞,3,1,混ぜ,交ぜる,1290310,,False
離れる,動詞,3,1,離れ,離れる,1550840,,False
２人,名詞,3,1,２人,二人,1582670,,False
あと,名詞,3,1,あと,後,1269320,,False
カレー,名詞,3,1,カレー,カレー-curry,1039140,,False
キレイ,形状詞,2,1,キレイ,奇麗,1591900,,False
驚かす,動詞,2,1,驚かさ,驚かす,1238650,,False
プレゼント,名詞,2,1,プレゼント,プレゼント-present,1116840,,False
呼ぶ,動詞,2,1,呼ん,呼ぶ,1266440,,False
上げる,動詞,2,1,あげ,上げる,1352320,,False
出来る,動詞,2,1,できる,出来る,1340450,,False
場合,名詞,2,1,場合,場合,1355810,,False
びびる,動詞,2,1,ビビっ,びびる,2096500,,False
ヤツ,名詞,2,1,ヤツ,奴,1445640,,False
わけ,名詞,2,1,わけ,訳,1538330,,False
りん,接尾辞,2,1,りん,りん,1555420 | 1555530 | 1555700 | 1557580 | 1564320 | 2844215,,False
まだ,副詞,2,1,まだ,未だ,1527110,,False
シェフ,名詞,2,1,シェフ,シェフ-chef,1060000,,False
出す,動詞,2,1,出そう,出す,1338180,,False
どこ,代名詞,2,1,どこ,何処,1577140,,False
あんな,連体詞,2,1,あんな,あんな,1000590,,False
奥,名詞,2,1,奥,奥,1179320,,False
先,名詞,2,1,先,先,1387210,,False
冗談,名詞,2,1,冗談,冗談,1355540,,False
やっぱり,副詞,2,1,やっぱり,矢張り,1012810,,False
可愛い,形容詞,2,1,カワイイ,可愛い,1577200,,False
ウソ,名詞,2,1,ウソ,嘘,1172400,,False
アホ,名詞,2,1,アホ,阿呆,1586600,,False
大好き,形状詞,2,1,大好き,大好き,1413660,,False
マジ,形状詞,2,1,マジ,まじ,1127680,,False
不安,名詞,2,1,不安,不安,1491150,,False
め,接尾辞,2,1,め,目,2089650,,False
髪の毛,名詞,2,1,髪の毛,髪の毛,1477960,,False
驚く,動詞,2,1,驚か,驚く,1238680,,False
必ず,副詞,2,1,必ず,必ず,1487400,,False
弟,名詞,2,1,弟,弟,1581930,,False
家,名詞,2,1,家,家,1191730,,False
所,名詞,2,1,所,所,1343100,,False
悪だくみ,名詞,2,1,悪だくみ,悪巧み,1151750,,False
悪い,形容詞,2,1,悪い,悪い,1151260,,False
怒る,動詞,2,1,怒ら,怒る,1445690,,False
持つ,動詞,2,1,持つ,持つ,1315720,,False
手伝う,動詞,2,1,手伝っ,手伝う,1328190,,False
朝,名詞,2,1,朝,朝,1428280,,False
最後,名詞,2,1,最後,最後,1293810,,False
暗い,形容詞,2,1,暗い,暗い,1154330,,False
明智,名詞,2,1,明智,アケチ,2766330,,False
とっておき,名詞,2,1,とっておき,取って置き,1707920,,False
ところ,名詞,2,1,ところ,所,1343100,,False
ちゃんと,副詞,2,1,ちゃんと,ちゃんと,1007720,,False
気,名詞,2,1,気,気,1221520,,False
楽しむ,動詞,2,1,楽しま,楽しむ,1207270,,False
煩い,形容詞,2,1,うるさい,煩い,1481920,,False
さっき,名詞,2,1,さっき,さっき,1005180,,False
ごめん,名詞,2,1,ごめん,御免,1270670,,False
痛い,形容詞,2,1,痛い,痛い,1432680,,False
致す,動詞,2,1,いたし,致す,1421900,,False
美味しい,形容詞,2,1,おいしく,美味しい,1486650,,False
笑う,動詞,2,1,笑っ,笑う,1351360,,False
見付ける,動詞,2,1,見つける,見付ける,1604570,,False
落ち着く,動詞,2,1,落ち着い,落ち着く,1589220,,False
良い,動詞,2,1,いっ,行く,1605870,,False
辛い,形容詞,2,1,つらく,辛い,1365860,,False
部屋,名詞,2,1,部屋,部屋,1499320,,False
進む,動詞,2,1,進ま,進む,1365980,,False
ステキ,形状詞,1,1,ステキ,素敵,1397350,,False
ショー,名詞,1,1,ショー,ショー-show,1062240,,False
シ,接尾辞,1,1,シ,子,2029710,,False
サン,名詞,1,1,サン,三,2747950,,False
コブラ,名詞,1,1,コブラ,コブラ-cobra,1050620,,False
コソコソ,副詞,1,1,コソコソ,こそこそ,1004420,,False
コスプレ,名詞,1,1,コスプレ,コスプレ-costume play,1050180,,False
ケチャップ,名詞,1,1,ケチャップ,ケチャップ-ketchup,1048100,,False
クラス,名詞,1,1,クラス,クラス-class,1044070,,False
間,名詞,1,1,間,間,1215230,,False
ポタージュ,名詞,1,1,ポタージュ,ポタージュ-potage,1125260,,False
プロレス,名詞,1,1,プロレス,プロレス-professional wrestling,1118000,,False
フレーズ,名詞,1,1,フレーズ,フレーズ-phrase,1112290,,False
ビキニ,名詞,1,1,ビキニ,ビキニ-bikini,1104660,,False
バンド,名詞,1,1,バンド,バンド-band（団）,1100240,,False
バリバリ,副詞,1,1,バリバリ,ばりばり,1010340,,False
ハァハァ,副詞,1,1,ハァハァ,はあはあ-Ha'aha'a,1632370,,False
ネタバラシ,名詞,1,1,ネタバラシ,ねたばらし,2859743,,False
ヌルヌル,副詞,1,1,ヌルヌル,ぬるぬる,1009870,,False
ニ,名詞,1,1,ニ,二,2029750,,False
ナイス,名詞,1,1,ナイス,ナイス-nice,1089700,,False
トイレ,名詞,1,1,トイレ,トイレ-toilet,1084810,,False
ツチノコ,名詞,1,1,ツチノコ,槌の子,2425660,,False
タマネギ,名詞,1,1,タマネギ,玉葱,1240670,,False
やらせ,名詞,1,1,やらせ,遣らせ,1985640,,False
やばい,形容詞,1,1,ヤバく,やばい,1012840,,False
やっぱ,副詞,1,1,やっぱ,矢張り,2772780,,False
もちろん,副詞,1,1,もちろん,勿論,1535780,,False
もう,副詞,1,1,もう,もう,1012480,,False
みたい,形状詞,1,1,みたい,みたい,2016410,,False
まったく,副詞,1,1,まったく,全く,1394800,,False
まっすぐ,副詞,1,1,まっすぐ,真っ直ぐ,1580600,,False
レベル,名詞,1,1,レベル,レベル-level,1145910,,False
リンゴ,名詞,1,1,リンゴ,林檎,1555480,,False
メートル,名詞,1,1,メートル,メートル-metre,1132570,,False
メニュー,名詞,1,1,メニュー,メニュー-menu,1133790,,False
メソッド,名詞,1,1,メソッド,メソッド-method,1133210,,False
仕掛ける,動詞,1,1,仕掛け,仕掛ける,1304820,,False
事故,名詞,1,1,事故,事故,1313850,,False
了解,名詞,1,1,了解,了解,1553310,,False
主婦,名詞,1,1,主婦,主婦,1326160,,False
中,名詞,1,1,中,中,1620400,,False
世界,名詞,1,1,世界,世界,1373860,,False
不思議,名詞,1,1,不思議,不思議,1492570,,False
下る,動詞,1,1,くっだら,下る,1184450,,False
一段,名詞,1,1,一段,一段,1164690,,False
一人,名詞,1,1,一人,一人,1576150,,False
ワカメ,名詞,1,1,ワカメ,若布,1324440,,False
よそ見,名詞,1,1,よそ見,余所見,1544190,,False
入り江,名詞,1,1,入り江,入り江,1587730,,False
児,接尾辞,1,1,児,児,1315010,,False
光る,動詞,1,1,光っ,光る,1272820,,False
元気,名詞,1,1,元気,元気,1260720,,False
