sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
言う,動詞,19,1,ゆっ,言う,1587040,,False
お前,代名詞,19,1,お前,御前,1002290,,False
俺,代名詞,19,1,俺,俺,1576870,,False
私,代名詞,17,1,私,私-代名詞,1311110,,False
大河,名詞,14,1,大河,大河,1581490,,False
ちゃん,接尾辞,13,1,ちゃん,ちゃん,1007660,,False
こと,名詞,13,1,こと,事,1313580,,False
遣る,動詞,12,1,やる,遣る,1012980,,False
成る,動詞,12,1,なっ,成る,1375610,,False
思う,動詞,12,1,思う,思う,1589350,,False
タイガー,名詞,12,1,タイガー,タイガー-tiger,2021200,,False
みんな,名詞,12,1,みんな,皆,1202150,,False
クラス,名詞,10,1,クラス,クラス-class,1044070,,False
良い,形容詞,10,1,いい,良い,1605870,,False
親父,名詞,9,1,親父,親父,1365330,,False
もう,副詞,9,1,もう,もう,1012480,,False
これ,代名詞,9,1,これ,此れ,1628530,,False
行く,動詞,8,1,行っ,行く,1578850,,False
その,連体詞,8,1,その,其の,1006830,,False
ダメ,名詞,8,1,ダメ,駄目,1409110,,False
何,代名詞,7,1,何,何,1577100,,False
話,名詞,7,1,話,話,1600900,,False
さん,接尾辞,7,1,さん,さん,1005340,,False
ちゃんと,副詞,7,1,ちゃんと,ちゃんと,1007720,,False
為る,動詞,7,1,する,為る,1157170,,False
あんた,代名詞,6,1,あんた,貴方,1979920,,False
君,接尾辞,6,1,君,君,1247260,,False
そんな,連体詞,6,1,そんな,そんな,1007130,,False
聞く,動詞,6,1,聞け,聞く,1591110,,False
それ,代名詞,5,1,それ,其れ,1006970,,False
待つ,動詞,5,1,待て,待つ,1410590,,False
捨てる,動詞,5,1,捨て,捨てる,1322320,,False
暮らす,動詞,5,1,暮らし,暮らす,1514940,,False
来る,動詞,5,1,き,来る,1547720,,False
ちょっと,副詞,5,1,ちょっと,一寸,1163940,,False
手乗り,名詞,5,1,手乗り,手乗り,2841842,,False
ミスコン,名詞,5,1,ミスコン,ミスコン,1925130,,False
ゆり,名詞,5,1,ゆり,百合,1488160,,False
夏休み,名詞,5,1,夏休み,夏休み,1191420,,False
会う,動詞,5,1,会い,会う,1198180,,False
春田,名詞,5,1,春田,春田,2628230,,False
わけ,名詞,4,1,わけ,訳,1538330,,False
今,名詞,4,1,今,今,1288850,,False
今年,名詞,4,1,今年,今年,1579130,,False
うち,名詞,4,1,うち,内,1191740,,False
出る,動詞,4,1,出,出る,1896380,,False
夏,名詞,4,1,夏,夏,1191320,,False
呉れる,動詞,4,1,くれる,呉れる,1269130,,False
我が,連体詞,4,1,我が,我が,1606620,,False
そう,副詞,4,1,そう,そう,2137720,,False
絶対,名詞,4,1,絶対,絶対,1386840,,False
男,名詞,4,1,男,男,1419990,,False
バカ,名詞,4,1,バカ,馬鹿,1601260,,False
どう,副詞,4,1,どう,どう,1008910,,False
有る,代名詞,4,1,あれ,彼れ,2847612,,False
止める,動詞,4,1,やめろ,止める,1310680,,False
書く,動詞,4,1,書け,書く,1343950,,False
凄い,形容詞,4,1,すっごく,凄い,1374550,,False
父親,名詞,3,1,父親,父親,1497680,,False
Ｃ,名詞,3,1,Ｃ,,2594020,,False
違う,動詞,3,1,違う,違う,1158880,,False
返る,動詞,3,1,帰っ,返る,1512150,,False
超,接頭辞,3,1,超,超,1429340,,False
この,連体詞,3,1,この,此の,1582920,,False
２,名詞,3,1,２,,1461140,,False
見る,動詞,3,1,見,見る,1259290,,False
要る,動詞,3,1,いら,要る,1546640,,False
無視,名詞,3,1,無視,無視,1530020,,False
有る,動詞,3,1,ある,有る,2847612,,False
櫛,名詞,3,1,櫛,櫛,1246490,,False
悪い,形容詞,3,1,悪い,悪い,1151260,,False
洗脳,名詞,3,1,洗脳,洗脳,1391030,,False
夕,名詞,3,1,夕,夕,2834885,,False
女子,名詞,3,1,女子,女子,1345140,,False
展示,名詞,3,1,展示,展示,1440610,,False
居る,動詞,3,1,いる,居る,1577980,,False
意外,形状詞,3,1,意外,意外,1156410,,False
そりゃ,代名詞,3,1,そりゃ,其れ,2134680,,False
変,名詞,3,1,変,変,1510640,,False
可愛い,形容詞,3,1,カワイイ,可愛い,1577200,,False
まあ,副詞,3,1,まあ,まあ,1012050,,False
元気,名詞,3,1,元気,元気,1260720,,False
味方,名詞,3,1,味方,味方,1527070,,False
ヤンキー,名詞,3,1,ヤンキー,ヤンキー-Yankee,1136370,,False
ベーグル,名詞,3,1,ベーグル,ベーグル-bagel,2112790,,False
セリフ,名詞,3,1,セリフ,台詞,1577270,,False
お,接頭辞,3,1,お,御,2826528,,False
あたし,代名詞,3,1,あたし,私,1311125,,False
チャイナ,名詞,2,1,チャイナ,チャイナ-China,1077870,,False
ヤツ,名詞,2,1,ヤツ,奴,1445640,,False
ヤダ,名詞,2,1,ヤダ,ヤダ,2710010,,False
ＵＦＯ,名詞,2,1,ＵＦＯ,ＵＦＯ,1136810,,False
あっち,代名詞,2,1,あっち,彼方,1483185,,False
学校,名詞,2,1,学校,学校,1206730,,False
化身,名詞,2,1,化身,化身,1187150,,False
かわいそう,形状詞,2,1,かわいそう,可哀想,1590740,,False
あいつ,代名詞,2,1,あいつ,彼奴,1483160,,False
ストーカー,名詞,2,1,ストーカー,ストーカー-stalker,1648060,,False
２人,名詞,2,1,２人,二人,1582670,,False
力,名詞,2,1,力,力,1554820,,False
ステキ,形状詞,2,1,ステキ,素敵,1397350,,False
とりあえず,副詞,2,1,とりあえず,取り敢えず,1598980,,False
付き合う,動詞,2,1,つきあっ,付き合う,1597790,,False
合う,動詞,2,1,合っ,合う,1284430,,False
ショー,名詞,2,1,ショー,ショー-show,1062240,,False
馬乗り,名詞,2,1,馬乗り,馬乗り,1674150,,False
再婚,名詞,2,1,再婚,再婚,1292750,,False
分かる,動詞,2,1,分かっ,分かる,1606560,,False
メイド,名詞,2,1,メイド,メード-made,1132580,,False
全員,名詞,2,1,全員,全員,1394840,,False
ボール,名詞,2,1,ボール,ボール-ball,1123550,,False
プロレス,名詞,2,1,プロレス,プロレス-professional wrestling,1118000,,False
イベント,名詞,2,1,イベント,イベント-event,1021680,,False
出来る,動詞,2,1,でき,出来る,1340450,,False
フッ,副詞,2,1,フッ,ふっ,2558020,,False
人,名詞,2,1,人,人,1580640,,False
とにかく,副詞,2,1,とにかく,兎に角,1443990,,False
てめえ,代名詞,2,1,てめえ,てまえ,2076920,,False
先生,名詞,2,1,先生,先生,1387990,,False
やっぱり,副詞,2,1,やっぱり,矢張り,1012810,,False
出す,動詞,2,1,出さ,出す,1338180,,False
叫ぶ,動詞,2,1,叫び,叫ぶ,1235910,,False
頼む,動詞,2,1,頼ん,頼む,1548370,,False
叩く,動詞,2,1,たたい,叩く,1416170,,False
もの,名詞,2,1,もの,物,1502390,,False
電話,名詞,2,1,電話,電話,1443840,,False
もっと,副詞,2,1,もっと,もっと,1012620,,False
古い,形容詞,2,1,古い,古い,1265070,,False
ゴミ,名詞,2,1,ゴミ,塵,1369900,,False
中,接尾辞,2,1,中,中,1620400,,False
コスプレ,名詞,2,1,コスプレ,コスプレ-costume play,1050180,,False
平和,名詞,2,1,平和,平和,1508070,,False
喫茶,名詞,2,1,喫茶,喫茶,1226430,,False
姿,名詞,2,1,姿,姿,1307710,,False
嬉しい,形容詞,2,1,うれしい,嬉しい,1219510,,False
三十路,名詞,2,1,三十路,三十路,1300700,,False
ほう,名詞,2,1,ほう,方,1516930,,False
カネ,名詞,2,1,カネ,金,2742320,,False
大事,形状詞,2,1,大事,大事,1413940,,False
家,名詞,2,1,家,家,1191730,,False
ウッ,名詞,2,1,ウッ,ウッ,2002810,,False
ウキウキ,副詞,2,1,ウキウキ,浮き浮き,1497400,,False
レディース,名詞,2,1,レディース,レディー-lady,1145600,,False
余計,形状詞,2,1,余計,余計,1544090,,False
ライン,名詞,2,1,ライン,ライン-line,1138390,,False
体,名詞,2,1,体,体,1409140,,False
ばか,名詞,2,1,ばか,馬鹿,1601260,,False
悪,名詞,2,1,悪,悪,1151230,,False
役,名詞,2,1,役,役,1537970,,False
持つ,動詞,2,1,もた,持つ,1315720,,False
押し切る,動詞,2,1,押し切ら,押し切る,1180270,,False
押さえる,動詞,2,1,抑え,押さえる,1589080,,False
手下,名詞,2,1,手下,手下,1653500,,False
所詮,副詞,2,1,所詮,所詮,1343300,,False
たち,接尾辞,2,1,たち,達,1416220,,False
