sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
君,接尾辞,42,1,君,君,1247260,,False
こと,名詞,27,1,こと,事,1313580,,False
止める,動詞,19,1,やめる,止める,1310680,,False
私,代名詞,19,1,私,私-代名詞,1311110,,False
言う,動詞,17,1,言っ,言う,1587040,,False
分かる,動詞,14,1,分かり,分かる,1606560,,False
呉れる,動詞,13,1,くれ,呉れる,1269130,,False
大河,名詞,11,1,大河,大河,1581490,,False
ダメ,名詞,11,1,ダメ,駄目,1409110,,False
思う,動詞,11,1,思わ,思う,1589350,,False
もう,副詞,10,1,もう,もう,1012480,,False
成る,動詞,10,1,なっ,成る,1375610,,False
何,代名詞,9,1,何,何,1577100,,False
見る,動詞,8,1,見,見る,2256270,,False
良い,形容詞,8,1,いい,良い,1605870,,False
行く,動詞,7,1,いき,行く,1578850,,False
あれ,代名詞,7,1,あれ,彼れ,1000580,,False
出来る,動詞,7,1,でき,出来る,1340450,,False
来る,動詞,7,1,来,来る,1547720,,False
為る,動詞,7,1,する,為る,1157170,,False
ちゃん,接尾辞,6,1,ちゃん,ちゃん,1007660,,False
有る,動詞,6,1,ありゃ,有る,1296400,,False
お前,代名詞,6,1,お前,御前,1002290,,False
貰う,動詞,6,1,もらっ,貰う,1535910,,False
フン,名詞,6,1,フン,糞,1632520,,False
フタ,名詞,5,1,フタ,蓋,1204540,,False
旨い,形容詞,5,1,うまく,旨い,1310460,,False
心配,名詞,5,1,心配,心配,1360930,,False
大きい,形容詞,5,1,おっきい,大きい,1588880,,False
返る,動詞,5,1,帰る,返る,1512150,,False
こんな,連体詞,5,1,こんな,こんな,1004880,,False
お,接頭辞,5,1,お,御,2826528,,False
俺,代名詞,5,1,俺,俺,1576870,,False
見える,動詞,4,1,見える,見える,1259140,,False
あんな,連体詞,4,1,あんな,あんな,1000590,,False
ヤツ,名詞,4,1,ヤツ,奴,1445640,,False
あいつ,代名詞,4,1,あいつ,彼奴,1483160,,False
みんな,名詞,4,1,みんな,皆,1202150,,False
水,名詞,4,1,水,水,1371260,,False
作る,動詞,4,1,作っ,作る,1597890,,False
ら,接尾辞,4,1,ら,等,2067770,,False
ちょっと,副詞,4,1,ちょっと,一寸,1163940,,False
遊ぶ,動詞,4,1,遊ぼう,遊ぶ,1542160,,False
違う,動詞,4,1,違う,違う,1158880,,False
本当,名詞,4,1,本当,本当,1523060,,False
みたい,形状詞,4,1,みたい,みたい,2016410,,False
寝顔,名詞,4,1,寝顔,寝顔,1360050,,False
無い,形容詞,4,1,なく,無い,1529520,,False
そんな,連体詞,4,1,そんな,そんな,1007130,,False
金髪,名詞,3,1,金髪,金髪,1243150,,False
落ち着く,動詞,3,1,落ち着い,落ち着く,1589220,,False
ぐしゃぐしゃ,形状詞,3,1,ぐしゃぐしゃ,ぐしゃぐしゃ,2097580,,False
こっち,代名詞,3,1,こっち,此方,1004500,,False
ぐれる,動詞,3,1,グレ,ぐれる,1004150,,False
さん,接尾辞,3,1,さん,さん,1005340,,False
この,連体詞,3,1,この,此の,1582920,,False
髪,名詞,3,1,髪,髪,1477950,,False
悪い,形容詞,3,1,悪い,悪い,1151260,,False
結局,名詞,3,1,結局,結局,1254730,,False
考える,動詞,3,1,考え,考える,1281020,,False
自分,名詞,3,1,自分,自分,1318610,,False
その,連体詞,3,1,その,其の,1006830,,False
まる,接頭辞,3,1,まる,丸,1216250,,False
素晴らしい,形容詞,3,1,すばらしく,素晴らしい,1397300,,False
犬,名詞,3,1,犬,犬,1258330,,False
櫛,名詞,3,1,櫛,櫛,1246490,,False
大丈夫,形状詞,3,1,大丈夫,大丈夫,1414150,,False
寝る,動詞,3,1,寝,寝る,1360010,,False
居る,動詞,3,1,いる,居る,1577980,,False
出る,動詞,3,1,出,出る,1896380,,False
変,名詞,3,1,変,変,1510640,,False
やっぱり,副詞,3,1,やっぱり,矢張り,1012810,,False
凄い,形容詞,3,1,すごく,凄い,1374550,,False
全部,名詞,3,1,全部,全部,1396130,,False
先輩,名詞,3,1,先輩,先輩,1388410,,False
付き合う,動詞,3,1,つきあっ,付き合う,1597790,,False
アイス,名詞,3,1,アイス,アイス-ice,1013970,,False
会長,名詞,3,1,会長,会長,1198770,,False
離れる,動詞,3,1,離れ,離れる,1550840,,False
頭,名詞,3,1,頭,頭,1582310,,False
食う,動詞,3,1,食っ,食う,1592100,,False
食べる,動詞,3,1,食べ,食べる,1358280,,False
選挙,名詞,2,1,選挙,選挙,1392190,,False
部活,名詞,2,1,部活,部活,1622100,,False
鮮血,名詞,2,1,鮮血,鮮血,1721150,,False
頂く,動詞,2,1,いただき,頂く,1587290,,False
頑張る,動詞,2,1,頑張ら,頑張る,1217700,,False
ホラー,名詞,2,1,ホラー,ホラー-horror,1122810,,False
ずっと,副詞,2,1,ずっと,ずっと,1006380,,False
それ,代名詞,2,1,それ,其れ,1006970,,False
ちゃんと,副詞,2,1,ちゃんと,ちゃんと,1007720,,False
とき,名詞,2,1,とき,時,1315840,,False
