sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
成る,動詞,19,1,なっ,成る,1375610,,False
こと,名詞,18,1,こと,事,1313580,,False
君,接尾辞,17,1,君,君,1247260,,False
私,代名詞,16,1,私,私-代名詞,1311110,,False
言う,動詞,14,1,言い,言う,1587040,,False
俺,代名詞,13,1,俺,俺,1576870,,False
為る,動詞,12,1,する,為る,1157170,,False
会長,名詞,11,1,会長,会長,1198770,,False
大河,名詞,10,1,大河,タイガ,1581490,,False
分かる,動詞,10,1,分かっ,分かる,1606560,,False
呉れる,動詞,10,1,くれる,呉れる,1269130,,False
ヤツ,名詞,9,1,ヤツ,奴,1445640,,False
お前,代名詞,9,1,お前,御前,1002290,,False
行く,動詞,8,1,行く,行く,1578850,,False
この,連体詞,8,1,この,此の,1582920,,False
止める,動詞,7,1,やめ,止める,1310680,,False
出来る,動詞,7,1,できる,出来る,1340450,,False
思う,動詞,7,1,思っ,思う,1589350,,False
バカ,名詞,6,1,バカ,馬鹿,1601260,,False
好き,形状詞,6,1,好き,好き,1277450,,False
居る,動詞,5,1,いる,居る,1577980,,False
もう,副詞,5,1,もう,もう,1012480,,False
高校,名詞,5,1,高校,高校,1283500,,False
生活,名詞,5,1,生活,生活,1378860,,False
聞く,動詞,5,1,聞い,聞く,1591110,,False
タイガー,名詞,5,1,タイガー,タイガー-tiger,2021200,,False
遣る,動詞,5,1,やれ,遣る,1012980,,False
学校,名詞,5,1,学校,学校,1206730,,False
今,名詞,4,1,今,今,1288850,,False
人,名詞,4,1,人,人,1580640,,False
あなた,代名詞,4,1,あなた,貴方,1223615,,False
あんた,代名詞,4,1,あんた,貴方,1979920,,False
面白い,形容詞,4,1,面白い,面白い,1533580,,False
てめえ,代名詞,4,1,てめえ,てまえ,2076920,,False
話す,動詞,4,1,話せ,話す,1562350,,False
こんな,連体詞,4,1,こんな,こんな,1004880,,False
大丈夫,形状詞,4,1,大丈夫,大丈夫,1414150,,False
本当,名詞,4,1,本当,本当,1523060,,False
来る,動詞,4,1,くる,来る,1547720,,False
告白,名詞,4,1,告白,告白,1286060,,False
手乗り,名詞,4,1,手乗り,手乗り,2841842,,False
見る,動詞,4,1,見,見る,2256270,,False
まだ,副詞,4,1,まだ,未だ,1527110,,False
良い,形容詞,4,1,ぃぃ,良い,1605870,,False
返る,動詞,4,1,帰る,返る,1512150,,False
ちょっと,副詞,3,1,ちょっと,一寸,1163940,,False
みんな,名詞,3,1,みんな,皆,1202150,,False
そんな,連体詞,3,1,そんな,そんな,1007130,,False
あいつ,代名詞,3,1,あいつ,彼奴,1483160,,False
何,代名詞,3,1,何,何,1577100,,False
お,接頭辞,3,1,お,御,2826528,,False
電話,名詞,3,1,電話,電話,1443840,,False
凄い,形容詞,3,1,すげえ,凄い,1374550,,False
当選,名詞,3,1,当選,当選,1449180,,False
恋,名詞,3,1,恋,恋,1558670,,False
仕舞う,動詞,3,1,しまう,仕舞う,1305380,,False
先輩,名詞,3,1,先輩,先輩,1388410,,False
掛ける,動詞,3,1,かけ,掛ける,1207610,,False
望む,動詞,3,1,望ん,望む,1519630,,False
時,名詞,3,1,時,時,2020680,,False
明日,名詞,3,1,明日,明日,1584660,,False
楽しい,形容詞,3,1,楽しい,楽しい,1207240,,False
とき,名詞,2,1,とき,時,1315840,,False
許す,動詞,2,1,許さ,許す,1232870,,False
ちゃんと,副詞,2,1,ちゃんと,ちゃんと,1007720,,False
話,名詞,2,1,話,話,1600900,,False
つもり,名詞,2,1,つもり,積り,1382980,,False
逃げる,動詞,2,1,逃げる,逃げる,1450330,,False
そば,名詞,2,1,そば,側,1403830,,False
さん,接尾辞,2,1,さん,さん,1005340,,False
そう,副詞,2,1,そう,そう,2137720,,False
２人,名詞,2,1,２人,二人,1582670,,False
返事,名詞,2,1,返事,返事,1512220,,False
足,名詞,2,1,足,足,1404630,,False
踏み出す,動詞,2,1,踏み出し,踏み出す,1450170,,False
その,連体詞,2,1,その,其の,1006830,,False
ころ,名詞,2,1,ころ,頃,1579080,,False
たち,接尾辞,2,1,たち,達,1416220,,False
ため,名詞,2,1,ため,為,1157080,,False
自分,名詞,2,1,自分,自分,1318610,,False
臆病,名詞,2,1,臆病,臆病,1182790,,False
来週,名詞,2,1,来週,来週,1548010,,False
気持ち,名詞,2,1,気持ち,気持ち,1591430,,False
現われる,動詞,2,1,現れ,現われる,1263510,,False
決める,動詞,2,1,決める,決める,1254180,,False
留学,名詞,2,1,留学,留学,1552740,,False
答える,動詞,2,1,答え,答える,1449540,,False
どう,副詞,2,1,どう,どう,1008910,,False
ところ,名詞,2,1,ところ,所,1343100,,False
考える,動詞,2,1,考える,考える,1281020,,False
昨日,名詞,2,1,昨日,昨日,1579260,,False
クラス,名詞,2,1,クラス,クラス-class,1044070,,False
アメリカ,名詞,2,1,アメリカ,アメリカ-America,1149830,,False
もっと,副詞,2,1,もっと,もっと,1012620,,False
もん,名詞,2,1,もん,物,1322990,,False
やっぱり,副詞,2,1,やっぱり,矢張り,1012810,,False
教える,動詞,2,1,教え,教える,1236900,,False
学園,名詞,2,1,学園,学園,1206570,,False
悪い,形容詞,2,1,悪かっ,悪い,1151260,,False
ダメ,名詞,2,1,ダメ,駄目,1409110,,False
弱虫,名詞,2,1,弱虫,弱虫,1324840,,False
単純,形状詞,2,1,単純,単純,1417550,,False
台無し,名詞,2,1,台無し,台無し,1412770,,False
上げる,動詞,2,1,あげる,上げる,1352320,,False
出る,動詞,2,1,出,出る,1896380,,False
優しい,形容詞,2,1,優しい,優しい,1539040,,False
入る,動詞,2,1,入っ,入る,1465590,,False
切れる,動詞,2,1,キレ,切れる,1384860,,False
作る,動詞,2,1,作ら,作る,1597890,,False
候補,名詞,2,1,候補,候補,1272730,,False
傷付ける,動詞,2,1,傷つける,傷付ける,1345930,,False
間違う,動詞,2,1,間違っ,間違う,1611610,,False
選挙,名詞,2,1,選挙,選挙,1392190,,False
あれ,代名詞,1,1,あれ,彼れ,1000580,,False
あんな,形状詞,1,1,あんな,あんな,1000590,,False
いちばん,副詞,1,1,いちばん,一番,1165970,,False
いらっしゃる,動詞,1,1,いらっしゃい,いらっしゃる,1000940,,False
いろいろ,副詞,1,1,いろいろ,色々,1587850,,False
いろんな,連体詞,1,1,いろんな,色んな,1609270,,False
いわゆる,連体詞,1,1,いわゆる,所謂,1343150,,False
おやじ,名詞,1,1,おやじ,親父,1365330,,False
かわいそう,形状詞,1,1,かわいそう,可哀想,1590740,,False
きっと,副詞,1,1,きっと,急度,1003430,,False
ことし,名詞,1,1,ことし,今年,1579130,,False
野郎,名詞,1,1,野郎,野郎,1537700,,False
間,名詞,1,1,間,間,1215230,,False
間違い,名詞,1,1,間違い,間違い,1215320,,False
離,名詞,1,1,離,離れ,2232330,,False
電柱,名詞,1,1,電柱,電柱,1443630,,False
面倒,名詞,1,1,面倒,面倒,1533550,,False
預かる,動詞,1,1,あずかり,預かる,1544970,,False
預ける,動詞,1,1,預け,預ける,1544990,,False
頭,名詞,1,1,頭,頭,1582310,,False
顔,名詞,1,1,顔,顔,1217730,,False
風邪,名詞,1,1,風邪,風邪,1583720,,False
以外,名詞,1,1,以外,以外,1155090,,False
以来,名詞,1,1,以来,以来,1155210,,False
仲よく,副詞,1,1,仲よく,仲良く,1426090,,False
仲良く,副詞,1,1,仲良く,仲良く,1426090,,False
作戦,名詞,1,1,作戦,作戦,1297800,,False
信ずる,動詞,1,1,信じ,信ずる,1359070,,False
停学,名詞,1,1,停学,停学,1434910,,False
傷付く,動詞,1,1,傷つく,傷付く,1591240,,False
先生,名詞,1,1,先生,先生,1387990,,False
児,接尾辞,1,1,児,児,1315010,,False
入学,名詞,1,1,入学,入学,1465850,,False
全部,名詞,1,1,全部,全部,1396130,,False
公約,名詞,1,1,公約,公約,1274880,,False
公言,名詞,1,1,公言,公言,1273640,,False
凹む,動詞,1,1,へこん,凹む,1179200,,False
出す,動詞,1,1,出し,出す,1338180,,False
分,名詞,1,1,分,分,1502840,,False
別,名詞,1,1,別,別,1509430,,False
レベル,名詞,1,1,レベル,レベル-level,1145910,,False
一日,名詞,1,1,一日,一日,1576260,,False
上,接尾辞,1,1,上,上,1352170,,False
上がる,動詞,1,1,上がっ,上がる,1352290,,False
下さる,動詞,1,1,ください,下さる,1184280,,False
乗り取る,動詞,1,1,乗っ取り,乗り取る,1354930,,False
事務,名詞,1,1,事務,事務,1314270,,False
今,接頭辞,1,1,今,今,1288850,,False
今日,名詞,1,1,今日,今日,1579110,,False
仕事,名詞,1,1,仕事,仕事,1304970,,False
以上,名詞,1,1,以上,以上,1155120,,False
前,名詞,1,1,前,前,1392580,,False
北,名詞,1,1,北,北,1520670,,False
卑怯,名詞,1,1,卑怯,卑怯,1482710,,False
協力,名詞,1,1,協力,協力,1591720,,False
友達,名詞,1,1,友達,友達,1540170,,False
収める,動詞,1,1,収める,収める,1589090,,False
受け入れる,動詞,1,1,受け入れ,受け入れる,1329670,,False
名,名詞,1,1,名,名,1531330,,False
向き合う,動詞,1,1,向き合う,向き合う,1277060,,False
向こう,名詞,1,1,向こう,向こう,1277140,,False
困る,動詞,1,1,困る,困る,1289590,,False
地味,形状詞,1,1,地味,地味,1421490,,False
地獄,名詞,1,1,地獄,地獄,1421090,,False
執り行なう,動詞,1,1,執り行い,執り行なう,1319610,,False
壊す,動詞,1,1,壊し,壊す,1199890,,False
声,名詞,1,1,声,声,1380440,,False
大学,名詞,1,1,大学,大学,1413240,,False
始まる,動詞,1,1,始まっ,始まる,1307500,,False
嫌い,名詞,1,1,嫌い,嫌い,1257240,,False
存知,名詞,1,1,存知,存知,2258150,,False
学ぶ,動詞,1,1,学ん,学ぶ,1206530,,False
宣言,名詞,1,1,宣言,宣言,1389680,,False
室,接尾辞,1,1,室,室,1320300,,False
容赦,名詞,1,1,容赦,容赦,1545410,,False
導く,動詞,1,1,導い,導く,1453680,,False
届,名詞,1,1,届,届け,1598810,,False
届く,動詞,1,1,届い,届く,1457200,,False
届け,名詞,1,1,届け,届け,1598810,,False
届け出,名詞,1,1,届け出,届け出,1457240,,False
年,名詞,1,1,年,年,2084840,,False
座,名詞,1,1,座,座,1291770,,False
張り切る,動詞,1,1,張り切っ,張り切る,1427870,,False
彼女,代名詞,1,1,彼女,彼女,1483150,,False
待つ,動詞,1,1,待っ,待つ,1410590,,False
後,接尾辞,1,1,後,後,2147630,,False
サボ,名詞,1,1,サボ,サボ,1057570,,False
スッキリ,副詞,1,1,スッキリ,すっきり,1006120,,False
スミレ,名詞,1,1,スミレ,菫,2066600,,False
スーパースター,名詞,1,1,スーパースター,スーパースター-superstar,1066810,,False
ゼロ,名詞,1,1,ゼロ,ゼロ-zero,2839962,,False
チラシ,名詞,1,1,チラシ,散らし,1303440,,False
フラフラ,副詞,1,1,フラフラ,ふらふら,1011060,,False
ホイホイ,副詞,1,1,ホイホイ,ほいほい,2426680,,False
ボコボコ,形状詞,1,1,ボコボコ,ぼこぼこ,1983930,,False
ポスター,名詞,1,1,ポスター,ポスター-poster,1125110,,False
マシ,形状詞,1,1,マシ,増し,1611600,,False
ムダ,名詞,1,1,ムダ,無駄,1530510,,False
モルグ,名詞,1,1,モルグ,モルグ-morgue,1135920,,False
得る,動詞,1,1,得,得る,1588760,,False
心,名詞,1,1,心,心,1360480,,False
心配,名詞,1,1,心配,心配,1360930,,False
忙しい,形容詞,1,1,忙しかっ,忙しい,1519290,,False
忙殺,名詞,1,1,忙殺,忙殺,1603655,,False
怖い,形容詞,1,1,怖い,怖い,1593480,,False
急ぎ,名詞,1,1,急ぎ,急ぎ,1228630,,False
意味,名詞,1,1,意味,意味,1156800,,False
意固地,名詞,1,1,意固地,依怙地,1156550,,False
戻る,動詞,1,1,戻ろ,戻る,1535880,,False
所,名詞,1,1,所,所,1343100,,False
手,名詞,1,1,手,手,1327190,,False
手紙,名詞,1,1,手紙,手紙,1327720,,False
投票,名詞,1,1,投票,投票,1447320,,False
招く,動詞,1,1,招か,招く,1349590,,False
拾う,動詞,1,1,拾っ,拾う,1332570,,False
振る,動詞,1,1,フラ,振る,1361330,,False
捲る,動詞,1,1,まくっ,捲る,1257800,,False
掴む,動詞,1,1,つかん,掴む,1433650,,False
放り出す,動詞,1,1,放り出す,放り出す,1516510,,False
