sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
私,代名詞,27,1,私,私-代名詞,1311110,,False
タイガー,名詞,24,1,タイガー,タイガー-Tiger,2021200,,False
ちゃん,接尾辞,18,1,ちゃん,ちゃん,1007660,,False
こと,名詞,17,1,こと,事,1313580,,False
クリスマス,名詞,14,1,クリスマス,クリスマス-Christmas,1044830,,False
為る,動詞,13,1,する,為る,1157170,,False
俺,代名詞,13,1,俺,俺,1576870,,False
成る,動詞,12,1,なっ,成る,2846738,,False
来る,動詞,11,1,来,来る,1547720,,False
見る,動詞,10,1,見,見る,2256270,,False
パーティー,名詞,10,1,パーティー,パーティー-party,1100760,,False
違う,動詞,10,1,ちがう,違う,1158880,,False
そんな,連体詞,10,1,そんな,そんな,1007130,,False
行く,動詞,10,1,いっ,行く,1578850,,False
みんな,名詞,9,1,みんな,皆,1202150,,False
この,連体詞,9,1,この,此の,1582920,,False
分かる,動詞,9,1,分かっ,分かる,1606560,,False
言う,動詞,8,1,言っ,言う,1587040,,False
君,接尾辞,8,1,君,君,1247260,,False
大河,名詞,8,1,大河,大河,1581490,,False
思う,動詞,8,1,思っ,思う,1589350,,False
呉れる,動詞,8,1,くれる,呉れる,1269130,,False
誘う,動詞,8,1,誘い,誘う,1541900,,False
好き,形状詞,7,1,好き,好き,1277450,,False
櫛,名詞,7,1,櫛,櫛,1246490,,False
お,接頭辞,7,1,お,御,2826528,,False
絶対,名詞,7,1,絶対,絶対,1386840,,False
お前,代名詞,7,1,お前,御前,1002290,,False
あんた,代名詞,7,1,あんた,貴方,1979920,,False
サンタ,名詞,7,1,サンタ,セント-saint,2551780,,False
さん,接尾辞,7,1,さん,さん,1005340,,False
凄い,形容詞,6,1,すごい,凄い,1374550,,False
上げる,動詞,6,1,あげる,上げる,1352320,,False
待つ,動詞,6,1,待っ,待つ,1410590,,False
実る,動詞,6,1,みのり,実る,1320850,,False
遣る,動詞,6,1,やれ,遣る,1012980,,False
イヴ,名詞,6,1,イヴ,イブ-eve,1021640,,False
今,名詞,6,1,今,今,1288850,,False
もう,副詞,5,1,もう,もう,1012480,,False
みの,名詞,5,1,みの,蓑,1634010 | 2845080,,True
インコ,名詞,5,1,インコ,鸚哥,1575160,,False
枝,名詞,5,1,枝,枝,1310530,,False
りん,接尾辞,5,1,りん,りん,1555420 | 1555530 | 1555700 | 1557580 | 1564320 | 2844215,,True
恋,名詞,5,1,恋,恋,1558670,,False
ちょっと,副詞,5,1,ちょっと,一寸,1163940,,False
竜,名詞,5,1,竜,竜,1629170,,False
兄貴,名詞,5,1,兄貴,兄貴,1249930,,False
勉強,名詞,5,1,勉強,勉強,1512670,,False
一緒,名詞,5,1,一緒,一緒,1163400,,False
天使,名詞,5,1,天使,天使,1439170,,False
今日,名詞,5,1,今日,今日,1579110,,False
どう,副詞,4,1,どう,どう,1008910,,False
これ,代名詞,4,1,これ,此れ,1628530,,False
いかが,形状詞,4,1,いかが,如何,2845606,,False
無理,名詞,4,1,無理,無理,1530970,,False
彼,代名詞,4,1,彼,彼,1483070,,False
告白,名詞,4,1,告白,告白,1286060,,False
何,代名詞,4,1,何,何,1577100,,False
ブリ,名詞,4,1,ブリ,鰤,1574980,,False
有る,動詞,4,1,あり,有る,1296400,,False
春田,名詞,4,1,春田,ハルタ,2628230,,False
やっぱり,副詞,4,1,やっぱり,矢張り,1012810,,False
機会,名詞,4,1,機会,機会,1220800,,False
止める,動詞,4,1,やめ,止める,1310680,,False
そこ,代名詞,4,1,そこ,其処,1006670,,False
見える,動詞,4,1,見え,見える,1259140,,False
平気,名詞,3,1,平気,平気,1507180,,False
居る,動詞,3,1,いる,居る,1577980,,False
応援,名詞,3,1,応援,応援,1179840,,False
ウソ,名詞,3,1,ウソ,嘘,1172400,,False
可愛い,形容詞,3,1,かわいく,可愛い,1577200,,False
エンジェル,名詞,3,1,エンジェル,エンジェル-angel,1031010,,False
持つ,動詞,3,1,持っ,持つ,1315720,,False
話,名詞,3,1,話,話,1600900,,False
良い,形容詞,3,1,よく,良い,1605870,,False
試合,名詞,3,1,試合,試合,1312420,,False
いちばん,副詞,3,1,いちばん,一番,1165970,,False
あと,名詞,3,1,あと,後,1269320,,False
ここ,代名詞,3,1,ここ,此処,1288810,,False
もちろん,副詞,3,1,もちろん,勿論,1535780,,False
前,名詞,3,1,前,前,1392580,,False
Ｙ,名詞,3,1,Ｙ,,2594220,,True
隣,名詞,3,1,隣,隣り,1555830,,False
食う,動詞,3,1,食う,食う,1592100,,False
あれ,代名詞,3,1,あれ,彼れ,1000580,,False
マジ,形状詞,3,1,マジ,まじ,1127680,,False
停学,名詞,3,1,停学,停学,1434910,,False
任せる,動詞,3,1,任せ,任せる,1467150,,False
実る,名詞,3,1,みのり,実り,1320840,,False
失恋,名詞,3,1,失恋,失恋,1320250,,False
委員,名詞,3,1,委員,委員,1156100,,False
学校,名詞,3,1,学校,学校,1206730,,False
変,名詞,3,1,変,変,1510640,,False
準備,名詞,3,1,準備,準備,1341670,,False
気付く,動詞,3,1,気づか,気付く,1591330,,False
決まる,動詞,3,1,決まっ,決まる,1591420,,False
ほんと,名詞,3,1,ほんと,本当,1523060,,False
様,接尾辞,3,1,様,様,1545790,,False
楽しい,形容詞,3,1,楽しい,楽しい,1207240,,False
盛り上げる,動詞,3,1,盛り上げよう,盛り上げる,1379700,,False
為さる,動詞,3,1,なさい,為さる,1157090,,False
しばらく,副詞,2,1,しばらく,暫く,1304420,,False
ごめん,名詞,2,1,ごめん,御免,1270670,,False
こんな,連体詞,2,1,こんな,こんな,1004880,,False
超,接頭辞,2,1,超,超,1429340,,False
高い,形容詞,2,1,高かっ,高い,1283190,,False
ずっと,副詞,2,1,ずっと,ずっと,1006380,,False
驚く,動詞,2,1,驚く,驚く,1238680,,False
部活,名詞,2,1,部活,部活,1622100,,False
そろそろ,副詞,2,1,そろそろ,そろそろ,1345605,,False
せっかく,副詞,2,1,せっかく,折角,1596090,,False
そ,副詞,2,1,そ,そう,2754880,,False
裸,名詞,2,1,裸,裸,1547600,,False
目,名詞,2,1,目,目,1604890,,False
相手,名詞,2,1,相手,相手,1401000,,False
立つ,動詞,2,1,立っ,立つ,1597040,,False
ちゃんと,副詞,2,1,ちゃんと,ちゃんと,1007720,,False
聞く,動詞,2,1,きき,聞く,1591110,,False
聞こえる,動詞,2,1,聞こえ,聞こえる,1591150,,False
どこ,代名詞,2,1,どこ,何処,1577140,,False
つまり,副詞,2,1,つまり,詰まり,1610430,,False
職業,名詞,2,1,職業,職業,1357510,,False
腿,名詞,2,1,腿,腿,1605310,,False
貰う,動詞,2,1,もらう,貰う,1535910,,False
たち,接尾辞,2,1,たち,達,1416220,,False
早い,形容詞,2,1,早く,早い,1404975,,False
放送,名詞,2,1,放送,放送,1516750,,False
朝,名詞,2,1,朝,朝,1428280,,False
戻る,動詞,2,1,戻っ,戻る,1535880,,False
死ぬ,動詞,2,1,死ぬ,死ぬ,1310730,,False
死亡,名詞,2,1,死亡,死亡,1310950,,False
はず,名詞,2,1,はず,筈,1476430,,False
なに,代名詞,2,1,なに,何,1577100,,False
ひとり,名詞,2,1,ひとり,一人,1576150,,False
温かい,形容詞,2,1,あったかい,温かい,1586420,,False
浸る,動詞,2,1,浸っ,浸る,1362570,,False
まま,名詞,2,1,まま,侭,1585410,,False
正直,副詞,2,1,正直,正直,1377590,,False
楽しみ,名詞,2,1,楽しみ,楽しみ,1207250,,False
