sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
私,代名詞,21,1,私,私-代名詞,1311110,,False
行く,動詞,18,1,行く,行く,1578850,,False
君,接尾辞,17,1,君,君,1247260,,False
こと,名詞,13,1,こと,事,1313580,,False
ちょっと,副詞,12,1,ちょっと,一寸,1163940,,False
成る,動詞,12,1,なっ,成る,2846738,,False
凄い,形容詞,12,1,すっごく,凄い,1374550,,False
見る,動詞,11,1,見,見る,2256270,,False
何,代名詞,11,1,何,何,1577100,,False
言う,動詞,10,1,言っ,言う,1587040,,False
思う,動詞,10,1,思っ,思う,1589350,,False
パーティー,名詞,10,1,パーティー,パーティー-party,1100760,,False
遣る,動詞,10,1,やっ,遣る,1012980,,False
来る,動詞,9,1,来,来る,1547720,,False
居る,動詞,9,1,いん,居る,1577980,,False
大河,名詞,9,1,大河,大河,1581490,,False
クリスマス,名詞,9,1,クリスマス,クリスマス-Christmas,1044830,,False
分かる,動詞,9,1,分から,分かる,1606560,,False
お前,代名詞,9,1,お前,御前,1002290,,False
良い,形容詞,8,1,いい,良い,1605870,,False
これ,代名詞,8,1,これ,此れ,1628530,,False
サンタ,名詞,8,1,サンタ,セント-saint,2551780,,False
手伝う,動詞,8,1,手伝っ,手伝う,1328190,,False
俺,代名詞,8,1,俺,俺,1576870,,False
有る,動詞,7,1,ある,有る,1296400,,False
春田,名詞,7,1,春田,ハルタ,2628230,,False
みんな,名詞,7,1,みんな,皆,1202150,,False
その,連体詞,6,1,その,其の,1006830,,False
為る,動詞,6,1,しよ,為る,1157170,,False
自分,名詞,6,1,自分,自分,1318610,,False
あんた,代名詞,6,1,あんた,貴方,1979920,,False
呉れる,動詞,6,1,くれれ,呉れる,1269130,,False
さん,接尾辞,5,1,さん,さん,1005340,,False
そう,形状詞,5,1,そう,そう-様態,2249280,,False
そんな,連体詞,5,1,そんな,そんな,1007130,,False
悪い,形容詞,5,1,悪い,悪い,1151260,,False
待つ,動詞,5,1,待て,待つ,1410590,,False
信ずる,動詞,5,1,信じ,信ずる,1359070,,False
全部,名詞,5,1,全部,全部,1396130,,False
大事,形状詞,5,1,大事,大事,1413940,,False
実る,名詞,5,1,みのり,実り,1320840,,False
今,名詞,5,1,今,今,1288850,,False
もう,副詞,5,1,もう,もう,1012480,,False
持つ,動詞,5,1,持つ,持つ,1315720,,False
タイガー,名詞,5,1,タイガー,タイガー-tiger,2021200,,False
気,名詞,4,1,気,気,1221520,,False
用事,名詞,4,1,用事,用事,1546300,,False
楽しい,形容詞,4,1,楽しく,楽しい,1207240,,False
最近,名詞,4,1,最近,最近,1293780,,False
櫛,名詞,4,1,櫛,櫛,1246490,,False
ウソ,名詞,4,1,ウソ,嘘,1172400,,False
直る,動詞,4,1,直る,直る,2846390,,False
絶対,名詞,4,1,絶対,絶対,1386840,,False
キレイ,形状詞,4,1,キレイ,奇麗,1591900,,False
ちゃんと,副詞,4,1,ちゃんと,ちゃんと,1007720,,False
止める,動詞,4,1,やめ,止める,1310680,,False
明日,名詞,4,1,明日,明日,1584660,,False
役,名詞,4,1,役,役,1537970,,False
実る,動詞,4,1,みのり,実る,1320850,,False
こんな,連体詞,4,1,こんな,こんな,1004880,,False
ごめん,名詞,4,1,ごめん,御免,1270670,,False
ちゃん,接尾辞,4,1,ちゃん,ちゃん,1007660,,False
報う,動詞,4,1,報わ,報う,2005410,,False
夢,名詞,4,1,夢,夢,1529410,,False
この,連体詞,3,1,この,此の,1582920,,False
貰う,動詞,3,1,もらっ,貰う,1535910,,False
責任,名詞,3,1,責任,責任,1383180,,False
話,名詞,3,1,話,話,1600900,,False
荷物,名詞,3,1,荷物,荷物,1195430,,False
あたし,代名詞,3,1,あたし,私,1311125,,False
出す,動詞,3,1,出す,出す,1338180,,False
子,名詞,3,1,子,子,1307770,,False
女,名詞,3,1,女,女,1344930,,False
好き,形状詞,3,1,好き,好き,1277450,,False
パパ,名詞,3,1,パパ,パパ-papa,1102140,,False
