sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
クリスマス,名詞,16,1,クリスマス,クリスマス-Christmas,1044830,,False
言う,動詞,14,1,いう,言う,1587040,,False
パーティー,名詞,13,1,パーティー,パーティー-party,1100760,,False
良い,形容詞,12,1,よかっ,良い,1605870,,False
来る,動詞,12,1,来い,来る,1547720,,False
ナイト,名詞,12,1,ナイト,ナイト-night,2850376,,False
ホーリー,名詞,12,1,ホーリー,ホーリー-holy,2265180,,False
私,代名詞,11,1,私,私-代名詞,1311110,,False
こと,名詞,10,1,こと,事,1313580,,False
見る,動詞,10,1,みる,見る,2256270,,False
行く,動詞,10,1,行く,行く,1578850,,False
ちゃん,接尾辞,10,1,ちゃん,ちゃん,1007660,,False
サンタ,名詞,9,1,サンタ,セント-saint,2551780,,False
ちょっと,副詞,9,1,ちょっと,一寸,1163940,,False
もう,副詞,9,1,もう,もう,1012480,,False
いっぱい,名詞,8,1,いっぱい,一杯,1165670,,False
君,代名詞,8,1,君,君-代名詞,1247250,,False
俺,代名詞,8,1,俺,俺,1576870,,False
成る,動詞,8,1,なん,成る,2846738,,False
先生,名詞,7,1,先生,先生,1387990,,False
それ,代名詞,7,1,それ,其れ,1006970,,False
みんな,名詞,7,1,みんな,皆,1202150,,False
今年,名詞,6,1,今年,今年,1579130,,False
笑顔,名詞,6,1,笑顔,笑顔,1351400,,False
タイガー,名詞,6,1,タイガー,タイガー-tiger,2021200,,False
居る,動詞,6,1,いる,居る,1577980,,False
きっと,副詞,6,1,きっと,急度,1003430,,False
凄い,形容詞,6,1,すっごく,凄い,1374550,,False
これ,代名詞,6,1,これ,此れ,1628530,,False
返る,動詞,5,1,帰っ,返る,1512150,,False
こんな,連体詞,5,1,こんな,こんな,1004880,,False
お前,代名詞,5,1,お前,御前,1002290,,False
あんた,代名詞,5,1,あんた,貴方,1979920,,False
さん,接尾辞,5,1,さん,さん,1005340,,False
何,代名詞,5,1,何,何,1577100,,False
大河,名詞,5,1,大河,大河,1581490,,False
思う,動詞,5,1,思い,思う,1589350,,False
櫛,名詞,5,1,櫛,櫛,1246490,,False
バカ,名詞,5,1,バカ,馬鹿,1601260,,False
開ける,動詞,4,1,開け,開ける,1202450,,False
可愛い,形容詞,4,1,カワイイ,可愛い,1577200,,False
待つ,動詞,4,1,待っ,待つ,1410590,,False
誓う,動詞,4,1,誓う,誓う,1381210,,False
実る,動詞,4,1,みのり,実る,1320850,,False
みの,名詞,4,1,みの,蓑,1634010 | 2845080,,True
そう,形状詞,4,1,そう,そう-様態,2249280,,False
夢,名詞,4,1,夢,夢,1529410,,False
届ける,動詞,4,1,届け,届ける,1457210,,False
そんな,連体詞,4,1,そんな,そんな,1007130,,False
君,接尾辞,4,1,君,君,1247250,,False
願い,名詞,4,1,願い,願い,1217900,,False
ニワトリ,名詞,3,1,ニワトリ,鶏,1252990,,False
パンチ,名詞,3,1,パンチ,パンチ-punch,1103220,,False
返す,動詞,3,1,返せ,返す,1512130,,False
ごめん,名詞,3,1,ごめん,御免,1270670,,False
あいつ,代名詞,3,1,あいつ,彼奴,1483160,,False
２人,名詞,3,1,２人,二人,1582670,,False
１人,名詞,3,1,１人,一人,1576150,,False
ウソ,名詞,3,1,ウソ,嘘,1172400,,False
ツリー,名詞,3,1,ツリー,ツリー-tree,1078490,,False
デート,名詞,3,1,デート,デート-date,1081430,,False
楽しい,形容詞,3,1,楽しい,楽しい,1207240,,False
為る,動詞,3,1,する,為る,1157170,,False
イン,名詞,3,1,イン,イン-in,1022130 | 2841504,,True
有る,動詞,3,1,あり,有る,2150170,,False
様,接尾辞,3,1,様,様,1545790,,False
為さる,動詞,3,1,なさい,為さる,1157090,,False
竜,名詞,3,1,竜,竜,1629170,,False
りん,接尾辞,3,1,りん,りん,1555420 | 1555530 | 1555700 | 1557580 | 1564320 | 2844215,,True
イルミネーション,名詞,3,1,イルミネーション,イルミネーション-illumination,1022050,,False
枝,名詞,3,1,枝,枝,1310530,,False
着る,動詞,3,1,着,着る,1423000,,False
どーん,副詞,3,1,どーん,どーん,2749700,,False
つまり,副詞,3,1,つまり,詰まり,1610430,,False
縋る,動詞,3,1,すがら,縋る,1610010,,False
練習,名詞,3,1,練習,練習,1559160,,False
絶対,名詞,3,1,絶対,絶対,1386840,,False
そう,副詞,3,1,そう,そう,2249280,,False
覚悟,名詞,3,1,覚悟,覚悟,1206080,,False
イヴ,名詞,3,1,イヴ,イブ-eve,1021640,,False
エロい,形容詞,3,1,エロい,エロい,2025570,,False
分かる,動詞,3,1,分かる,分かる,1606560,,False
ターキー,名詞,3,1,ターキー,ターキー-turkey,2071650,,False
スーツ,名詞,3,1,スーツ,スーツ-suit,1066680,,False
エロ,名詞,3,1,エロ,エロ-erotic,1030660,,False
フルーツ,名詞,3,1,フルーツ,フルーツ-fruit,1112040,,False
今夜,名詞,3,1,今夜,今夜,1289520,,False
実る,名詞,3,1,みのり,実り,1320840,,False
幸せ,名詞,3,1,幸せ,幸せ,1594060,,False
こっち,代名詞,2,1,こっち,此方,1004500,,False
ご,接頭辞,2,1,ご,御,1270190,,False
あっち,代名詞,2,1,あっち,彼方,1483185,,False
ＵＦＯ,名詞,2,1,ＵＦＯ,ＵＦＯ,1136810,,False
ずっと,副詞,2,1,ずっと,ずっと,1006380,,False
貰う,動詞,2,1,もらっ,貰う,1535910,,False
せっかく,副詞,2,1,せっかく,折角,1596090,,False
自分,名詞,2,1,自分,自分,1318610,,False
脱ぐ,動詞,2,1,脱い,脱ぐ,1416400,,False
どう,副詞,2,1,どう,どう,1008910,,False
窓,名詞,2,1,窓,窓,1401400,,False
くし,名詞,2,1,くし,櫛,1246490,,False
親父,名詞,2,1,親父,親父,1365330,,False
見える,動詞,2,1,見え,見える,1259140,,False
用意,名詞,2,1,用意,用意,1546220,,False
知る,動詞,2,1,知っ,知る,1420470,,False
物件,名詞,2,1,物件,物件,1502460,,False
特別,形状詞,2,1,特別,特別,1455280,,False
本当,名詞,2,1,本当,本当,1523060,,False
枝,接尾辞,2,1,枝,枝,1310530,,False
まだ,副詞,2,1,まだ,未だ,1527110,,False
現実,名詞,2,1,現実,現実,1263710,,False
幽霊,名詞,2,1,幽霊,幽霊,1540590,,False
もちろん,副詞,2,1,もちろん,勿論,1535780,,False
やっぱ,副詞,2,1,やっぱ,矢張り,2772780,,False
やっと,副詞,2,1,やっと,漸と,1012800,,False
イヤ,形状詞,2,1,イヤ,嫌,1587610,,False
明日,名詞,2,1,明日,明日,1584660,,False
星屑,名詞,2,1,星屑,星屑,1376350,,False
忠告,名詞,2,1,忠告,忠告,1426140,,False
格好,名詞,2,1,格好,格好,1590480,,False
歩く,動詞,2,1,歩く,歩く,1514320,,False
オシャレ,名詞,2,1,オシャレ,御洒落,1002770,,False
取る,動詞,2,1,取っ,取る,1326980,,False
受け取る,動詞,2,1,受け取っ,受け取る,1329650,,False
エンジェル,名詞,2,1,エンジェル,エンジェル-angel,1031010,,False
ウッ,名詞,2,1,ウッ,ウッ,2002810,,False
ウシ,名詞,2,1,ウシ,牛,1231490,,False
借りる,動詞,2,1,借り,借りる,1323560,,False
サイズ,名詞,2,1,サイズ,サイズ-size,1055780,,False
ステキ,形状詞,2,1,ステキ,素敵,1397350,,False
トリ,名詞,2,1,トリ,鳥,1430250,,False
今日,名詞,2,1,今日,今日,1579110,,False
フッ,副詞,2,1,フッ,ふっ,2558020,,False
下さる,動詞,2,1,ください,下さる,1184280,,False
上げる,動詞,2,1,あげる,上げる,1352320,,False
頃,名詞,2,1,頃,頃,1579080,,False
魔法,名詞,2,1,魔法,魔法,1524230,,False
ヤツ,名詞,2,1,ヤツ,奴,1445640,,False
プレゼント,名詞,2,1,プレゼント,プレゼント-present,1116840,,False
いろいろ,副詞,2,1,いろいろ,色々,1587850,,False
お,接頭辞,2,1,お,御,2089690,,False
いつ,代名詞,2,1,いつ,何時,1188760,,False
いったい,副詞,2,1,いったい,一体,1164510,,False
あげく,名詞,1,1,あげく,挙げ句,1586290,,False
あまり,形状詞,1,1,あまり,余り,1584930,,False
あみ,名詞,1,1,あみ,網,1534380,,False
あんまり,副詞,1,1,あんまり,余り,1584930,,False
いきなり,副詞,1,1,いきなり,行成,1006970,,False
おやじ,名詞,1,1,おやじ,親父,1365330,,False
かおる,名詞,1,1,かおる,カオル,1589830,,False
きらめく,動詞,1,1,きらめい,きらめく,1591740,,False
すみっこ,名詞,1,1,すみっこ,隅っこ,2526150,,False
すっかり,副詞,1,1,すっかり,すっかり,1006110,,False
さらし,名詞,1,1,さらし,晒し,1593900,,False
さすが,副詞,1,1,さすが,流石,1552390,,False
この,連体詞,1,1,この,此の,1582920,,False
ここ,代名詞,1,1,ここ,此処,1288810,,False
こ,接頭辞,1,1,こ,小,1307770,,False
話す,動詞,1,1,話し,話す,1562350,,False
触る,動詞,1,1,触っ,触る,1357980,,False
親友,名詞,1,1,親友,親友,1365410,,False
覚える,動詞,1,1,覚え,覚える,1206050,,False
見付ける,動詞,1,1,見つけ,見付ける,1604570,,False
見上げる,動詞,1,1,みあげ,見上げる,1259740,,False
褒める,動詞,1,1,ほめ,褒める,1603550,,False
裸体,名詞,1,1,裸体,裸体,1547670,,False
裏地,名詞,1,1,裏地,裏地,1550450,,False
万一,名詞,1,1,万一,万一,1525780,,False
フン,名詞,1,1,フン,フン-外国,1632520,,False
ピー,名詞,1,1,ピー,ピー,2594130,,False
ピカピカ,副詞,1,1,ピカピカ,ぴかぴか,1010830,,False
パパ,名詞,1,1,パパ,パパ-papa,1102140,,False
ハッピー,形状詞,1,1,ハッピー,ハッピー-happy,1096010,,False
トラブル,名詞,1,1,トラブル,トラブル-trouble,1085920,,False
テンション,名詞,1,1,テンション,テンション-tension,1080970,,False
一部,名詞,1,1,一部,一部,1166180,,False
一緒,名詞,1,1,一緒,一緒,1163400,,False
ワンピ,名詞,1,1,ワンピ,ワンピ-one-piece,2725040,,False
ロンリー,形状詞,1,1,ロンリー,ロンリー-lonely,2841162,,False
ユラユラ,副詞,1,1,ユラユラ,ゆらゆら,1013080,,False
メン,名詞,1,1,メン,,2815510,,False
ムラムラ,名詞,1,1,ムラムラ,村々,1632710,,False
ムダ,名詞,1,1,ムダ,無駄,1530510,,False
作業,名詞,1,1,作業,作業,1297540,,False
何々,代名詞,1,1,何々,何々,1599580,,False
住宅,名詞,1,1,住宅,住宅,1334150,,False
似合う,動詞,1,1,似合う,似合う,1314680,,False
会う,動詞,1,1,会える,会う,1198180,,False
企画,名詞,1,1,企画,企画,1218150,,False
