sequence,pos,frequency,length,tokens,base_forms,ent_seq,base_form,skipped
私,代名詞,27,1,私,私-代名詞,1311110,,False
あんた,代名詞,27,1,あんた,貴方,1979920,,False
俺,代名詞,22,1,俺,俺,1576870,,False
お前,代名詞,21,1,お前,御前,1002290,,False
こと,名詞,20,1,こと,事,1313580,,False
言う,動詞,19,1,言っ,言う,1587040,,False
為る,動詞,19,1,する,為る,1157170,,False
良い,形容詞,17,1,いい,良い,1605870,,False
何,代名詞,17,1,何,何,1577100,,False
大河,名詞,17,1,大河,大河,1581490,,False
君,接尾辞,14,1,君,君,1247260,,False
ちょっと,副詞,11,1,ちょっと,一寸,1163940,,False
もう,副詞,11,1,もう,もう,1012480,,False
ちゃん,接尾辞,10,1,ちゃん,ちゃん,1007660,,False
チョコ,名詞,10,1,チョコ,チョコ-chocolate,1078260,,False
ヤダ,名詞,9,1,ヤダ,ヤダ,2710010,,False
成る,動詞,9,1,なっ,成る,2846738,,False
来る,動詞,9,1,来,来る,1547720,,False
そんな,連体詞,9,1,そんな,そんな,1007130,,False
見る,動詞,8,1,みよう,見る,2256270,,False
ひと言,名詞,7,1,ひと言,一言,1575990,,False
みんな,名詞,7,1,みんな,皆,1202150,,False
有る,動詞,7,1,あり,有る,2150170,,False
思う,動詞,7,1,思っ,思う,1589350,,False
気,名詞,7,1,気,気,1221520,,False
あたし,代名詞,6,1,あたし,私,1311125,,False
どう,副詞,6,1,どう,どう,1008910,,False
行く,動詞,6,1,行く,行く,1578850,,False
返る,動詞,6,1,帰る,返る,1512150,,False
これ,代名詞,6,1,これ,此れ,1628530,,False
買う,動詞,6,1,買っ,買う,1473740,,False
さん,接尾辞,6,1,さん,さん,1005340,,False
学校,名詞,6,1,学校,学校,1206730,,False
それ,代名詞,6,1,それ,其れ,1006970,,False
好き,形状詞,6,1,好き,好き,1277450,,False
バイト,名詞,6,1,バイト,バイト-Arbeit,1097870,,False
聞く,動詞,5,1,聞い,聞く,1591110,,False
聞こえる,動詞,5,1,聞こえ,聞こえる,1591150,,False
追い掛ける,動詞,5,1,追いかけ,追い掛ける,1608720,,False
その,連体詞,5,1,その,其の,1006830,,False
分かる,動詞,5,1,分かっ,分かる,1606560,,False
大丈夫,形状詞,5,1,大丈夫,大丈夫,1414150,,False
実る,名詞,5,1,みのり,実り,1320840,,False
悪い,形容詞,5,1,悪かっ,悪い,1151260,,False
上げる,動詞,5,1,あげ,上げる,1352320,,False
信ずる,動詞,5,1,信じ,信ずる,1359070,,False
みの,名詞,5,1,みの,蓑,1634010 | 2845080,,True
ほんと,名詞,5,1,ほんと,本当,1523060,,False
こう,副詞,4,1,こう,こう,1004310,,False
無理,名詞,4,1,無理,無理,1530970,,False
普通,名詞,4,1,普通,普通,1497190,,False
タイガー,名詞,4,1,タイガー,タイガー-tiger,2021200,,False
とこ,名詞,4,1,とこ,所,1343100,,False
実る,動詞,4,1,みのり,実る,1320850,,False
出来る,動詞,4,1,でき,出来る,1340450,,False
呉れる,動詞,4,1,くれ,呉れる,1269130,,False
幸せ,名詞,4,1,幸せ,幸せ,1594060,,False
持つ,動詞,4,1,持っ,持つ,1315720,,False
まだ,副詞,4,1,まだ,未だ,1527110,,False
もっと,副詞,4,1,もっと,もっと,1012620,,False
人生,名詞,4,1,人生,人生,1368370,,False
遣る,動詞,4,1,やり,遣る,1012980,,False
違う,動詞,4,1,違う,違う,1158880,,False
下さる,動詞,4,1,ください,下さる,1184280,,False
つもり,名詞,4,1,つもり,積り,1382980,,False
ちゃんと,副詞,4,1,ちゃんと,ちゃんと,1007720,,False
明日,名詞,3,1,明日,明日,1584660,,False
美人,名詞,3,1,美人,美人,1486530,,False
自分,名詞,3,1,自分,自分,1318610,,False
昨日,名詞,3,1,昨日,昨日,1579260,,False
櫛,名詞,3,1,櫛,櫛,1246490,,False
欲しい,形容詞,3,1,ほしい,欲しい,1547330,,False
終わる,動詞,3,1,終わっ,終わる,1589600,,False
決める,動詞,3,1,決め,決める,1254180,,False
考える,動詞,3,1,考え,考える,1281020,,False
早い,形容詞,3,1,早く,早い,1404975,,False
出す,動詞,3,1,出し,出す,1338180,,False
君,代名詞,3,1,君,君-代名詞,1247260,,False
変,名詞,3,1,変,変,1510640,,False
呼び出す,動詞,3,1,呼び出し,呼び出す,1266350,,False
放す,動詞,3,1,離し,放す,1516460,,False
せい,名詞,3,1,せい,所為,1610040,,False
